,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,0.22640000,0.22640000,0.22640000,0.22640000,0.00000000,1667946899999,0.00000000,0,0.00000000,0.00000000,0
1,1667946900000,0.22630000,0.22630000,0.22570000,0.22570000,12.91900000,1667946959999,2.91869170,5,0.61900000,0.14007970,0
2,1667946960000,0.22530000,0.22530000,0.22510000,0.22510000,9.22800000,1667947019999,2.07851440,6,0.00000000,0.00000000,0
3,1667947020000,0.22500000,0.22500000,0.22480000,0.22480000,8.45900000,1667947079999,1.90266960,4,0.00000000,0.00000000,0
4,1667947080000,0.22440000,0.22450000,0.22440000,0.22440000,16.36100000,1667947139999,3.67197490,9,5.66500000,1.27179250,0
5,1667947140000,0.22490000,0.22490000,0.22490000,0.22490000,5.65000000,1667947199999,1.27068500,4,5.65000000,1.27068500,0
6,1667947200000,0.22450000,0.22450000,0.22360000,0.22360000,22.92500000,1667947259999,5.13585630,12,0.00000000,0.00000000,0
7,1667947260000,0.22330000,0.22330000,0.22250000,0.22250000,42.85800000,1667947319999,9.55331800,11,0.00000000,0.00000000,0
8,1667947320000,0.22270000,0.22280000,0.22270000,0.22280000,5.69200000,1667947379999,1.26795300,2,5.69200000,1.26795300,0
9,1667947380000,0.22280000,0.22280000,0.22280000,0.22280000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
10,1667947440000,0.22230000,0.22280000,0.22230000,0.22280000,9.99700000,1667947499999,2.22661410,3,8.20600000,1.82829680,0
11,1667947500000,0.22280000,0.22280000,0.22280000,0.22280000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
12,1667947560000,0.22300000,0.22300000,0.22300000,0.22300000,3.49100000,1667947619999,0.77849300,2,3.49100000,0.77849300,0
13,1667947620000,0.22300000,0.22300000,0.22300000,0.22300000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
14,1667947680000,0.22250000,0.22250000,0.22250000,0.22250000,5.36700000,1667947739999,1.19415750,2,0.00000000,0.00000000,0
15,1667947740000,0.22290000,0.22290000,0.22290000,0.22290000,6.10800000,1667947799999,1.36147320,2,6.10800000,1.36147320,0
16,1667947800000,0.22330000,0.22410000,0.22330000,0.22400000,16.92500000,1667947859999,3.78760720,10,15.48100000,3.46415120,0
