,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,0.00314000,0.00314000,0.00314000,0.00314000,0.00000000,1667946959999,0.00000000,0,0.00000000,0.00000000,0
1,1667946960000,0.00314000,0.00314000,0.00314000,0.00314000,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
2,1667947020000,0.00314000,0.00314000,0.00314000,0.00314000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
3,1667947080000,0.00314000,0.00314000,0.00314000,0.00314000,5886.00000000,1667947139999,18.48204000,2,0.00000000,0.00000000,0
4,1667947140000,0.00314000,0.00314000,0.00314000,0.00314000,10845.00000000,1667947199999,34.05330000,2,0.00000000,0.00000000,0
5,1667947200000,0.00314000,0.00314000,0.00314000,0.00314000,6558.00000000,1667947259999,20.59212000,1,0.00000000,0.00000000,0
6,1667947260000,0.00314000,0.00314000,0.00314000,0.00314000,5567.00000000,1667947319999,17.48038000,1,0.00000000,0.00000000,0
7,1667947320000,0.00314000,0.00314000,0.00314000,0.00314000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
8,1667947380000,0.00315000,0.00319000,0.00315000,0.00316000,5123042.00000000,1667947439999,16289.46597000,48,5027533.00000000,15987.53577000,0
9,1667947440000,0.00316000,0.00316000,0.00315000,0.00315000,88329.00000000,1667947499999,278.29747000,7,0.00000000,0.00000000,0
10,1667947500000,0.00315000,0.00320000,0.00315000,0.00317000,2384792.00000000,1667947559999,7575.16790000,74,633310.00000000,2011.04318000,0
11,1667947560000,0.00317000,0.00319000,0.00317000,0.00317000,5039906.00000000,1667947619999,16073.37072000,21,5008150.00000000,15972.70420000,0
12,1667947620000,0.00317000,0.00317000,0.00315000,0.00317000,310873.00000000,1667947679999,982.31771000,19,17382.00000000,55.10094000,0
13,1667947680000,0.00317000,0.00319000,0.00316000,0.00317000,5056456.00000000,1667947739999,16127.56278000,19,5019928.00000000,16012.01254000,0
14,1667947740000,0.00316000,0.00319000,0.00313000,0.00317000,5624360.00000000,1667947799999,17905.60488000,75,5086540.00000000,16213.42337000,0
15,1667947800000,0.00316000,0.00317000,0.00313000,0.00313000,853759.00000000,1667947859999,2682.45229000,26,1011.00000000,3.20487000,0
16,1667947860000,0.00316000,0.00318000,0.00316000,0.00316000,5028834.00000000,1667947919999,15987.90755000,21,5012176.00000000,15935.26827000,0
17,1667947920000,0.00317000,0.00317000,0.00313000,0.00316000,383542.00000000,1667947979999,1208.71486000,18,19084.00000000,60.37452000,0
18,1667947980000,0.00316000,0.00320000,0.00316000,0.00317000,5335679.00000000,1667948039999,17021.82460000,25,5316878.00000000,16962.13476000,0
19,1667948040000,0.00317000,0.00320000,0.00315000,0.00316000,456868.00000000,1667948099999,1447.29337000,27,84651.00000000,269.99592000,0
20,1667948100000,0.00317000,0.00320000,0.00316000,0.00317000,5506294.00000000,1667948159999,17559.76067000,26,5311114.00000000,16942.33900000,0
21,1667948160000,0.00317000,0.00320000,0.00317000,0.00320000,5303700.00000000,1667948219999,16917.39759000,14,5303700.00000000,16917.39759000,0
22,1667948220000,0.00317000,0.00317000,0.00315000,0.00315000,224432.00000000,1667948279999,709.81864000,9,0.00000000,0.00000000,0
23,1667948280000,0.00317000,0.00321000,0.00317000,0.00317000,6154202.00000000,1667948339999,19676.72514000,51,5504687.00000000,17615.33963000,0
24,1667948340000,0.00317000,0.00321000,0.00317000,0.00318000,5557166.00000000,1667948399999,17779.74285000,29,5529745.00000000,17692.54407000,0
25,1667948400000,0.00318000,0.00321000,0.00317000,0.00319000,6113171.00000000,1667948459999,19595.15949000,35,5621664.00000000,18036.08677000,0
26,1667948460000,0.00319000,0.00319000,0.00317000,0.00319000,212761.00000000,1667948519999,677.16798000,13,0.00000000,0.00000000,0
27,1667948520000,0.00319000,0.00319000,0.00318000,0.00318000,15400.00000000,1667948579999,49.00993000,3,3793.00000000,12.09967000,0
28,1667948580000,0.00319000,0.00320000,0.00318000,0.00320000,5659766.00000000,1667948639999,18058.21054000,9,5656307.00000000,18047.21092000,0
29,1667948640000,0.00319000,0.00320000,0.00318000,0.00318000,67620.00000000,1667948699999,215.53005000,4,36075.00000000,115.21695000,0
30,1667948700000,0.00319000,0.00320000,0.00319000,0.00320000,5750734.00000000,1667948759999,18348.11411000,7,5750734.00000000,18348.11411000,0
31,1667948760000,0.00318000,0.00320000,0.00316000,0.00318000,421883.00000000,1667948819999,1335.83527000,17,7144.00000000,22.78982000,0
32,1667948820000,0.00318000,0.00321000,0.00318000,0.00318000,5783757.00000000,1667948879999,18507.99422000,23,5713329.00000000,18283.78966000,0
33,1667948880000,0.00318000,0.00320000,0.00314000,0.00319000,6889017.00000000,1667948939999,21987.48546000,81,6000605.00000000,19180.91477000,0
34,1667948940000,0.00318000,0.00319000,0.00317000,0.00319000,214452.00000000,1667948999999,681.18242000,11,8011.00000000,25.55509000,0
35,1667949000000,0.00319000,0.00320000,0.00319000,0.00320000,5700000.00000000,1667949059999,18239.92640000,7,5700000.00000000,18239.92640000,0
36,1667949060000,0.00320000,0.00320000,0.00317000,0.00317000,594004.00000000,1667949119999,1891.54419000,15,0.00000000,0.00000000,0
37,1667949120000,0.00319000,0.00322000,0.00318000,0.00319000,6555430.00000000,1667949179999,20978.40428000,50,5811739.00000000,18602.91583000,0
38,1667949180000,0.00320000,0.00322000,0.00320000,0.00322000,5949656.00000000,1667949239999,19103.71836000,35,5380416.00000000,17271.30296000,0
39,1667949240000,0.00321000,0.00321000,0.00320000,0.00320000,125410.00000000,1667949299999,401.43376000,7,0.00000000,0.00000000,0
40,1667949300000,0.00320000,0.00324000,0.00320000,0.00321000,6157608.00000000,1667949359999,19886.61964000,16,6100000.00000000,19701.84007000,0
41,1667949360000,0.00321000,0.00321000,0.00319000,0.00319000,264601.00000000,1667949419999,847.16303000,11,0.00000000,0.00000000,0
