,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,0.32960000,0.33030000,0.32910000,0.33030000,58005.00000000,1667946839999,19141.93710000,51,22592.00000000,7451.37840000,0
1,1667946840000,0.33040000,0.33050000,0.32930000,0.32950000,15832.00000000,1667946899999,5223.09250000,28,11366.00000000,3751.40230000,0
2,1667946900000,0.32950000,0.32980000,0.32910000,0.32930000,28818.00000000,1667946959999,9494.04410000,32,12187.00000000,4016.31430000,0
3,1667946960000,0.32940000,0.33050000,0.32900000,0.33050000,38444.00000000,1667947019999,12660.06150000,46,10736.00000000,3540.12020000,0
4,1667947020000,0.33050000,0.33050000,0.32850000,0.32850000,36263.00000000,1667947079999,11931.17920000,54,14875.00000000,4891.47680000,0
5,1667947080000,0.32850000,0.32900000,0.32820000,0.32870000,8851.00000000,1667947139999,2908.12950000,17,2689.00000000,883.64000000,0
6,1667947140000,0.32840000,0.32870000,0.32820000,0.32840000,6593.00000000,1667947199999,2166.31980000,14,4316.00000000,1418.21690000,0
7,1667947200000,0.32810000,0.32840000,0.32720000,0.32750000,62557.00000000,1667947259999,20490.34790000,65,34811.00000000,11401.52890000,0
8,1667947260000,0.32730000,0.32750000,0.32600000,0.32640000,382318.00000000,1667947319999,124732.71980000,114,277537.00000000,90496.60820000,0
9,1667947320000,0.32620000,0.32700000,0.32580000,0.32700000,19324.00000000,1667947379999,6308.56910000,48,7069.00000000,2309.10090000,0
10,1667947380000,0.32660000,0.32830000,0.32660000,0.32830000,20818.00000000,1667947439999,6821.82930000,31,7784.00000000,2552.55470000,0
11,1667947440000,0.32780000,0.32790000,0.32750000,0.32750000,2565.00000000,1667947499999,840.76420000,6,351.00000000,115.09290000,0
12,1667947500000,0.32760000,0.32810000,0.32750000,0.32790000,5574.00000000,1667947559999,1827.55170000,9,3310.00000000,1085.80240000,0
13,1667947560000,0.32760000,0.32890000,0.32760000,0.32880000,46471.00000000,1667947619999,15275.09090000,43,13881.00000000,4561.33030000,0
14,1667947620000,0.32900000,0.32900000,0.32820000,0.32880000,34141.00000000,1667947679999,11215.58710000,72,3541.00000000,1164.21280000,0
15,1667947680000,0.32850000,0.32880000,0.32780000,0.32780000,105333.00000000,1667947739999,34582.09520000,34,12371.00000000,4064.39190000,0
