,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.00015727,0.00015737,0.00015697,0.00015697,236.64000000,1667947139999,0.03720262,19,20.64000000,0.00324704,0
1,1667947140000,0.00015676,0.00015684,0.00015639,0.00015639,255.45000000,1667947199999,0.04000486,15,40.00000000,0.00627260,0
2,1667947200000,0.00015641,0.00015641,0.00015559,0.00015559,236.60000000,1667947259999,0.03690482,19,20.00000000,0.00312820,0
3,1667947260000,0.00015553,0.00015564,0.00015537,0.00015548,189.53000000,1667947319999,0.02946859,12,60.00000000,0.00933480,0
4,1667947320000,0.00015543,0.00015558,0.00015527,0.00015527,120.65000000,1667947379999,0.01874921,8,20.00000000,0.00311160,0
5,1667947380000,0.00015542,0.00015588,0.00015542,0.00015588,191.80000000,1667947439999,0.02985380,13,191.80000000,0.02985380,0
6,1667947440000,0.00015569,0.00015569,0.00015564,0.00015564,51.39000000,1667947499999,0.00799950,3,0.00000000,0.00000000,0
7,1667947500000,0.00015577,0.00015590,0.00015577,0.00015590,595.15000000,1667947559999,0.09274767,5,72.43000000,0.01128699,0
8,1667947560000,0.00015578,0.00015578,0.00015562,0.00015562,80.00000000,1667947619999,0.01245598,6,0.00000000,0.00000000,0
9,1667947620000,0.00015556,0.00015624,0.00015556,0.00015624,180.68000000,1667947679999,0.02817193,8,168.23000000,0.02623521,0
10,1667947680000,0.00015630,0.00015669,0.00015630,0.00015669,172.89000000,1667947739999,0.02705701,15,172.89000000,0.02705701,0
11,1667947740000,0.00015670,0.00015691,0.00015528,0.00015528,575.84000000,1667947799999,0.08987896,33,40.00000000,0.00627220,0
12,1667947800000,0.00015552,0.00015552,0.00015530,0.00015530,114.15000000,1667947859999,0.01773950,8,0.00000000,0.00000000,0
13,1667947860000,0.00015527,0.00015527,0.00015504,0.00015520,166.34000000,1667947919999,0.02581259,13,20.00000000,0.00310398,0
14,1667947920000,0.00015520,0.00015571,0.00015520,0.00015571,255.34000000,1667947979999,0.03970511,10,255.34000000,0.03970511,0
15,1667947980000,0.00015579,0.00015632,0.00015579,0.00015620,249.37000000,1667948039999,0.03892468,17,133.38000000,0.02082596,0
16,1667948040000,0.00015605,0.00015645,0.00015593,0.00015645,180.00000000,1667948099999,0.02811139,10,100.00000000,0.01562979,0
17,1667948100000,0.00015645,0.00015677,0.00015645,0.00015677,162.53000000,1667948159999,0.02545098,14,148.39000000,0.02323788,0
18,1667948160000,0.00015682,0.00015693,0.00015682,0.00015682,304.93000000,1667948219999,0.04782351,10,64.25000000,0.01008008,0
19,1667948220000,0.00015682,0.00015682,0.00015636,0.00015636,130.06000000,1667948279999,0.02036268,8,0.00000000,0.00000000,0
20,1667948280000,0.00015630,0.00015643,0.00015610,0.00015610,103.43000000,1667948339999,0.01615815,6,3.43000000,0.00053655,0
21,1667948340000,0.00015606,0.00015606,0.00015552,0.00015572,286.82000000,1667948399999,0.04467710,14,38.11000000,0.00593467,0
22,1667948400000,0.00015551,0.00015551,0.00015548,0.00015548,37.91000000,1667948459999,0.00589478,2,0.00000000,0.00000000,0
23,1667948460000,0.00015562,0.00015595,0.00015562,0.00015562,241.98000000,1667948519999,0.03769908,11,150.58000000,0.02346763,0
24,1667948520000,0.00015556,0.00015563,0.00015548,0.00015563,69.26000000,1667948579999,0.01077347,5,20.00000000,0.00311260,0
25,1667948580000,0.00015569,0.00015615,0.00015569,0.00015595,168.29000000,1667948639999,0.02623796,10,128.29000000,0.01999916,0
26,1667948640000,0.00015609,0.00015631,0.00015609,0.00015613,123.84000000,1667948699999,0.01934220,7,100.00000000,0.01561960,0
27,1667948700000,0.00015632,0.00015662,0.00015632,0.00015662,129.35000000,1667948759999,0.02023740,9,129.35000000,0.02023740,0
28,1667948760000,0.00015663,0.00015666,0.00015652,0.00015666,78.00000000,1667948819999,0.01221608,4,58.00000000,0.00908568,0
29,1667948820000,0.00015666,0.00015713,0.00015666,0.00015674,206.00000000,1667948879999,0.03232267,22,128.64000000,0.02019101,0
30,1667948880000,0.00015674,0.00015674,0.00015623,0.00015624,137.03000000,1667948939999,0.02145158,11,7.20000000,0.00112680,0
31,1667948940000,0.00015624,0.00015624,0.00015624,0.00015624,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
32,1667949000000,0.00015638,0.00015678,0.00015638,0.00015678,192.88000000,1667949059999,0.03020337,12,172.88000000,0.02707317,0
33,1667949060000,0.00015684,0.00015713,0.00015666,0.00015713,244.69000000,1667949119999,0.03837841,11,244.69000000,0.03837841,0
34,1667949120000,0.00015726,0.00015726,0.00015710,0.00015710,32.61000000,1667949179999,0.00512504,2,0.00000000,0.00000000,0
35,1667949180000,0.00015708,0.00015708,0.00015683,0.00015683,111.83000000,1667949239999,0.01755309,6,0.00000000,0.00000000,0
36,1667949240000,0.00015695,0.00015727,0.00015695,0.00015724,174.31000000,1667949299999,0.02738659,9,154.31000000,0.02424679,0
37,1667949300000,0.00015730,0.00015816,0.00015730,0.00015813,284.22000000,1667949359999,0.04483050,23,264.22000000,0.04167130,0
38,1667949360000,0.00015819,0.00015844,0.00015791,0.00015791,457.41000000,1667949419999,0.07238185,36,255.05000000,0.04038081,0
39,1667949420000,0.00015799,0.00015799,0.00015754,0.00015763,152.10000000,1667949479999,0.02399787,9,0.00000000,0.00000000,0
40,1667949480000,0.00015757,0.00015831,0.00015742,0.00015793,485.35000000,1667949539999,0.07663215,16,131.04000000,0.02069139,0
41,1667949540000,0.00015809,0.00015809,0.00015801,0.00015801,60.00000000,1667949599999,0.00948340,3,0.00000000,0.00000000,0
42,1667949600000,0.00015815,0.00015815,0.00015786,0.00015800,72.44000000,1667949659999,0.01144243,5,20.20000000,0.00319163,0
43,1667949660000,0.00015787,0.00015787,0.00015771,0.00015771,34.46000000,1667949719999,0.00543788,2,0.00000000,0.00000000,0
44,1667949720000,0.00015784,0.00015784,0.00015736,0.00015784,181.92000000,1667949779999,0.02868752,17,105.37000000,0.01662209,0
45,1667949780000,0.00015790,0.00015812,0.00015790,0.00015802,183.08000000,1667949839999,0.02893887,5,143.08000000,0.02261687,0
46,1667949840000,0.00015815,0.00015896,0.00015807,0.00015896,899.28000000,1667949899999,0.14266851,50,879.28000000,0.13950711,0
47,1667949900000,0.00015901,0.00015982,0.00015896,0.00015982,942.22000000,1667949959999,0.15027509,63,862.22000000,0.13750150,0
48,1667949960000,0.00015981,0.00016672,0.00015977,0.00016382,6224.18000000,1667950019999,1.00745458,280,5326.36000000,0.86261786,0
49,1667950020000,0.00016424,0.00016424,0.00016216,0.00016266,1287.78000000,1667950079999,0.21012134,74,574.22000000,0.09368427,0
50,1667950080000,0.00016253,0.00016423,0.00016237,0.00016421,1024.33000000,1667950139999,0.16739815,63,759.50000000,0.12411429,0
51,1667950140000,0.00016375,0.00016579,0.00016371,0.00016540,934.73000000,1667950199999,0.15417127,71,760.85000000,0.12551776,0
52,1667950200000,0.00016495,0.00016495,0.00016326,0.00016326,728.35000000,1667950259999,0.11943726,36,0.63000000,0.00010391,0
53,1667950260000,0.00016325,0.00016355,0.00016305,0.00016315,193.06000000,1667950319999,0.03153652,16,84.48000000,0.01381309,0
54,1667950320000,0.00016304,0.00016304,0.00016304,0.00016304,19.16000000,1667950379999,0.00312384,1,0.00000000,0.00000000,0
55,1667950380000,0.00016340,0.00016432,0.00016340,0.00016431,420.40000000,1667950439999,0.06887140,22,357.54000000,0.05859283,0
56,1667950440000,0.00016437,0.00016465,0.00016437,0.00016465,116.38000000,1667950499999,0.01914568,11,116.38000000,0.01914568,0
57,1667950500000,0.00016488,0.00016553,0.00016478,0.00016490,708.84000000,1667950559999,0.11700189,41,356.85000000,0.05893212,0
58,1667950560000,0.00016456,0.00016572,0.00016390,0.00016572,723.93000000,1667950619999,0.11928198,44,485.26000000,0.08009004,0
59,1667950620000,0.00016538,0.00016572,0.00016530,0.00016572,100.15000000,1667950679999,0.01657308,6,44.15000000,0.00731453,0
60,1667950680000,0.00016568,0.00016647,0.00016564,0.00016636,540.18000000,1667950739999,0.08966495,52,488.55000000,0.08109876,0
61,1667950740000,0.00016647,0.00016673,0.00016609,0.00016619,444.97000000,1667950799999,0.07401367,23,225.95000000,0.03760076,0
62,1667950800000,0.00016643,0.00016669,0.00016560,0.00016597,525.49000000,1667950859999,0.08742482,26,203.67000000,0.03391799,0
63,1667950860000,0.00016603,0.00016644,0.00016603,0.00016644,158.77000000,1667950919999,0.02638966,7,158.77000000,0.02638966,0
64,1667950920000,0.00016616,0.00016634,0.00016471,0.00016471,541.59000000,1667950979999,0.08962077,38,34.22000000,0.00567669,0
65,1667950980000,0.00016490,0.00016564,0.00016412,0.00016464,1003.18000000,1667951039999,0.16554851,47,471.36000000,0.07790725,0
66,1667951040000,0.00016425,0.00016430,0.00016287,0.00016288,569.32000000,1667951099999,0.09297683,41,37.83000000,0.00619266,0
67,1667951100000,0.00016321,0.00016352,0.00016296,0.00016352,103.76000000,1667951159999,0.01694190,9,74.91000000,0.01223807,0
68,1667951160000,0.00016338,0.00016338,0.00016216,0.00016232,522.28000000,1667951219999,0.08498236,31,43.57000000,0.00707227,0
69,1667951220000,0.00016233,0.00016349,0.00016230,0.00016329,478.87000000,1667951279999,0.07794114,16,367.01000000,0.05972769,0
70,1667951280000,0.00016325,0.00016326,0.00016257,0.00016271,297.31000000,1667951339999,0.04843843,14,20.00000000,0.00325420,0
71,1667951340000,0.00016273,0.00016329,0.00016273,0.00016307,243.81000000,1667951399999,0.03974085,8,223.81000000,0.03647945,0
