,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.02422000,0.02431000,0.02419000,0.02429000,156820.50000000,1667946779999,3804.47925400,15,128272.80000000,3112.46714300,0
1,1667946780000,0.02429000,0.02434000,0.02427000,0.02428000,556223.50000000,1667946839999,13525.61805000,18,392787.60000000,9549.46168200,0
2,1667946840000,0.02427000,0.02428000,0.02426000,0.02426000,38090.70000000,1667946899999,924.19838200,8,900.00000000,21.85200000,0
3,1667946900000,0.02420000,0.02428000,0.02416000,0.02419000,387700.30000000,1667946959999,9389.49253800,31,80430.10000000,1948.32107300,0
4,1667946960000,0.02419000,0.02428000,0.02418000,0.02428000,63291.30000000,1667947019999,1533.75061600,9,54873.30000000,1330.00591600,0
5,1667947020000,0.02426000,0.02426000,0.02416000,0.02417000,140209.80000000,1667947079999,3394.39107300,15,7520.10000000,182.00361900,0
6,1667947080000,0.02419000,0.02420000,0.02416000,0.02416000,72445.10000000,1667947139999,1751.42708400,10,43831.40000000,1059.99741800,0
7,1667947140000,0.02415000,0.02417000,0.02412000,0.02412000,47850.60000000,1667947199999,1154.99666900,10,27612.10000000,666.80916300,0
8,1667947200000,0.02413000,0.02417000,0.02409000,0.02417000,162648.80000000,1667947259999,3926.98330800,15,145008.50000000,3501.80385600,0
9,1667947260000,0.02416000,0.02416000,0.02416000,0.02416000,23348.60000000,1667947319999,564.10217600,3,20000.00000000,483.20000000,0
10,1667947320000,0.02416000,0.02416000,0.02416000,0.02416000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
11,1667947380000,0.02422000,0.02423000,0.02422000,0.02423000,1784.20000000,1667947439999,43.22621200,2,1784.20000000,43.22621200,0
12,1667947440000,0.02423000,0.02423000,0.02417000,0.02417000,73516.50000000,1667947499999,1777.78191800,15,21875.10000000,528.92139300,0
13,1667947500000,0.02421000,0.02421000,0.02410000,0.02418000,93702.60000000,1667947559999,2262.05990100,19,80070.30000000,1932.71444700,0
14,1667947560000,0.02418000,0.02418000,0.02418000,0.02418000,1861.90000000,1667947619999,45.02074200,2,1861.90000000,45.02074200,0
15,1667947620000,0.02421000,0.02424000,0.02421000,0.02424000,13391.10000000,1667947679999,324.44583000,2,8243.30000000,199.81759200,0
16,1667947680000,0.02421000,0.02421000,0.02421000,0.02421000,2888.50000000,1667947739999,69.93058500,1,2888.50000000,69.93058500,0
17,1667947740000,0.02416000,0.02416000,0.02400000,0.02405000,192438.00000000,1667947799999,4628.59751600,31,60120.90000000,1446.98203700,0
18,1667947800000,0.02405000,0.02409000,0.02398000,0.02409000,397940.80000000,1667947859999,9568.95731500,32,384939.20000000,9257.01344100,0
19,1667947860000,0.02409000,0.02413000,0.02405000,0.02413000,269350.40000000,1667947919999,6482.68914100,15,265350.40000000,6386.40914100,0
20,1667947920000,0.02409000,0.02410000,0.02409000,0.02410000,64859.30000000,1667947979999,1562.80913000,7,60000.00000000,1445.70000000,0
21,1667947980000,0.02416000,0.02426000,0.02416000,0.02426000,76407.40000000,1667948039999,1848.11304000,7,72651.40000000,1757.18028000,0
22,1667948040000,0.02428000,0.02436000,0.02428000,0.02429000,149039.90000000,1667948099999,3626.03208500,14,49082.80000000,1193.95914100,0
23,1667948100000,0.02430000,0.02432000,0.02428000,0.02428000,19414.20000000,1667948159999,471.96754800,5,10000.00000000,243.20000000,0
24,1667948160000,0.02435000,0.02437000,0.02426000,0.02426000,225931.00000000,1667948219999,5495.33199700,14,134786.00000000,3283.32824000,0
25,1667948220000,0.02431000,0.02433000,0.02431000,0.02433000,9042.50000000,1667948279999,219.88061900,2,9042.50000000,219.88061900,0
26,1667948280000,0.02428000,0.02428000,0.02418000,0.02418000,134080.40000000,1667948339999,3252.60594200,6,8020.00000000,194.72560000,0
27,1667948340000,0.02425000,0.02425000,0.02417000,0.02420000,51350.90000000,1667948399999,1242.41341500,5,41350.90000000,1000.71341500,0
28,1667948400000,0.02417000,0.02421000,0.02417000,0.02420000,148964.40000000,1667948459999,3602.60953500,18,141734.10000000,3427.82268300,0
29,1667948460000,0.02413000,0.02416000,0.02409000,0.02414000,143096.20000000,1667948519999,3451.40316900,19,111792.40000000,2696.38577900,0
30,1667948520000,0.02409000,0.02421000,0.02409000,0.02421000,18751.40000000,1667948579999,453.20515100,7,15566.40000000,376.47850100,0
31,1667948580000,0.02419000,0.02427000,0.02418000,0.02427000,121896.60000000,1667948639999,2952.80588800,11,23701.30000000,574.84232000,0
32,1667948640000,0.02429000,0.02433000,0.02429000,0.02432000,45791.30000000,1667948699999,1113.49614700,4,27903.30000000,678.72662700,0
33,1667948700000,0.02432000,0.02441000,0.02432000,0.02441000,53016.90000000,1667948759999,1292.61994900,9,51658.10000000,1259.57393300,0
34,1667948760000,0.02443000,0.02443000,0.02437000,0.02437000,26809.70000000,1667948819999,654.23465800,6,10476.40000000,255.92515800,0
35,1667948820000,0.02434000,0.02434000,0.02434000,0.02434000,6162.60000000,1667948879999,149.99768400,3,0.00000000,0.00000000,0
36,1667948880000,0.02427000,0.02430000,0.02427000,0.02430000,50733.70000000,1667948939999,1232.34007300,8,48715.70000000,1183.36321300,0
37,1667948940000,0.02428000,0.02435000,0.02428000,0.02435000,37713.40000000,1667948999999,916.44687000,4,37713.40000000,916.44687000,0
38,1667949000000,0.02432000,0.02442000,0.02432000,0.02440000,370348.60000000,1667949059999,9026.18966500,28,104699.30000000,2553.74415400,0
39,1667949060000,0.02440000,0.02444000,0.02437000,0.02437000,33112.50000000,1667949119999,808.63316500,7,30322.00000000,740.61188000,0
40,1667949120000,0.02440000,0.02440000,0.02434000,0.02434000,98059.20000000,1667949179999,2387.74388400,7,2586.00000000,62.97146400,0
41,1667949180000,0.02434000,0.02434000,0.02434000,0.02434000,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
42,1667949240000,0.02438000,0.02439000,0.02437000,0.02437000,60674.30000000,1667949299999,1479.42260100,6,32929.00000000,803.03933000,0
43,1667949300000,0.02436000,0.02436000,0.02435000,0.02435000,6610.10000000,1667949359999,160.97078200,2,0.00000000,0.00000000,0
44,1667949360000,0.02448000,0.02448000,0.02434000,0.02434000,34852.80000000,1667949419999,849.46064800,10,1852.00000000,45.33696000,0
45,1667949420000,0.02428000,0.02429000,0.02428000,0.02429000,3545.60000000,1667949479999,86.10716800,2,2000.00000000,48.58000000,0
46,1667949480000,0.02428000,0.02428000,0.02418000,0.02418000,40626.50000000,1667949539999,983.78340800,9,8065.40000000,195.76715200,0
47,1667949540000,0.02425000,0.02434000,0.02425000,0.02434000,55909.70000000,1667949599999,1357.22856900,6,47343.70000000,1149.16042900,0
48,1667949600000,0.02429000,0.02429000,0.02417000,0.02417000,16088.60000000,1667949659999,389.16356000,3,1484.00000000,36.04636000,0
49,1667949660000,0.02425000,0.02425000,0.02425000,0.02425000,729.00000000,1667949719999,17.67825000,1,729.00000000,17.67825000,0
50,1667949720000,0.02418000,0.02428000,0.02417000,0.02428000,47239.70000000,1667949779999,1143.40950400,10,30584.00000000,740.71015000,0
51,1667949780000,0.02429000,0.02431000,0.02427000,0.02431000,26880.40000000,1667949839999,652.78663900,7,8288.00000000,201.38452000,0
52,1667949840000,0.02430000,0.02439000,0.02426000,0.02439000,15128.30000000,1667949899999,367.52094800,5,2093.40000000,50.97306600,0
53,1667949900000,0.02443000,0.02443000,0.02443000,0.02443000,599.70000000,1667949959999,14.65067100,1,599.70000000,14.65067100,0
54,1667949960000,0.02440000,0.02445000,0.02433000,0.02433000,22798.10000000,1667950019999,556.10699700,6,8508.70000000,207.91661100,0
55,1667950020000,0.02432000,0.02443000,0.02432000,0.02439000,9814.80000000,1667950079999,239.38042600,4,8435.80000000,205.74661600,0
56,1667950080000,0.02435000,0.02443000,0.02431000,0.02443000,243935.60000000,1667950139999,5937.29307300,11,5368.50000000,131.09877000,0
57,1667950140000,0.02444000,0.02456000,0.02444000,0.02451000,105232.60000000,1667950199999,2579.39515200,24,100013.00000000,2451.34038300,0
58,1667950200000,0.02454000,0.02455000,0.02444000,0.02444000,47499.80000000,1667950259999,1163.95575700,13,22191.70000000,544.00058300,0
59,1667950260000,0.02444000,0.02448000,0.02442000,0.02448000,33170.00000000,1667950319999,811.25099900,7,33170.00000000,811.25099900,0
60,1667950320000,0.02448000,0.02453000,0.02443000,0.02453000,204193.70000000,1667950379999,4991.85245800,16,14438.20000000,354.08554400,0
61,1667950380000,0.02450000,0.02454000,0.02448000,0.02454000,99274.50000000,1667950439999,2431.22341600,8,6112.40000000,149.99829600,0
62,1667950440000,0.02457000,0.02458000,0.02454000,0.02458000,52205.40000000,1667950499999,1282.27449000,7,2619.70000000,64.36602900,0
63,1667950500000,0.02464000,0.02469000,0.02454000,0.02469000,112245.00000000,1667950559999,2763.96494000,22,39312.80000000,969.39663000,0
64,1667950560000,0.02473000,0.02474000,0.02465000,0.02467000,257416.50000000,1667950619999,6351.61728600,30,76515.40000000,1888.26705700,0
