,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,1.69100000,1.69100000,1.68600000,1.68800000,788.60000000,1667946899999,1332.57990000,11,284.70000000,481.40700000,0
1,1667946900000,1.68600000,1.68700000,1.68200000,1.68400000,2657.30000000,1667946959999,4475.53060000,23,1957.90000000,3297.22470000,0
2,1667946960000,1.68400000,1.69300000,1.68400000,1.69300000,1588.50000000,1667947019999,2685.03980000,37,1570.10000000,2654.01740000,0
3,1667947020000,1.69300000,1.69300000,1.68900000,1.69100000,378.00000000,1667947079999,639.41020000,12,45.10000000,76.26410000,0
4,1667947080000,1.69100000,1.69100000,1.69100000,1.69100000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
5,1667947140000,1.68900000,1.68900000,1.68700000,1.68700000,98.70000000,1667947199999,166.59880000,4,0.00000000,0.00000000,0
6,1667947200000,1.68800000,1.68800000,1.68300000,1.68500000,448.70000000,1667947259999,756.07040000,10,255.60000000,430.62250000,0
7,1667947260000,1.68500000,1.68700000,1.68500000,1.68700000,401.30000000,1667947319999,676.45550000,10,401.30000000,676.45550000,0
8,1667947320000,1.68800000,1.69100000,1.68800000,1.69100000,476.50000000,1667947379999,804.88630000,8,476.50000000,804.88630000,0
9,1667947380000,1.68900000,1.69200000,1.68900000,1.69200000,207.70000000,1667947439999,351.33260000,6,196.90000000,333.09140000,0
10,1667947440000,1.69300000,1.69300000,1.69000000,1.69000000,43.30000000,1667947499999,73.27600000,2,33.00000000,55.86900000,0
11,1667947500000,1.68900000,1.68900000,1.68400000,1.68400000,678.30000000,1667947559999,1143.96840000,13,0.00000000,0.00000000,0
12,1667947560000,1.68700000,1.69000000,1.68700000,1.69000000,213.20000000,1667947619999,360.11520000,6,213.20000000,360.11520000,0
13,1667947620000,1.69100000,1.69300000,1.69100000,1.69200000,54.40000000,1667947679999,92.04220000,4,54.40000000,92.04220000,0
14,1667947680000,1.69100000,1.69100000,1.69100000,1.69100000,58.90000000,1667947739999,99.59990000,1,0.00000000,0.00000000,0
15,1667947740000,1.68900000,1.68900000,1.67900000,1.68000000,2815.70000000,1667947799999,4732.53610000,24,47.40000000,79.83500000,0
16,1667947800000,1.67900000,1.67900000,1.67900000,1.67900000,303.10000000,1667947859999,508.90490000,6,0.00000000,0.00000000,0
17,1667947860000,1.67900000,1.68200000,1.67900000,1.68200000,705.40000000,1667947919999,1185.79710000,15,502.20000000,844.25770000,0
18,1667947920000,1.68300000,1.68300000,1.68200000,1.68200000,13.10000000,1667947979999,22.04050000,2,6.30000000,10.60290000,0
19,1667947980000,1.68300000,1.69400000,1.68300000,1.69400000,2836.90000000,1667948039999,4781.29830000,27,2526.00000000,4256.79630000,0
20,1667948040000,1.69500000,1.69800000,1.69300000,1.69300000,730.60000000,1667948099999,1238.92490000,15,490.00000000,831.25750000,0
21,1667948100000,1.69500000,1.69700000,1.69500000,1.69700000,132.00000000,1667948159999,223.91700000,5,132.00000000,223.91700000,0
22,1667948160000,1.69600000,1.69600000,1.69200000,1.69200000,493.40000000,1667948219999,835.76430000,8,0.00000000,0.00000000,0
23,1667948220000,1.69100000,1.69100000,1.69100000,1.69100000,584.00000000,1667948279999,987.54400000,5,0.00000000,0.00000000,0
24,1667948280000,1.69100000,1.69300000,1.68900000,1.68900000,358.60000000,1667948339999,606.28120000,9,45.00000000,76.15600000,0
25,1667948340000,1.68900000,1.69100000,1.68900000,1.68900000,1217.00000000,1667948399999,2055.59720000,12,1188.00000000,2006.61620000,0
26,1667948400000,1.68800000,1.68800000,1.68700000,1.68700000,87.00000000,1667948459999,146.82700000,3,0.00000000,0.00000000,0
27,1667948460000,1.68700000,1.68700000,1.68000000,1.68200000,325.90000000,1667948519999,548.91870000,12,0.00000000,0.00000000,0
28,1667948520000,1.68200000,1.68500000,1.68100000,1.68400000,272.80000000,1667948579999,459.31860000,8,207.20000000,349.01600000,0
29,1667948580000,1.68700000,1.69200000,1.68700000,1.69200000,1041.70000000,1667948639999,1759.92640000,19,478.10000000,807.81440000,0
30,1667948640000,1.69200000,1.69900000,1.69200000,1.69900000,1630.70000000,1667948699999,2763.86100000,23,932.10000000,1580.20740000,0
31,1667948700000,1.69800000,1.70000000,1.69800000,1.70000000,435.60000000,1667948759999,739.78880000,8,116.00000000,197.05500000,0
32,1667948760000,1.69900000,1.70000000,1.69800000,1.70000000,1667.30000000,1667948819999,2832.05640000,19,442.70000000,751.82060000,0
