,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,3.78400000,3.78600000,3.77900000,3.78400000,1618.70000000,1667947139999,6122.05439000,16,181.47000000,686.73042000,0
1,1667947140000,3.77900000,3.78000000,3.77300000,3.77500000,2006.29000000,1667947199999,7577.28987000,78,996.10000000,3762.59816000,0
2,1667947200000,3.77400000,3.78100000,3.76100000,3.77700000,15195.02000000,1667947259999,57320.43723000,157,11360.70000000,42863.80190000,0
3,1667947260000,3.78100000,3.79000000,3.78100000,3.79000000,2190.42000000,1667947319999,8293.53573000,60,1039.98000000,3937.70717000,0
4,1667947320000,3.79000000,3.80300000,3.78300000,3.79400000,9912.33000000,1667947379999,37586.92947000,133,6019.80000000,22838.55620000,0
5,1667947380000,3.79700000,3.81000000,3.79600000,3.80100000,8849.60000000,1667947439999,33662.45918000,122,5535.00000000,21062.17012000,0
6,1667947440000,3.80100000,3.80300000,3.78900000,3.78900000,3096.68000000,1667947499999,11755.68250000,107,1092.82000000,4152.30934000,0
7,1667947500000,3.79000000,3.79000000,3.78100000,3.78300000,3065.31000000,1667947559999,11606.85815000,86,933.68000000,3535.14885000,0
8,1667947560000,3.78300000,3.80200000,3.78300000,3.80200000,7308.54000000,1667947619999,27727.23020000,76,6470.09000000,24545.01264000,0
9,1667947620000,3.80300000,3.80500000,3.79600000,3.79700000,1795.15000000,1667947679999,6823.53712000,76,350.38000000,1332.68196000,0
10,1667947680000,3.79800000,3.80000000,3.79000000,3.79000000,3990.32000000,1667947739999,15147.02188000,73,474.46000000,1801.76013000,0
11,1667947740000,3.79000000,3.79000000,3.76800000,3.77600000,12157.07000000,1667947799999,45935.86451000,194,8792.64000000,33220.50781000,0
12,1667947800000,3.77500000,3.82200000,3.77200000,3.80200000,59311.51000000,1667947859999,225460.95345000,379,48211.05000000,183308.96942000,0
13,1667947860000,3.80200000,3.84600000,3.79500000,3.82500000,44843.83000000,1667947919999,171509.95471000,425,33839.60000000,129529.32199000,0
14,1667947920000,3.82500000,3.82600000,3.80800000,3.81500000,9055.78000000,1667947979999,34544.04010000,184,3802.70000000,14501.59272000,0
15,1667947980000,3.81500000,3.83300000,3.81400000,3.83100000,13029.95000000,1667948039999,49829.35684000,188,9069.58000000,34674.54498000,0
16,1667948040000,3.83300000,3.84200000,3.82300000,3.82500000,17113.55000000,1667948099999,65585.01459000,270,9087.49000000,34836.29609000,0
17,1667948100000,3.82600000,3.83200000,3.81800000,3.83000000,10399.77000000,1667948159999,39767.00343000,210,5366.27000000,20522.62795000,0
18,1667948160000,3.83000000,3.83000000,3.81600000,3.81600000,4690.19000000,1667948219999,17936.91551000,111,861.41000000,3295.14305000,0
19,1667948220000,3.81700000,3.81900000,3.81000000,3.81900000,5543.83000000,1667948279999,21153.40802000,138,2416.04000000,9218.18418000,0
20,1667948280000,3.81500000,3.81800000,3.80000000,3.80100000,11554.23000000,1667948339999,44042.68964000,238,2467.76000000,9405.36796000,0
21,1667948340000,3.80100000,3.81500000,3.80000000,3.80400000,9588.54000000,1667948399999,36511.93622000,175,5113.47000000,19468.84893000,0
22,1667948400000,3.80500000,3.80600000,3.79400000,3.79800000,9996.93000000,1667948459999,37983.13296000,172,4060.62000000,15424.83270000,0
23,1667948460000,3.80000000,3.81100000,3.79200000,3.80100000,22879.24000000,1667948519999,86984.76978000,234,16182.33000000,61559.69423000,0
24,1667948520000,3.80100000,3.80900000,3.78900000,3.80800000,7062.58000000,1667948579999,26809.14578000,164,2014.19000000,7645.11789000,0
25,1667948580000,3.81100000,3.82700000,3.80900000,3.82100000,6967.22000000,1667948639999,26614.23111000,160,2708.07000000,10345.10101000,0
26,1667948640000,3.82000000,3.82700000,3.81800000,3.82700000,4119.59000000,1667948699999,15751.70863000,85,2490.57000000,9525.15139000,0
27,1667948700000,3.82600000,3.84200000,3.82200000,3.83900000,5404.65000000,1667948759999,20717.22261000,122,3024.60000000,11593.98217000,0
28,1667948760000,3.83800000,3.84800000,3.83400000,3.83800000,6362.59000000,1667948819999,24449.82116000,182,2640.52000000,10145.82937000,0
29,1667948820000,3.83700000,3.83800000,3.82000000,3.82400000,5344.43000000,1667948879999,20449.05800000,141,1358.58000000,5197.01183000,0
30,1667948880000,3.82500000,3.82700000,3.81500000,3.82000000,4425.75000000,1667948939999,16908.66856000,94,992.63000000,3793.35238000,0
31,1667948940000,3.82000000,3.82000000,3.80600000,3.81900000,3329.03000000,1667948999999,12691.69981000,123,2059.69000000,7851.42809000,0
32,1667949000000,3.81900000,3.84200000,3.81900000,3.83800000,4219.73000000,1667949059999,16184.08132000,100,2050.25000000,7859.87603000,0
33,1667949060000,3.83900000,3.83900000,3.82300000,3.82400000,5737.81000000,1667949119999,21983.14496000,127,2424.21000000,9289.66285000,0
34,1667949120000,3.82600000,3.82900000,3.81400000,3.81400000,4523.57000000,1667949179999,17282.50823000,124,2330.92000000,8907.30105000,0
35,1667949180000,3.81600000,3.82000000,3.81300000,3.81700000,2928.16000000,1667949239999,11173.65482000,89,1476.60000000,5634.65695000,0
36,1667949240000,3.81900000,3.83500000,3.81600000,3.82500000,9336.69000000,1667949299999,35727.45975000,204,4356.87000000,16676.26251000,0
37,1667949300000,3.82700000,3.84100000,3.82000000,3.84000000,7265.35000000,1667949359999,27811.00266000,141,3713.58000000,14222.39285000,0
38,1667949360000,3.84000000,3.84700000,3.81000000,3.81600000,16406.51000000,1667949419999,62756.42088000,309,6185.15000000,23655.85728000,0
39,1667949420000,3.81600000,3.82500000,3.80900000,3.81600000,11351.65000000,1667949479999,43353.15025000,166,3514.91000000,13426.34084000,0
40,1667949480000,3.81700000,3.82100000,3.79500000,3.80500000,10025.11000000,1667949539999,38174.10004000,204,2520.98000000,9601.61516000,0
41,1667949540000,3.80400000,3.81900000,3.79400000,3.80700000,9144.91000000,1667949599999,34826.26017000,161,4118.18000000,15684.63071000,0
42,1667949600000,3.80800000,3.81500000,3.79300000,3.81100000,14007.26000000,1667949659999,53296.21853000,188,6625.13000000,25209.64834000,0
43,1667949660000,3.81100000,3.81800000,3.80100000,3.80900000,17428.11000000,1667949719999,66392.57737000,208,8807.43000000,33556.00666000,0
44,1667949720000,3.80800000,3.81500000,3.79600000,3.81400000,6305.54000000,1667949779999,24000.02572000,112,3222.55000000,12268.95145000,0
45,1667949780000,3.81600000,3.83300000,3.81400000,3.82300000,11147.90000000,1667949839999,42634.79165000,151,5290.21000000,20238.62635000,0
46,1667949840000,3.82200000,3.83800000,3.81300000,3.83200000,7973.88000000,1667949899999,30530.62096000,150,3807.68000000,14579.01501000,0
47,1667949900000,3.83200000,3.84100000,3.82500000,3.84100000,5710.77000000,1667949959999,21878.31372000,78,2992.35000000,11465.49251000,0
48,1667949960000,3.84100000,3.84100000,3.82000000,3.82300000,7788.78000000,1667950019999,29819.86172000,117,3001.26000000,11490.19227000,0
49,1667950020000,3.82100000,3.84400000,3.81500000,3.83600000,9599.71000000,1667950079999,36758.38345000,176,5638.95000000,21588.67515000,0
50,1667950080000,3.83800000,3.85600000,3.82900000,3.85300000,9985.25000000,1667950139999,38345.74050000,167,6787.91000000,26072.75610000,0
51,1667950140000,3.85300000,3.86900000,3.84300000,3.86000000,10484.02000000,1667950199999,40453.21676000,209,5155.61000000,19900.30632000,0
52,1667950200000,3.86300000,3.86800000,3.84200000,3.84300000,10032.36000000,1667950259999,38698.92422000,170,3527.63000000,13618.54333000,0
53,1667950260000,3.84600000,3.85200000,3.83800000,3.84800000,6947.81000000,1667950319999,26723.66981000,92,4888.19000000,18804.82225000,0
54,1667950320000,3.85000000,3.85900000,3.84400000,3.85700000,7209.95000000,1667950379999,27754.41261000,123,4411.88000000,16987.71962000,0
55,1667950380000,3.85700000,3.87100000,3.85400000,3.87000000,8618.77000000,1667950439999,33306.37529000,175,5384.48000000,20806.79468000,0
56,1667950440000,3.86900000,3.88000000,3.86000000,3.87900000,7685.65000000,1667950499999,29740.64305000,174,4044.27000000,15657.85413000,0
57,1667950500000,3.88000000,3.88800000,3.86600000,3.88600000,12671.53000000,1667950559999,49171.73016000,238,6428.00000000,24950.08466000,0
58,1667950560000,3.88500000,3.89200000,3.88100000,3.88800000,12130.68000000,1667950619999,47152.32211000,180,6729.65000000,26158.03208000,0
59,1667950620000,3.88700000,3.91700000,3.88700000,3.90800000,15585.87000000,1667950679999,60811.08326000,381,11107.77000000,43338.15919000,0
60,1667950680000,3.91000000,3.92000000,3.90600000,3.91500000,10927.91000000,1667950739999,42747.89003000,185,7511.99000000,29383.74577000,0
61,1667950740000,3.91600000,3.93700000,3.91200000,3.93300000,11457.52000000,1667950799999,44947.96595000,241,9003.21000000,35320.19848000,0
62,1667950800000,3.93200000,3.93600000,3.91200000,3.93300000,11742.36000000,1667950859999,46102.24191000,189,5648.86000000,22175.68541000,0
63,1667950860000,3.93300000,3.93600000,3.91900000,3.92800000,12887.25000000,1667950919999,50598.60774000,192,7256.83000000,28498.10538000,0
64,1667950920000,3.93100000,3.93200000,3.91100000,3.91400000,4863.46000000,1667950979999,19071.70102000,113,1440.38000000,5655.84588000,0
65,1667950980000,3.91700000,3.93500000,3.91700000,3.92500000,6865.54000000,1667951039999,26975.94141000,173,3109.93000000,12219.23158000,0
66,1667951040000,3.92500000,3.94800000,3.92100000,3.94600000,7316.48000000,1667951099999,28777.37510000,209,3884.10000000,15279.63114000,0
67,1667951100000,3.94300000,3.98100000,3.92900000,3.93700000,36670.61000000,1667951159999,145062.50513000,552,23897.07000000,94591.69190000,0
68,1667951160000,3.93400000,3.93400000,3.88800000,3.89900000,12098.13000000,1667951219999,47293.94257000,391,3954.46000000,15464.18069000,0
69,1667951220000,3.89600000,3.91400000,3.89000000,3.90500000,10328.36000000,1667951279999,40268.08189000,177,6179.01000000,24095.49556000,0
70,1667951280000,3.90200000,3.90200000,3.89200000,3.89500000,2501.72000000,1667951339999,9752.67467000,65,841.96000000,3282.00798000,0
71,1667951340000,3.89500000,3.90200000,3.88900000,3.89700000,4047.68000000,1667951399999,15768.66483000,83,1997.37000000,7782.55122000,0
72,1667951400000,3.89700000,3.90000000,3.88500000,3.88600000,2448.23000000,1667951459999,9527.91303000,73,958.47000000,3731.14534000,0
73,1667951460000,3.88700000,3.90900000,3.88300000,3.90900000,3899.59000000,1667951519999,15189.96010000,75,1773.80000000,6912.40004000,0
74,1667951520000,3.90700000,3.90900000,3.89700000,3.90100000,2166.26000000,1667951579999,8449.81673000,54,1077.54000000,4202.92735000,0
75,1667951580000,3.89900000,3.90100000,3.88700000,3.88800000,4871.36000000,1667951639999,18970.28263000,116,3107.89000000,12103.56382000,0
76,1667951640000,3.88900000,3.89800000,3.88500000,3.88600000,9927.87000000,1667951699999,38639.55176000,142,6051.10000000,23560.76846000,0
77,1667951700000,3.88600000,3.89600000,3.88100000,3.89600000,5981.92000000,1667951759999,23273.15365000,125,4317.90000000,16804.55416000,0
78,1667951760000,3.89400000,3.91100000,3.89000000,3.90500000,3159.28000000,1667951819999,12324.40335000,81,1698.99000000,6629.80317000,0
79,1667951820000,3.90800000,3.91800000,3.90500000,3.91500000,2063.93000000,1667951879999,8073.88322000,59,779.00000000,3047.37841000,0
80,1667951880000,3.91600000,3.91600000,3.90000000,3.90100000,1553.59000000,1667951939999,6067.50042000,59,186.35000000,728.55000000,0
81,1667951940000,3.90000000,3.92200000,3.89900000,3.91600000,3286.61000000,1667951999999,12861.13306000,83,1708.06000000,6683.52031000,0
82,1667952000000,3.91600000,3.91800000,3.90000000,3.91600000,12055.11000000,1667952059999,47108.51478000,298,4583.18000000,17912.31839000,0
83,1667952060000,3.91400000,3.91500000,3.88800000,3.88800000,5485.31000000,1667952119999,21381.24956000,164,1349.20000000,5264.63586000,0
84,1667952120000,3.89000000,3.89000000,3.85600000,3.86400000,10613.52000000,1667952179999,41120.17766000,286,4429.06000000,17163.38191000,0
85,1667952180000,3.86600000,3.86600000,3.84900000,3.86300000,9137.95000000,1667952239999,35261.23748000,221,3800.11000000,14663.63570000,0
86,1667952240000,3.86600000,3.86900000,3.85200000,3.85600000,4068.52000000,1667952299999,15711.08527000,93,2018.14000000,7798.75091000,0
87,1667952300000,3.85600000,3.87900000,3.85600000,3.87600000,4474.44000000,1667952359999,17320.43059000,108,3173.32000000,12280.93583000,0
88,1667952360000,3.87400000,3.87800000,3.85000000,3.86100000,10053.20000000,1667952419999,38810.09200000,210,3985.97000000,15384.18705000,0
89,1667952420000,3.86100000,3.86300000,3.84700000,3.84700000,4993.88000000,1667952479999,19248.48336000,124,1341.73000000,5172.95929000,0
90,1667952480000,3.85100000,3.85600000,3.83200000,3.83400000,4733.89000000,1667952539999,18197.52341000,179,1500.72000000,5774.74155000,0
91,1667952540000,3.83800000,3.85100000,3.83800000,3.84700000,4954.65000000,1667952599999,19053.92959000,117,2687.41000000,10334.05021000,0
92,1667952600000,3.84900000,3.86100000,3.84900000,3.85600000,3084.57000000,1667952659999,11891.35689000,90,1837.92000000,7085.67060000,0
93,1667952660000,3.85800000,3.86700000,3.85700000,3.86200000,3686.68000000,1667952719999,14242.64390000,90,1589.41000000,6139.20660000,0
94,1667952720000,3.86100000,3.86700000,3.84700000,3.84700000,14338.61000000,1667952779999,55302.69072000,149,1594.39000000,6155.50668000,0
95,1667952780000,3.84800000,3.84900000,3.80700000,3.80700000,20097.35000000,1667952839999,76851.87353000,400,6963.57000000,26623.83407000,0
96,1667952840000,3.81000000,3.84200000,3.80700000,3.83700000,17105.83000000,1667952899999,65450.62569000,293,6540.99000000,25031.73058000,0
97,1667952900000,3.83700000,3.85200000,3.83500000,3.85200000,6084.55000000,1667952959999,23400.58906000,114,1948.66000000,7495.03478000,0
98,1667952960000,3.85300000,3.88600000,3.85300000,3.87900000,14090.82000000,1667953019999,54637.07324000,270,6425.80000000,24900.28668000,0
99,1667953020000,3.88400000,3.89100000,3.86600000,3.89100000,13370.84000000,1667953079999,51886.62431000,264,5820.12000000,22588.95601000,0
100,1667953080000,3.89000000,3.89800000,3.88600000,3.89600000,8100.97000000,1667953139999,31515.50637000,179,3692.65000000,14367.80291000,0
101,1667953140000,3.89800000,3.89900000,3.87500000,3.88600000,11548.39000000,1667953199999,44857.86217000,190,3883.72000000,15074.10192000,0
102,1667953200000,3.88600000,3.89000000,3.87700000,3.89000000,4383.34000000,1667953259999,17025.75686000,104,824.62000000,3203.96439000,0
103,1667953260000,3.89100000,3.89400000,3.87800000,3.88800000,5441.36000000,1667953319999,21145.91427000,117,3143.99000000,12215.27631000,0
104,1667953320000,3.88900000,3.89800000,3.88900000,3.89000000,3242.99000000,1667953379999,12626.57923000,88,991.97000000,3861.16190000,0
105,1667953380000,3.88900000,3.90000000,3.88900000,3.90000000,1459.43000000,1667953439999,5688.05359000,33,966.91000000,3768.59520000,0
106,1667953440000,3.90000000,3.90900000,3.89500000,3.89500000,4347.07000000,1667953499999,16960.16553000,133,1794.30000000,6999.57437000,0
107,1667953500000,3.89600000,3.89600000,3.88300000,3.89500000,7617.99000000,1667953559999,29629.82506000,198,4521.16000000,17584.15535000,0
108,1667953560000,3.89400000,3.89900000,3.87600000,3.89300000,16943.77000000,1667953619999,65795.43518000,242,9862.68000000,38284.93162000,0
109,1667953620000,3.89300000,3.89900000,3.88100000,3.88500000,4265.89000000,1667953679999,16603.21412000,97,949.72000000,3695.76206000,0
110,1667953680000,3.88400000,3.88800000,3.87100000,3.88300000,6710.33000000,1667953739999,26041.60230000,146,2276.64000000,8834.84417000,0
111,1667953740000,3.88300000,3.88900000,3.87000000,3.88900000,6604.79000000,1667953799999,25621.22175000,151,3602.81000000,13975.93545000,0
112,1667953800000,3.89000000,3.90200000,3.88700000,3.90200000,6125.23000000,1667953859999,23838.43150000,80,4511.57000000,17557.59821000,0
113,1667953860000,3.90400000,3.92500000,3.90300000,3.92000000,6250.78000000,1667953919999,24455.23858000,163,2557.69000000,10003.92753000,0
114,1667953920000,3.92100000,3.92400000,3.91400000,3.92100000,5844.41000000,1667953979999,22904.46136000,105,2209.15000000,8659.27715000,0
115,1667953980000,3.92400000,3.93400000,3.90200000,3.90500000,8089.51000000,1667954039999,31694.99819000,232,2752.54000000,10782.46752000,0
116,1667954040000,3.90600000,3.91200000,3.89600000,3.89800000,10868.99000000,1667954099999,42451.37857000,223,3483.02000000,13605.28809000,0
117,1667954100000,3.89600000,3.89800000,3.88300000,3.89000000,5538.05000000,1667954159999,21551.23488000,190,2373.48000000,9238.09481000,0
