,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,5.24890000,5.25240000,5.23950000,5.24220000,4681.74000000,1667947199999,24566.33346400,30,312.34000000,1640.02759300,0
1,1667947200000,5.23850000,5.24330000,5.23820000,5.23820000,1422.45000000,1667947259999,7453.17113500,12,74.52000000,390.62547900,0
2,1667947260000,5.23810000,5.24050000,5.23710000,5.23710000,912.36000000,1667947319999,4779.08686300,21,200.02000000,1048.09471400,0
3,1667947320000,5.24020000,5.24400000,5.23540000,5.24130000,2396.03000000,1667947379999,12553.69409000,37,874.23000000,4581.91028300,0
4,1667947380000,5.24040000,5.24170000,5.23970000,5.24050000,6455.96000000,1667947439999,33833.98619000,41,4575.51000000,23979.26405900,0
5,1667947440000,5.23910000,5.24060000,5.22080000,5.22780000,7019.67000000,1667947499999,36718.39277600,72,736.25000000,3852.13592700,0
6,1667947500000,5.22570000,5.22570000,5.21100000,5.21740000,10312.83000000,1667947559999,53842.25904600,74,7580.03000000,39577.03657000,0
7,1667947560000,5.22020000,5.23340000,5.22020000,5.23340000,1811.87000000,1667947619999,9461.10166200,21,1811.87000000,9461.10166200,0
8,1667947620000,5.23440000,5.24440000,5.22860000,5.24440000,4769.72000000,1667947679999,24988.29584400,64,2497.29000000,13086.68186900,0
9,1667947680000,5.24440000,5.25080000,5.23810000,5.24220000,5527.44000000,1667947739999,29003.06607700,57,3001.53000000,15752.76644000,0
10,1667947740000,5.24270000,5.24270000,5.19000000,5.19560000,6706.27000000,1667947799999,34983.32019600,102,1724.09000000,9000.56720900,0
11,1667947800000,5.19540000,5.20800000,5.19330000,5.19510000,2582.43000000,1667947859999,13418.51876300,51,322.57000000,1676.25298200,0
12,1667947860000,5.19670000,5.22640000,5.19670000,5.22270000,4287.77000000,1667947919999,22326.14009100,44,2131.48000000,11091.21718900,0
