,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.03092000,0.03102000,0.03092000,0.03102000,8300.10000000,1667946779999,256.77627000,3,649.40000000,20.14438800,0
1,1667946780000,0.03096000,0.03096000,0.03096000,0.03096000,3175.00000000,1667946839999,98.29800000,1,0.00000000,0.00000000,0
2,1667946840000,0.03098000,0.03098000,0.03089000,0.03089000,17505.10000000,1667946899999,541.16710600,9,2477.60000000,76.63216800,0
3,1667946900000,0.03087000,0.03090000,0.03082000,0.03086000,34915.10000000,1667946959999,1077.53705600,9,2506.90000000,77.44707400,0
4,1667946960000,0.03092000,0.03098000,0.03092000,0.03098000,13903.90000000,1667947019999,430.53787000,6,13903.90000000,430.53787000,0
5,1667947020000,0.03100000,0.03100000,0.03087000,0.03091000,25731.40000000,1667947079999,796.61681500,11,2668.30000000,82.47340600,0
6,1667947080000,0.03088000,0.03089000,0.03082000,0.03089000,4361.80000000,1667947139999,134.54638600,6,525.00000000,16.21725000,0
7,1667947140000,0.03084000,0.03084000,0.03079000,0.03079000,80059.30000000,1667947199999,2465.53124000,16,6974.00000000,214.94264100,0
8,1667947200000,0.03076000,0.03076000,0.03073000,0.03076000,13552.40000000,1667947259999,416.79072700,4,7913.80000000,243.41902200,0
9,1667947260000,0.03085000,0.03086000,0.03085000,0.03085000,18303.00000000,1667947319999,564.77716700,4,3649.80000000,112.59633000,0
10,1667947320000,0.03089000,0.03091000,0.03088000,0.03089000,26443.90000000,1667947379999,816.93263000,5,10117.10000000,312.71222500,0
11,1667947380000,0.03095000,0.03096000,0.03095000,0.03096000,17371.80000000,1667947439999,537.80373100,2,0.00000000,0.00000000,0
12,1667947440000,0.03095000,0.03095000,0.03090000,0.03091000,24252.80000000,1667947499999,750.18269500,5,641.00000000,19.81331000,0
13,1667947500000,0.03090000,0.03090000,0.03079000,0.03079000,10714.30000000,1667947559999,330.31372500,5,423.60000000,13.08924000,0
14,1667947560000,0.03092000,0.03092000,0.03092000,0.03092000,738.20000000,1667947619999,22.82514400,2,738.20000000,22.82514400,0
15,1667947620000,0.03090000,0.03090000,0.03090000,0.03090000,995.50000000,1667947679999,30.76095000,1,995.50000000,30.76095000,0
16,1667947680000,0.03099000,0.03099000,0.03095000,0.03095000,4073.70000000,1667947739999,126.17762700,4,2092.60000000,64.84967400,0
17,1667947740000,0.03083000,0.03083000,0.03068000,0.03069000,33257.70000000,1667947799999,1023.09257300,7,20983.20000000,644.99514800,0
18,1667947800000,0.03070000,0.03070000,0.03069000,0.03069000,1774.30000000,1667947859999,54.45997700,3,1375.70000000,42.22694300,0
19,1667947860000,0.03075000,0.03085000,0.03075000,0.03085000,24390.40000000,1667947919999,750.51517200,7,23371.10000000,719.12095800,0
20,1667947920000,0.03082000,0.03083000,0.03078000,0.03083000,55326.80000000,1667947979999,1705.03026200,7,19063.00000000,587.71229000,0
21,1667947980000,0.03088000,0.03097000,0.03088000,0.03097000,125217.30000000,1667948039999,3872.71751000,15,64571.30000000,1995.17765000,0
