,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,11.52000000,11.56000000,11.52000000,11.56000000,264.46000000,1667947019999,3051.28470000,14,202.29000000,2334.99950000,0
1,1667947020000,11.57000000,11.58000000,11.45000000,11.48000000,4338.08000000,1667947079999,49779.46190000,108,220.55000000,2534.00290000,0
2,1667947080000,11.47000000,11.48000000,11.47000000,11.47000000,112.77000000,1667947139999,1294.08960000,9,6.80000000,78.06400000,0
3,1667947140000,11.47000000,11.49000000,11.47000000,11.47000000,85.73000000,1667947199999,984.10350000,7,6.09000000,69.97410000,0
4,1667947200000,11.47000000,11.48000000,11.44000000,11.48000000,458.59000000,1667947259999,5256.40460000,38,160.78000000,1843.25500000,0
5,1667947260000,11.47000000,11.49000000,11.46000000,11.47000000,121.07000000,1667947319999,1388.53250000,10,45.46000000,521.59750000,0
6,1667947320000,11.46000000,11.50000000,11.44000000,11.47000000,5032.37000000,1667947379999,57698.67060000,76,126.85000000,1456.30960000,0
7,1667947380000,11.48000000,11.51000000,11.48000000,11.51000000,433.63000000,1667947439999,4984.63640000,26,433.63000000,4984.63640000,0
8,1667947440000,11.48000000,11.48000000,11.44000000,11.44000000,188.19000000,1667947499999,2157.12270000,16,67.29000000,771.21120000,0
9,1667947500000,11.45000000,11.47000000,11.43000000,11.46000000,175.68000000,1667947559999,2010.42430000,12,21.66000000,248.14310000,0
10,1667947560000,11.49000000,11.52000000,11.49000000,11.52000000,342.59000000,1667947619999,3941.43100000,18,271.52000000,3124.21430000,0
11,1667947620000,11.53000000,11.54000000,11.52000000,11.54000000,82.90000000,1667947679999,955.48800000,8,47.07000000,542.72640000,0
12,1667947680000,11.54000000,11.54000000,11.51000000,11.52000000,299.17000000,1667947739999,3449.85670000,17,239.73000000,2765.43100000,0
13,1667947740000,11.50000000,11.50000000,11.42000000,11.43000000,726.22000000,1667947799999,8328.05630000,43,337.34000000,3869.01340000,0
14,1667947800000,11.42000000,11.42000000,11.40000000,11.42000000,313.87000000,1667947859999,3579.97080000,15,0.00000000,0.00000000,0
15,1667947860000,11.42000000,11.51000000,11.42000000,11.51000000,360.28000000,1667947919999,4134.20320000,25,346.99000000,3982.23140000,0
16,1667947920000,11.48000000,11.51000000,11.46000000,11.51000000,350.47000000,1667947979999,4023.99890000,11,203.79000000,2341.57930000,0
17,1667947980000,11.50000000,11.56000000,11.50000000,11.56000000,245.81000000,1667948039999,2837.74260000,19,122.05000000,1409.19590000,0
18,1667948040000,11.57000000,11.59000000,11.52000000,11.55000000,160.43000000,1667948099999,1855.27220000,15,106.00000000,1226.51180000,0
19,1667948100000,11.55000000,11.59000000,11.54000000,11.59000000,216.73000000,1667948159999,2505.18590000,12,81.24000000,940.29250000,0
20,1667948160000,11.60000000,11.61000000,11.54000000,11.56000000,560.07000000,1667948219999,6487.06510000,31,334.02000000,3873.93320000,0
21,1667948220000,11.57000000,11.57000000,11.53000000,11.54000000,82.28000000,1667948279999,949.69460000,11,57.43000000,662.82250000,0
22,1667948280000,11.53000000,11.54000000,11.50000000,11.50000000,136.41000000,1667948339999,1571.62900000,9,102.76000000,1184.19640000,0
23,1667948340000,11.51000000,11.52000000,11.51000000,11.52000000,18.46000000,1667948399999,212.62370000,4,16.97000000,195.45890000,0
24,1667948400000,11.50000000,11.50000000,11.46000000,11.49000000,245.07000000,1667948459999,2812.11400000,19,13.51000000,155.35500000,0
25,1667948460000,11.49000000,11.49000000,11.43000000,11.44000000,153.45000000,1667948519999,1759.25170000,18,81.18000000,931.07110000,0
26,1667948520000,11.43000000,11.48000000,11.42000000,11.48000000,804.84000000,1667948579999,9221.29950000,25,680.15000000,7794.18360000,0
27,1667948580000,11.50000000,11.54000000,11.50000000,11.54000000,145.31000000,1667948639999,1673.47590000,12,145.31000000,1673.47590000,0
28,1667948640000,11.55000000,11.60000000,11.55000000,11.60000000,385.48000000,1667948699999,4463.84290000,23,179.54000000,2080.08260000,0
29,1667948700000,11.60000000,11.64000000,11.58000000,11.58000000,675.27000000,1667948759999,7839.44890000,32,512.38000000,5951.96430000,0
30,1667948760000,11.63000000,11.65000000,11.62000000,11.64000000,173.66000000,1667948819999,2020.76430000,14,109.85000000,1278.66310000,0
31,1667948820000,11.62000000,11.62000000,11.57000000,11.62000000,821.20000000,1667948879999,9513.74230000,20,463.83000000,5374.07130000,0
32,1667948880000,11.62000000,11.62000000,11.55000000,11.57000000,387.31000000,1667948939999,4478.38200000,25,34.64000000,401.31300000,0
33,1667948940000,11.54000000,11.57000000,11.53000000,11.57000000,779.88000000,1667948999999,8996.22440000,17,146.53000000,1692.41510000,0
34,1667949000000,11.57000000,11.64000000,11.57000000,11.63000000,120.75000000,1667949059999,1403.13700000,12,73.31000000,852.01250000,0
35,1667949060000,11.63000000,11.64000000,11.60000000,11.60000000,143.51000000,1667949119999,1666.39590000,6,74.00000000,859.38480000,0
36,1667949120000,11.60000000,11.60000000,11.57000000,11.57000000,38.29000000,1667949179999,443.87470000,11,24.80000000,287.68000000,0
37,1667949180000,11.56000000,11.59000000,11.56000000,11.59000000,59.57000000,1667949239999,689.79740000,3,57.64000000,667.48660000,0
38,1667949240000,11.60000000,11.64000000,11.60000000,11.64000000,391.75000000,1667949299999,4546.07540000,20,362.70000000,4207.99490000,0
39,1667949300000,11.64000000,11.67000000,11.62000000,11.67000000,709.04000000,1667949359999,8247.90130000,36,616.63000000,7172.61180000,0
