,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,12.10900000,12.14000000,12.09300000,12.11200000,1469.03000000,1667946779999,17792.37320000,129,898.93000000,10887.23950000,0
1,1667946780000,12.10100000,12.11000000,12.09300000,12.09800000,1543.85000000,1667946839999,18682.66732000,66,1169.34000000,14151.91613000,0
2,1667946840000,12.10500000,12.10700000,12.08500000,12.09300000,1386.95000000,1667946899999,16777.82979000,91,463.50000000,5609.11646000,0
3,1667946900000,12.08500000,12.10400000,12.07100000,12.07900000,3758.18000000,1667946959999,45423.67958000,147,1599.84000000,19340.16140000,0
4,1667946960000,12.07100000,12.10300000,12.07000000,12.10200000,708.04000000,1667947019999,8557.39083000,49,341.46000000,4127.82185000,0
5,1667947020000,12.10200000,12.10200000,12.02500000,12.04900000,7464.41000000,1667947079999,89996.48401000,281,2193.59000000,26459.02373000,0
6,1667947080000,12.04400000,12.06000000,12.03500000,12.04400000,2382.94000000,1667947139999,28719.03997000,109,1377.66000000,16604.93925000,0
7,1667947140000,12.04400000,12.06600000,12.02800000,12.04100000,4338.92000000,1667947199999,52268.34323000,181,2571.62000000,30985.88379000,0
8,1667947200000,12.04100000,12.05200000,12.03100000,12.03600000,5183.16000000,1667947259999,62413.35681000,107,4357.54000000,52473.92349000,0
9,1667947260000,12.03700000,12.04200000,12.02800000,12.02800000,2652.76000000,1667947319999,31931.75716000,85,1131.77000000,13626.26329000,0
10,1667947320000,12.02900000,12.04200000,12.02700000,12.03400000,2110.56000000,1667947379999,25400.68351000,68,809.26000000,9740.43616000,0
11,1667947380000,12.03800000,12.04200000,12.02800000,12.03300000,2765.83000000,1667947439999,33283.48657000,55,567.08000000,6824.11350000,0
12,1667947440000,12.02900000,12.03300000,12.00400000,12.00600000,5029.99000000,1667947499999,60424.72393000,123,3188.31000000,38299.36981000,0
13,1667947500000,12.00300000,12.00700000,11.99900000,12.00300000,5786.10000000,1667947559999,69448.14596000,171,3038.53000000,36475.63312000,0
14,1667947560000,12.00200000,12.01800000,12.00000000,12.01500000,4138.75000000,1667947619999,49682.31265000,104,3685.67000000,44241.80299000,0
15,1667947620000,12.01100000,12.03300000,12.01100000,12.01900000,9166.04000000,1667947679999,110151.91527000,146,8419.38000000,101174.32065000,0
16,1667947680000,12.02000000,12.02000000,12.00500000,12.01000000,2597.94000000,1667947739999,31221.00171000,90,2069.25000000,24868.22931000,0
17,1667947740000,12.00400000,12.00700000,11.93300000,11.94300000,8678.13000000,1667947799999,103822.09543000,473,3912.66000000,46789.13297000,0
18,1667947800000,11.94300000,11.95000000,11.89100000,11.91500000,11145.49000000,1667947859999,132816.39387000,387,6559.59000000,78174.61902000,0
19,1667947860000,11.90400000,11.93300000,11.90000000,11.93100000,4984.52000000,1667947919999,59421.47664000,196,3147.37000000,37526.87281000,0
20,1667947920000,11.93300000,11.93300000,11.90600000,11.92100000,4825.30000000,1667947979999,57531.16275000,87,2261.90000000,26982.59384000,0
21,1667947980000,11.92300000,11.94400000,11.92100000,11.92700000,11180.52000000,1667948039999,133351.07597000,267,7865.82000000,93808.82114000,0
22,1667948040000,11.93100000,11.94000000,11.92400000,11.93500000,8143.24000000,1667948099999,97166.84169000,214,6593.59000000,78674.39648000,0
23,1667948100000,11.93500000,11.94700000,11.92700000,11.94700000,4315.39000000,1667948159999,51514.82687000,131,3227.72000000,38535.06836000,0
24,1667948160000,11.94300000,11.94700000,11.91900000,11.91900000,3808.64000000,1667948219999,45467.68775000,117,1496.43000000,17869.21607000,0
25,1667948220000,11.91600000,11.92200000,11.90600000,11.91600000,2957.71000000,1667948279999,35238.96266000,91,1537.09000000,18313.32239000,0
26,1667948280000,11.91800000,11.92000000,11.87100000,11.88200000,6279.86000000,1667948339999,74766.24561000,195,1378.30000000,16401.47060000,0
27,1667948340000,11.87800000,11.91100000,11.87100000,11.88300000,5836.38000000,1667948399999,69376.08381000,215,1925.65000000,22893.28384000,0
28,1667948400000,11.88100000,11.89000000,11.87000000,11.88300000,2907.99000000,1667948459999,34549.60769000,127,1002.47000000,11911.85114000,0
29,1667948460000,11.88300000,11.88300000,11.83300000,11.84800000,4939.13000000,1667948519999,58530.16463000,222,2126.14000000,25200.40973000,0
30,1667948520000,11.84800000,11.91000000,11.83100000,11.89600000,4604.30000000,1667948579999,54617.77238000,226,2061.09000000,24453.01717000,0
31,1667948580000,11.90900000,11.93900000,11.90100000,11.91300000,4686.98000000,1667948639999,55875.89926000,168,2773.24000000,33060.67379000,0
32,1667948640000,11.92000000,11.94000000,11.92000000,11.94000000,2027.43000000,1667948699999,24197.88487000,86,553.14000000,6602.86668000,0
33,1667948700000,11.94000000,11.98600000,11.93800000,11.98600000,6699.72000000,1667948759999,80137.10723000,253,3918.90000000,46866.46524000,0
34,1667948760000,11.98400000,12.04000000,11.97900000,12.00300000,7386.43000000,1667948819999,88673.69070000,258,4320.88000000,51890.17353000,0
35,1667948820000,12.00400000,12.00400000,11.96400000,11.98000000,1913.76000000,1667948879999,22927.83104000,114,1186.72000000,14216.48829000,0
36,1667948880000,11.98500000,11.98600000,11.96600000,11.98400000,1424.24000000,1667948939999,17058.40008000,48,740.08000000,8863.52706000,0
37,1667948940000,11.98300000,12.00300000,11.95600000,12.00100000,3208.83000000,1667948999999,38419.37887000,131,1932.76000000,23148.07335000,0
