,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,0.64800000,0.64800000,0.64800000,0.64800000,13127.00000000,1667946839999,8506.29600000,29,0.00000000,0.00000000,0
1,1667946840000,0.64800000,0.64800000,0.64800000,0.64800000,13613.00000000,1667946899999,8821.22400000,32,0.00000000,0.00000000,0
2,1667946900000,0.64800000,0.64820000,0.64800000,0.64820000,5793.00000000,1667946959999,3754.05660000,21,992.00000000,643.00860000,0
3,1667946960000,0.64800000,0.64800000,0.64800000,0.64800000,7618.00000000,1667947019999,4936.46400000,16,0.00000000,0.00000000,0
4,1667947020000,0.64800000,0.64830000,0.64800000,0.64800000,16839.00000000,1667947079999,10912.63870000,36,4358.00000000,2824.95070000,0
5,1667947080000,0.64800000,0.64820000,0.64780000,0.64780000,45367.00000000,1667947139999,29397.42720000,24,5351.00000000,3468.51820000,0
6,1667947140000,0.64780000,0.64820000,0.64780000,0.64780000,44667.00000000,1667947199999,28937.67450000,22,17526.00000000,11355.67380000,0
7,1667947200000,0.64780000,0.64790000,0.64780000,0.64780000,2347.00000000,1667947259999,1520.47500000,7,884.00000000,572.74360000,0
8,1667947260000,0.64780000,0.64810000,0.64780000,0.64780000,13186.00000000,1667947319999,8541.91480000,11,80.00000000,51.84800000,0
9,1667947320000,0.64800000,0.64800000,0.64800000,0.64800000,12579.00000000,1667947379999,8151.19200000,16,0.00000000,0.00000000,0
10,1667947380000,0.64810000,0.64810000,0.64800000,0.64800000,1991.00000000,1667947439999,1290.17300000,7,50.00000000,32.40500000,0
11,1667947440000,0.64800000,0.64800000,0.64780000,0.64780000,4141.00000000,1667947499999,2683.36340000,8,0.00000000,0.00000000,0
12,1667947500000,0.64780000,0.64780000,0.64780000,0.64780000,6477.00000000,1667947559999,4195.80060000,5,0.00000000,0.00000000,0
13,1667947560000,0.64810000,0.64830000,0.64810000,0.64810000,8999.00000000,1667947619999,5833.53020000,7,7021.00000000,4551.58840000,0
14,1667947620000,0.64810000,0.64820000,0.64810000,0.64810000,6000.00000000,1667947679999,3888.64990000,13,499.00000000,323.45180000,0
15,1667947680000,0.64810000,0.64830000,0.64800000,0.64800000,4369.00000000,1667947739999,2831.92600000,13,2310.00000000,1497.52300000,0
16,1667947740000,0.64800000,0.64800000,0.64790000,0.64790000,13781.00000000,1667947799999,8929.75940000,20,0.00000000,0.00000000,0
17,1667947800000,0.64790000,0.64790000,0.64780000,0.64780000,7980.00000000,1667947859999,5169.63990000,10,0.00000000,0.00000000,0
18,1667947860000,0.64820000,0.64820000,0.64780000,0.64810000,5139.00000000,1667947919999,3330.06170000,12,1579.00000000,1023.50780000,0
19,1667947920000,0.64810000,0.64810000,0.64780000,0.64780000,9645.00000000,1667947979999,6249.89630000,20,0.00000000,0.00000000,0
20,1667947980000,0.64780000,0.64800000,0.64780000,0.64800000,42826.00000000,1667948039999,27751.01600000,7,40666.00000000,26351.56800000,0
21,1667948040000,0.64800000,0.64800000,0.64790000,0.64790000,1250.00000000,1667948099999,809.87900000,6,40.00000000,25.92000000,0
22,1667948100000,0.64790000,0.64790000,0.64780000,0.64790000,56631.00000000,1667948159999,36686.47470000,14,0.00000000,0.00000000,0
23,1667948160000,0.64790000,0.64790000,0.64790000,0.64790000,17301.00000000,1667948219999,11209.31790000,20,0.00000000,0.00000000,0
