,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,188.20000000,188.50000000,188.00000000,188.50000000,3.54900000,1667947019999,667.68040000,8,1.00600000,189.39640000,0
1,1667947020000,188.50000000,188.70000000,187.00000000,187.20000000,15.71900000,1667947079999,2947.20070000,15,2.66100000,499.81040000,0
2,1667947080000,187.70000000,187.70000000,187.70000000,187.70000000,4.72100000,1667947139999,886.13170000,5,4.72100000,886.13170000,0
3,1667947140000,187.90000000,187.90000000,187.70000000,187.70000000,1.79800000,1667947199999,337.53780000,3,0.26600000,49.98140000,0
4,1667947200000,187.60000000,188.00000000,187.60000000,188.00000000,2.30000000,1667947259999,431.52770000,6,2.30000000,431.52770000,0
5,1667947260000,188.00000000,188.00000000,188.00000000,188.00000000,3.26700000,1667947319999,614.19600000,3,3.26700000,614.19600000,0
6,1667947320000,188.10000000,188.20000000,188.10000000,188.20000000,1.28600000,1667947379999,241.95510000,3,1.28600000,241.95510000,0
7,1667947380000,188.60000000,188.90000000,188.60000000,188.90000000,0.23000000,1667947439999,43.39840000,3,0.16200000,30.55320000,0
8,1667947440000,188.70000000,189.20000000,188.50000000,188.50000000,1.76000000,1667947499999,332.06400000,9,0.53100000,100.39750000,0
9,1667947500000,188.20000000,188.20000000,188.00000000,188.00000000,1.26300000,1667947559999,237.64660000,3,0.00000000,0.00000000,0
10,1667947560000,188.10000000,188.10000000,188.10000000,188.10000000,1.36800000,1667947619999,257.32080000,4,1.36800000,257.32080000,0
11,1667947620000,188.10000000,188.10000000,188.10000000,188.10000000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
12,1667947680000,189.10000000,189.10000000,188.60000000,188.60000000,4.02200000,1667947739999,759.56020000,3,2.02200000,382.36020000,0
13,1667947740000,188.00000000,188.10000000,186.70000000,186.80000000,12.70800000,1667947799999,2387.90410000,23,0.57100000,106.69080000,0
14,1667947800000,186.80000000,186.80000000,186.10000000,186.50000000,0.94500000,1667947859999,176.46170000,3,0.89000000,166.22620000,0
15,1667947860000,186.10000000,186.60000000,186.00000000,186.60000000,6.25400000,1667947919999,1166.66790000,7,6.03500000,1125.92520000,0
16,1667947920000,186.20000000,186.20000000,185.90000000,185.90000000,5.68800000,1667947979999,1058.19580000,10,0.00000000,0.00000000,0
17,1667947980000,186.10000000,186.20000000,186.10000000,186.20000000,6.14600000,1667948039999,1144.28110000,7,6.14600000,1144.28110000,0
18,1667948040000,186.60000000,188.40000000,186.60000000,188.00000000,4.13000000,1667948099999,773.91710000,11,2.11800000,396.02130000,0
19,1667948100000,188.00000000,188.00000000,188.00000000,188.00000000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
20,1667948160000,188.00000000,188.00000000,188.00000000,188.00000000,0.61700000,1667948219999,115.99600000,1,0.00000000,0.00000000,0
21,1667948220000,187.80000000,187.80000000,187.60000000,187.60000000,1.22600000,1667948279999,230.13780000,3,0.00000000,0.00000000,0
22,1667948280000,187.60000000,187.60000000,187.60000000,187.60000000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
23,1667948340000,187.40000000,187.40000000,187.20000000,187.20000000,2.44400000,1667948399999,457.79530000,5,0.00000000,0.00000000,0
24,1667948400000,187.20000000,187.30000000,187.20000000,187.30000000,3.51100000,1667948459999,657.32930000,7,2.70100000,505.69730000,0
25,1667948460000,187.10000000,187.10000000,184.40000000,186.00000000,7.13900000,1667948519999,1325.45030000,14,0.87200000,163.05650000,0
26,1667948520000,186.70000000,187.40000000,186.70000000,187.40000000,8.54800000,1667948579999,1598.45030000,11,7.26300000,1358.02680000,0
27,1667948580000,187.50000000,187.50000000,187.40000000,187.40000000,0.18700000,1667948639999,35.05490000,3,0.11100000,20.81250000,0
28,1667948640000,187.40000000,187.40000000,187.40000000,187.40000000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
29,1667948700000,188.30000000,188.90000000,188.10000000,188.10000000,2.84600000,1667948759999,535.84390000,7,0.16600000,31.27940000,0
30,1667948760000,189.00000000,189.00000000,189.00000000,189.00000000,0.35100000,1667948819999,66.33900000,1,0.35100000,66.33900000,0
31,1667948820000,188.20000000,188.20000000,188.20000000,188.20000000,0.08300000,1667948879999,15.62060000,1,0.00000000,0.00000000,0
32,1667948880000,188.20000000,188.20000000,188.00000000,188.20000000,1.21900000,1667948939999,229.34350000,6,0.15700000,29.54740000,0
33,1667948940000,188.20000000,188.20000000,188.20000000,188.20000000,0.11300000,1667948999999,21.26660000,1,0.11300000,21.26660000,0
34,1667949000000,188.20000000,188.30000000,188.20000000,188.30000000,0.19400000,1667949059999,36.52240000,2,0.00000000,0.00000000,0
35,1667949060000,188.30000000,188.30000000,188.30000000,188.30000000,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
36,1667949120000,188.30000000,188.70000000,188.30000000,188.70000000,1.99100000,1667949179999,375.30690000,2,1.00400000,189.45480000,0
37,1667949180000,188.60000000,188.60000000,188.30000000,188.30000000,4.23000000,1667949239999,796.58540000,4,0.07800000,14.71080000,0
38,1667949240000,188.60000000,188.90000000,188.30000000,188.90000000,1.04600000,1667949299999,197.34740000,6,0.37700000,71.16310000,0
39,1667949300000,188.90000000,190.10000000,188.30000000,188.30000000,28.61600000,1667949359999,5428.67710000,21,1.55600000,294.59540000,0
40,1667949360000,188.80000000,188.80000000,188.80000000,188.80000000,0.23200000,1667949419999,43.80160000,1,0.00000000,0.00000000,0
