,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,0.00085660,0.00085660,0.00085510,0.00085510,13.07000000,1667946899999,0.01118180,5,12.49000000,0.01068498,0
1,1667946900000,0.00085510,0.00085510,0.00085290,0.00085290,9.74000000,1667946959999,0.00832356,7,6.54000000,0.00559235,0
2,1667946960000,0.00085240,0.00085400,0.00085200,0.00085390,105.57000000,1667947019999,0.09005728,18,31.26000000,0.02665619,0
3,1667947020000,0.00085450,0.00085490,0.00085280,0.00085280,84.07000000,1667947079999,0.07180757,10,18.97000000,0.01621709,0
4,1667947080000,0.00085350,0.00085350,0.00085110,0.00085110,45.95000000,1667947139999,0.03914232,15,8.39000000,0.00715132,0
5,1667947140000,0.00085170,0.00085240,0.00085130,0.00085220,379.82000000,1667947199999,0.32353743,34,347.05000000,0.29562005,0
6,1667947200000,0.00085240,0.00085350,0.00085210,0.00085350,232.10000000,1667947259999,0.19787361,21,197.98000000,0.16878110,0
7,1667947260000,0.00085370,0.00085490,0.00085330,0.00085490,117.05000000,1667947319999,0.09995689,13,28.40000000,0.02427528,0
8,1667947320000,0.00085490,0.00085500,0.00085490,0.00085500,2.72000000,1667947379999,0.00232543,3,2.72000000,0.00232543,0
9,1667947380000,0.00085550,0.00085640,0.00085550,0.00085590,62.85000000,1667947439999,0.05379945,11,58.77000000,0.05030901,0
10,1667947440000,0.00085630,0.00085630,0.00085580,0.00085580,88.28000000,1667947499999,0.07557833,8,38.99000000,0.03338312,0
11,1667947500000,0.00085640,0.00085660,0.00085580,0.00085650,17.49000000,1667947559999,0.01498033,8,2.64000000,0.00226115,0
12,1667947560000,0.00085580,0.00085640,0.00085570,0.00085640,39.34000000,1667947619999,0.03367505,4,15.23000000,0.01304296,0
13,1667947620000,0.00085600,0.00085610,0.00085590,0.00085600,111.05000000,1667947679999,0.09506105,9,23.54000000,0.02015258,0
14,1667947680000,0.00085670,0.00085700,0.00085560,0.00085560,218.46000000,1667947739999,0.18705546,24,102.14000000,0.08746651,0
15,1667947740000,0.00085550,0.00085650,0.00085470,0.00085470,79.40000000,1667947799999,0.06794012,8,47.26000000,0.04046343,0
16,1667947800000,0.00085490,0.00085500,0.00085440,0.00085500,39.04000000,1667947859999,0.03337615,5,36.79000000,0.03145376,0
17,1667947860000,0.00085510,0.00085640,0.00085440,0.00085440,523.05000000,1667947919999,0.44728824,22,455.54000000,0.38949665,0
18,1667947920000,0.00085400,0.00085520,0.00085370,0.00085520,180.16000000,1667947979999,0.15393861,14,97.37000000,0.08324534,0
19,1667947980000,0.00085440,0.00085530,0.00085430,0.00085530,167.44000000,1667948039999,0.14309514,13,38.05000000,0.03252894,0
20,1667948040000,0.00085430,0.00085490,0.00085410,0.00085470,56.61000000,1667948099999,0.04837252,4,18.50000000,0.01581565,0
21,1667948100000,0.00085540,0.00085540,0.00085540,0.00085540,0.56000000,1667948159999,0.00047902,1,0.56000000,0.00047902,0
22,1667948160000,0.00085480,0.00085480,0.00085320,0.00085320,394.62000000,1667948219999,0.33677423,9,5.41000000,0.00461851,0
23,1667948220000,0.00085410,0.00085450,0.00085300,0.00085300,459.88000000,1667948279999,0.39273777,17,49.31000000,0.04213539,0
24,1667948280000,0.00085380,0.00085450,0.00085160,0.00085160,155.07000000,1667948339999,0.13233849,13,80.37000000,0.06859425,0
25,1667948340000,0.00085250,0.00085260,0.00085150,0.00085220,116.01000000,1667948399999,0.09885722,16,95.16000000,0.08110345,0
26,1667948400000,0.00085140,0.00085330,0.00085090,0.00085260,497.82000000,1667948459999,0.42434339,26,401.36000000,0.34223285,0
27,1667948460000,0.00085080,0.00085080,0.00084880,0.00085020,110.08000000,1667948519999,0.09351738,29,25.10000000,0.02133198,0
28,1667948520000,0.00085030,0.00085500,0.00084970,0.00085500,275.35000000,1667948579999,0.23470388,25,217.18000000,0.18527551,0
29,1667948580000,0.00085320,0.00085370,0.00085320,0.00085370,15.10000000,1667948639999,0.01288657,2,6.50000000,0.00554905,0
30,1667948640000,0.00085500,0.00085500,0.00085500,0.00085500,0.83000000,1667948699999,0.00070965,1,0.00000000,0.00000000,0
31,1667948700000,0.00085390,0.00085570,0.00085350,0.00085570,241.73000000,1667948759999,0.20645580,17,56.74000000,0.04853872,0
32,1667948760000,0.00085510,0.00085510,0.00085480,0.00085480,55.96000000,1667948819999,0.04784199,5,0.00000000,0.00000000,0
33,1667948820000,0.00085500,0.00085500,0.00085440,0.00085440,23.43000000,1667948879999,0.02002693,3,9.52000000,0.00813388,0
34,1667948880000,0.00085380,0.00085380,0.00085320,0.00085320,21.25000000,1667948939999,0.01814271,3,20.90000000,0.01784388,0
35,1667948940000,0.00085290,0.00085390,0.00085290,0.00085390,301.76000000,1667948999999,0.25746391,10,51.73000000,0.04415615,0
36,1667949000000,0.00085590,0.00085700,0.00085590,0.00085700,75.04000000,1667949059999,0.06423276,14,53.47000000,0.04577100,0
37,1667949060000,0.00085590,0.00085600,0.00085370,0.00085550,157.24000000,1667949119999,0.13452246,12,9.50000000,0.00812725,0
38,1667949120000,0.00085550,0.00085550,0.00085400,0.00085400,21.54000000,1667949179999,0.01841875,5,6.46000000,0.00552652,0
39,1667949180000,0.00085420,0.00085440,0.00085380,0.00085430,162.02000000,1667949239999,0.13838579,12,34.98000000,0.02988671,0
40,1667949240000,0.00085430,0.00085550,0.00085420,0.00085540,359.38000000,1667949299999,0.30721148,15,33.97000000,0.02905222,0
41,1667949300000,0.00085420,0.00085720,0.00085420,0.00085720,287.79000000,1667949359999,0.24631506,18,169.90000000,0.14547891,0
42,1667949360000,0.00085690,0.00085790,0.00085480,0.00085480,402.18000000,1667949419999,0.34461883,24,48.08000000,0.04113324,0
43,1667949420000,0.00085500,0.00085530,0.00085500,0.00085530,25.10000000,1667949479999,0.02146070,2,24.41000000,0.02087055,0
