,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.00011190,0.00011190,0.00011150,0.00011150,560.90000000,1667946779999,0.06268527,7,90.40000000,0.01008436,0
1,1667946780000,0.00011150,0.00011150,0.00011150,0.00011150,0.00000000,1667946839999,0.00000000,0,0.00000000,0.00000000,0
2,1667946840000,0.00011150,0.00011150,0.00011140,0.00011150,492.40000000,1667946899999,0.05490182,11,95.90000000,0.01069285,0
3,1667946900000,0.00011140,0.00011140,0.00011080,0.00011080,1279.20000000,1667946959999,0.14223961,25,179.30000000,0.01994831,0
4,1667946960000,0.00011090,0.00011090,0.00011070,0.00011090,710.60000000,1667947019999,0.07876224,19,377.10000000,0.04179369,0
5,1667947020000,0.00011110,0.00011110,0.00011060,0.00011090,167.00000000,1667947079999,0.01850033,7,40.00000000,0.00444193,0
6,1667947080000,0.00011090,0.00011090,0.00011090,0.00011090,30.40000000,1667947139999,0.00337136,1,30.40000000,0.00337136,0
7,1667947140000,0.00011090,0.00011100,0.00011090,0.00011100,32.30000000,1667947199999,0.00358227,2,32.30000000,0.00358227,0
8,1667947200000,0.00011080,0.00011110,0.00011060,0.00011110,584.40000000,1667947259999,0.06481238,11,582.40000000,0.06459118,0
9,1667947260000,0.00011110,0.00011120,0.00011110,0.00011120,9.50000000,1667947319999,0.00105565,2,9.50000000,0.00105565,0
10,1667947320000,0.00011140,0.00011140,0.00011140,0.00011140,2.00000000,1667947379999,0.00022280,1,2.00000000,0.00022280,0
11,1667947380000,0.00011160,0.00011160,0.00011160,0.00011160,18.00000000,1667947439999,0.00200880,2,2.00000000,0.00022320,0
12,1667947440000,0.00011140,0.00011160,0.00011130,0.00011160,498.20000000,1667947499999,0.05557232,5,365.00000000,0.04073400,0
13,1667947500000,0.00011140,0.00011160,0.00011140,0.00011160,359.70000000,1667947559999,0.04009086,5,0.00000000,0.00000000,0
14,1667947560000,0.00011170,0.00011190,0.00011170,0.00011190,3001.20000000,1667947619999,0.33553331,17,1781.00000000,0.19910631,0
