,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,1303.30000000,1303.31000000,1303.30000000,1303.31000000,0.39950000,1667947199999,520.67075100,2,0.24010000,312.92473100,0
1,1667947200000,1302.95000000,1302.96000000,1302.95000000,1302.96000000,0.60000000,1667947259999,781.77216000,2,0.60000000,781.77216000,0
2,1667947260000,1302.81000000,1302.81000000,1302.59000000,1302.59000000,0.48060000,1667947319999,626.10888200,3,0.07700000,100.29943000,0
3,1667947320000,1304.18000000,1305.00000000,1304.18000000,1305.00000000,0.35100000,1667947379999,457.88476700,3,0.35100000,457.88476700,0
4,1667947380000,1306.87000000,1306.87000000,1306.06000000,1306.06000000,0.05000000,1667947439999,65.31817500,4,0.00000000,0.00000000,0
5,1667947440000,1306.27000000,1306.27000000,1303.82000000,1304.66000000,7.84560000,1667947499999,10243.11602200,25,2.36990000,3092.72813000,0
6,1667947500000,1305.10000000,1305.15000000,1303.90000000,1304.21000000,1.00370000,1667947559999,1309.18630100,8,0.15940000,208.03395000,0
7,1667947560000,1305.72000000,1305.84000000,1305.72000000,1305.84000000,0.04780000,1667947619999,62.41783200,2,0.00000000,0.00000000,0
8,1667947620000,1307.78000000,1307.78000000,1304.19000000,1306.48000000,9.47970000,1667947679999,12370.33951900,21,0.00240000,3.13555200,0
9,1667947680000,1305.01000000,1306.48000000,1304.19000000,1304.19000000,18.30210000,1667947739999,23901.62557900,33,3.07030000,4007.55064100,0
10,1667947740000,1304.19000000,1304.19000000,1296.56000000,1296.58000000,11.61410000,1667947799999,15135.25089200,34,0.65430000,848.71848600,0
11,1667947800000,1296.39000000,1296.75000000,1290.00000000,1294.34000000,2.95080000,1667947859999,3821.41673300,16,0.23180000,300.11158200,0
12,1667947860000,1295.19000000,1295.19000000,1295.04000000,1295.04000000,0.23160000,1667947919999,299.94593200,3,0.23160000,299.94593200,0
13,1667947920000,1295.00000000,1295.50000000,1295.00000000,1295.47000000,0.64740000,1667947979999,838.50793800,5,0.23160000,299.99688400,0
14,1667947980000,1296.49000000,1304.91000000,1296.08000000,1304.66000000,46.70680000,1667948039999,60935.03304300,34,0.58030000,755.93659100,0
15,1667948040000,1304.14000000,1305.30000000,1303.40000000,1304.67000000,0.73820000,1667948099999,962.50203200,6,0.71640000,934.04649200,0
16,1667948100000,1306.42000000,1308.81000000,1305.83000000,1307.60000000,1.72630000,1667948159999,2255.88577300,19,1.07890000,1410.06668400,0
17,1667948160000,1306.43000000,1306.43000000,1305.00000000,1305.00000000,1.07880000,1667948219999,1407.87010400,8,0.00000000,0.00000000,0
18,1667948220000,1303.54000000,1303.54000000,1303.54000000,1303.54000000,0.03280000,1667948279999,42.75611200,1,0.00000000,0.00000000,0
19,1667948280000,1303.41000000,1307.35000000,1298.90000000,1298.90000000,1.54760000,1667948339999,2019.45801400,12,1.22520000,1599.57695400,0
20,1667948340000,1300.02000000,1300.02000000,1297.75000000,1298.28000000,0.29030000,1667948399999,377.17713400,4,0.00000000,0.00000000,0
21,1667948400000,1306.74000000,1306.74000000,1306.74000000,1306.74000000,0.00260000,1667948459999,3.39752400,1,0.00260000,3.39752400,0
22,1667948460000,1297.27000000,1300.52000000,1294.33000000,1294.33000000,69.50040000,1667948519999,90385.00741900,16,0.90370000,1174.36001500,0
23,1667948520000,1298.80000000,1298.80000000,1294.83000000,1297.30000000,2.39230000,1667948579999,3106.02897300,9,2.13000000,2766.21053600,0
24,1667948580000,1298.69000000,1300.67000000,1298.69000000,1300.67000000,0.52240000,1667948639999,678.53604200,3,0.47170000,612.59207300,0
25,1667948640000,1305.14000000,1306.05000000,1302.15000000,1302.15000000,0.26940000,1667948699999,351.65808300,6,0.24980000,326.13594300,0
26,1667948700000,1305.33000000,1307.00000000,1305.33000000,1306.96000000,0.27960000,1667948759999,365.31490800,5,0.27960000,365.31490800,0
27,1667948760000,1306.96000000,1308.11000000,1306.89000000,1308.11000000,1.99720000,1667948819999,2610.37276900,15,1.99720000,2610.37276900,0
28,1667948820000,1308.11000000,1308.11000000,1306.43000000,1306.43000000,0.38250000,1667948879999,499.90208700,5,0.38250000,499.90208700,0
29,1667948880000,1306.43000000,1307.71000000,1306.30000000,1307.71000000,0.31710000,1667948939999,414.35691500,5,0.31710000,414.35691500,0
30,1667948940000,1307.71000000,1307.83000000,1307.71000000,1307.83000000,0.33320000,1667948999999,435.73089200,6,0.33320000,435.73089200,0
31,1667949000000,1308.04000000,1310.65000000,1308.04000000,1310.31000000,17.85710000,1667949059999,23363.78013900,51,15.15230000,19821.03364700,0
32,1667949060000,1310.09000000,1311.77000000,1308.69000000,1310.93000000,1.32260000,1667949119999,1732.82826300,11,0.38140000,500.06797000,0
33,1667949120000,1307.84000000,1308.71000000,1307.83000000,1308.71000000,0.62340000,1667949179999,815.66355700,6,0.50550000,661.46998500,0
34,1667949180000,1308.71000000,1309.88000000,1308.71000000,1309.88000000,0.30520000,1667949239999,399.59683400,4,0.30520000,399.59683400,0
35,1667949240000,1311.91000000,1311.96000000,1310.68000000,1311.96000000,0.73630000,1667949299999,965.87505800,9,0.69180000,907.50346200,0
36,1667949300000,1310.76000000,1312.39000000,1308.69000000,1312.39000000,0.91680000,1667949359999,1201.13892100,10,0.30510000,400.03106900,0
37,1667949360000,1312.85000000,1314.25000000,1308.23000000,1308.23000000,0.64840000,1667949419999,849.30087700,10,0.30500000,400.00884700,0
38,1667949420000,1307.89000000,1308.61000000,1306.44000000,1308.61000000,0.31360000,1667949479999,410.15454200,5,0.30590000,400.09495400,0
39,1667949480000,1306.45000000,1306.92000000,1306.45000000,1306.45000000,4.17230000,1667949539999,5452.31979500,13,0.15300000,199.92280500,0
40,1667949540000,1306.46000000,1308.37000000,1306.45000000,1306.45000000,0.56850000,1667949599999,742.88760900,5,0.07640000,99.95946800,0
41,1667949600000,1306.57000000,1307.31000000,1303.00000000,1303.00000000,3.19970000,1667949659999,4179.66343200,9,0.06110000,79.87664100,0
42,1667949660000,1304.07000000,1304.07000000,1304.05000000,1304.05000000,0.31880000,1667949719999,415.73432800,2,0.00000000,0.00000000,0
43,1667949720000,1304.01000000,1304.01000000,1303.91000000,1303.91000000,0.15880000,1667949779999,207.06701800,2,0.00000000,0.00000000,0
44,1667949780000,1303.91000000,1303.91000000,1303.91000000,1303.91000000,0.00000000,1667949839999,0.00000000,0,0.00000000,0.00000000,0
45,1667949840000,1306.31000000,1306.31000000,1306.24000000,1306.24000000,0.07510000,1667949899999,98.10045800,2,0.00000000,0.00000000,0
46,1667949900000,1307.34000000,1307.34000000,1307.00000000,1307.00000000,0.09240000,1667949959999,120.78198400,3,0.00000000,0.00000000,0
47,1667949960000,1307.74000000,1307.74000000,1307.00000000,1307.00000000,0.33040000,1667950019999,431.86165300,6,0.00000000,0.00000000,0
48,1667950020000,1305.80000000,1308.03000000,1305.80000000,1308.03000000,0.12250000,1667950079999,160.03091000,3,0.10680000,139.52985000,0
49,1667950080000,1306.42000000,1306.84000000,1304.60000000,1306.84000000,0.64240000,1667950139999,838.76112500,6,0.62200000,812.12489900,0
50,1667950140000,1307.44000000,1309.15000000,1306.07000000,1308.24000000,1.12860000,1667950199999,1476.23658100,8,0.27130000,354.72423600,0
51,1667950200000,1307.93000000,1319.64000000,1303.70000000,1303.70000000,4.37050000,1667950259999,5720.09626500,28,0.97240000,1279.84513700,0
52,1667950260000,1302.82000000,1306.04000000,1302.82000000,1305.88000000,0.35800000,1667950319999,467.14985400,5,0.30660000,400.18490600,0
53,1667950320000,1303.65000000,1306.84000000,1302.73000000,1304.86000000,1.30880000,1667950379999,1707.43011800,13,0.44490000,580.73350700,0
54,1667950380000,1304.73000000,1307.54000000,1300.00000000,1307.54000000,4.92590000,1667950439999,6411.14590600,18,0.22960000,300.05390000,0
55,1667950440000,1307.47000000,1309.71000000,1307.38000000,1309.55000000,0.38220000,1667950499999,500.20474900,5,0.38220000,500.20474900,0
56,1667950500000,1308.78000000,1312.46000000,1308.51000000,1311.63000000,1.68580000,1667950559999,2207.66176600,12,0.46460000,608.69621600,0
57,1667950560000,1313.20000000,1313.20000000,1310.74000000,1311.52000000,0.72460000,1667950619999,950.83804900,7,0.30470000,399.89505800,0
58,1667950620000,1312.66000000,1314.40000000,1312.66000000,1314.38000000,0.41780000,1667950679999,548.82902900,7,0.39530000,519.28630400,0
59,1667950680000,1315.16000000,1315.16000000,1311.35000000,1313.83000000,0.53520000,1667950739999,702.61708100,8,0.30670000,402.58041400,0
60,1667950740000,1312.16000000,1315.53000000,1311.52000000,1315.53000000,0.60920000,1667950799999,800.16147700,7,0.38070000,500.01007300,0
