,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,18552.80000000,18572.18000000,18538.69000000,18554.06000000,103.73273000,1667946779999,1924591.49993260,2056,46.19733000,857110.98563790,0
1,1667946780000,18553.34000000,18556.50000000,18522.82000000,18538.70000000,90.94994000,1667946839999,1686098.52065400,2255,34.21614000,634312.76174590,0
2,1667946840000,18542.59000000,18563.78000000,18526.14000000,18539.14000000,66.46408000,1667946899999,1232550.09588180,1709,32.72956000,606976.51673210,0
3,1667946900000,18539.03000000,18563.72000000,18526.37000000,18556.86000000,95.97278000,1667946959999,1779840.33393660,1853,51.52905000,955627.94176780,0
4,1667946960000,18557.91000000,18605.57000000,18552.43000000,18573.33000000,116.72619000,1667947019999,2168221.42915940,2500,66.48841000,1235161.19642850,0
5,1667947020000,18573.30000000,18575.72000000,18500.00000000,18525.30000000,194.40543000,1667947079999,3601648.40524730,3408,88.20949000,1634099.11158870,0
6,1667947080000,18521.09000000,18549.99000000,18520.26000000,18529.00000000,145.01050000,1667947139999,2687846.54002630,1932,62.54247000,1159053.27615250,0
7,1667947140000,18528.00000000,18540.36000000,18500.92000000,18507.22000000,138.67932000,1667947199999,2568123.62817560,2191,60.08022000,1112791.82946310,0
8,1667947200000,18505.79000000,18514.41000000,18471.26000000,18494.83000000,154.49090000,1667947259999,2857367.74611370,3204,78.71256000,1455827.37645600,0
9,1667947260000,18496.77000000,18524.00000000,18491.46000000,18514.70000000,72.43721000,1667947319999,1340799.28309240,1798,39.55007000,732092.43702860,0
10,1667947320000,18516.00000000,18529.20000000,18499.50000000,18518.03000000,74.12537000,1667947379999,1372478.47314350,1921,37.76990000,699410.81036790,0
11,1667947380000,18517.93000000,18530.00000000,18515.75000000,18518.63000000,37.39341000,1667947439999,692592.67898190,1342,16.87769000,312638.73384160,0
12,1667947440000,18518.58000000,18522.71000000,18495.26000000,18501.04000000,67.40688000,1667947499999,1247460.54912550,1522,27.53676000,509596.46416520,0
13,1667947500000,18501.02000000,18503.69000000,18490.00000000,18501.70000000,79.85202000,1667947559999,1477110.68152720,1819,30.58652000,565811.94692120,0
14,1667947560000,18500.01000000,18525.00000000,18500.00000000,18519.59000000,27.77995000,1667947619999,514333.21592970,1172,16.11456000,298374.72879750,0
15,1667947620000,18519.60000000,18537.94000000,18510.67000000,18518.00000000,72.18934000,1667947679999,1337215.18104510,1980,33.18288000,614735.80483240,0
16,1667947680000,18516.36000000,18520.52000000,18460.17000000,18462.14000000,101.39934000,1667947739999,1874856.42117950,2241,29.20163000,540131.66773790,0
17,1667947740000,18462.61000000,18464.03000000,18382.54000000,18393.01000000,192.68293000,1667947799999,3549440.21875450,5323,88.27521000,1626413.02609310,0
18,1667947800000,18394.84000000,18398.08000000,18385.55000000,18391.64000000,38.31081000,1667947859999,704628.04563240,1430,18.15684000,333968.61133290,0
