,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,90377.00000000,90377.00000000,90377.00000000,90377.00000000,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
1,1667947200000,90377.00000000,90377.00000000,90377.00000000,90377.00000000,0.00225000,1667947259999,203.34825000,1,0.00000000,0.00000000,0
2,1667947260000,90980.00000000,90980.00000000,90980.00000000,90980.00000000,0.00077000,1667947319999,70.05460000,1,0.00077000,70.05460000,0
3,1667947320000,90787.00000000,90787.00000000,90787.00000000,90787.00000000,0.00274000,1667947379999,248.75638000,1,0.00274000,248.75638000,0
4,1667947380000,90116.00000000,90982.00000000,90116.00000000,90982.00000000,0.07885000,1667947439999,7157.35622000,13,0.07646000,6941.97898000,0
5,1667947440000,90982.00000000,90982.00000000,90982.00000000,90982.00000000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
6,1667947500000,90367.00000000,90367.00000000,90367.00000000,90367.00000000,0.00220000,1667947559999,198.80740000,1,0.00220000,198.80740000,0
7,1667947560000,90478.00000000,90981.00000000,90478.00000000,90981.00000000,0.12018000,1667947619999,10924.55778000,11,0.12018000,10924.55778000,0
8,1667947620000,90981.00000000,90981.00000000,90981.00000000,90981.00000000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
9,1667947680000,90856.00000000,90979.00000000,90628.00000000,90979.00000000,0.01264000,1667947739999,1147.89025000,3,0.01264000,1147.89025000,0
10,1667947740000,90303.00000000,90401.00000000,90100.00000000,90100.00000000,0.03068000,1667947799999,2768.77383000,5,0.01631000,1473.90131000,0
11,1667947800000,90189.00000000,90402.00000000,90187.00000000,90402.00000000,0.02505000,1667947859999,2260.42986000,5,0.02505000,2260.42986000,0
12,1667947860000,90298.00000000,90811.00000000,90298.00000000,90811.00000000,0.01105000,1667947919999,1000.71187000,2,0.01105000,1000.71187000,0
13,1667947920000,90328.00000000,90981.00000000,90284.00000000,90981.00000000,0.07220000,1667947979999,6560.35158000,8,0.07220000,6560.35158000,0
14,1667947980000,90806.00000000,91569.00000000,90435.00000000,90435.00000000,0.15311000,1667948039999,13925.70089000,13,0.15311000,13925.70089000,0
15,1667948040000,90796.00000000,90836.00000000,90796.00000000,90836.00000000,0.01101000,1667948099999,999.88996000,2,0.01101000,999.88996000,0
16,1667948100000,90743.00000000,92931.00000000,90743.00000000,91289.00000000,0.64085000,1667948159999,58761.33141000,20,0.64085000,58761.33141000,0
17,1667948160000,91274.00000000,93476.00000000,91274.00000000,93476.00000000,0.51119000,1667948219999,47309.24397000,24,0.51119000,47309.24397000,0
18,1667948220000,93476.00000000,93476.00000000,93476.00000000,93476.00000000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
19,1667948280000,93476.00000000,93476.00000000,93476.00000000,93476.00000000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
20,1667948340000,91696.00000000,91737.00000000,91696.00000000,91737.00000000,0.01197000,1667948399999,1097.73601000,3,0.01197000,1097.73601000,0
21,1667948400000,91000.00000000,91000.00000000,91000.00000000,91000.00000000,0.00060000,1667948459999,54.60000000,1,0.00000000,0.00000000,0
22,1667948460000,91000.00000000,91000.00000000,91000.00000000,91000.00000000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
23,1667948520000,90009.00000000,91104.00000000,90000.00000000,91104.00000000,0.01203000,1667948579999,1088.79987000,3,0.00548000,499.24992000,0
24,1667948580000,91104.00000000,91104.00000000,91104.00000000,91104.00000000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
25,1667948640000,91104.00000000,91104.00000000,91104.00000000,91104.00000000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
26,1667948700000,91218.00000000,91735.00000000,91218.00000000,91389.00000000,0.11447000,1667948759999,10493.24701000,16,0.11447000,10493.24701000,0
27,1667948760000,91495.00000000,91631.00000000,91495.00000000,91631.00000000,0.02508000,1667948819999,2297.37652000,2,0.02508000,2297.37652000,0
28,1667948820000,91469.00000000,91472.00000000,91443.00000000,91472.00000000,0.05014000,1667948879999,4586.23456000,4,0.05014000,4586.23456000,0
29,1667948880000,91455.00000000,91455.00000000,91455.00000000,91455.00000000,0.00216000,1667948939999,197.54280000,1,0.00216000,197.54280000,0
30,1667948940000,91342.00000000,91342.00000000,91342.00000000,91342.00000000,0.00322000,1667948999999,294.12124000,1,0.00322000,294.12124000,0
31,1667949000000,91339.00000000,91663.00000000,91339.00000000,91663.00000000,0.01084000,1667949059999,991.89028000,2,0.01084000,991.89028000,0
32,1667949060000,91663.00000000,91663.00000000,91663.00000000,91663.00000000,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
33,1667949120000,90130.00000000,90144.00000000,90130.00000000,90136.00000000,0.08189000,1667949179999,7381.01782000,6,0.08189000,7381.01782000,0
34,1667949180000,90132.00000000,90738.00000000,90093.00000000,90738.00000000,0.04373000,1667949239999,3951.50348000,6,0.04373000,3951.50348000,0
35,1667949240000,90738.00000000,90738.00000000,90738.00000000,90738.00000000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
