,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,353137.00000000,353398.00000000,352657.00000000,352657.00000000,0.48821000,1667946839999,172414.12995000,30,0.25809000,91167.62996000,0
1,1667946840000,352903.00000000,353500.00000000,352903.00000000,353438.00000000,0.55076000,1667946899999,194501.16726000,44,0.42552000,150266.21169000,0
2,1667946900000,353178.00000000,353677.00000000,353056.00000000,353677.00000000,0.54331000,1667946959999,192004.62703000,34,0.36963000,130644.76022000,0
3,1667946960000,353398.00000000,354072.00000000,353230.00000000,353540.00000000,1.01971000,1667947019999,360705.89843000,39,0.34470000,121915.21011000,0
4,1667947020000,353734.00000000,353734.00000000,352437.00000000,352676.00000000,1.13698000,1667947079999,401579.29786000,75,0.39769000,140412.63023000,0
5,1667947080000,352956.00000000,353220.00000000,352745.00000000,352958.00000000,0.73674000,1667947139999,260091.37720000,35,0.35893000,126726.80991000,0
6,1667947140000,352920.00000000,352968.00000000,351844.00000000,351844.00000000,3.34097000,1667947199999,1176774.09383000,79,0.24707000,87157.04481000,0
7,1667947200000,351845.00000000,352345.00000000,351496.00000000,351895.00000000,3.55930000,1667947259999,1252661.75966000,118,0.67047000,236059.32346000,0
8,1667947260000,352176.00000000,352573.00000000,351657.00000000,352097.00000000,0.96721000,1667947319999,340504.12311000,52,0.32392000,114069.55046000,0
9,1667947320000,351853.00000000,352354.00000000,351853.00000000,352212.00000000,1.18954000,1667947379999,418747.61119000,57,0.16134000,56830.55277000,0
10,1667947380000,352405.00000000,352571.00000000,352052.00000000,352571.00000000,0.29303000,1667947439999,103271.64499000,26,0.14611000,51498.18943000,0
11,1667947440000,352556.00000000,352556.00000000,351900.00000000,352001.00000000,0.43713000,1667947499999,153878.62681000,34,0.07373000,25968.82812000,0
12,1667947500000,352001.00000000,352128.00000000,351809.00000000,352068.00000000,0.64281000,1667947559999,226281.85589000,23,0.32450000,114242.50196000,0
13,1667947560000,352067.00000000,352441.00000000,352067.00000000,352441.00000000,0.15025000,1667947619999,52922.85266000,15,0.10525000,37069.58332000,0
14,1667947620000,352366.00000000,352613.00000000,352081.00000000,352406.00000000,0.35817000,1667947679999,126181.91164000,35,0.14935000,52635.34585000,0
15,1667947680000,352299.00000000,352299.00000000,350820.00000000,350820.00000000,3.07433000,1667947739999,1079681.64066000,90,0.32026000,112678.35695000,0
16,1667947740000,350800.00000000,350800.00000000,349600.00000000,350145.00000000,2.37515000,1667947799999,831534.39317000,201,0.53448000,187160.95114000,0
17,1667947800000,349945.00000000,350182.00000000,349892.00000000,350137.00000000,0.28977000,1667947859999,101423.36180000,28,0.12353000,43245.96881000,0
18,1667947860000,350071.00000000,350571.00000000,350071.00000000,350439.00000000,0.08813000,1667947919999,30875.92987000,17,0.04789000,16774.75041000,0
19,1667947920000,350393.00000000,350481.00000000,350239.00000000,350256.00000000,0.20207000,1667947979999,70799.30545000,11,0.02848000,9981.69888000,0
20,1667947980000,350484.00000000,351839.00000000,350484.00000000,351790.00000000,0.24763000,1667948039999,87086.09747000,18,0.13470000,47361.38463000,0
21,1667948040000,351639.00000000,352026.00000000,350567.00000000,351309.00000000,1.03280000,1667948099999,362804.34211000,69,0.42147000,148102.14291000,0
22,1667948100000,351352.00000000,351803.00000000,351119.00000000,351338.00000000,0.71087000,1667948159999,249826.07620000,25,0.42236000,148439.16737000,0
23,1667948160000,351434.00000000,351631.00000000,351000.00000000,351000.00000000,0.49147000,1667948219999,172729.06569000,31,0.21643000,76082.51095000,0
24,1667948220000,351167.00000000,351259.00000000,350514.00000000,350877.00000000,0.33789000,1667948279999,118552.86396000,21,0.23640000,82965.86521000,0
25,1667948280000,351015.00000000,351194.00000000,349843.00000000,350617.00000000,0.71214000,1667948339999,249808.87400000,41,0.47513000,166725.20465000,0
26,1667948340000,350022.00000000,351250.00000000,350022.00000000,350777.00000000,1.33090000,1667948399999,466844.70471000,70,0.68630000,240686.87608000,0
27,1667948400000,350602.00000000,350846.00000000,350151.00000000,350400.00000000,0.82115000,1667948459999,287719.96770000,28,0.30256000,106012.75802000,0
28,1667948460000,350520.00000000,350619.00000000,350008.00000000,350418.00000000,0.69001000,1667948519999,241694.63791000,38,0.32321000,113235.23117000,0
29,1667948520000,350247.00000000,350905.00000000,350044.00000000,350555.00000000,1.22922000,1667948579999,430714.52848000,42,0.99998000,350424.63139000,0
30,1667948580000,350758.00000000,351750.00000000,350723.00000000,351750.00000000,1.44459000,1667948639999,507633.98535000,48,0.69772000,245140.97685000,0
31,1667948640000,351751.00000000,352111.00000000,351746.00000000,351953.00000000,0.41219000,1667948699999,145070.50044000,28,0.25557000,89964.66632000,0
32,1667948700000,351913.00000000,352375.00000000,351746.00000000,352267.00000000,0.59985000,1667948759999,211236.23500000,49,0.24973000,87946.88357000,0
33,1667948760000,352249.00000000,352750.00000000,352249.00000000,352596.00000000,0.51286000,1667948819999,180810.81328000,42,0.40447000,142600.03014000,0
34,1667948820000,352734.00000000,352734.00000000,351754.00000000,352307.00000000,0.34758000,1667948879999,122401.25985000,26,0.07901000,27834.20345000,0
35,1667948880000,352173.00000000,352501.00000000,352172.00000000,352501.00000000,0.16308000,1667948939999,57453.70972000,13,0.03873000,13648.15014000,0
