,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,0.72400000,0.72400000,0.72400000,0.72400000,1002.10000000,1667947019999,725.52040000,4,592.50000000,428.97000000,0
1,1667947020000,0.72400000,0.72400000,0.72400000,0.72400000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
2,1667947080000,0.72300000,0.72300000,0.72300000,0.72300000,1017.10000000,1667947139999,735.36330000,2,0.00000000,0.00000000,0
3,1667947140000,0.72300000,0.72400000,0.72300000,0.72400000,1000.60000000,1667947199999,723.85750000,6,423.70000000,306.75880000,0
4,1667947200000,0.72300000,0.72300000,0.72300000,0.72300000,215.40000000,1667947259999,155.73420000,1,0.00000000,0.00000000,0
5,1667947260000,0.72100000,0.72100000,0.72100000,0.72100000,44.90000000,1667947319999,32.37290000,1,0.00000000,0.00000000,0
6,1667947320000,0.72100000,0.72100000,0.72100000,0.72100000,1611.30000000,1667947379999,1161.74730000,2,1611.30000000,1161.74730000,0
7,1667947380000,0.72100000,0.72100000,0.72100000,0.72100000,1546.30000000,1667947439999,1114.88230000,2,1546.30000000,1114.88230000,0
8,1667947440000,0.72000000,0.72200000,0.72000000,0.72000000,2206.10000000,1667947499999,1590.09290000,10,888.00000000,641.06090000,0
9,1667947500000,0.72100000,0.72100000,0.72100000,0.72100000,15.30000000,1667947559999,11.03130000,1,15.30000000,11.03130000,0
10,1667947560000,0.72100000,0.72100000,0.72100000,0.72100000,1010.70000000,1667947619999,728.71470000,2,1010.70000000,728.71470000,0
11,1667947620000,0.72200000,0.72200000,0.72200000,0.72200000,119.90000000,1667947679999,86.56780000,3,119.90000000,86.56780000,0
12,1667947680000,0.72200000,0.72200000,0.72200000,0.72200000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
13,1667947740000,0.72100000,0.72200000,0.72100000,0.72200000,554.00000000,1667947799999,399.85880000,2,554.00000000,399.85880000,0
14,1667947800000,0.71900000,0.71900000,0.71900000,0.71900000,737.00000000,1667947859999,529.90300000,5,0.00000000,0.00000000,0
15,1667947860000,0.72000000,0.72000000,0.72000000,0.72000000,14.00000000,1667947919999,10.08000000,1,14.00000000,10.08000000,0
16,1667947920000,0.72000000,0.72000000,0.71800000,0.71800000,1077.80000000,1667947979999,775.64920000,7,286.00000000,205.92000000,0
17,1667947980000,0.71900000,0.71900000,0.71900000,0.71900000,261.70000000,1667948039999,188.16230000,3,132.50000000,95.26750000,0
18,1667948040000,0.71900000,0.71900000,0.71900000,0.71900000,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
19,1667948100000,0.72200000,0.72400000,0.72100000,0.72400000,6649.80000000,1667948159999,4807.06110000,24,2320.30000000,1677.30690000,0
20,1667948160000,0.72200000,0.72200000,0.72100000,0.72200000,299.60000000,1667948219999,216.17260000,4,0.00000000,0.00000000,0
21,1667948220000,0.72200000,0.72200000,0.72200000,0.72200000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
22,1667948280000,0.72000000,0.72000000,0.71900000,0.72000000,240.40000000,1667948339999,172.99730000,5,32.30000000,23.25600000,0
23,1667948340000,0.72000000,0.72000000,0.72000000,0.72000000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
24,1667948400000,0.71900000,0.71900000,0.71800000,0.71800000,186.40000000,1667948459999,133.99000000,3,154.80000000,111.30120000,0
25,1667948460000,0.71900000,0.71900000,0.71900000,0.71900000,43.50000000,1667948519999,31.27650000,2,43.50000000,31.27650000,0
26,1667948520000,0.71900000,0.71900000,0.71900000,0.71900000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
27,1667948580000,0.72000000,0.72000000,0.71700000,0.71700000,525.40000000,1667948639999,377.34000000,10,0.00000000,0.00000000,0
28,1667948640000,0.71600000,0.71900000,0.71600000,0.71900000,224.70000000,1667948699999,161.33520000,3,74.70000000,53.48520000,0
29,1667948700000,0.71900000,0.71900000,0.71900000,0.71900000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
30,1667948760000,0.72100000,0.72200000,0.72000000,0.72200000,2193.80000000,1667948819999,1582.39060000,10,1776.20000000,1281.63400000,0
31,1667948820000,0.72200000,0.72200000,0.72200000,0.72200000,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
32,1667948880000,0.72100000,0.72100000,0.72100000,0.72100000,27.70000000,1667948939999,19.97170000,1,27.70000000,19.97170000,0
33,1667948940000,0.72200000,0.72200000,0.72200000,0.72200000,144.20000000,1667948999999,104.11240000,2,144.20000000,104.11240000,0
