,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,15894.00,15894.00,15894.00,15894.00,241.40000000,1667946839999,3836811.60,3,241.40000000,3836811.60,0
1,1667946840000,15894.00,15900.00,15894.00,15900.00,3892.80000000,1667946899999,61884811.50,11,3892.80000000,61884811.50,0
2,1667946900000,15900.00,15900.00,15892.00,15893.00,686.70000000,1667946959999,10915608.90,7,320.70000000,5099067.10,0
3,1667946960000,15899.00,15900.00,15890.00,15890.00,1323.00000000,1667947019999,21035365.70,7,1308.10000000,20798602.90,0
4,1667947020000,15890.00,15899.00,15876.00,15876.00,1006.70000000,1667947079999,15990244.70,11,221.70000000,3524188.50,0
5,1667947080000,15864.00,15864.00,15856.00,15856.00,1331.60000000,1667947139999,21123136.50,7,0.00000000,0.00,0
6,1667947140000,15856.00,15864.00,15856.00,15864.00,141.50000000,1667947199999,2244302.40,6,64.80000000,1027987.20,0
7,1667947200000,15857.00,15863.00,15857.00,15863.00,64.80000000,1667947259999,1027743.70,4,30.90000000,490142.00,0
8,1667947260000,15863.00,15863.00,15863.00,15863.00,0.00000000,1667947319999,0.00,0,0.00000000,0.00,0
9,1667947320000,15869.00,15883.00,15869.00,15883.00,1355.30000000,1667947379999,21525495.40,11,1355.30000000,21525495.40,0
10,1667947380000,15883.00,15889.00,15868.00,15889.00,2903.90000000,1667947439999,46126466.60,12,2830.40000000,44960168.60,0
11,1667947440000,15889.00,15890.00,15865.00,15890.00,988.90000000,1667947499999,15712492.30,10,979.00000000,15555428.80,0
12,1667947500000,15890.00,15890.00,15890.00,15890.00,3907.00000000,1667947559999,62082230.00,21,3907.00000000,62082230.00,0
13,1667947560000,15890.00,15900.00,15890.00,15900.00,842.00000000,1667947619999,13385252.00,6,842.00000000,13385252.00,0
14,1667947620000,15900.00,15909.00,15900.00,15909.00,1769.40000000,1667947679999,28133983.40,14,1696.00000000,26966850.00,0
15,1667947680000,15901.00,15915.00,15901.00,15915.00,3658.90000000,1667947739999,58181960.10,10,149.00000000,2371040.20,0
16,1667947740000,15915.00,15930.00,15911.00,15912.00,18565.50000000,1667947799999,295464794.70,64,18331.10000000,291735256.30,0
17,1667947800000,15912.00,15912.00,15912.00,15912.00,1673.50000000,1667947859999,26628732.00,12,1673.50000000,26628732.00,0
18,1667947860000,15912.00,15912.00,15911.00,15912.00,822.60000000,1667947919999,13089161.90,6,773.30000000,12304749.60,0
19,1667947920000,15912.00,15912.00,15912.00,15912.00,5931.60000000,1667947979999,94383619.20,5,5931.60000000,94383619.20,0
20,1667947980000,15904.00,15912.00,15904.00,15912.00,2074.50000000,1667948039999,32994460.20,8,222.50000000,3540252.20,0
21,1667948040000,15911.00,15912.00,15904.00,15904.00,5328.80000000,1667948099999,84779742.10,9,342.50000000,5449860.00,0
22,1667948100000,15912.00,15912.00,15912.00,15912.00,2262.30000000,1667948159999,35997717.60,8,2262.30000000,35997717.60,0
23,1667948160000,15912.00,15923.00,15912.00,15923.00,552.60000000,1667948219999,8794352.80,5,552.60000000,8794352.80,0
24,1667948220000,15913.00,15923.00,15913.00,15919.00,506.10000000,1667948279999,8057360.60,7,176.30000000,2807054.50,0
25,1667948280000,15919.00,15919.00,15919.00,15919.00,6957.70000000,1667948339999,110759626.30,16,6957.70000000,110759626.30,0
26,1667948340000,15919.00,15920.00,15919.00,15919.00,2425.80000000,1667948399999,38617054.00,14,743.80000000,11841296.00,0
27,1667948400000,15920.00,15920.00,15919.00,15920.00,3224.50000000,1667948459999,51333667.70,9,2852.20000000,45407024.00,0
28,1667948460000,15920.00,15920.00,15905.00,15920.00,1029.70000000,1667948519999,16392534.40,12,999.70000000,15915224.00,0
29,1667948520000,15920.00,15920.00,15907.00,15907.00,1597.70000000,1667948579999,25429758.00,8,1136.50000000,18093080.00,0
30,1667948580000,15917.00,15920.00,15917.00,15920.00,854.90000000,1667948639999,13609012.00,4,377.90000000,6016126.00,0
31,1667948640000,15920.00,15920.00,15918.00,15918.00,5145.60000000,1667948699999,81910496.70,8,1784.00000000,28400547.90,0
32,1667948700000,15919.00,15919.00,15918.00,15919.00,3553.90000000,1667948759999,56572529.70,10,1549.50000000,24666490.50,0
33,1667948760000,15919.00,15919.00,15918.00,15919.00,5143.90000000,1667948819999,81885433.50,9,4833.30000000,76941302.70,0
34,1667948820000,15919.00,15919.00,15918.00,15918.00,2234.20000000,1667948879999,35565755.60,9,1760.00000000,28017440.00,0
35,1667948880000,15918.00,15919.00,15918.00,15919.00,2480.90000000,1667948939999,39492408.30,8,1631.40000000,25970067.30,0
36,1667948940000,15919.00,15923.00,15919.00,15923.00,1000.10000000,1667948999999,15921860.10,12,736.70000000,11728532.10,0
37,1667949000000,15923.00,15923.00,15918.00,15920.00,7556.50000000,1667949059999,120302232.40,11,1350.30000000,21500826.90,0
