,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,1.09400000,1.09600000,1.09400000,1.09600000,394.00000000,1667946959999,431.58200000,2,273.00000000,299.20800000,0
1,1667946960000,1.09600000,1.09600000,1.09600000,1.09600000,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
2,1667947020000,1.09900000,1.09900000,1.09400000,1.09400000,3918.00000000,1667947079999,4302.03700000,6,136.00000000,149.05600000,0
3,1667947080000,1.09600000,1.09700000,1.09600000,1.09700000,465.00000000,1667947139999,510.01800000,3,465.00000000,510.01800000,0
4,1667947140000,1.09600000,1.09600000,1.09400000,1.09400000,103.00000000,1667947199999,112.86400000,2,103.00000000,112.86400000,0
5,1667947200000,1.09100000,1.09100000,1.09000000,1.09000000,966.00000000,1667947259999,1052.95000000,4,0.00000000,0.00000000,0
6,1667947260000,1.09000000,1.09000000,1.08600000,1.08600000,2354.00000000,1667947319999,2556.48400000,2,10.00000000,10.90000000,0
7,1667947320000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
8,1667947380000,1.09000000,1.09300000,1.09000000,1.09300000,3724.00000000,1667947439999,4059.84700000,4,3724.00000000,4059.84700000,0
9,1667947440000,1.09300000,1.09300000,1.09300000,1.09300000,460.00000000,1667947499999,502.78000000,1,0.00000000,0.00000000,0
10,1667947500000,1.09300000,1.09300000,1.09300000,1.09300000,45.00000000,1667947559999,49.18500000,1,0.00000000,0.00000000,0
11,1667947560000,1.09300000,1.09500000,1.09300000,1.09500000,3210.00000000,1667947619999,3514.91600000,2,3210.00000000,3514.91600000,0
12,1667947620000,1.09500000,1.09500000,1.09500000,1.09500000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
13,1667947680000,1.09700000,1.09700000,1.09700000,1.09700000,90.00000000,1667947739999,98.73000000,1,90.00000000,98.73000000,0
14,1667947740000,1.08600000,1.08600000,1.08400000,1.08500000,12436.00000000,1667947799999,13484.12400000,5,10.00000000,10.85000000,0
