,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,3.98200000,3.98300000,3.98000000,3.98000000,26613.00000000,1667946959999,105938.87000000,30,1856.00000000,7390.61700000,0
1,1667946960000,3.98000000,3.99000000,3.97200000,3.99000000,8278.00000000,1667947019999,32903.86700000,12,297.00000000,1181.16900000,0
2,1667947020000,3.99800000,3.99800000,3.97000000,3.97200000,43454.00000000,1667947079999,172769.64700000,38,11413.00000000,45396.82300000,0
3,1667947080000,3.97100000,3.97500000,3.96900000,3.97200000,17626.00000000,1667947139999,69995.23600000,21,7945.00000000,31548.72200000,0
4,1667947140000,3.96900000,3.96900000,3.96500000,3.96500000,19707.00000000,1667947199999,78177.52700000,14,33.00000000,130.97700000,0
5,1667947200000,3.96000000,3.96100000,3.94900000,3.95400000,36822.00000000,1667947259999,145633.85300000,29,6909.00000000,27322.91300000,0
6,1667947260000,3.95300000,3.95400000,3.93700000,3.94000000,15146.00000000,1667947319999,59674.02000000,14,6923.00000000,27299.40000000,0
7,1667947320000,3.94200000,3.95200000,3.94200000,3.95000000,36304.00000000,1667947379999,143431.01700000,22,14756.00000000,58315.47000000,0
8,1667947380000,3.95500000,3.97400000,3.95500000,3.97400000,16391.00000000,1667947439999,64958.91200000,5,12965.00000000,51344.95700000,0
9,1667947440000,3.97600000,3.97600000,3.96400000,3.96400000,29950.00000000,1667947499999,119011.90600000,16,14036.00000000,55805.13200000,0
10,1667947500000,3.96000000,3.96000000,3.95600000,3.95600000,14777.00000000,1667947559999,58476.48700000,8,6247.00000000,24731.80700000,0
11,1667947560000,3.95900000,3.97200000,3.95900000,3.97200000,6877.00000000,1667947619999,27266.19700000,8,4530.00000000,17958.60200000,0
12,1667947620000,3.97200000,3.97200000,3.97200000,3.97200000,19390.00000000,1667947679999,77017.08000000,2,0.00000000,0.00000000,0
13,1667947680000,3.97600000,3.98000000,3.96600000,3.96600000,177835.00000000,1667947739999,707020.05900000,26,150334.00000000,597724.34000000,0
14,1667947740000,3.95900000,3.95900000,3.92200000,3.92300000,97698.00000000,1667947799999,383958.14400000,28,27147.00000000,106508.37000000,0
15,1667947800000,3.92600000,3.92700000,3.92400000,3.92700000,29269.00000000,1667947859999,114920.85800000,9,21352.00000000,83849.30400000,0
16,1667947860000,3.92900000,3.93900000,3.92800000,3.93600000,10669.00000000,1667947919999,41978.86100000,10,4704.00000000,18490.06500000,0
17,1667947920000,3.94200000,3.94400000,3.94200000,3.94400000,1133.00000000,1667947979999,4466.40400000,3,59.00000000,232.69600000,0
18,1667947980000,3.95600000,3.97800000,3.95500000,3.97600000,8999.00000000,1667948039999,35660.98200000,17,3800.00000000,15062.98300000,0
19,1667948040000,3.98000000,3.98300000,3.96500000,3.97900000,32996.00000000,1667948099999,131202.43300000,20,19222.00000000,76479.09300000,0
20,1667948100000,3.97500000,3.97500000,3.96800000,3.97000000,14899.00000000,1667948159999,59190.65100000,7,11377.00000000,45190.70100000,0
21,1667948160000,3.97600000,3.98000000,3.97100000,3.97100000,13199.00000000,1667948219999,52487.26600000,11,0.00000000,0.00000000,0
22,1667948220000,3.96200000,3.96800000,3.94400000,3.96300000,28233.00000000,1667948279999,111602.46200000,13,8287.00000000,32836.69500000,0
23,1667948280000,3.96000000,3.96200000,3.94200000,3.94200000,13224.00000000,1667948339999,52358.03800000,14,2033.00000000,8048.64700000,0
