,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.20940000,0.21030000,0.20930000,0.20990000,288659.00000000,1667946779999,60563.70240000,198,139848.00000000,29338.46000000,0
1,1667946780000,0.20990000,0.21000000,0.20950000,0.20970000,103365.00000000,1667946839999,21683.35590000,112,39591.00000000,8308.08350000,0
2,1667946840000,0.20970000,0.20970000,0.20890000,0.20900000,329525.00000000,1667946899999,68925.49030000,179,216537.00000000,45290.11440000,0
3,1667946900000,0.20900000,0.20910000,0.20860000,0.20870000,293008.00000000,1667946959999,61179.55230000,158,132483.00000000,27662.09810000,0
4,1667946960000,0.20870000,0.20990000,0.20860000,0.20960000,358809.00000000,1667947019999,75018.89850000,162,284889.00000000,59556.29650000,0
5,1667947020000,0.20950000,0.20960000,0.20840000,0.20840000,532490.00000000,1667947079999,111178.46340000,267,241141.00000000,50330.66260000,0
6,1667947080000,0.20850000,0.20890000,0.20820000,0.20850000,512305.00000000,1667947139999,106842.49570000,221,370879.00000000,77360.02680000,0
7,1667947140000,0.20850000,0.20860000,0.20820000,0.20830000,115924.00000000,1667947199999,24151.93540000,94,49046.00000000,10221.49440000,0
8,1667947200000,0.20820000,0.20820000,0.20720000,0.20740000,441234.00000000,1667947259999,91590.18460000,297,147170.00000000,30539.56400000,0
9,1667947260000,0.20740000,0.20760000,0.20680000,0.20710000,895238.00000000,1667947319999,185590.27340000,312,511276.00000000,106027.12440000,0
10,1667947320000,0.20720000,0.20770000,0.20680000,0.20770000,816908.00000000,1667947379999,169389.80450000,345,293500.00000000,60901.92790000,0
11,1667947380000,0.20770000,0.20900000,0.20760000,0.20900000,240412.00000000,1667947439999,50129.19130000,231,229972.00000000,47953.53900000,0
12,1667947440000,0.20900000,0.20900000,0.20820000,0.20820000,280613.00000000,1667947499999,58579.96100000,137,76237.00000000,15925.65320000,0
13,1667947500000,0.20820000,0.20830000,0.20790000,0.20790000,131409.00000000,1667947559999,27341.58110000,121,101016.00000000,21019.72480000,0
14,1667947560000,0.20790000,0.20880000,0.20790000,0.20860000,125027.00000000,1667947619999,26037.02220000,117,92578.00000000,19282.90110000,0
15,1667947620000,0.20870000,0.20900000,0.20860000,0.20900000,170160.00000000,1667947679999,35517.36790000,90,143317.00000000,29916.08940000,0
16,1667947680000,0.20900000,0.20920000,0.20870000,0.20870000,242568.00000000,1667947739999,50693.29350000,167,144031.00000000,30104.46080000,0
17,1667947740000,0.20870000,0.20870000,0.20630000,0.20640000,1456600.00000000,1667947799999,301235.17290000,375,231840.00000000,47945.23500000,0
18,1667947800000,0.20640000,0.20640000,0.20610000,0.20620000,367771.00000000,1667947859999,75866.78870000,192,207121.00000000,42732.14490000,0
19,1667947860000,0.20620000,0.20730000,0.20620000,0.20730000,243809.00000000,1667947919999,50372.02120000,137,228311.00000000,47172.49730000,0
20,1667947920000,0.20730000,0.20740000,0.20700000,0.20730000,208426.00000000,1667947979999,43190.99850000,119,126300.00000000,26178.86750000,0
21,1667947980000,0.20730000,0.20920000,0.20730000,0.20910000,465667.00000000,1667948039999,97019.42290000,270,389467.00000000,81105.01770000,0
22,1667948040000,0.20920000,0.20980000,0.20870000,0.20930000,494310.00000000,1667948099999,103399.45090000,349,175114.00000000,36652.18940000,0
23,1667948100000,0.20930000,0.20940000,0.20880000,0.20930000,139064.00000000,1667948159999,29090.60380000,136,63514.00000000,13288.49150000,0
24,1667948160000,0.20930000,0.20970000,0.20890000,0.20890000,268395.00000000,1667948219999,56203.21240000,163,73552.00000000,15415.69850000,0
25,1667948220000,0.20890000,0.20900000,0.20830000,0.20860000,270570.00000000,1667948279999,56432.25150000,192,139216.00000000,29039.44970000,0
26,1667948280000,0.20860000,0.20880000,0.20760000,0.20780000,313931.00000000,1667948339999,65366.85410000,198,120228.00000000,25008.32040000,0
27,1667948340000,0.20770000,0.20820000,0.20760000,0.20770000,329338.00000000,1667948399999,68477.29020000,198,178953.00000000,37213.24130000,0
28,1667948400000,0.20760000,0.20800000,0.20760000,0.20780000,263497.00000000,1667948459999,54766.87070000,125,109082.00000000,22677.33870000,0
29,1667948460000,0.20790000,0.20790000,0.20660000,0.20680000,542859.00000000,1667948519999,112463.37780000,262,195918.00000000,40569.04070000,0
30,1667948520000,0.20690000,0.20710000,0.20540000,0.20710000,2323194.00000000,1667948579999,478639.94310000,533,711149.00000000,146755.98760000,0
31,1667948580000,0.20710000,0.20860000,0.20710000,0.20850000,625376.00000000,1667948639999,130135.94610000,361,333828.00000000,69465.71640000,0
32,1667948640000,0.20850000,0.20960000,0.20850000,0.20940000,314658.00000000,1667948699999,65738.28730000,229,241776.00000000,50498.62650000,0
33,1667948700000,0.20940000,0.21020000,0.20900000,0.21000000,431341.00000000,1667948759999,90442.94790000,258,282042.00000000,59167.86280000,0
34,1667948760000,0.21000000,0.21160000,0.20980000,0.21160000,1137211.00000000,1667948819999,239831.07450000,438,973166.00000000,205283.09760000,0
35,1667948820000,0.21160000,0.21170000,0.21020000,0.21040000,753999.00000000,1667948879999,159010.71640000,376,321329.00000000,67724.70770000,0
36,1667948880000,0.21040000,0.21050000,0.20950000,0.20960000,492433.00000000,1667948939999,103345.45540000,269,228599.00000000,47975.46500000,0
37,1667948940000,0.20960000,0.20970000,0.20840000,0.20970000,1125990.00000000,1667948999999,235241.98760000,452,454237.00000000,94983.25670000,0
38,1667949000000,0.20970000,0.21170000,0.20970000,0.21120000,442207.00000000,1667949059999,93110.21370000,319,318225.00000000,66945.20940000,0
39,1667949060000,0.21110000,0.21150000,0.21050000,0.21070000,605354.00000000,1667949119999,127852.95010000,259,404181.00000000,85386.60470000,0
40,1667949120000,0.21070000,0.21110000,0.21020000,0.21020000,269806.00000000,1667949179999,56801.71530000,180,125604.00000000,26442.28530000,0
41,1667949180000,0.21030000,0.21060000,0.20990000,0.21030000,437319.00000000,1667949239999,91960.19030000,208,235632.00000000,49574.78330000,0
42,1667949240000,0.21030000,0.21100000,0.20980000,0.21000000,662861.00000000,1667949299999,139487.12020000,358,307898.00000000,64833.20790000,0
43,1667949300000,0.20990000,0.21060000,0.20970000,0.21040000,218063.00000000,1667949359999,45825.21130000,209,97583.00000000,20505.05940000,0
44,1667949360000,0.21050000,0.21100000,0.20930000,0.20950000,508243.00000000,1667949419999,106787.74770000,382,268610.00000000,56396.00840000,0
45,1667949420000,0.20960000,0.20990000,0.20900000,0.20900000,262791.00000000,1667949479999,55054.28630000,212,132029.00000000,27666.72740000,0
46,1667949480000,0.20910000,0.20910000,0.20810000,0.20840000,232307.00000000,1667949539999,48463.82680000,199,125935.00000000,26272.28540000,0
47,1667949540000,0.20830000,0.20910000,0.20790000,0.20830000,372430.00000000,1667949599999,77667.29600000,243,193290.00000000,40312.74120000,0
48,1667949600000,0.20830000,0.20930000,0.20780000,0.20890000,476083.00000000,1667949659999,99208.36690000,338,299821.00000000,62488.69430000,0
49,1667949660000,0.20880000,0.20900000,0.20810000,0.20840000,261844.00000000,1667949719999,54596.30660000,166,113645.00000000,23702.16080000,0
50,1667949720000,0.20830000,0.20900000,0.20770000,0.20880000,756605.00000000,1667949779999,157538.13160000,303,250489.00000000,52186.19950000,0
51,1667949780000,0.20870000,0.20980000,0.20870000,0.20960000,298061.00000000,1667949839999,62384.95470000,200,179825.00000000,37637.13860000,0
52,1667949840000,0.20950000,0.21040000,0.20910000,0.21000000,365378.00000000,1667949899999,76636.26850000,244,231621.00000000,48578.41980000,0
53,1667949900000,0.21010000,0.21060000,0.20960000,0.21050000,196106.00000000,1667949959999,41206.97380000,145,124199.00000000,26094.78990000,0
54,1667949960000,0.21050000,0.21050000,0.20900000,0.20970000,480155.00000000,1667950019999,100631.62020000,250,150237.00000000,31479.74340000,0
55,1667950020000,0.20970000,0.21050000,0.20890000,0.20990000,361372.00000000,1667950079999,75795.75800000,259,171435.00000000,35963.56920000,0
56,1667950080000,0.20980000,0.21060000,0.20940000,0.21060000,442316.00000000,1667950139999,92840.78860000,288,215162.00000000,45160.25430000,0
57,1667950140000,0.21060000,0.21190000,0.21020000,0.21160000,646097.00000000,1667950199999,136335.34980000,371,453894.00000000,95783.74500000,0
58,1667950200000,0.21160000,0.21180000,0.20980000,0.21000000,551113.00000000,1667950259999,116312.55520000,312,207186.00000000,43758.80520000,0
59,1667950260000,0.21000000,0.21090000,0.20960000,0.21050000,846862.00000000,1667950319999,177772.65090000,476,677179.00000000,142143.55850000,0
60,1667950320000,0.21060000,0.21100000,0.21000000,0.21080000,290545.00000000,1667950379999,61172.40870000,239,158566.00000000,33383.71540000,0
61,1667950380000,0.21090000,0.21170000,0.21050000,0.21160000,348076.00000000,1667950439999,73522.92580000,268,170168.00000000,35938.70910000,0
62,1667950440000,0.21170000,0.21280000,0.21130000,0.21270000,578337.00000000,1667950499999,122669.65350000,286,455999.00000000,96751.86800000,0
63,1667950500000,0.21260000,0.21400000,0.21210000,0.21380000,2165762.00000000,1667950559999,461174.24970000,531,889075.00000000,189790.93760000,0
64,1667950560000,0.21360000,0.21400000,0.21330000,0.21350000,427852.00000000,1667950619999,91421.60000000,276,227684.00000000,48654.60530000,0
65,1667950620000,0.21340000,0.21490000,0.21320000,0.21470000,1087288.00000000,1667950679999,232930.50650000,550,588308.00000000,126060.91050000,0
66,1667950680000,0.21470000,0.21540000,0.21420000,0.21500000,688309.00000000,1667950739999,147884.86140000,417,380294.00000000,81743.88090000,0
67,1667950740000,0.21510000,0.21620000,0.21470000,0.21620000,812477.00000000,1667950799999,175109.45150000,410,564576.00000000,121763.43350000,0
68,1667950800000,0.21620000,0.21630000,0.21460000,0.21580000,1070128.00000000,1667950859999,230400.27160000,436,260243.00000000,56091.02950000,0
69,1667950860000,0.21590000,0.21650000,0.21540000,0.21650000,718471.00000000,1667950919999,155188.50070000,328,365915.00000000,79072.52180000,0
70,1667950920000,0.21640000,0.21730000,0.21560000,0.21620000,837927.00000000,1667950979999,181571.02750000,439,573132.00000000,124248.10160000,0
71,1667950980000,0.21630000,0.21720000,0.21590000,0.21600000,592739.00000000,1667951039999,128352.56360000,333,322944.00000000,69956.03150000,0
72,1667951040000,0.21590000,0.21680000,0.21530000,0.21660000,345275.00000000,1667951099999,74594.37500000,224,198039.00000000,42808.92380000,0
73,1667951100000,0.21670000,0.21670000,0.21530000,0.21540000,297501.00000000,1667951159999,64266.88420000,181,68110.00000000,14717.85660000,0
74,1667951160000,0.21530000,0.21540000,0.21360000,0.21450000,853972.00000000,1667951219999,183177.58560000,462,285881.00000000,61300.33740000,0
75,1667951220000,0.21440000,0.21500000,0.21390000,0.21460000,359806.00000000,1667951279999,77129.20270000,224,179620.00000000,38526.79620000,0
76,1667951280000,0.21460000,0.21460000,0.21390000,0.21410000,297803.00000000,1667951339999,63796.38260000,177,95297.00000000,20420.94490000,0
77,1667951340000,0.21390000,0.21470000,0.21370000,0.21420000,392517.00000000,1667951399999,84074.73780000,238,149086.00000000,31941.99470000,0
78,1667951400000,0.21430000,0.21430000,0.21300000,0.21320000,592858.00000000,1667951459999,126680.97060000,351,234710.00000000,50179.66920000,0
79,1667951460000,0.21310000,0.21400000,0.21310000,0.21360000,603695.00000000,1667951519999,128946.54340000,312,358032.00000000,76488.58850000,0
80,1667951520000,0.21350000,0.21350000,0.21240000,0.21240000,798203.00000000,1667951579999,169983.67420000,408,196595.00000000,41880.01890000,0
81,1667951580000,0.21240000,0.21300000,0.21200000,0.21220000,396652.00000000,1667951639999,84222.05110000,224,258945.00000000,54982.31950000,0
82,1667951640000,0.21210000,0.21300000,0.21130000,0.21170000,921127.00000000,1667951699999,195131.54810000,396,276144.00000000,58611.19460000,0
83,1667951700000,0.21160000,0.21250000,0.21150000,0.21220000,436996.00000000,1667951759999,92604.96620000,238,269196.00000000,57053.79500000,0
84,1667951760000,0.21190000,0.21260000,0.21100000,0.21240000,3037601.00000000,1667951819999,642548.03830000,555,1120487.00000000,236990.77400000,0
85,1667951820000,0.21230000,0.21330000,0.21230000,0.21310000,466916.00000000,1667951879999,99429.35750000,290,309584.00000000,65929.46980000,0
