,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,4.94000000,4.94000000,4.93000000,4.93000000,30.30000000,1667947079999,149.53050000,3,0.00000000,0.00000000,0
1,1667947080000,4.95000000,4.96000000,4.93000000,4.93000000,325.37000000,1667947139999,1609.85630000,11,239.11000000,1184.59450000,0
2,1667947140000,4.93000000,4.95000000,4.93000000,4.94000000,93.64000000,1667947199999,462.48020000,3,73.42000000,362.79560000,0
3,1667947200000,4.94000000,4.94000000,4.94000000,4.94000000,21.19000000,1667947259999,104.67860000,1,21.19000000,104.67860000,0
4,1667947260000,4.92000000,4.95000000,4.92000000,4.95000000,50.58000000,1667947319999,249.72800000,5,30.30000000,149.95040000,0
5,1667947320000,4.95000000,4.95000000,4.93000000,4.95000000,82.08000000,1667947379999,405.89040000,7,61.80000000,305.91000000,0
6,1667947380000,4.95000000,4.95000000,4.95000000,4.95000000,60.60000000,1667947439999,299.97000000,7,60.60000000,299.97000000,0
7,1667947440000,4.95000000,4.95000000,4.92000000,4.92000000,642.66000000,1667947499999,3164.35470000,17,41.34000000,203.84730000,0
8,1667947500000,4.91000000,4.92000000,4.90000000,4.90000000,703.87000000,1667947559999,3450.89000000,16,205.12000000,1006.81260000,0
9,1667947560000,4.89000000,4.89000000,4.89000000,4.89000000,525.24000000,1667947619999,2568.42360000,21,255.23000000,1248.07470000,0
10,1667947620000,4.89000000,4.92000000,4.88000000,4.92000000,1933.14000000,1667947679999,9439.42330000,43,1087.07000000,5310.50170000,0
11,1667947680000,4.92000000,4.93000000,4.92000000,4.93000000,71.97000000,1667947739999,354.21240000,4,71.97000000,354.21240000,0
12,1667947740000,4.92000000,4.93000000,4.89000000,4.92000000,533.99000000,1667947799999,2624.05460000,19,412.90000000,2029.73210000,0
13,1667947800000,4.92000000,4.92000000,4.92000000,4.92000000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
14,1667947860000,4.90000000,4.92000000,4.90000000,4.92000000,184.21000000,1667947919999,905.03060000,14,148.61000000,730.38720000,0
15,1667947920000,4.92000000,4.93000000,4.92000000,4.93000000,71.20000000,1667947979999,350.90100000,8,71.20000000,350.90100000,0
16,1667947980000,4.93000000,4.96000000,4.93000000,4.96000000,606.74000000,1667948039999,2995.58060000,35,594.75000000,2936.23010000,0
17,1667948040000,4.96000000,4.98000000,4.96000000,4.98000000,1076.05000000,1667948099999,5353.01720000,23,1045.16000000,5199.80280000,0
18,1667948100000,4.98000000,4.99000000,4.98000000,4.99000000,295.41000000,1667948159999,1473.94440000,31,295.41000000,1473.94440000,0
19,1667948160000,4.99000000,5.00000000,4.97000000,5.00000000,320.44000000,1667948219999,1600.33340000,27,282.94000000,1413.25260000,0
20,1667948220000,4.97000000,5.00000000,4.97000000,5.00000000,82.97000000,1667948279999,413.97540000,9,64.82000000,323.52870000,0
21,1667948280000,5.00000000,5.01000000,4.97000000,5.01000000,1613.67000000,1667948339999,8070.82340000,25,1586.94000000,7937.74220000,0
22,1667948340000,4.99000000,4.99000000,4.99000000,4.99000000,22.84000000,1667948399999,113.97160000,3,7.59000000,37.87410000,0
23,1667948400000,4.98000000,4.98000000,4.97000000,4.97000000,22.46000000,1667948459999,111.82730000,3,0.00000000,0.00000000,0
