,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,9.33000000,9.37000000,9.26000000,9.37000000,83.96200000,1667946899999,782.02108000,10,14.82300000,138.75788000,0
1,1667946900000,9.37000000,9.37000000,9.37000000,9.37000000,3.11900000,1667946959999,29.22503000,1,3.11900000,29.22503000,0
2,1667946960000,9.37000000,9.37000000,9.37000000,9.37000000,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
3,1667947020000,9.37000000,9.37000000,9.37000000,9.37000000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
4,1667947080000,9.34000000,9.35000000,9.22000000,9.23000000,316.71100000,1667947139999,2925.13209000,13,122.75100000,1134.95912000,0
5,1667947140000,9.23000000,9.23000000,9.22000000,9.23000000,220.36500000,1667947199999,2033.51035000,12,220.36500000,2033.51035000,0
6,1667947200000,9.23000000,9.23000000,9.23000000,9.23000000,495.06100000,1667947259999,4569.41303000,4,495.06100000,4569.41303000,0
7,1667947260000,9.34000000,9.34000000,9.34000000,9.34000000,2.61500000,1667947319999,24.42410000,1,2.61500000,24.42410000,0
8,1667947320000,9.34000000,9.34000000,9.34000000,9.34000000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
9,1667947380000,9.30000000,9.31000000,9.30000000,9.31000000,125.25100000,1667947439999,1165.90792000,2,125.25100000,1165.90792000,0
10,1667947440000,9.32000000,9.32000000,9.32000000,9.32000000,1.18300000,1667947499999,11.02556000,1,1.18300000,11.02556000,0
11,1667947500000,9.32000000,9.35000000,9.32000000,9.34000000,78.67000000,1667947559999,734.21032000,6,28.22600000,263.06632000,0
12,1667947560000,9.43000000,9.49000000,9.42000000,9.46000000,81.83900000,1667947619999,772.56941000,7,81.83900000,772.56941000,0
13,1667947620000,9.46000000,9.46000000,9.37000000,9.37000000,12.33200000,1667947679999,115.98842000,2,4.86200000,45.99452000,0
14,1667947680000,9.37000000,9.37000000,9.37000000,9.37000000,7.59300000,1667947739999,71.14641000,2,0.00000000,0.00000000,0
15,1667947740000,9.36000000,9.36000000,9.31000000,9.31000000,240.92000000,1667947799999,2245.24584000,9,16.83600000,157.06496000,0
16,1667947800000,9.27000000,9.28000000,9.14000000,9.28000000,306.00000000,1667947859999,2804.65137000,12,99.91700000,913.94138000,0
17,1667947860000,9.28000000,9.36000000,9.28000000,9.36000000,49.16100000,1667947919999,457.83332000,5,49.16100000,457.83332000,0
18,1667947920000,9.22000000,9.22000000,9.11000000,9.11000000,24.05700000,1667947979999,221.10087000,3,0.00000000,0.00000000,0
19,1667947980000,9.20000000,9.20000000,9.16000000,9.16000000,13.88200000,1667948039999,127.66696000,4,12.69600000,116.80320000,0
20,1667948040000,9.20000000,9.31000000,9.20000000,9.24000000,338.36700000,1667948099999,3127.19625000,11,165.94200000,1533.26980000,0
21,1667948100000,9.24000000,9.24000000,9.22000000,9.24000000,373.21000000,1667948159999,3447.64381000,11,373.21000000,3447.64381000,0
22,1667948160000,9.23000000,9.23000000,9.23000000,9.23000000,5.17400000,1667948219999,47.75602000,2,0.00000000,0.00000000,0
23,1667948220000,9.23000000,9.23000000,9.23000000,9.23000000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
24,1667948280000,9.28000000,9.30000000,9.28000000,9.28000000,49.86500000,1667948339999,463.26896000,4,41.53900000,386.00368000,0
25,1667948340000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
26,1667948400000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
27,1667948460000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
28,1667948520000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
29,1667948580000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
30,1667948640000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
31,1667948700000,9.20000000,9.20000000,9.20000000,9.20000000,17.37500000,1667948759999,159.85000000,3,8.32600000,76.59920000,0
32,1667948760000,9.20000000,9.20000000,9.20000000,9.20000000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
33,1667948820000,9.20000000,9.20000000,9.20000000,9.20000000,4.95500000,1667948879999,45.58600000,1,4.95500000,45.58600000,0
34,1667948880000,9.30000000,9.30000000,9.30000000,9.30000000,184.51900000,1667948939999,1716.02670000,2,184.51900000,1716.02670000,0
35,1667948940000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
36,1667949000000,9.36000000,9.36000000,9.30000000,9.30000000,16.43100000,1667949059999,153.54506000,3,0.00000000,0.00000000,0
37,1667949060000,9.36000000,9.36000000,9.28000000,9.28000000,42.11000000,1667949119999,391.77642000,6,0.00000000,0.00000000,0
38,1667949120000,9.28000000,9.28000000,9.28000000,9.28000000,26.17400000,1667949179999,242.89472000,1,0.00000000,0.00000000,0
39,1667949180000,9.30000000,9.30000000,9.30000000,9.30000000,8.38700000,1667949239999,77.99910000,1,8.38700000,77.99910000,0
40,1667949240000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
41,1667949300000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949359999,0.00000000,0,0.00000000,0.00000000,0
42,1667949360000,9.30000000,9.30000000,9.30000000,9.30000000,26.17900000,1667949419999,243.46470000,2,26.17900000,243.46470000,0
43,1667949420000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949479999,0.00000000,0,0.00000000,0.00000000,0
44,1667949480000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949539999,0.00000000,0,0.00000000,0.00000000,0
45,1667949540000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949599999,0.00000000,0,0.00000000,0.00000000,0
46,1667949600000,9.32000000,9.32000000,9.30000000,9.30000000,12.38200000,1667949659999,115.27246000,4,0.00000000,0.00000000,0
47,1667949660000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949719999,0.00000000,0,0.00000000,0.00000000,0
48,1667949720000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949779999,0.00000000,0,0.00000000,0.00000000,0
49,1667949780000,9.30000000,9.30000000,9.30000000,9.30000000,0.00000000,1667949839999,0.00000000,0,0.00000000,0.00000000,0
50,1667949840000,9.30000000,9.30000000,9.30000000,9.30000000,13.31300000,1667949899999,123.81090000,4,0.00000000,0.00000000,0
51,1667949900000,9.33000000,9.37000000,9.30000000,9.30000000,305.17100000,1667949959999,2849.51568000,15,238.98600000,2230.56317000,0
52,1667949960000,9.33000000,9.34000000,9.33000000,9.34000000,18.38400000,1667950019999,171.65295000,5,13.02300000,121.63482000,0
53,1667950020000,9.34000000,9.48000000,9.32000000,9.39000000,162.11100000,1667950079999,1529.13852000,19,127.61600000,1204.48259000,0
54,1667950080000,9.40000000,9.40000000,9.35000000,9.35000000,5.69400000,1667950139999,53.46950000,3,0.00000000,0.00000000,0
55,1667950140000,9.45000000,9.45000000,9.45000000,9.45000000,17.47100000,1667950199999,165.10095000,3,15.00000000,141.75000000,0
56,1667950200000,9.42000000,9.42000000,9.33000000,9.33000000,61.57300000,1667950259999,575.76241000,4,0.00000000,0.00000000,0
57,1667950260000,9.33000000,9.33000000,9.33000000,9.33000000,0.00000000,1667950319999,0.00000000,0,0.00000000,0.00000000,0
58,1667950320000,9.33000000,9.33000000,9.33000000,9.33000000,0.00000000,1667950379999,0.00000000,0,0.00000000,0.00000000,0
59,1667950380000,9.33000000,9.33000000,9.33000000,9.33000000,0.00000000,1667950439999,0.00000000,0,0.00000000,0.00000000,0
60,1667950440000,9.42000000,9.42000000,9.42000000,9.42000000,32.81000000,1667950499999,309.07020000,3,32.81000000,309.07020000,0
61,1667950500000,9.42000000,9.42000000,9.42000000,9.42000000,0.00000000,1667950559999,0.00000000,0,0.00000000,0.00000000,0
62,1667950560000,9.42000000,9.42000000,9.42000000,9.42000000,0.00000000,1667950619999,0.00000000,0,0.00000000,0.00000000,0
63,1667950620000,9.47000000,9.49000000,9.47000000,9.49000000,30.80200000,1667950679999,292.13140000,4,30.80200000,292.13140000,0
64,1667950680000,9.49000000,9.49000000,9.49000000,9.49000000,0.00000000,1667950739999,0.00000000,0,0.00000000,0.00000000,0
65,1667950740000,9.47000000,9.47000000,9.47000000,9.47000000,8.58400000,1667950799999,81.29048000,2,3.14100000,29.74527000,0
66,1667950800000,9.45000000,9.45000000,9.43000000,9.43000000,272.44900000,1667950859999,2570.08955000,6,16.15100000,152.30393000,0
67,1667950860000,9.43000000,9.43000000,9.43000000,9.43000000,0.00000000,1667950919999,0.00000000,0,0.00000000,0.00000000,0
68,1667950920000,9.43000000,9.43000000,9.43000000,9.43000000,0.00000000,1667950979999,0.00000000,0,0.00000000,0.00000000,0
69,1667950980000,9.43000000,9.43000000,9.43000000,9.43000000,0.00000000,1667951039999,0.00000000,0,0.00000000,0.00000000,0
70,1667951040000,9.43000000,9.43000000,9.43000000,9.43000000,0.00000000,1667951099999,0.00000000,0,0.00000000,0.00000000,0
71,1667951100000,9.43000000,9.43000000,9.43000000,9.43000000,0.00000000,1667951159999,0.00000000,0,0.00000000,0.00000000,0
72,1667951160000,9.43000000,9.45000000,9.43000000,9.45000000,10.44100000,1667951219999,98.62745000,3,8.44100000,79.76745000,0
73,1667951220000,9.45000000,9.45000000,9.45000000,9.45000000,0.00000000,1667951279999,0.00000000,0,0.00000000,0.00000000,0
74,1667951280000,9.43000000,9.43000000,9.34000000,9.36000000,19.44300000,1667951339999,181.92357000,4,19.44300000,181.92357000,0
75,1667951340000,9.36000000,9.36000000,9.36000000,9.36000000,0.00000000,1667951399999,0.00000000,0,0.00000000,0.00000000,0
76,1667951400000,9.34000000,9.39000000,9.33000000,9.33000000,142.37900000,1667951459999,1335.34448000,12,129.38500000,1214.05912000,0
77,1667951460000,9.38000000,9.38000000,9.38000000,9.38000000,1.06600000,1667951519999,9.99908000,1,1.06600000,9.99908000,0
78,1667951520000,9.38000000,9.38000000,9.38000000,9.38000000,0.00000000,1667951579999,0.00000000,0,0.00000000,0.00000000,0
79,1667951580000,9.38000000,9.38000000,9.38000000,9.38000000,0.00000000,1667951639999,0.00000000,0,0.00000000,0.00000000,0
80,1667951640000,9.31000000,9.31000000,9.31000000,9.31000000,55.86000000,1667951699999,520.05660000,3,0.00000000,0.00000000,0
81,1667951700000,9.30000000,9.30000000,9.30000000,9.30000000,12.00000000,1667951759999,111.60000000,1,0.00000000,0.00000000,0
82,1667951760000,9.31000000,9.31000000,9.31000000,9.31000000,48.16300000,1667951819999,448.39753000,1,0.00000000,0.00000000,0
83,1667951820000,9.31000000,9.31000000,9.31000000,9.31000000,0.00000000,1667951879999,0.00000000,0,0.00000000,0.00000000,0
84,1667951880000,9.26000000,9.27000000,9.26000000,9.26000000,54.46700000,1667951939999,504.81573000,3,54.46700000,504.81573000,0
85,1667951940000,9.26000000,9.26000000,9.26000000,9.26000000,4.09700000,1667951999999,37.93822000,1,4.09700000,37.93822000,0
86,1667952000000,9.26000000,9.26000000,9.26000000,9.26000000,0.00000000,1667952059999,0.00000000,0,0.00000000,0.00000000,0
87,1667952060000,9.34000000,9.34000000,9.34000000,9.34000000,108.27200000,1667952119999,1011.26048000,4,23.75500000,221.87170000,0
88,1667952120000,9.31000000,9.34000000,9.31000000,9.34000000,128.27800000,1667952179999,1194.75778000,4,117.67200000,1095.69774000,0
89,1667952180000,9.34000000,9.34000000,9.34000000,9.34000000,0.00000000,1667952239999,0.00000000,0,0.00000000,0.00000000,0
90,1667952240000,9.34000000,9.34000000,9.34000000,9.34000000,0.00000000,1667952299999,0.00000000,0,0.00000000,0.00000000,0
91,1667952300000,9.26000000,9.26000000,9.26000000,9.26000000,34.06000000,1667952359999,315.39560000,1,0.00000000,0.00000000,0
92,1667952360000,9.30000000,9.33000000,9.30000000,9.33000000,24.99300000,1667952419999,232.93203000,3,8.42200000,78.32460000,0
93,1667952420000,9.30000000,9.30000000,9.26000000,9.28000000,78.00000000,1667952479999,724.60788000,6,0.00000000,0.00000000,0
94,1667952480000,9.24000000,9.24000000,9.22000000,9.22000000,19.39800000,1667952539999,179.19058000,5,0.00000000,0.00000000,0
95,1667952540000,9.24000000,9.24000000,9.24000000,9.24000000,2.34700000,1667952599999,21.68628000,1,0.00000000,0.00000000,0
96,1667952600000,9.24000000,9.24000000,9.24000000,9.24000000,0.00000000,1667952659999,0.00000000,0,0.00000000,0.00000000,0
97,1667952660000,9.24000000,9.24000000,9.24000000,9.24000000,1.35100000,1667952719999,12.48324000,2,0.00000000,0.00000000,0
98,1667952720000,9.24000000,9.24000000,9.24000000,9.24000000,0.00000000,1667952779999,0.00000000,0,0.00000000,0.00000000,0
99,1667952780000,9.24000000,9.24000000,9.24000000,9.24000000,0.00000000,1667952839999,0.00000000,0,0.00000000,0.00000000,0
100,1667952840000,9.24000000,9.24000000,9.24000000,9.24000000,0.00000000,1667952899999,0.00000000,0,0.00000000,0.00000000,0
101,1667952900000,9.28000000,9.28000000,9.28000000,9.28000000,58.99700000,1667952959999,547.49216000,3,58.99700000,547.49216000,0
102,1667952960000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667953019999,0.00000000,0,0.00000000,0.00000000,0
103,1667953020000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667953079999,0.00000000,0,0.00000000,0.00000000,0
104,1667953080000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667953139999,0.00000000,0,0.00000000,0.00000000,0
105,1667953140000,9.28000000,9.28000000,9.28000000,9.28000000,9.45700000,1667953199999,87.76096000,1,9.45700000,87.76096000,0
106,1667953200000,9.27000000,9.27000000,9.27000000,9.27000000,1.74700000,1667953259999,16.19469000,1,0.00000000,0.00000000,0
107,1667953260000,9.27000000,9.27000000,9.27000000,9.27000000,18.18700000,1667953319999,168.59349000,1,0.00000000,0.00000000,0
108,1667953320000,9.36000000,9.36000000,9.36000000,9.36000000,1.38800000,1667953379999,12.99168000,1,1.38800000,12.99168000,0
109,1667953380000,9.36000000,9.36000000,9.36000000,9.36000000,0.00000000,1667953439999,0.00000000,0,0.00000000,0.00000000,0
110,1667953440000,9.36000000,9.36000000,9.36000000,9.36000000,0.00000000,1667953499999,0.00000000,0,0.00000000,0.00000000,0
111,1667953500000,9.36000000,9.36000000,9.36000000,9.36000000,0.00000000,1667953559999,0.00000000,0,0.00000000,0.00000000,0
112,1667953560000,9.29000000,9.31000000,9.29000000,9.31000000,16.84400000,1667953619999,156.52348000,2,2.13600000,19.88616000,0
113,1667953620000,9.31000000,9.31000000,9.31000000,9.31000000,0.00000000,1667953679999,0.00000000,0,0.00000000,0.00000000,0
114,1667953680000,9.31000000,9.31000000,9.31000000,9.31000000,0.00000000,1667953739999,0.00000000,0,0.00000000,0.00000000,0
115,1667953740000,9.28000000,9.28000000,9.28000000,9.28000000,27.82700000,1667953799999,258.23456000,3,2.15400000,19.98912000,0
116,1667953800000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667953859999,0.00000000,0,0.00000000,0.00000000,0
117,1667953860000,9.28000000,9.28000000,9.28000000,9.28000000,0.00000000,1667953919999,0.00000000,0,0.00000000,0.00000000,0
118,1667953920000,9.28000000,9.28000000,9.28000000,9.28000000,12.28700000,1667953979999,114.02336000,2,0.00000000,0.00000000,0
119,1667953980000,9.27000000,9.27000000,9.27000000,9.27000000,9.45300000,1667954039999,87.62931000,1,9.45300000,87.62931000,0
120,1667954040000,9.26000000,9.26000000,9.25000000,9.25000000,9.35000000,1667954099999,86.54857000,3,6.10700000,56.55082000,0
121,1667954100000,9.22000000,9.23000000,9.22000000,9.23000000,10.32300000,1667954159999,95.23376000,3,9.13300000,84.26196000,0
