,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,2.71100000,2.71100000,2.71100000,2.71100000,68.59000000,1667947019999,185.94749000,2,68.59000000,185.94749000,0
1,1667947020000,2.71000000,2.71100000,2.70100000,2.70100000,36.00000000,1667947079999,97.51400000,3,30.60000000,82.92860000,0
2,1667947080000,2.70100000,2.70100000,2.70100000,2.70100000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
3,1667947140000,2.70000000,2.70000000,2.70000000,2.70000000,19.35000000,1667947199999,52.24500000,1,0.00000000,0.00000000,0
4,1667947200000,2.70600000,2.70600000,2.70600000,2.70600000,13.41000000,1667947259999,36.28746000,1,13.41000000,36.28746000,0
5,1667947260000,2.70000000,2.70600000,2.69000000,2.70600000,1357.33000000,1667947319999,3660.94103000,12,355.42000000,958.40472000,0
6,1667947320000,2.70700000,2.70700000,2.70700000,2.70700000,50.49000000,1667947379999,136.67643000,3,50.49000000,136.67643000,0
7,1667947380000,2.69900000,2.70800000,2.69900000,2.70800000,236.85000000,1667947439999,639.44066000,3,21.03000000,56.94248000,0
8,1667947440000,2.70800000,2.70800000,2.70800000,2.70800000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
9,1667947500000,2.70800000,2.70800000,2.70800000,2.70800000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
10,1667947560000,2.70600000,2.70700000,2.70000000,2.70000000,456.81000000,1667947619999,1236.36735000,8,45.82000000,123.98892000,0
11,1667947620000,2.70800000,2.70800000,2.69900000,2.70000000,67.63000000,1667947679999,182.64614000,6,7.13000000,19.30804000,0
12,1667947680000,2.70000000,2.70000000,2.69100000,2.69900000,399.42000000,1667947739999,1077.41101000,13,0.00000000,0.00000000,0
13,1667947740000,2.68100000,2.69200000,2.68100000,2.69200000,29.50000000,1667947799999,79.36120000,2,24.70000000,66.49240000,0
14,1667947800000,2.68300000,2.70700000,2.68300000,2.70700000,1499.34000000,1667947859999,4046.25267000,17,866.38000000,2337.96947000,0
15,1667947860000,2.70100000,2.71000000,2.69200000,2.70400000,382.57000000,1667947919999,1034.31109000,16,231.65000000,626.88348000,0
16,1667947920000,2.70400000,2.70400000,2.68100000,2.68200000,1193.29000000,1667947979999,3206.91810000,15,0.00000000,0.00000000,0
17,1667947980000,2.70700000,2.71200000,2.69100000,2.71200000,100.44000000,1667948039999,270.87704000,8,8.44000000,22.85291000,0
18,1667948040000,2.70200000,2.71400000,2.70100000,2.71400000,15.37000000,1667948099999,41.57838000,3,4.31000000,11.69734000,0
19,1667948100000,2.70300000,2.70300000,2.70100000,2.70100000,37.30000000,1667948159999,100.78328000,3,0.00000000,0.00000000,0
20,1667948160000,2.70100000,2.70100000,2.70100000,2.70100000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
21,1667948220000,2.71100000,2.71500000,2.70300000,2.70300000,402.54000000,1667948279999,1091.75923000,8,334.00000000,906.43961000,0
22,1667948280000,2.71300000,2.71700000,2.71300000,2.71600000,345.44000000,1667948339999,937.96968000,11,345.44000000,937.96968000,0
23,1667948340000,2.71600000,2.72300000,2.71600000,2.72300000,453.98000000,1667948399999,1234.44721000,7,453.98000000,1234.44721000,0
24,1667948400000,2.70900000,2.71100000,2.66100000,2.67400000,7406.84000000,1667948459999,19820.18381000,92,3609.30000000,9647.02269000,0
25,1667948460000,2.67400000,2.67400000,2.67400000,2.67400000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
26,1667948520000,2.67400000,2.67400000,2.67400000,2.67400000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
27,1667948580000,2.66500000,2.67200000,2.65800000,2.67200000,598.44000000,1667948639999,1593.10226000,12,47.97000000,128.10068000,0
28,1667948640000,2.66400000,2.68100000,2.66400000,2.68100000,114.33000000,1667948699999,305.55056000,10,106.98000000,285.97016000,0
29,1667948700000,2.68100000,2.68100000,2.68100000,2.68100000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
30,1667948760000,2.68100000,2.68100000,2.68100000,2.68100000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
31,1667948820000,2.68300000,2.69000000,2.68300000,2.69000000,68.41000000,1667948879999,183.73296000,4,68.41000000,183.73296000,0
32,1667948880000,2.67200000,2.67200000,2.67200000,2.67200000,6.89000000,1667948939999,18.41008000,1,0.00000000,0.00000000,0
33,1667948940000,2.68600000,2.69000000,2.68300000,2.68300000,706.19000000,1667948999999,1898.79570000,11,700.02000000,1882.24159000,0
34,1667949000000,2.69500000,2.70200000,2.68800000,2.69000000,119.02000000,1667949059999,320.33170000,7,37.37000000,100.74393000,0
35,1667949060000,2.69000000,2.69000000,2.68300000,2.68300000,228.62000000,1667949119999,614.49454000,8,5.89000000,15.84410000,0
