,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,6.26000000,6.26000000,6.25000000,6.26000000,3040.83000000,1667946899999,19035.27140000,59,3008.39000000,18832.52140000,0
1,1667946900000,6.26000000,6.26000000,6.25000000,6.26000000,4350.09000000,1667946959999,27196.36280000,77,2468.01000000,15433.36280000,0
2,1667946960000,6.26000000,6.27000000,6.25000000,6.27000000,4657.18000000,1667947019999,29159.09210000,43,4548.80000000,28480.66840000,0
3,1667947020000,6.27000000,6.27000000,6.24000000,6.24000000,4823.03000000,1667947079999,30175.01640000,49,1708.45000000,10692.00290000,0
4,1667947080000,6.25000000,6.25000000,6.23000000,6.24000000,6386.63000000,1667947139999,39853.01580000,70,1122.13000000,7011.17490000,0
5,1667947140000,6.24000000,6.24000000,6.23000000,6.24000000,679.12000000,1667947199999,4236.23490000,29,531.73000000,3317.99520000,0
6,1667947200000,6.23000000,6.24000000,6.22000000,6.23000000,5592.54000000,1667947259999,34841.71190000,125,3020.27000000,18817.48340000,0
7,1667947260000,6.23000000,6.24000000,6.23000000,6.24000000,2930.09000000,1667947319999,18262.76980000,47,2794.21000000,17416.23740000,0
8,1667947320000,6.24000000,6.25000000,6.24000000,6.25000000,2419.49000000,1667947379999,15099.61790000,40,1866.98000000,11651.95550000,0
9,1667947380000,6.24000000,6.25000000,6.24000000,6.25000000,53.72000000,1667947439999,335.44760000,6,23.48000000,146.75000000,0
10,1667947440000,6.25000000,6.25000000,6.23000000,6.24000000,8337.48000000,1667947499999,51995.38940000,66,1216.79000000,7593.83500000,0
11,1667947500000,6.24000000,6.24000000,6.22000000,6.22000000,8954.76000000,1667947559999,55780.00010000,123,1995.78000000,12440.01340000,0
12,1667947560000,6.22000000,6.25000000,6.22000000,6.25000000,10347.57000000,1667947619999,64539.82410000,67,7703.41000000,48053.95150000,0
13,1667947620000,6.25000000,6.25000000,6.24000000,6.25000000,1727.07000000,1667947679999,10792.90090000,61,1598.41000000,9990.06250000,0
14,1667947680000,6.25000000,6.26000000,6.24000000,6.25000000,1534.30000000,1667947739999,9589.75180000,70,646.94000000,4044.18130000,0
15,1667947740000,6.25000000,6.25000000,6.21000000,6.21000000,10053.89000000,1667947799999,62629.64820000,128,5399.26000000,33635.40620000,0
