,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.10940000,0.10950000,0.10930000,0.10950000,10219.00000000,1667946779999,1118.02500000,26,3201.00000000,350.31790000,0
1,1667946780000,0.10940000,0.10940000,0.10940000,0.10940000,2204.00000000,1667946839999,241.11760000,6,1071.00000000,117.16740000,0
2,1667946840000,0.10930000,0.10930000,0.10920000,0.10920000,5858.00000000,1667946899999,640.15830000,17,0.00000000,0.00000000,0
3,1667946900000,0.10930000,0.10930000,0.10900000,0.10900000,17312.00000000,1667946959999,1888.44150000,22,2674.00000000,292.03650000,0
4,1667946960000,0.10930000,0.10930000,0.10930000,0.10930000,553.00000000,1667947019999,60.44290000,2,553.00000000,60.44290000,0
5,1667947020000,0.10920000,0.10920000,0.10870000,0.10890000,75510.00000000,1667947079999,8215.97940000,43,1943.00000000,211.62480000,0
6,1667947080000,0.10890000,0.10890000,0.10880000,0.10880000,292.00000000,1667947139999,31.77970000,2,101.00000000,10.99890000,0
7,1667947140000,0.10880000,0.10880000,0.10860000,0.10860000,495.00000000,1667947199999,53.83580000,3,0.00000000,0.00000000,0
8,1667947200000,0.10870000,0.10890000,0.10860000,0.10880000,24052.00000000,1667947259999,2615.76010000,28,18350.00000000,1996.26170000,0
9,1667947260000,0.10880000,0.10890000,0.10880000,0.10880000,2910.00000000,1667947319999,316.78680000,7,2910.00000000,316.78680000,0
10,1667947320000,0.10890000,0.10890000,0.10890000,0.10890000,7245.00000000,1667947379999,788.98050000,8,3889.00000000,423.51210000,0
11,1667947380000,0.10890000,0.10890000,0.10890000,0.10890000,398.00000000,1667947439999,43.34220000,1,0.00000000,0.00000000,0
12,1667947440000,0.10890000,0.10890000,0.10880000,0.10880000,3495.00000000,1667947499999,380.39920000,7,0.00000000,0.00000000,0
13,1667947500000,0.10880000,0.10880000,0.10880000,0.10880000,92.00000000,1667947559999,10.00960000,1,92.00000000,10.00960000,0
14,1667947560000,0.10880000,0.10880000,0.10880000,0.10880000,1003.00000000,1667947619999,109.12640000,3,1003.00000000,109.12640000,0
15,1667947620000,0.10890000,0.10890000,0.10880000,0.10890000,6802.00000000,1667947679999,740.33500000,16,1562.00000000,170.10180000,0
16,1667947680000,0.10890000,0.10890000,0.10890000,0.10890000,1893.00000000,1667947739999,206.14770000,6,0.00000000,0.00000000,0
17,1667947740000,0.10890000,0.10890000,0.10840000,0.10840000,13937.00000000,1667947799999,1513.43750000,26,102.00000000,11.07720000,0
18,1667947800000,0.10840000,0.10840000,0.10810000,0.10810000,45978.00000000,1667947859999,4978.22850000,45,12199.00000000,1321.14970000,0
19,1667947860000,0.10830000,0.10860000,0.10810000,0.10860000,7109.00000000,1667947919999,769.94060000,16,4766.00000000,516.56620000,0
20,1667947920000,0.10830000,0.10840000,0.10830000,0.10840000,6176.00000000,1667947979999,669.43980000,11,0.00000000,0.00000000,0
21,1667947980000,0.10840000,0.10910000,0.10840000,0.10900000,30833.00000000,1667948039999,3353.45740000,45,29502.00000000,3208.85020000,0
22,1667948040000,0.10910000,0.10940000,0.10910000,0.10920000,21979.00000000,1667948099999,2400.87790000,25,19824.00000000,2165.40290000,0
23,1667948100000,0.10920000,0.10930000,0.10880000,0.10910000,274801.00000000,1667948159999,29959.20950000,91,8523.00000000,930.04430000,0
24,1667948160000,0.10900000,0.10920000,0.10890000,0.10910000,5411.00000000,1667948219999,590.05980000,29,101.00000000,11.02920000,0
25,1667948220000,0.10910000,0.10910000,0.10910000,0.10910000,93884.00000000,1667948279999,10242.74440000,60,0.00000000,0.00000000,0
26,1667948280000,0.10910000,0.10920000,0.10880000,0.10900000,122127.00000000,1667948339999,13314.49510000,43,374.00000000,40.84080000,0
27,1667948340000,0.10900000,0.10910000,0.10900000,0.10900000,11461.00000000,1667948399999,1249.25910000,14,101.00000000,11.01910000,0
28,1667948400000,0.10900000,0.10900000,0.10880000,0.10880000,31701.00000000,1667948459999,3455.18920000,22,101.00000000,10.99890000,0
29,1667948460000,0.10890000,0.10890000,0.10760000,0.10780000,285006.00000000,1667948519999,30760.76890000,117,30135.00000000,3256.31660000,0
30,1667948520000,0.10790000,0.10820000,0.10750000,0.10820000,155571.00000000,1667948579999,16750.57310000,52,27273.00000000,2944.59080000,0
31,1667948580000,0.10830000,0.10910000,0.10830000,0.10900000,160104.00000000,1667948639999,17433.02630000,103,144866.00000000,15774.84810000,0
32,1667948640000,0.10910000,0.10930000,0.10890000,0.10890000,88526.00000000,1667948699999,9649.68550000,56,10302.00000000,1124.65960000,0
33,1667948700000,0.10920000,0.10950000,0.10910000,0.10940000,15904.00000000,1667948759999,1738.38640000,26,12561.00000000,1373.06740000,0
34,1667948760000,0.10950000,0.11020000,0.10950000,0.10950000,136292.00000000,1667948819999,14991.55010000,96,127552.00000000,14032.97920000,0
35,1667948820000,0.10960000,0.10960000,0.10840000,0.10910000,224056.00000000,1667948879999,24449.68070000,86,9151.00000000,999.51720000,0
36,1667948880000,0.10910000,0.10920000,0.10910000,0.10920000,2906.00000000,1667948939999,317.11110000,12,665.00000000,72.61800000,0
37,1667948940000,0.10910000,0.10930000,0.10910000,0.10930000,89447.00000000,1667948999999,9759.27790000,57,4162.00000000,454.68440000,0
38,1667949000000,0.10930000,0.11030000,0.10930000,0.10990000,271634.00000000,1667949059999,29834.10910000,58,263997.00000000,28993.82680000,0
39,1667949060000,0.11010000,0.11040000,0.10990000,0.10990000,110215.00000000,1667949119999,12153.37090000,65,35613.00000000,3925.95440000,0
40,1667949120000,0.10990000,0.10990000,0.10960000,0.10970000,9017.00000000,1667949179999,990.09800000,21,225.00000000,24.72750000,0
41,1667949180000,0.10980000,0.10980000,0.10980000,0.10980000,354.00000000,1667949239999,38.86920000,2,354.00000000,38.86920000,0
42,1667949240000,0.10980000,0.11010000,0.10980000,0.10990000,5917.00000000,1667949299999,650.44800000,16,5816.00000000,639.34810000,0
43,1667949300000,0.11000000,0.11050000,0.10960000,0.11010000,126313.00000000,1667949359999,13872.65400000,69,49644.00000000,5466.00530000,0
44,1667949360000,0.11020000,0.11050000,0.10960000,0.10960000,106552.00000000,1667949419999,11759.55200000,48,87457.00000000,9660.21440000,0
45,1667949420000,0.10970000,0.10970000,0.10960000,0.10960000,3824.00000000,1667949479999,419.47080000,6,3204.00000000,351.47880000,0
46,1667949480000,0.10960000,0.10970000,0.10910000,0.10930000,12297.00000000,1667949539999,1346.20760000,27,200.00000000,21.90000000,0
47,1667949540000,0.10930000,0.10970000,0.10930000,0.10970000,6556.00000000,1667949599999,718.37290000,9,6007.00000000,658.36720000,0
48,1667949600000,0.10950000,0.10950000,0.10930000,0.10930000,4516.00000000,1667949659999,494.28080000,8,0.00000000,0.00000000,0
49,1667949660000,0.10940000,0.10940000,0.10940000,0.10940000,114.00000000,1667949719999,12.47160000,1,0.00000000,0.00000000,0
50,1667949720000,0.10940000,0.10960000,0.10930000,0.10960000,6031.00000000,1667949779999,660.43760000,8,3921.00000000,429.70160000,0
51,1667949780000,0.10940000,0.10990000,0.10940000,0.10990000,7698.00000000,1667949839999,844.88840000,12,7559.00000000,829.68180000,0
52,1667949840000,0.10970000,0.11010000,0.10970000,0.11010000,6465.00000000,1667949899999,710.35470000,9,6065.00000000,666.47470000,0
53,1667949900000,0.10990000,0.10990000,0.10990000,0.10990000,2434.00000000,1667949959999,267.49660000,2,2434.00000000,267.49660000,0
54,1667949960000,0.10980000,0.10980000,0.10970000,0.10980000,5790.00000000,1667950019999,635.62080000,8,2412.00000000,264.83760000,0
55,1667950020000,0.10970000,0.11020000,0.10970000,0.11010000,16489.00000000,1667950079999,1813.94320000,22,13756.00000000,1514.06310000,0
56,1667950080000,0.11000000,0.11050000,0.11000000,0.11050000,9118.00000000,1667950139999,1004.40350000,16,5666.00000000,624.65160000,0
57,1667950140000,0.11030000,0.11060000,0.11010000,0.11060000,13786.00000000,1667950199999,1523.09680000,12,13179.00000000,1456.26610000,0
58,1667950200000,0.11060000,0.11070000,0.11020000,0.11020000,10478.00000000,1667950259999,1157.25280000,17,2539.00000000,281.01830000,0
59,1667950260000,0.11020000,0.11030000,0.11000000,0.11030000,6211.00000000,1667950319999,684.24100000,12,2147.00000000,236.75060000,0
