,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,49.04000000,49.07000000,48.95000000,49.01000000,81.17000000,1667946899999,3978.41390000,27,72.01000000,3529.82400000,0
1,1667946900000,48.94000000,48.97000000,48.90000000,48.90000000,17.72000000,1667946959999,867.03310000,12,16.12000000,788.72910000,0
2,1667946960000,48.90000000,49.07000000,48.83000000,49.07000000,62.13000000,1667947019999,3036.53940000,26,35.08000000,1714.87490000,0
3,1667947020000,49.07000000,49.07000000,48.88000000,48.96000000,63.78000000,1667947079999,3124.62600000,16,16.31000000,798.45000000,0
4,1667947080000,48.91000000,48.91000000,48.83000000,48.89000000,34.38000000,1667947139999,1680.08230000,11,9.05000000,442.51450000,0
5,1667947140000,48.89000000,48.89000000,48.78000000,48.84000000,27.22000000,1667947199999,1329.41870000,11,15.72000000,768.18890000,0
6,1667947200000,48.86000000,48.87000000,48.79000000,48.84000000,16.91000000,1667947259999,825.50040000,8,6.68000000,326.37870000,0
7,1667947260000,48.79000000,48.90000000,48.76000000,48.90000000,96.74000000,1667947319999,4720.97820000,17,41.20000000,2012.19800000,0
8,1667947320000,48.87000000,48.93000000,48.87000000,48.93000000,66.82000000,1667947379999,3265.80540000,4,58.27000000,2847.65490000,0
9,1667947380000,48.94000000,48.94000000,48.94000000,48.94000000,7.00000000,1667947439999,342.58000000,2,7.00000000,342.58000000,0
10,1667947440000,48.94000000,48.94000000,48.84000000,48.84000000,21.62000000,1667947499999,1057.55580000,10,17.70000000,865.79600000,0
11,1667947500000,48.84000000,48.84000000,48.81000000,48.81000000,12.88000000,1667947559999,628.92990000,8,10.87000000,530.82180000,0
12,1667947560000,48.84000000,48.84000000,48.83000000,48.83000000,172.48000000,1667947619999,8423.90860000,19,171.02000000,8352.61680000,0
13,1667947620000,48.86000000,48.98000000,48.86000000,48.94000000,35.04000000,1667947679999,1713.89510000,9,33.69000000,1647.82610000,0
14,1667947680000,48.96000000,48.96000000,48.84000000,48.84000000,25.55000000,1667947739999,1249.68830000,13,6.65000000,325.57790000,0
15,1667947740000,48.87000000,48.87000000,48.57000000,48.58000000,335.43000000,1667947799999,16312.44320000,39,51.53000000,2504.26660000,0
16,1667947800000,48.58000000,48.62000000,48.57000000,48.62000000,18.11000000,1667947859999,879.82620000,8,17.83000000,866.21260000,0
17,1667947860000,48.65000000,48.69000000,48.64000000,48.64000000,5.97000000,1667947919999,290.47720000,5,1.67000000,81.28520000,0
18,1667947920000,48.64000000,48.74000000,48.61000000,48.74000000,43.02000000,1667947979999,2093.98930000,21,25.10000000,1222.43550000,0
19,1667947980000,48.83000000,48.90000000,48.83000000,48.90000000,174.81000000,1667948039999,8546.53370000,24,153.15000000,7487.98850000,0
20,1667948040000,48.90000000,48.90000000,48.80000000,48.90000000,1142.26000000,1667948099999,55846.63200000,141,802.94000000,39263.63810000,0
21,1667948100000,48.86000000,48.90000000,48.86000000,48.90000000,196.69000000,1667948159999,9614.40910000,10,184.74000000,9030.49120000,0
22,1667948160000,48.89000000,48.90000000,48.83000000,48.83000000,76.85000000,1667948219999,3755.42070000,18,18.85000000,921.70830000,0
23,1667948220000,48.82000000,48.86000000,48.78000000,48.83000000,104.53000000,1667948279999,5105.98780000,12,92.62000000,4524.55360000,0
24,1667948280000,48.82000000,48.88000000,48.67000000,48.67000000,42.71000000,1667948339999,2083.77140000,23,11.54000000,563.70350000,0
25,1667948340000,48.67000000,48.89000000,48.66000000,48.75000000,200.57000000,1667948399999,9784.24020000,42,176.77000000,8623.69680000,0
26,1667948400000,48.77000000,48.84000000,48.69000000,48.69000000,29.93000000,1667948459999,1458.63940000,19,7.74000000,377.43090000,0
27,1667948460000,48.65000000,48.69000000,48.58000000,48.65000000,93.77000000,1667948519999,4558.81380000,21,35.51000000,1726.47330000,0
28,1667948520000,48.60000000,48.65000000,48.50000000,48.65000000,95.23000000,1667948579999,4624.46330000,20,58.14000000,2823.36840000,0
29,1667948580000,48.73000000,48.90000000,48.73000000,48.80000000,74.12000000,1667948639999,3616.17590000,23,47.39000000,2312.84520000,0
30,1667948640000,48.83000000,48.92000000,48.83000000,48.89000000,15.40000000,1667948699999,752.68970000,10,10.83000000,529.32980000,0
31,1667948700000,48.86000000,49.00000000,48.86000000,49.00000000,196.51000000,1667948759999,9619.35600000,40,158.00000000,7734.26940000,0
32,1667948760000,49.00000000,49.05000000,48.98000000,49.00000000,74.61000000,1667948819999,3656.58240000,21,47.96000000,2350.34660000,0
33,1667948820000,48.99000000,48.99000000,48.84000000,48.84000000,213.53000000,1667948879999,10436.68120000,44,154.14000000,7531.31950000,0
34,1667948880000,48.84000000,48.89000000,48.81000000,48.87000000,104.85000000,1667948939999,5121.46910000,31,45.52000000,2224.01360000,0
35,1667948940000,48.82000000,48.90000000,48.80000000,48.90000000,78.38000000,1667948999999,3826.47950000,23,41.06000000,2004.67660000,0
36,1667949000000,48.96000000,49.19000000,48.95000000,49.13000000,131.84000000,1667949059999,6468.03490000,30,67.02000000,3285.76910000,0
37,1667949060000,49.07000000,49.10000000,48.96000000,49.01000000,204.54000000,1667949119999,10024.74230000,42,65.77000000,3223.00920000,0
38,1667949120000,49.01000000,49.02000000,48.81000000,48.86000000,131.32000000,1667949179999,6422.54080000,36,20.09000000,982.39490000,0
