,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
1,1667947080000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
2,1667947140000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
3,1667947200000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947259999,0.00000000,0,0.00000000,0.00000000,0
4,1667947260000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
5,1667947320000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
6,1667947380000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
7,1667947440000,0.11490000,0.11490000,0.11490000,0.11490000,914.00000000,1667947499999,105.01860000,3,0.00000000,0.00000000,0
8,1667947500000,0.11500000,0.11500000,0.11500000,0.11500000,2236.50000000,1667947559999,257.19750000,2,2236.50000000,257.19750000,0
9,1667947560000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
10,1667947620000,0.11500000,0.11500000,0.11500000,0.11500000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,0.11500000,0.11500000,0.11500000,0.11500000,914.00000000,1667947739999,105.11000000,1,0.00000000,0.00000000,0
12,1667947740000,0.11480000,0.11480000,0.11460000,0.11470000,6247.00000000,1667947799999,716.70028000,9,538.00000000,61.70860000,0
13,1667947800000,0.11450000,0.11450000,0.11450000,0.11450000,4314.40000000,1667947859999,493.99880000,1,4314.40000000,493.99880000,0
14,1667947860000,0.11450000,0.11450000,0.11450000,0.11450000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
15,1667947920000,0.11430000,0.11430000,0.11430000,0.11430000,700.00000000,1667947979999,80.01000000,1,0.00000000,0.00000000,0
16,1667947980000,0.11450000,0.11460000,0.11450000,0.11460000,1925.80000000,1667948039999,220.60528000,3,1925.80000000,220.60528000,0
17,1667948040000,0.11480000,0.11480000,0.11480000,0.11480000,4367.20000000,1667948099999,501.35456000,5,3046.20000000,349.70376000,0
18,1667948100000,0.11480000,0.11480000,0.11480000,0.11480000,1049.00000000,1667948159999,120.42520000,2,1049.00000000,120.42520000,0
19,1667948160000,0.11480000,0.11480000,0.11480000,0.11480000,1321.00000000,1667948219999,151.65080000,1,0.00000000,0.00000000,0
20,1667948220000,0.11480000,0.11480000,0.11480000,0.11480000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
21,1667948280000,0.11460000,0.11460000,0.11460000,0.11460000,1071.80000000,1667948339999,122.82828000,2,0.00000000,0.00000000,0
22,1667948340000,0.11460000,0.11460000,0.11460000,0.11460000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
23,1667948400000,0.11460000,0.11460000,0.11460000,0.11460000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
24,1667948460000,0.11460000,0.11460000,0.11460000,0.11460000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
25,1667948520000,0.11450000,0.11450000,0.11450000,0.11450000,1321.80000000,1667948579999,151.34610000,3,1321.80000000,151.34610000,0
26,1667948580000,0.11460000,0.11470000,0.11460000,0.11470000,4628.50000000,1667948639999,530.75677000,5,2392.00000000,274.23022000,0
27,1667948640000,0.11480000,0.11480000,0.11470000,0.11470000,3758.00000000,1667948699999,431.07050000,3,279.00000000,32.02920000,0
