,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,0.39910000,0.39910000,0.39910000,0.39910000,0.00000000,1667946839999,0.00000000,0,0.00000000,0.00000000,0
1,1667946840000,0.39900000,0.39900000,0.39810000,0.39810000,626.10000000,1667946899999,249.69024000,5,478.70000000,191.00130000,0
2,1667946900000,0.39780000,0.39810000,0.39740000,0.39800000,4110.40000000,1667946959999,1635.52313000,13,2547.60000000,1013.79638000,0
3,1667946960000,0.39820000,0.39820000,0.39820000,0.39820000,457.50000000,1667947019999,182.17650000,1,457.50000000,182.17650000,0
4,1667947020000,0.39950000,0.39950000,0.39780000,0.39780000,1970.10000000,1667947079999,785.35495000,2,0.00000000,0.00000000,0
5,1667947080000,0.39780000,0.39810000,0.39750000,0.39750000,2200.40000000,1667947139999,875.10930000,5,660.40000000,262.73730000,0
6,1667947140000,0.39750000,0.39750000,0.39700000,0.39700000,658.70000000,1667947199999,261.81825000,2,628.70000000,249.90825000,0
7,1667947200000,0.39700000,0.39700000,0.39610000,0.39610000,1160.10000000,1667947259999,460.45270000,5,503.90000000,199.99791000,0
8,1667947260000,0.39760000,0.39810000,0.39730000,0.39760000,1714.00000000,1667947319999,681.53543000,5,664.10000000,264.11016000,0
9,1667947320000,0.39770000,0.39880000,0.39770000,0.39840000,1671.10000000,1667947379999,665.73783000,7,395.70000000,157.63611000,0
10,1667947380000,0.39900000,0.39920000,0.39880000,0.39920000,670.00000000,1667947439999,267.33000000,4,375.30000000,149.80364000,0
11,1667947440000,0.39870000,0.39870000,0.39830000,0.39830000,270.20000000,1667947499999,107.70866000,2,0.00000000,0.00000000,0
12,1667947500000,0.39790000,0.39840000,0.39790000,0.39840000,179.60000000,1667947559999,71.52554000,2,125.40000000,49.95936000,0
13,1667947560000,0.39770000,0.39770000,0.39770000,0.39770000,338.10000000,1667947619999,134.46237000,2,338.10000000,134.46237000,0
14,1667947620000,0.39920000,0.39970000,0.39910000,0.39970000,1923.60000000,1667947679999,768.11528000,7,594.20000000,237.45174000,0
15,1667947680000,0.39980000,0.39980000,0.39930000,0.39930000,2422.50000000,1667947739999,967.77980000,6,671.00000000,268.26580000,0
16,1667947740000,0.39690000,0.39690000,0.39540000,0.39540000,2418.50000000,1667947799999,958.61220000,10,2075.70000000,822.86206000,0
17,1667947800000,0.39500000,0.39520000,0.39480000,0.39480000,1793.20000000,1667947859999,708.54542000,7,1348.60000000,532.96672000,0
18,1667947860000,0.39460000,0.39540000,0.39460000,0.39540000,1521.50000000,1667947919999,601.53502000,4,1438.90000000,568.94106000,0
19,1667947920000,0.39590000,0.39620000,0.39480000,0.39620000,1556.80000000,1667947979999,615.71743000,7,0.00000000,0.00000000,0
20,1667947980000,0.39700000,0.40030000,0.39700000,0.40030000,2010.40000000,1667948039999,800.42757000,14,2010.40000000,800.42757000,0
21,1667948040000,0.40040000,0.40160000,0.39950000,0.39990000,880.60000000,1667948099999,352.44593000,9,610.50000000,244.51898000,0
22,1667948100000,0.39990000,0.40020000,0.39940000,0.40020000,1189.70000000,1667948159999,475.68844000,6,524.70000000,209.97744000,0
23,1667948160000,0.39990000,0.39990000,0.39990000,0.39990000,984.20000000,1667948219999,393.58158000,1,0.00000000,0.00000000,0
24,1667948220000,0.39870000,0.39880000,0.39870000,0.39880000,4110.30000000,1667948279999,1638.84242000,3,4110.30000000,1638.84242000,0
25,1667948280000,0.39900000,0.39900000,0.39780000,0.39780000,1118.40000000,1667948339999,445.57393000,9,351.10000000,139.92585000,0
26,1667948340000,0.39750000,0.39800000,0.39750000,0.39800000,1030.90000000,1667948399999,409.94580000,2,704.80000000,280.15800000,0
27,1667948400000,0.39750000,0.39800000,0.39750000,0.39800000,1380.20000000,1667948459999,548.91998000,5,400.00000000,159.20000000,0
28,1667948460000,0.39770000,0.39770000,0.39600000,0.39600000,1871.10000000,1667948519999,741.18078000,10,169.60000000,67.16160000,0
29,1667948520000,0.39610000,0.39720000,0.39580000,0.39720000,4667.70000000,1667948579999,1850.28237000,7,2364.80000000,937.10998000,0
30,1667948580000,0.39790000,0.39930000,0.39790000,0.39930000,2467.00000000,1667948639999,983.36724000,10,1053.40000000,419.82564000,0
31,1667948640000,0.40000000,0.40050000,0.40000000,0.40050000,3767.80000000,1667948699999,1507.18270000,8,3767.80000000,1507.18270000,0
32,1667948700000,0.40020000,0.40140000,0.40020000,0.40120000,409.10000000,1667948759999,164.02520000,4,97.00000000,38.91988000,0
33,1667948760000,0.40160000,0.40160000,0.40130000,0.40130000,1169.70000000,1667948819999,469.47162000,3,50.10000000,20.12016000,0
34,1667948820000,0.40080000,0.40080000,0.39940000,0.39940000,1763.70000000,1667948879999,704.82043000,6,1500.50000000,599.49980000,0
35,1667948880000,0.39890000,0.39890000,0.39860000,0.39860000,2250.80000000,1667948939999,897.61030000,3,779.40000000,310.66884000,0
36,1667948940000,0.39820000,0.39820000,0.39780000,0.39780000,707.40000000,1667948999999,281.55744000,5,0.00000000,0.00000000,0
37,1667949000000,0.40010000,0.40140000,0.39970000,0.40080000,3577.50000000,1667949059999,1434.73636000,18,1670.90000000,670.10998000,0
38,1667949060000,0.40080000,0.40080000,0.39990000,0.40050000,2157.20000000,1667949119999,863.46819000,6,1607.90000000,643.53375000,0
39,1667949120000,0.39990000,0.39990000,0.39970000,0.39970000,1809.10000000,1667949179999,723.34713000,4,0.00000000,0.00000000,0
40,1667949180000,0.39970000,0.39970000,0.39970000,0.39970000,362.70000000,1667949239999,144.97119000,1,362.70000000,144.97119000,0
41,1667949240000,0.40000000,0.40140000,0.40000000,0.40100000,3161.90000000,1667949299999,1266.98778000,9,524.90000000,210.59278000,0
42,1667949300000,0.40060000,0.40220000,0.40060000,0.40220000,138.20000000,1667949359999,55.46198000,3,80.70000000,32.42748000,0
43,1667949360000,0.40250000,0.40250000,0.39950000,0.39950000,3112.90000000,1667949419999,1249.74401000,12,59.50000000,23.94875000,0
44,1667949420000,0.39950000,0.39950000,0.39950000,0.39950000,0.00000000,1667949479999,0.00000000,0,0.00000000,0.00000000,0
45,1667949480000,0.39870000,0.39880000,0.39760000,0.39810000,2246.50000000,1667949539999,894.93542000,10,1471.80000000,586.14404000,0
46,1667949540000,0.39760000,0.39970000,0.39720000,0.39970000,1822.40000000,1667949599999,726.22038000,8,1459.40000000,581.93618000,0
47,1667949600000,0.39870000,0.39870000,0.39720000,0.39720000,938.10000000,1667949659999,372.94047000,4,0.00000000,0.00000000,0
48,1667949660000,0.39900000,0.39910000,0.39830000,0.39850000,713.80000000,1667949719999,284.69426000,4,491.00000000,195.93610000,0
49,1667949720000,0.39850000,0.39850000,0.39850000,0.39850000,567.40000000,1667949779999,226.10890000,2,0.00000000,0.00000000,0
50,1667949780000,0.40010000,0.40130000,0.40010000,0.40120000,1131.50000000,1667949839999,453.64236000,8,899.40000000,360.66310000,0
