,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,21.45000000,21.48000000,21.43000000,21.44000000,141.41000000,1667946779999,3032.97500000,27,64.95000000,1392.73930000,0
1,1667946780000,21.45000000,21.46000000,21.44000000,21.44000000,55.52000000,1667946839999,1190.78850000,9,22.41000000,480.71860000,0
2,1667946840000,21.44000000,21.45000000,21.38000000,21.39000000,91.91000000,1667946899999,1968.32590000,31,5.84000000,125.26800000,0
3,1667946900000,21.38000000,21.39000000,21.35000000,21.36000000,91.97000000,1667946959999,1965.50550000,29,34.28000000,732.85140000,0
4,1667946960000,21.35000000,21.43000000,21.35000000,21.43000000,98.65000000,1667947019999,2111.65030000,18,86.65000000,1855.45030000,0
5,1667947020000,21.42000000,21.42000000,21.35000000,21.37000000,264.53000000,1667947079999,5657.00390000,45,97.75000000,2089.51230000,0
6,1667947080000,21.38000000,21.38000000,21.36000000,21.36000000,67.64000000,1667947139999,1445.12800000,14,16.88000000,360.77440000,0
7,1667947140000,21.35000000,21.35000000,21.33000000,21.33000000,50.10000000,1667947199999,1069.27540000,22,1.87000000,39.90580000,0
8,1667947200000,21.33000000,21.34000000,21.29000000,21.34000000,220.63000000,1667947259999,4702.13530000,42,137.13000000,2922.96600000,0
9,1667947260000,21.34000000,21.36000000,21.34000000,21.35000000,30.34000000,1667947319999,647.92230000,6,28.36000000,605.64930000,0
10,1667947320000,21.37000000,21.37000000,21.37000000,21.37000000,25.23000000,1667947379999,539.16510000,8,4.37000000,93.38690000,0
11,1667947380000,21.38000000,21.39000000,21.38000000,21.38000000,49.74000000,1667947439999,1063.69480000,17,38.54000000,824.23880000,0
12,1667947440000,21.37000000,21.37000000,21.31000000,21.31000000,537.38000000,1667947499999,11465.38260000,29,18.35000000,391.03850000,0
13,1667947500000,21.30000000,21.30000000,21.27000000,21.28000000,108.55000000,1667947559999,2311.07660000,20,32.40000000,689.47200000,0
14,1667947560000,21.31000000,21.40000000,21.31000000,21.40000000,790.52000000,1667947619999,16909.38880000,76,762.79000000,16317.04750000,0
15,1667947620000,21.39000000,21.40000000,21.38000000,21.39000000,257.92000000,1667947679999,5518.04770000,17,207.77000000,4445.75440000,0
16,1667947680000,21.38000000,21.40000000,21.38000000,21.39000000,203.07000000,1667947739999,4342.43030000,17,186.66000000,3991.58450000,0
17,1667947740000,21.37000000,21.37000000,21.25000000,21.26000000,1070.11000000,1667947799999,22815.43410000,106,649.61000000,13849.84570000,0
18,1667947800000,21.27000000,21.29000000,21.27000000,21.29000000,299.67000000,1667947859999,6374.46670000,24,283.44000000,6029.23840000,0
19,1667947860000,21.29000000,21.32000000,21.29000000,21.32000000,54.43000000,1667947919999,1159.79510000,15,25.23000000,537.54310000,0
20,1667947920000,21.32000000,21.35000000,21.30000000,21.35000000,91.80000000,1667947979999,1956.97570000,21,48.79000000,1040.48590000,0
21,1667947980000,21.37000000,21.44000000,21.37000000,21.44000000,52.19000000,1667948039999,1117.58630000,21,52.19000000,1117.58630000,0
22,1667948040000,21.45000000,21.54000000,21.44000000,21.46000000,1378.25000000,1667948099999,29608.25170000,154,461.21000000,9917.71070000,0
23,1667948100000,21.46000000,21.50000000,21.46000000,21.50000000,226.23000000,1667948159999,4859.30360000,14,224.73000000,4827.11360000,0
24,1667948160000,21.49000000,21.50000000,21.45000000,21.47000000,69.39000000,1667948219999,1490.12500000,19,7.88000000,169.29100000,0
25,1667948220000,21.45000000,21.45000000,21.42000000,21.45000000,114.05000000,1667948279999,2444.18070000,16,23.93000000,513.09030000,0
