,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,6953.05000000,6953.05000000,6934.28000000,6934.28000000,0.09240000,1667946959999,642.10331300,3,0.07330000,509.65856500,0
1,1667946960000,6935.06000000,6967.33000000,6935.06000000,6967.33000000,3.92220000,1667947019999,27238.11446000,23,0.33450000,2328.97954200,0
2,1667947020000,6949.74000000,6955.13000000,6930.00000000,6930.00000000,11.45540000,1667947079999,79488.10574200,38,2.91590000,20226.53124500,0
3,1667947080000,6940.72000000,6940.72000000,6930.00000000,6930.00000000,4.72750000,1667947139999,32781.64399900,19,1.92680000,13372.59223100,0
4,1667947140000,6930.00000000,6936.64000000,6917.08000000,6924.30000000,8.77550000,1667947199999,60792.13503400,32,2.58710000,17941.65187500,0
5,1667947200000,6924.19000000,6929.14000000,6913.00000000,6916.04000000,2.54650000,1667947259999,17620.00933700,21,0.81020000,5610.97025200,0
6,1667947260000,6928.46000000,6929.15000000,6918.26000000,6923.58000000,0.47510000,1667947319999,3289.59602200,8,0.00570000,39.49615500,0
7,1667947320000,6923.58000000,6941.43000000,6918.26000000,6932.67000000,0.64300000,1667947379999,4457.62296700,10,0.31640000,2196.12186200,0
8,1667947380000,6947.22000000,6947.65000000,6940.40000000,6946.84000000,0.68180000,1667947439999,4734.59008800,14,0.36470000,2533.63225300,0
9,1667947440000,6940.40000000,6944.55000000,6923.23000000,6930.45000000,0.78670000,1667947499999,5453.95387600,9,0.23660000,1642.32281700,0
10,1667947500000,6930.66000000,6932.91000000,6923.26000000,6923.26000000,1.50640000,1667947559999,10440.42968800,11,0.91510000,6343.75641800,0
11,1667947560000,6923.23000000,6938.66000000,6923.23000000,6928.43000000,0.82170000,1667947619999,5695.82558300,17,0.33980000,2357.54779200,0
12,1667947620000,6938.62000000,6944.10000000,6927.50000000,6936.41000000,1.93880000,1667947679999,13442.59950500,13,0.67900000,4713.18056400,0
13,1667947680000,6936.19000000,6936.19000000,6914.22000000,6914.22000000,0.62800000,1667947739999,4350.68931500,13,0.28480000,1974.92207400,0
14,1667947740000,6914.21000000,6914.21000000,6868.74000000,6892.77000000,14.81910000,1667947799999,102188.24614500,72,0.70420000,4847.63380600,0
15,1667947800000,6890.80000000,6901.29000000,6888.45000000,6899.44000000,2.53350000,1667947859999,17464.25331600,11,2.51180000,17314.77395100,0
16,1667947860000,6888.47000000,6900.17000000,6888.46000000,6896.75000000,1.64340000,1667947919999,11323.36077100,9,0.25340000,1748.16923500,0
17,1667947920000,6896.75000000,6896.95000000,6888.00000000,6896.81000000,1.36480000,1667947979999,9401.72062200,13,0.09340000,644.15710700,0
18,1667947980000,6897.13000000,6928.29000000,6897.13000000,6921.29000000,1.25190000,1667948039999,8656.70600100,10,1.19890000,8290.06607600,0
19,1667948040000,6935.13000000,6958.01000000,6935.13000000,6949.67000000,1.62320000,1667948099999,11263.99914600,14,0.17290000,1201.44365300,0
20,1667948100000,6949.89000000,6959.28000000,6949.67000000,6958.41000000,2.73540000,1667948159999,19023.08740400,10,2.72050000,18919.52565900,0
21,1667948160000,6953.12000000,6958.52000000,6943.81000000,6943.81000000,2.14780000,1667948219999,14936.46167800,9,0.99920000,6952.64183400,0
22,1667948220000,6943.75000000,6944.91000000,6933.97000000,6940.05000000,0.37860000,1667948279999,2628.39438900,8,0.37140000,2578.46980500,0
23,1667948280000,6940.66000000,6941.60000000,6910.00000000,6910.00000000,2.79170000,1667948339999,19332.71076800,14,0.47900000,3322.62664200,0
24,1667948340000,6902.86000000,6931.42000000,6902.86000000,6913.24000000,2.53040000,1667948399999,17510.83869800,15,2.42870000,16808.51663800,0
25,1667948400000,6910.88000000,6931.34000000,6897.51000000,6912.77000000,2.51500000,1667948459999,17383.69274100,18,1.76650000,12220.57649900,0
26,1667948460000,6902.42000000,6902.42000000,6891.34000000,6897.00000000,0.53100000,1667948519999,3662.33396800,6,0.00800000,55.21936000,0
27,1667948520000,6898.82000000,6906.81000000,6889.22000000,6906.33000000,10.85070000,1667948579999,74932.37787300,21,5.40450000,37323.31258400,0
28,1667948580000,6905.72000000,6945.65000000,6905.72000000,6945.32000000,3.11020000,1667948639999,21571.08788600,13,2.03980000,14158.06891600,0
29,1667948640000,6947.51000000,6957.64000000,6947.51000000,6954.08000000,0.14050000,1667948699999,976.88360300,4,0.06860000,476.88525100,0
30,1667948700000,6947.51000000,6968.93000000,6947.51000000,6968.91000000,0.21820000,1667948759999,1519.63308100,6,0.17080000,1190.29132800,0
31,1667948760000,6961.61000000,6999.99000000,6961.61000000,6973.52000000,2.42310000,1667948819999,16907.61264100,12,1.77050000,12361.79915300,0
32,1667948820000,6977.62000000,6977.62000000,6954.87000000,6954.87000000,1.13420000,1667948879999,7891.66346300,10,0.14310000,998.06676600,0
33,1667948880000,6970.33000000,6975.89000000,6962.59000000,6975.89000000,0.52970000,1667948939999,3690.34350000,6,0.32840000,2288.77413300,0
34,1667948940000,6971.67000000,6991.82000000,6961.78000000,6991.82000000,3.23460000,1667948999999,22602.45137700,17,2.90660000,20315.60347500,0
35,1667949000000,6980.64000000,6992.34000000,6972.22000000,6981.69000000,2.65390000,1667949059999,18534.13414700,17,1.37520000,9600.82148100,0
36,1667949060000,6981.69000000,6996.70000000,6970.01000000,6971.59000000,1.46760000,1667949119999,10243.39139500,13,0.32930000,2301.90299200,0
37,1667949120000,6985.21000000,6985.21000000,6970.20000000,6979.58000000,1.09920000,1667949179999,7668.61242100,9,0.72990000,5094.45476100,0
38,1667949180000,6970.24000000,6991.80000000,6970.24000000,6980.50000000,1.10170000,1667949239999,7687.01675000,10,0.31670000,2211.90137500,0
39,1667949240000,6980.13000000,6998.23000000,6980.13000000,6987.04000000,0.55980000,1667949299999,3912.11086400,8,0.08570000,599.71574500,0
40,1667949300000,6992.53000000,6998.17000000,6987.35000000,6987.35000000,2.18970000,1667949359999,15301.00395700,14,0.06490000,454.03279500,0
41,1667949360000,6998.23000000,6999.91000000,6974.25000000,6977.28000000,2.11070000,1667949419999,14726.37312400,13,0.23780000,1663.34406600,0
42,1667949420000,6978.23000000,6981.52000000,6964.36000000,6964.36000000,0.33620000,1667949479999,2344.95826900,5,0.27020000,1885.31050900,0
43,1667949480000,6972.03000000,6972.03000000,6952.35000000,6963.66000000,0.60600000,1667949539999,4219.25030600,9,0.25740000,1792.37929700,0
44,1667949540000,6963.66000000,6972.79000000,6952.75000000,6962.04000000,1.31090000,1667949599999,9130.66215600,14,0.47060000,3280.55680700,0
45,1667949600000,6967.28000000,6971.42000000,6931.82000000,6946.83000000,1.81050000,1667949659999,12578.68114800,16,0.41610000,2897.63540800,0
46,1667949660000,6951.28000000,6956.09000000,6943.52000000,6956.09000000,0.42830000,1667949719999,2975.76229900,7,0.19290000,1341.10303500,0
47,1667949720000,6956.21000000,6964.19000000,6937.65000000,6964.19000000,0.87610000,1667949779999,6089.62175900,12,0.32290000,2246.52175700,0
48,1667949780000,6964.25000000,6974.81000000,6942.79000000,6967.30000000,1.25510000,1667949839999,8729.58017100,14,0.20130000,1402.44909100,0
49,1667949840000,6967.24000000,6973.42000000,6961.35000000,6961.35000000,1.57180000,1667949899999,10947.17122900,8,1.51450000,10548.28587400,0
50,1667949900000,6964.15000000,6972.43000000,6964.15000000,6972.43000000,0.21740000,1667949959999,1514.02442600,2,0.21740000,1514.02442600,0
51,1667949960000,6972.43000000,6974.43000000,6950.11000000,6951.74000000,1.75160000,1667950019999,12202.79839300,18,1.21820000,8494.06218900,0
52,1667950020000,6960.00000000,6974.10000000,6942.65000000,6974.10000000,1.11540000,1667950079999,7750.65169800,9,0.14180000,988.24586600,0
53,1667950080000,6962.08000000,6976.57000000,6947.53000000,6968.42000000,0.49990000,1667950139999,3479.30682800,11,0.28400000,1978.27652900,0
54,1667950140000,6968.43000000,6978.81000000,6968.43000000,6970.61000000,0.79730000,1667950199999,5557.65093100,5,0.07300000,509.45313000,0
55,1667950200000,6968.42000000,6978.81000000,6942.65000000,6942.65000000,1.83020000,1667950259999,12746.19251600,16,0.32490000,2262.22666500,0
56,1667950260000,6960.00000000,6960.00000000,6942.65000000,6958.26000000,1.25530000,1667950319999,8724.31393400,13,0.21700000,1509.59197000,0
57,1667950320000,6959.17000000,6959.38000000,6944.61000000,6946.11000000,1.51530000,1667950379999,10540.20148500,11,0.43440000,3022.90396000,0
58,1667950380000,6974.57000000,6977.33000000,6951.90000000,6977.20000000,0.39750000,1667950439999,2772.71003100,6,0.37440000,2611.90576500,0
59,1667950440000,6976.75000000,6980.99000000,6974.85000000,6979.59000000,0.59340000,1667950499999,4141.54468800,14,0.52180000,3642.02037400,0
60,1667950500000,6974.85000000,6981.00000000,6974.85000000,6981.00000000,1.50840000,1667950559999,10529.68155200,13,1.40430000,9803.40045000,0
61,1667950560000,6999.44000000,6999.44000000,6980.80000000,6980.80000000,0.23770000,1667950619999,1661.12518000,6,0.00710000,49.69602400,0
62,1667950620000,6981.51000000,7003.88000000,6981.51000000,7003.88000000,2.58620000,1667950679999,18099.24441100,14,1.85450000,12983.65170600,0
63,1667950680000,7003.88000000,7007.00000000,6970.96000000,6999.44000000,3.76800000,1667950739999,26379.70983100,14,3.12160000,21864.43154200,0
64,1667950740000,6998.23000000,7013.17000000,6998.23000000,7013.17000000,1.20880000,1667950799999,8467.89110300,8,1.14110000,7994.02901500,0
65,1667950800000,7007.00000000,7007.96000000,6999.00000000,7007.96000000,1.24690000,1667950859999,8728.39472100,11,0.07280000,509.79087300,0
66,1667950860000,7007.18000000,7011.17000000,6988.99000000,7004.36000000,2.13570000,1667950919999,14965.70256400,14,1.97440000,13837.86583000,0
67,1667950920000,7004.36000000,7012.11000000,6991.77000000,6991.77000000,2.07960000,1667950979999,14575.87025400,19,1.64900000,11562.58518200,0
68,1667950980000,7009.57000000,7011.91000000,7008.47000000,7009.62000000,0.49330000,1667951039999,3458.78809700,8,0.12740000,893.15011800,0
69,1667951040000,7005.00000000,7030.00000000,7000.00000000,7030.00000000,4.50740000,1667951099999,31640.97495300,18,4.45810000,31295.80645300,0
70,1667951100000,7021.90000000,7030.00000000,7010.00000000,7019.78000000,2.10530000,1667951159999,14787.61796800,12,1.29490000,9098.36943800,0
71,1667951160000,6999.42000000,7018.46000000,6978.49000000,6992.43000000,2.44950000,1667951219999,17137.78978500,16,0.29660000,2079.25629400,0
72,1667951220000,6994.91000000,6995.03000000,6971.96000000,6983.96000000,1.19260000,1667951279999,8319.23907200,15,0.35220000,2459.71825800,0
73,1667951280000,6971.86000000,6983.71000000,6971.38000000,6983.70000000,1.54410000,1667951339999,10775.11564300,13,0.90610000,6327.28436700,0
74,1667951340000,6983.70000000,6990.87000000,6983.00000000,6983.00000000,1.75660000,1667951399999,12269.18875000,12,0.96590000,6746.56750800,0
75,1667951400000,6988.25000000,6990.86000000,6972.00000000,6981.55000000,4.15770000,1667951459999,29015.02152600,18,0.22890000,1599.24837100,0
76,1667951460000,6978.00000000,6991.29000000,6974.30000000,6974.30000000,0.98020000,1667951519999,6843.81202100,9,0.36030000,2518.77673400,0
77,1667951520000,6980.24000000,6980.24000000,6958.60000000,6958.60000000,0.27330000,1667951579999,1902.17722300,6,0.01070000,74.68061600,0
