,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,1.04670000,1.04670000,1.04600000,1.04620000,542.63000000,1667946839999,567.79762000,17,481.45000000,503.80334000,0
1,1667946840000,1.04420000,1.05020000,1.04350000,1.04630000,6127.29000000,1667946899999,6414.50239200,29,4058.71000000,4254.51508400,0
2,1667946900000,1.04710000,1.04710000,1.04610000,1.04660000,2532.59000000,1667946959999,2651.51357800,7,176.44000000,184.57388400,0
3,1667946960000,1.04680000,1.04680000,1.04280000,1.04280000,2668.17000000,1667947019999,2785.33325100,7,2283.64000000,2383.66248000,0
4,1667947020000,1.04470000,1.05140000,1.04300000,1.05140000,1571.91000000,1667947079999,1644.88994000,22,1288.60000000,1349.35752400,0
5,1667947080000,1.05140000,1.05140000,1.04760000,1.05010000,1696.05000000,1667947139999,1778.96266600,12,330.58000000,347.42279900,0
6,1667947140000,1.05070000,1.05630000,1.05070000,1.05630000,3491.41000000,1667947199999,3676.19430300,44,2837.44000000,2988.07522100,0
7,1667947200000,1.05620000,1.06240000,1.05450000,1.05830000,15310.36000000,1667947259999,16222.27680600,64,12229.03000000,12964.82120900,0
8,1667947260000,1.05550000,1.05780000,1.05390000,1.05750000,3904.94000000,1667947319999,4128.73764700,16,2323.40000000,2456.61599600,0
9,1667947320000,1.05490000,1.05690000,1.04950000,1.05000000,3253.49000000,1667947379999,3426.01902600,23,684.03000000,722.70970000,0
10,1667947380000,1.05000000,1.05000000,1.04500000,1.04620000,2810.18000000,1667947439999,2940.51759100,20,729.66000000,763.43771600,0
11,1667947440000,1.04710000,1.05230000,1.04710000,1.05230000,674.61000000,1667947499999,708.18303300,6,450.04000000,472.64305000,0
12,1667947500000,1.05230000,1.05350000,1.05220000,1.05350000,675.31000000,1667947559999,711.02031100,5,599.28000000,631.02002400,0
13,1667947560000,1.05240000,1.05240000,1.04700000,1.04700000,2626.07000000,1667947619999,2758.06766300,15,0.00000000,0.00000000,0
14,1667947620000,1.04750000,1.04810000,1.04750000,1.04810000,1894.75000000,1667947679999,1985.54536700,7,1523.14000000,1596.28389200,0
15,1667947680000,1.05000000,1.05210000,1.04870000,1.05210000,5883.49000000,1667947739999,6179.80492300,80,5599.62000000,5882.02201400,0
16,1667947740000,1.05380000,1.07330000,1.05380000,1.06690000,6131.12000000,1667947799999,6513.48692900,81,5047.64000000,5358.04007700,0
17,1667947800000,1.06690000,1.06860000,1.06570000,1.06640000,4429.74000000,1667947859999,4727.18089400,22,1405.16000000,1500.28518600,0
18,1667947860000,1.06400000,1.06950000,1.06390000,1.06940000,4524.58000000,1667947919999,4828.06408000,28,3428.87000000,3661.27117800,0
