,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,1.00320000,1.00430000,1.00270000,1.00410000,78166.30000000,1667946839999,78439.85429000,164,43276.40000000,43430.90641000,0
1,1667946840000,1.00350000,1.00410000,1.00210000,1.00330000,54278.70000000,1667946899999,54464.15874000,158,20956.90000000,21027.94253000,0
2,1667946900000,1.00330000,1.00440000,1.00210000,1.00270000,57511.60000000,1667946959999,57704.63086000,135,30102.60000000,30207.14963000,0
3,1667946960000,1.00310000,1.00400000,1.00240000,1.00400000,74473.50000000,1667947019999,74718.55624000,172,42446.30000000,42590.80249000,0
4,1667947020000,1.00350000,1.00430000,1.00200000,1.00320000,89093.70000000,1667947079999,89376.64696000,177,54588.20000000,54765.24538000,0
5,1667947080000,1.00320000,1.00420000,1.00250000,1.00340000,47042.60000000,1667947139999,47203.85703000,116,31078.80000000,31186.93151000,0
6,1667947140000,1.00340000,1.00420000,1.00190000,1.00280000,83740.80000000,1667947199999,84016.45667000,175,42862.10000000,43008.78495000,0
7,1667947200000,1.00280000,1.00430000,1.00280000,1.00320000,28042.10000000,1667947259999,28131.43678000,64,14271.40000000,14319.50987000,0
8,1667947260000,1.00330000,1.00400000,1.00320000,1.00320000,12363.10000000,1667947319999,12406.03099000,60,4370.10000000,4386.68017000,0
9,1667947320000,1.00320000,1.00430000,1.00310000,1.00350000,43807.00000000,1667947379999,43969.95647000,95,31578.30000000,31700.02871000,0
10,1667947380000,1.00380000,1.00400000,1.00330000,1.00340000,32259.70000000,1667947439999,32371.93830000,67,14872.60000000,14925.70925000,0
11,1667947440000,1.00340000,1.00420000,1.00310000,1.00350000,33608.80000000,1667947499999,33724.35408000,82,13361.20000000,13408.78815000,0
12,1667947500000,1.00350000,1.00400000,1.00340000,1.00380000,22721.90000000,1667947559999,22804.48632000,70,17916.20000000,17981.63732000,0
13,1667947560000,1.00360000,1.00400000,1.00360000,1.00370000,9723.10000000,1667947619999,9759.87652000,39,2001.90000000,2009.70172000,0
14,1667947620000,1.00370000,1.00430000,1.00310000,1.00340000,61302.70000000,1667947679999,61525.15846000,93,39176.30000000,39324.02049000,0
15,1667947680000,1.00350000,1.00430000,1.00210000,1.00320000,38024.90000000,1667947739999,38151.49043000,115,24106.30000000,24185.82170000,0
16,1667947740000,1.00350000,1.00410000,1.00290000,1.00320000,46624.30000000,1667947799999,46783.32254000,133,20748.40000000,20823.06091000,0
17,1667947800000,1.00320000,1.00380000,1.00210000,1.00340000,94417.60000000,1667947859999,94697.23934000,162,39427.60000000,39547.79766000,0
