,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,0.30920000,0.30950000,0.30920000,0.30930000,1567.00000000,1667946959999,484.87450000,5,1526.00000000,472.19320000,0
1,1667946960000,0.30940000,0.30940000,0.30940000,0.30940000,231.00000000,1667947019999,71.47140000,1,231.00000000,71.47140000,0
2,1667947020000,0.30940000,0.30940000,0.30940000,0.30940000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
3,1667947080000,0.30910000,0.30910000,0.30900000,0.30900000,361.00000000,1667947139999,111.55360000,4,361.00000000,111.55360000,0
4,1667947140000,0.30870000,0.30880000,0.30850000,0.30850000,1763.00000000,1667947199999,544.17760000,6,0.00000000,0.00000000,0
5,1667947200000,0.30870000,0.30870000,0.30860000,0.30860000,415.00000000,1667947259999,128.07620000,2,415.00000000,128.07620000,0
6,1667947260000,0.30860000,0.30860000,0.30860000,0.30860000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
7,1667947320000,0.30830000,0.30870000,0.30830000,0.30870000,3241.00000000,1667947379999,1000.22100000,5,3193.00000000,985.42260000,0
8,1667947380000,0.30880000,0.30890000,0.30880000,0.30890000,1719.00000000,1667947439999,530.86340000,7,1719.00000000,530.86340000,0
9,1667947440000,0.30890000,0.30890000,0.30890000,0.30890000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
10,1667947500000,0.30890000,0.30910000,0.30890000,0.30910000,481.00000000,1667947559999,148.59750000,3,398.00000000,122.94220000,0
11,1667947560000,0.30950000,0.30980000,0.30950000,0.30980000,3072.00000000,1667947619999,951.27610000,12,3072.00000000,951.27610000,0
12,1667947620000,0.30990000,0.31060000,0.30990000,0.31060000,3490.00000000,1667947679999,1082.98560000,11,3442.00000000,1068.09120000,0
13,1667947680000,0.31060000,0.31060000,0.31060000,0.31060000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
14,1667947740000,0.31050000,0.31050000,0.30990000,0.30990000,14472.00000000,1667947799999,4486.28350000,11,0.00000000,0.00000000,0
15,1667947800000,0.30990000,0.31010000,0.30990000,0.31010000,281.00000000,1667947859999,87.12270000,6,204.00000000,63.26040000,0
16,1667947860000,0.30990000,0.30990000,0.30990000,0.30990000,700.00000000,1667947919999,216.93000000,1,0.00000000,0.00000000,0
17,1667947920000,0.30990000,0.31010000,0.30990000,0.31010000,1833.00000000,1667947979999,568.26470000,4,1090.00000000,338.00900000,0
18,1667947980000,0.31010000,0.31090000,0.31010000,0.31090000,8529.00000000,1667948039999,2648.39860000,15,8482.00000000,2633.81450000,0
19,1667948040000,0.31080000,0.31170000,0.31080000,0.31160000,2374.00000000,1667948099999,738.36460000,8,1295.00000000,403.01140000,0
