,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,0.00010025,0.00010025,0.00010025,0.00010025,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
1,1667947080000,0.00010025,0.00010025,0.00010025,0.00010025,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
2,1667947140000,0.00010025,0.00010025,0.00010025,0.00010025,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
3,1667947200000,0.00009999,0.00009999,0.00009978,0.00009978,51576.00000000,1667947259999,5.15564527,5,12486.00000000,1.24826540,0
4,1667947260000,0.00009970,0.00009974,0.00009970,0.00009974,3351.00000000,1667947319999,0.33413782,2,0.00000000,0.00000000,0
5,1667947320000,0.00009974,0.00009974,0.00009974,0.00009974,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
6,1667947380000,0.00009956,0.00009956,0.00009956,0.00009956,2914.00000000,1667947439999,0.29011784,1,0.00000000,0.00000000,0
7,1667947440000,0.00009952,0.00009952,0.00009952,0.00009952,8775.00000000,1667947499999,0.87328800,2,0.00000000,0.00000000,0
8,1667947500000,0.00009983,0.00009983,0.00009983,0.00009983,961.00000000,1667947559999,0.09593663,1,961.00000000,0.09593663,0
9,1667947560000,0.00009983,0.00009983,0.00009983,0.00009983,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
10,1667947620000,0.00009983,0.00009983,0.00009983,0.00009983,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,0.00009983,0.00009983,0.00009983,0.00009983,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
12,1667947740000,0.00009983,0.00009983,0.00009983,0.00009983,0.00000000,1667947799999,0.00000000,0,0.00000000,0.00000000,0
13,1667947800000,0.00009970,0.00009986,0.00009965,0.00009977,24090.00000000,1667947859999,2.40284992,13,15634.00000000,1.55963184,0
14,1667947860000,0.00009973,0.00009996,0.00009973,0.00009996,3441.00000000,1667947919999,0.34381654,2,2807.00000000,0.28058772,0
15,1667947920000,0.00009975,0.00009975,0.00009974,0.00009974,20056.00000000,1667947979999,2.00057534,2,0.00000000,0.00000000,0
16,1667947980000,0.00010038,0.00010043,0.00010038,0.00010043,3024.00000000,1667948039999,0.30360407,2,1925.00000000,0.19323150,0
17,1667948040000,0.00010050,0.00010050,0.00010033,0.00010033,11982.00000000,1667948099999,1.20385406,2,0.00000000,0.00000000,0
18,1667948100000,0.00010053,0.00010053,0.00010053,0.00010053,616.00000000,1667948159999,0.06192648,1,0.00000000,0.00000000,0
19,1667948160000,0.00010053,0.00010053,0.00010053,0.00010053,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
20,1667948220000,0.00010053,0.00010053,0.00010053,0.00010053,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
21,1667948280000,0.00010051,0.00010051,0.00010050,0.00010050,37838.00000000,1667948339999,3.80290750,2,0.00000000,0.00000000,0
22,1667948340000,0.00010079,0.00010084,0.00010079,0.00010084,12892.00000000,1667948399999,1.29983308,7,12526.00000000,1.26292564,0
23,1667948400000,0.00010084,0.00010084,0.00010084,0.00010084,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
24,1667948460000,0.00010061,0.00010061,0.00010061,0.00010061,3528.00000000,1667948519999,0.35495208,3,0.00000000,0.00000000,0
25,1667948520000,0.00010061,0.00010061,0.00010061,0.00010061,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
26,1667948580000,0.00010084,0.00010084,0.00010084,0.00010084,2353.00000000,1667948639999,0.23727652,1,2353.00000000,0.23727652,0
27,1667948640000,0.00010093,0.00010096,0.00010093,0.00010096,3363.00000000,1667948699999,0.33949329,2,3363.00000000,0.33949329,0
28,1667948700000,0.00010108,0.00010108,0.00010108,0.00010108,607.00000000,1667948759999,0.06135556,1,0.00000000,0.00000000,0
29,1667948760000,0.00010120,0.00010140,0.00010113,0.00010113,10523.00000000,1667948819999,1.06605947,8,6149.00000000,0.62328408,0
30,1667948820000,0.00010113,0.00010113,0.00010113,0.00010113,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
31,1667948880000,0.00010107,0.00010132,0.00010107,0.00010132,2087.00000000,1667948939999,0.21120009,2,1068.00000000,0.10820976,0
32,1667948940000,0.00010101,0.00010101,0.00010097,0.00010097,1829.00000000,1667948999999,0.18471489,2,0.00000000,0.00000000,0
33,1667949000000,0.00010139,0.00010139,0.00010109,0.00010110,25535.00000000,1667949059999,2.58433506,10,13115.00000000,1.32780508,0
34,1667949060000,0.00010078,0.00010078,0.00010070,0.00010070,6350.00000000,1667949119999,0.63981628,5,0.00000000,0.00000000,0
35,1667949120000,0.00010059,0.00010059,0.00010053,0.00010053,2840.00000000,1667949179999,0.28560960,3,1240.00000000,0.12473160,0
36,1667949180000,0.00010053,0.00010053,0.00010053,0.00010053,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
37,1667949240000,0.00010053,0.00010053,0.00010053,0.00010053,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
38,1667949300000,0.00010108,0.00010108,0.00010108,0.00010108,885.00000000,1667949359999,0.08945580,1,885.00000000,0.08945580,0
39,1667949360000,0.00010113,0.00010113,0.00010074,0.00010074,8461.00000000,1667949419999,0.85476549,6,6165.00000000,0.62346645,0
