,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,1.72500000,1.72500000,1.72500000,1.72500000,53.12100000,1667947199999,91.63372500,1,0.00000000,0.00000000,0
1,1667947200000,1.72000000,1.72100000,1.71600000,1.72100000,1148.77100000,1667947259999,1973.70650700,19,400.00000000,687.60000000,0
2,1667947260000,1.72500000,1.72700000,1.72000000,1.72700000,1066.67200000,1667947319999,1840.20596800,10,828.22700000,1429.85004500,0
3,1667947320000,1.73000000,1.73000000,1.72300000,1.72300000,1019.87700000,1667947379999,1757.47455200,4,9.63400000,16.66682000,0
4,1667947380000,1.73000000,1.73000000,1.72700000,1.72700000,875.44800000,1667947439999,1514.48866800,5,851.20000000,1472.57600000,0
5,1667947440000,1.72400000,1.72600000,1.72400000,1.72600000,185.14200000,1667947499999,319.23700600,4,26.09900000,45.04687400,0
6,1667947500000,1.72300000,1.72300000,1.72300000,1.72300000,19.34700000,1667947559999,33.33488100,1,0.00000000,0.00000000,0
7,1667947560000,1.72300000,1.72300000,1.72300000,1.72300000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
8,1667947620000,1.72600000,1.73300000,1.72600000,1.73300000,1830.98900000,1667947679999,3168.66597800,13,1830.98900000,3168.66597800,0
9,1667947680000,1.73300000,1.73300000,1.73100000,1.73100000,559.79400000,1667947739999,970.05658800,2,526.58700000,912.57527100,0
10,1667947740000,1.72600000,1.72600000,1.72000000,1.72000000,1135.88800000,1667947799999,1956.80139200,10,33.20700000,57.18245400,0
11,1667947800000,1.72000000,1.72000000,1.71700000,1.71700000,628.26400000,1667947859999,1080.34570200,6,405.88200000,698.11704000,0
12,1667947860000,1.71500000,1.72000000,1.71500000,1.71800000,388.41300000,1667947919999,667.39623100,8,287.33800000,494.01928200,0
13,1667947920000,1.71400000,1.73100000,1.71400000,1.72000000,1621.59800000,1667947979999,2797.94759300,20,1511.32800000,2608.88942700,0
14,1667947980000,1.71900000,1.73600000,1.71900000,1.73600000,1819.31500000,1667948039999,3147.66404300,18,1646.92200000,2850.45913700,0
15,1667948040000,1.73600000,1.74000000,1.73600000,1.73800000,5604.86800000,1667948099999,9732.54842900,25,5503.82900000,9556.94264700,0
16,1667948100000,1.73400000,1.73400000,1.73400000,1.73400000,63.05200000,1667948159999,109.33216800,2,29.88300000,51.81712200,0
17,1667948160000,1.73400000,1.73400000,1.73400000,1.73400000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
18,1667948220000,1.73500000,1.73500000,1.72700000,1.72700000,44.21600000,1667948279999,76.44402000,3,5.75800000,9.99013000,0
19,1667948280000,1.72700000,1.72700000,1.71700000,1.71700000,935.35000000,1667948339999,1607.72329000,9,0.00000000,0.00000000,0
20,1667948340000,1.72300000,1.72300000,1.72100000,1.72200000,326.16600000,1667948399999,561.53714000,5,29.26900000,50.43048700,0
21,1667948400000,1.72200000,1.74200000,1.72000000,1.72000000,2385.47100000,1667948459999,4135.60402800,32,2144.11200000,3720.01823300,0
22,1667948460000,1.72300000,1.72400000,1.71500000,1.71500000,209.57100000,1667948519999,360.53446100,11,11.77400000,20.28660200,0
23,1667948520000,1.71700000,1.72000000,1.71200000,1.72000000,887.59600000,1667948579999,1523.22898300,13,733.57800000,1259.51668800,0
24,1667948580000,1.72200000,1.73100000,1.72200000,1.73000000,294.62400000,1667948639999,508.58393200,12,160.31900000,276.40261200,0
25,1667948640000,1.73400000,1.73900000,1.73400000,1.73900000,495.18000000,1667948699999,859.20967300,7,148.69400000,258.28734300,0
26,1667948700000,1.74000000,1.74100000,1.74000000,1.74000000,111.01600000,1667948759999,193.18630200,6,68.63400000,119.43239100,0
27,1667948760000,1.74200000,1.75000000,1.74200000,1.74200000,978.46500000,1667948819999,1708.67164400,10,844.27500000,1474.91266400,0
28,1667948820000,1.74100000,1.74100000,1.73500000,1.73500000,60.50600000,1667948879999,105.14046500,4,0.00000000,0.00000000,0
29,1667948880000,1.73200000,1.73300000,1.73100000,1.73300000,166.10300000,1667948939999,287.70384700,4,55.83300000,96.72543800,0
30,1667948940000,1.73000000,1.73000000,1.72500000,1.72500000,148.72700000,1667948999999,257.18560100,6,6.05800000,10.45005000,0
