,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,1.72500000,1.72600000,1.72000000,1.72100000,716.59500000,1667947199999,1234.62235800,24,111.42500000,192.20457200,0
1,1667947200000,1.72000000,1.72300000,1.71600000,1.72300000,1567.35500000,1667947259999,2694.92508700,38,770.58700000,1325.34408800,0
2,1667947260000,1.72300000,1.72800000,1.72100000,1.72700000,1393.42000000,1667947319999,2402.71702200,35,965.41100000,1665.57647800,0
3,1667947320000,1.72700000,1.72800000,1.72300000,1.72300000,1320.93700000,1667947379999,2278.42658100,24,138.69000000,239.55306800,0
4,1667947380000,1.72600000,1.73000000,1.72600000,1.72700000,824.21900000,1667947439999,1423.89825600,27,479.76500000,829.05284500,0
5,1667947440000,1.72700000,1.72800000,1.72200000,1.72400000,814.02800000,1667947499999,1404.84836900,23,43.86800000,75.68903100,0
6,1667947500000,1.72300000,1.72300000,1.71800000,1.72000000,888.80900000,1667947559999,1529.70424800,30,126.08900000,217.00749400,0
7,1667947560000,1.72100000,1.72500000,1.71900000,1.72500000,1111.81300000,1667947619999,1913.15197800,20,900.81300000,1550.24197800,0
8,1667947620000,1.72500000,1.73700000,1.72500000,1.73100000,2260.48100000,1667947679999,3913.71780800,36,1948.48100000,3373.61171000,0
9,1667947680000,1.73300000,1.73300000,1.72600000,1.72600000,651.04900000,1667947739999,1126.06141200,20,115.34800000,199.80868200,0
10,1667947740000,1.72700000,1.72700000,1.71700000,1.71800000,1487.43300000,1667947799999,2561.92911700,26,135.19600000,232.70032500,0
11,1667947800000,1.71700000,1.71800000,1.71600000,1.71600000,252.29200000,1667947859999,433.14268600,7,40.80700000,70.10642600,0
12,1667947860000,1.71500000,1.71700000,1.71100000,1.71700000,13979.07700000,1667947919999,23934.96008300,44,1871.89100000,3209.60341400,0
13,1667947920000,1.71400000,1.71800000,1.71400000,1.71400000,2754.57100000,1667947979999,4725.20441200,32,1700.90100000,2918.76483600,0
14,1667947980000,1.71600000,1.73500000,1.71600000,1.73500000,5242.72500000,1667948039999,9050.93587900,61,4165.91200000,7191.53710100,0
15,1667948040000,1.73600000,1.74200000,1.73400000,1.73700000,9060.18200000,1667948099999,15747.83154000,43,7761.05800000,13490.93825500,0
16,1667948100000,1.73800000,1.73800000,1.73500000,1.73600000,666.02100000,1667948159999,1157.13916300,7,505.92200000,879.26091600,0
17,1667948160000,1.73800000,1.73900000,1.73300000,1.73300000,527.43100000,1667948219999,914.86998900,18,89.82200000,156.04239300,0
18,1667948220000,1.73100000,1.73100000,1.72700000,1.72800000,622.16400000,1667948279999,1076.47091800,20,215.15400000,372.21242500,0
19,1667948280000,1.72800000,1.72800000,1.71700000,1.71700000,2496.30300000,1667948339999,4294.55089200,33,88.80500000,152.99262000,0
20,1667948340000,1.71800000,1.72700000,1.71800000,1.72400000,3726.41300000,1667948399999,6421.71291900,43,2788.64400000,4804.85875500,0
21,1667948400000,1.72100000,1.72200000,1.71600000,1.72200000,5250.24800000,1667948459999,9014.60691800,25,637.94900000,1097.53532600,0
22,1667948460000,1.72100000,1.72300000,1.71300000,1.71400000,1752.34600000,1667948519999,3012.61292100,31,1169.19000000,2012.08002300,0
23,1667948520000,1.71300000,1.72200000,1.71000000,1.72200000,16548.07500000,1667948579999,28368.14333000,54,15947.86900000,27341.05010600,0
24,1667948580000,1.71800000,1.73500000,1.71800000,1.73200000,3756.80700000,1667948639999,6490.30078300,45,3723.71800000,6433.05928400,0
25,1667948640000,1.73400000,1.73800000,1.72900000,1.73500000,1237.23500000,1667948699999,2144.13651800,24,496.30500000,861.22934800,0
26,1667948700000,1.73600000,1.74400000,1.73600000,1.73900000,2381.57200000,1667948759999,4148.77647800,38,1734.68400000,3022.38209700,0
27,1667948760000,1.74300000,1.74600000,1.74000000,1.74100000,325.21200000,1667948819999,566.74206800,16,177.57000000,309.67734600,0
28,1667948820000,1.74200000,1.74400000,1.73100000,1.73400000,5147.80600000,1667948879999,8939.02271800,46,448.61200000,779.37635100,0
29,1667948880000,1.73400000,1.73400000,1.73000000,1.73100000,776.54400000,1667948939999,1344.39633800,16,480.96800000,832.81230400,0
30,1667948940000,1.72900000,1.72900000,1.72300000,1.72900000,3725.45200000,1667948999999,6428.19313200,43,757.34600000,1306.87752600,0
31,1667949000000,1.72900000,1.74200000,1.72900000,1.74100000,3413.67500000,1667949059999,5938.94762900,45,3020.57400000,5254.77364300,0
32,1667949060000,1.74000000,1.74300000,1.73300000,1.73400000,3340.47500000,1667949119999,5797.82195300,75,929.71200000,1613.58563400,0
33,1667949120000,1.73400000,1.73400000,1.72900000,1.73000000,1198.64600000,1667949179999,2074.58623200,42,122.47300000,212.03400200,0
34,1667949180000,1.72800000,1.73800000,1.72600000,1.73100000,2458.87700000,1667949239999,4261.95470600,41,1690.21200000,2933.00127700,0
35,1667949240000,1.73200000,1.73800000,1.73100000,1.73400000,2620.83800000,1667949299999,4548.85661900,31,2225.96000000,3864.07580600,0
36,1667949300000,1.73300000,1.73600000,1.73100000,1.73600000,1843.49400000,1667949359999,3197.17909500,29,1598.98400000,2773.36263600,0
37,1667949360000,1.73600000,1.73900000,1.72300000,1.72500000,6161.51300000,1667949419999,10645.19561300,69,1025.90200000,1775.49346500,0
38,1667949420000,1.72400000,1.72800000,1.72000000,1.72000000,1247.39600000,1667949479999,2150.33353400,22,96.38300000,166.42582400,0
39,1667949480000,1.72300000,1.72800000,1.71700000,1.71700000,6022.28300000,1667949539999,10351.33345700,49,784.37600000,1350.77973900,0
40,1667949540000,1.71600000,1.72600000,1.71500000,1.72500000,846.29400000,1667949599999,1456.19136200,36,523.28000000,900.95824000,0
41,1667949600000,1.72200000,1.72500000,1.71600000,1.72100000,1593.70000000,1667949659999,2742.42294000,43,378.66600000,651.72232000,0
42,1667949660000,1.72000000,1.72300000,1.71300000,1.71500000,2098.00600000,1667949719999,3602.31020000,59,940.63900000,1616.68760200,0
43,1667949720000,1.71500000,1.72000000,1.71100000,1.72000000,2552.16000000,1667949779999,4379.29421500,55,1308.10100000,2245.58151000,0
44,1667949780000,1.71900000,1.72900000,1.71900000,1.72400000,1087.83000000,1667949839999,1876.33648100,27,737.85800000,1273.01452300,0
45,1667949840000,1.72400000,1.73000000,1.72200000,1.72800000,2254.36800000,1667949899999,3896.98375700,27,2150.00100000,3717.03780300,0
46,1667949900000,1.72900000,1.73000000,1.72500000,1.73000000,751.76100000,1667949959999,1299.25349700,21,639.17100000,1104.95917700,0
47,1667949960000,1.72900000,1.72900000,1.72000000,1.72200000,3383.82600000,1667950019999,5839.94660800,49,771.22600000,1329.80414400,0
48,1667950020000,1.72100000,1.72600000,1.71100000,1.72500000,34179.78800000,1667950079999,58700.88713300,142,12129.53700000,20837.32211900,0
49,1667950080000,1.72400000,1.72900000,1.72000000,1.72900000,3358.61100000,1667950139999,5790.78333300,38,1391.19300000,2399.40946900,0
50,1667950140000,1.72600000,1.74100000,1.72000000,1.74100000,23063.92200000,1667950199999,39841.56446300,119,15084.61400000,26088.10288900,0
51,1667950200000,1.73700000,1.73800000,1.72700000,1.72700000,1614.97100000,1667950259999,2799.37892800,29,5.75300000,9.99871400,0
52,1667950260000,1.72800000,1.73600000,1.72400000,1.73400000,2192.53500000,1667950319999,3798.09675000,43,1711.55800000,2967.04968100,0
53,1667950320000,1.73200000,1.73800000,1.73200000,1.73700000,306.07500000,1667950379999,530.67647900,11,179.07500000,310.71247900,0
54,1667950380000,1.73600000,1.74000000,1.73300000,1.73600000,3045.16400000,1667950439999,5289.77199500,39,1804.21800000,3137.50163700,0
55,1667950440000,1.73600000,1.74000000,1.73400000,1.73900000,3967.34600000,1667950499999,6897.29891000,44,3287.34600000,5716.73538100,0
56,1667950500000,1.73900000,1.75100000,1.73600000,1.75100000,13978.51800000,1667950559999,24350.19751100,96,12159.71700000,21183.87071000,0
57,1667950560000,1.74700000,1.75600000,1.74700000,1.75200000,5444.06700000,1667950619999,9547.60916000,49,4348.13100000,7629.42771800,0
58,1667950620000,1.75300000,1.76700000,1.75300000,1.75600000,2977.90000000,1667950679999,5244.72112600,62,2026.50400000,3570.72833100,0
59,1667950680000,1.75900000,1.76300000,1.75500000,1.75900000,3000.43900000,1667950739999,5282.05821200,58,2108.41000000,3713.26175400,0
60,1667950740000,1.75900000,1.77100000,1.75900000,1.77000000,3093.63100000,1667950799999,5468.95060000,68,2512.57500000,4442.24969800,0
61,1667950800000,1.76900000,1.78000000,1.76300000,1.76900000,10513.65400000,1667950859999,18643.98203500,83,8162.89300000,14488.55707100,0
62,1667950860000,1.76900000,1.77300000,1.76900000,1.77300000,402.82800000,1667950919999,713.55851000,10,268.07700000,475.09724000,0
63,1667950920000,1.77200000,1.77700000,1.77000000,1.77100000,8205.57500000,1667950979999,14532.47571800,38,872.88900000,1549.77094200,0
64,1667950980000,1.77200000,1.77700000,1.77200000,1.77300000,754.27700000,1667951039999,1338.13150400,25,443.06700000,786.10976900,0
65,1667951040000,1.77200000,1.77800000,1.77200000,1.77300000,1409.87700000,1667951099999,2501.99486300,19,881.63100000,1564.87969800,0
66,1667951100000,1.77600000,1.77700000,1.77000000,1.77000000,926.74500000,1667951159999,1643.82228900,27,238.97400000,424.37787000,0
67,1667951160000,1.77000000,1.77200000,1.75500000,1.76000000,8479.77100000,1667951219999,14960.81848700,61,2143.61700000,3779.17298500,0
68,1667951220000,1.75900000,1.76500000,1.75500000,1.76000000,3813.48900000,1667951279999,6710.76605700,35,2815.08800000,4955.67426400,0
69,1667951280000,1.75600000,1.75600000,1.75200000,1.75300000,676.38500000,1667951339999,1186.60734300,20,307.26800000,539.11434000,0
70,1667951340000,1.75200000,1.76700000,1.75000000,1.75700000,2379.25400000,1667951399999,4181.02313100,48,1555.79700000,2737.98887200,0
71,1667951400000,1.75600000,1.75600000,1.75200000,1.75200000,1744.79800000,1667951459999,3060.40678400,24,195.95700000,343.38846200,0
72,1667951460000,1.75100000,1.75400000,1.74800000,1.75200000,3301.50600000,1667951519999,5782.54814500,50,1219.15800000,2136.27842700,0
73,1667951520000,1.75000000,1.75000000,1.74500000,1.74500000,473.69600000,1667951579999,828.09266300,12,0.00000000,0.00000000,0
74,1667951580000,1.74500000,1.74700000,1.74400000,1.74400000,397.70400000,1667951639999,694.09693200,12,196.21400000,342.59727900,0
75,1667951640000,1.74200000,1.74700000,1.73600000,1.73900000,2952.15200000,1667951699999,5142.31873100,58,1864.17000000,3249.05184300,0
76,1667951700000,1.73900000,1.74300000,1.73900000,1.74200000,743.08000000,1667951759999,1293.70192400,23,591.87200000,1030.66549400,0
77,1667951760000,1.74200000,1.75700000,1.74200000,1.75000000,3315.74000000,1667951819999,5799.90772100,42,3245.82000000,5677.86259300,0
78,1667951820000,1.75100000,1.75900000,1.74900000,1.75100000,1810.42800000,1667951879999,3174.16040600,60,1238.74800000,2173.00299000,0
79,1667951880000,1.75300000,1.76100000,1.74600000,1.74600000,2851.26500000,1667951939999,4997.23394500,64,898.45500000,1579.15755000,0
80,1667951940000,1.74600000,1.75500000,1.74500000,1.75500000,494.23400000,1667951999999,864.71480500,13,322.85800000,565.58568500,0
81,1667952000000,1.75300000,1.75600000,1.74800000,1.75300000,1097.14100000,1667952059999,1921.59400800,18,372.33000000,652.51687900,0
82,1667952060000,1.75400000,1.75400000,1.74600000,1.74700000,3076.00000000,1667952119999,5389.35489600,32,707.80600000,1240.58957100,0
83,1667952120000,1.74600000,1.74600000,1.73400000,1.73700000,3267.04200000,1667952179999,5684.61530900,63,535.25700000,932.29326100,0
84,1667952180000,1.73300000,1.73400000,1.72800000,1.73100000,1179.17500000,1667952239999,2042.49056900,25,877.21600000,1519.84265400,0
85,1667952240000,1.73100000,1.73100000,1.72400000,1.72400000,2615.82200000,1667952299999,4515.80267300,47,1537.66500000,2655.27750400,0
86,1667952300000,1.72500000,1.73600000,1.72500000,1.73000000,4567.86800000,1667952359999,7903.94326000,42,4322.59400000,7479.55047700,0
87,1667952360000,1.73200000,1.73400000,1.72000000,1.72800000,4402.80800000,1667952419999,7597.70445700,73,2643.07500000,4561.69483900,0
88,1667952420000,1.72700000,1.72900000,1.72500000,1.72700000,3516.28300000,1667952479999,6068.19787900,28,1038.78100000,1793.93664400,0
89,1667952480000,1.72700000,1.73000000,1.72400000,1.72500000,3397.73600000,1667952539999,5872.62739300,49,2405.35100000,4158.72955400,0
90,1667952540000,1.72300000,1.72800000,1.72300000,1.72800000,2056.38700000,1667952599999,3550.17896500,34,1823.73300000,3148.56735100,0
91,1667952600000,1.72600000,1.73900000,1.72600000,1.73500000,10024.23700000,1667952659999,17376.39697400,110,8025.56400000,13908.61110600,0
92,1667952660000,1.73600000,1.74800000,1.73500000,1.74700000,7972.19900000,1667952719999,13880.03731000,91,6893.41200000,12002.24862300,0
93,1667952720000,1.74500000,1.74900000,1.73800000,1.74200000,3479.78500000,1667952779999,6070.06541200,35,2319.27100000,4049.61228800,0
94,1667952780000,1.74000000,1.74000000,1.72600000,1.73000000,11704.45000000,1667952839999,20257.03302300,119,5592.57300000,9684.97192500,0
95,1667952840000,1.72900000,1.74200000,1.72700000,1.73600000,2764.82300000,1667952899999,4790.55605400,46,2397.22800000,4155.51048900,0
96,1667952900000,1.73500000,1.73900000,1.73500000,1.73700000,509.39400000,1667952959999,884.78207000,8,254.04400000,441.25751600,0
97,1667952960000,1.74000000,1.75600000,1.74000000,1.75300000,6026.07700000,1667953019999,10543.93284100,87,4503.90000000,7876.71348500,0
98,1667953020000,1.75400000,1.76000000,1.74600000,1.76000000,7826.37100000,1667953079999,13721.40167800,90,3012.42900000,5288.80011900,0
99,1667953080000,1.75900000,1.76900000,1.75900000,1.76400000,7976.69700000,1667953139999,14067.31124200,90,3892.11200000,6868.73785200,0
100,1667953140000,1.76600000,1.76900000,1.75700000,1.76200000,6674.66100000,1667953199999,11750.13357400,63,2483.59000000,4374.08979200,0
101,1667953200000,1.76300000,1.76500000,1.76100000,1.76400000,2157.29500000,1667953259999,3805.35959500,29,1176.52900000,2075.28678100,0
102,1667953260000,1.76400000,1.76400000,1.76000000,1.76000000,3526.66900000,1667953319999,6215.15532600,32,1552.06400000,2735.56391000,0
103,1667953320000,1.76000000,1.76600000,1.75800000,1.75800000,4307.52400000,1667953379999,7593.68771700,56,3050.72500000,5379.84072900,0
104,1667953380000,1.76000000,1.76900000,1.75900000,1.76700000,4121.67700000,1667953439999,7268.63723900,44,3168.39900000,5587.66408100,0
105,1667953440000,1.76600000,1.77000000,1.76500000,1.76600000,617.36000000,1667953499999,1090.32806200,13,239.87200000,424.00225400,0
106,1667953500000,1.76500000,1.76600000,1.75900000,1.76300000,2950.73000000,1667953559999,5202.82906300,32,1101.55700000,1942.79537300,0
107,1667953560000,1.76200000,1.76200000,1.75300000,1.75700000,7050.07800000,1667953619999,12390.28188200,75,2743.31000000,4820.47054900,0
108,1667953620000,1.75600000,1.76200000,1.75300000,1.75400000,6707.55100000,1667953679999,11791.98022500,98,2759.92800000,4856.54801100,0
109,1667953680000,1.75500000,1.75700000,1.74400000,1.75300000,6262.77600000,1667953739999,10968.02571600,78,2625.41100000,4597.21590900,0
110,1667953740000,1.75200000,1.76200000,1.74800000,1.75900000,12965.21200000,1667953799999,22769.89123300,93,10056.33900000,17667.39933900,0
111,1667953800000,1.76000000,1.77000000,1.75600000,1.76800000,22943.61000000,1667953859999,40427.15984200,181,13058.18600000,23020.34178100,0
112,1667953860000,1.76900000,1.77300000,1.76600000,1.77200000,6144.21600000,1667953919999,10863.60212100,53,1560.74300000,2762.57044600,0
113,1667953920000,1.77100000,1.77800000,1.76900000,1.77800000,15927.15400000,1667953979999,28267.10510700,85,12237.66000000,21717.17377800,0
114,1667953980000,1.77800000,1.78200000,1.77600000,1.77700000,30702.71400000,1667954039999,54574.88300000,124,4434.80400000,7889.95142200,0
115,1667954040000,1.77700000,1.77800000,1.77600000,1.77600000,5746.69600000,1667954099999,10208.32256900,36,1978.87700000,3516.63357000,0
116,1667954100000,1.77600000,1.77800000,1.77600000,1.77600000,26688.07300000,1667954159999,47408.06924600,162,8372.42600000,14879.35002800,0
117,1667954160000,1.77600000,1.77600000,1.75700000,1.76100000,48387.80900000,1667954219999,85803.56888500,267,5137.60000000,9091.81583600,0
118,1667954220000,1.76000000,1.76800000,1.75600000,1.76700000,7643.76800000,1667954279999,13472.18492300,86,7153.30300000,12606.82428200,0
119,1667954280000,1.76700000,1.76700000,1.75500000,1.75500000,3477.02200000,1667954339999,6116.39798500,43,1681.41100000,2959.29045100,0
120,1667954340000,1.75800000,1.76500000,1.75700000,1.75800000,4897.65500000,1667954399999,8616.25433300,47,3496.29300000,6151.65125600,0
121,1667954400000,1.75700000,1.76100000,1.75000000,1.75000000,3393.38700000,1667954459999,5954.01653400,45,1983.82100000,3482.28291500,0
122,1667954460000,1.75100000,1.75500000,1.75100000,1.75400000,2362.61300000,1667954519999,4141.11052900,33,1972.08700000,3456.68500200,0
