,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,1.08600000,1.08600000,1.08600000,1.08600000,17.30000000,1667947079999,18.78780000,1,0.00000000,0.00000000,0
1,1667947080000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
2,1667947140000,1.08700000,1.08800000,1.08500000,1.08600000,1124.10000000,1667947199999,1220.81990000,15,242.60000000,263.85300000,0
3,1667947200000,1.08600000,1.08600000,1.08600000,1.08600000,145.30000000,1667947259999,157.79580000,1,0.00000000,0.00000000,0
4,1667947260000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
5,1667947320000,1.08600000,1.08600000,1.08600000,1.08600000,43.90000000,1667947379999,47.67540000,3,0.00000000,0.00000000,0
6,1667947380000,1.08700000,1.08700000,1.08700000,1.08700000,53.80000000,1667947439999,58.48060000,1,53.80000000,58.48060000,0
7,1667947440000,1.08700000,1.08800000,1.08700000,1.08800000,1180.40000000,1667947499999,1284.09500000,8,1180.40000000,1284.09500000,0
8,1667947500000,1.08800000,1.08800000,1.08800000,1.08800000,127.10000000,1667947559999,138.28480000,2,0.00000000,0.00000000,0
9,1667947560000,1.08800000,1.08800000,1.08800000,1.08800000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
10,1667947620000,1.08800000,1.08800000,1.08800000,1.08800000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,1.08800000,1.08800000,1.08800000,1.08800000,9.20000000,1667947739999,10.00960000,1,0.00000000,0.00000000,0
12,1667947740000,1.08800000,1.08800000,1.08600000,1.08600000,421.30000000,1667947799999,458.06270000,7,0.00000000,0.00000000,0
13,1667947800000,1.08600000,1.08600000,1.08600000,1.08600000,17.40000000,1667947859999,18.89640000,1,0.00000000,0.00000000,0
14,1667947860000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
15,1667947920000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
16,1667947980000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667948039999,0.00000000,0,0.00000000,0.00000000,0
17,1667948040000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
18,1667948100000,1.08600000,1.08600000,1.08600000,1.08600000,113.80000000,1667948159999,123.58680000,1,0.00000000,0.00000000,0
19,1667948160000,1.08600000,1.08600000,1.08600000,1.08600000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
20,1667948220000,1.08600000,1.08800000,1.08600000,1.08800000,1471.50000000,1667948279999,1600.80610000,8,1451.00000000,1578.54310000,0
21,1667948280000,1.08800000,1.08800000,1.08800000,1.08800000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
22,1667948340000,1.08800000,1.08800000,1.08600000,1.08600000,295.10000000,1667948399999,320.70070000,6,0.00000000,0.00000000,0
23,1667948400000,1.08500000,1.08600000,1.08300000,1.08600000,3084.70000000,1667948459999,3341.89770000,8,122.00000000,132.49200000,0
24,1667948460000,1.08500000,1.08500000,1.08500000,1.08500000,131.10000000,1667948519999,142.24350000,3,0.00000000,0.00000000,0
25,1667948520000,1.08500000,1.08500000,1.08500000,1.08500000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
26,1667948580000,1.08500000,1.08500000,1.08500000,1.08500000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
27,1667948640000,1.08500000,1.08500000,1.08500000,1.08500000,121.90000000,1667948699999,132.26150000,3,0.00000000,0.00000000,0
28,1667948700000,1.08700000,1.08700000,1.08700000,1.08700000,14.80000000,1667948759999,16.08760000,1,14.80000000,16.08760000,0
29,1667948760000,1.08700000,1.08700000,1.08700000,1.08700000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
30,1667948820000,1.08700000,1.08700000,1.08700000,1.08700000,192.60000000,1667948879999,209.35620000,4,192.60000000,209.35620000,0
31,1667948880000,1.08700000,1.08700000,1.08700000,1.08700000,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
