,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,0.23310000,0.23340000,0.23310000,0.23340000,709.90000000,1667947199999,165.54159000,2,496.90000000,115.82739000,0
1,1667947200000,0.23330000,0.23610000,0.23200000,0.23260000,6344.80000000,1667947259999,1481.02326000,30,4206.70000000,980.63808000,0
2,1667947260000,0.23260000,0.23260000,0.23250000,0.23250000,684.10000000,1667947319999,159.09458000,3,0.00000000,0.00000000,0
3,1667947320000,0.23250000,0.23430000,0.23250000,0.23430000,957.70000000,1667947379999,223.78947000,6,252.30000000,58.79325000,0
4,1667947380000,0.23250000,0.23300000,0.23250000,0.23300000,1403.00000000,1667947439999,326.46278000,5,776.20000000,180.73178000,0
5,1667947440000,0.23450000,0.23620000,0.23100000,0.23360000,37037.90000000,1667947499999,8633.10911000,80,18571.70000000,4320.39517000,0
6,1667947500000,0.23360000,0.23360000,0.23160000,0.23160000,1789.10000000,1667947559999,415.93224000,5,0.00000000,0.00000000,0
7,1667947560000,0.23190000,0.23190000,0.23180000,0.23180000,624.30000000,1667947619999,144.77248000,2,0.00000000,0.00000000,0
8,1667947620000,0.23150000,0.23230000,0.23140000,0.23230000,706.80000000,1667947679999,163.66672000,3,85.00000000,19.74550000,0
9,1667947680000,0.23230000,0.23230000,0.23230000,0.23230000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
10,1667947740000,0.23170000,0.23300000,0.23100000,0.23100000,2428.60000000,1667947799999,564.14757000,7,1099.00000000,254.68713000,0
11,1667947800000,0.23100000,0.23100000,0.23100000,0.23100000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
12,1667947860000,0.23150000,0.23150000,0.23140000,0.23140000,1050.00000000,1667947919999,242.99361000,2,0.00000000,0.00000000,0
13,1667947920000,0.23090000,0.23090000,0.22980000,0.23010000,820.40000000,1667947979999,188.83074000,5,435.20000000,100.00896000,0
14,1667947980000,0.23000000,0.23050000,0.23000000,0.23050000,497.70000000,1667948039999,114.51985000,2,97.70000000,22.51985000,0
15,1667948040000,0.23030000,0.23200000,0.23030000,0.23200000,6752.30000000,1667948099999,1559.61749000,15,6193.40000000,1430.85653000,0
16,1667948100000,0.23120000,0.23120000,0.23110000,0.23110000,200.00000000,1667948159999,46.23130000,3,0.00000000,0.00000000,0
17,1667948160000,0.23130000,0.23190000,0.22910000,0.23100000,3090.10000000,1667948219999,712.87243000,9,0.00000000,0.00000000,0
18,1667948220000,0.23200000,0.23280000,0.22940000,0.22960000,9815.10000000,1667948279999,2273.09864000,23,4167.10000000,965.45368000,0
19,1667948280000,0.23000000,0.23380000,0.22850000,0.23380000,18014.00000000,1667948339999,4144.33876000,57,9234.00000000,2134.12188000,0
20,1667948340000,0.23040000,0.23040000,0.22980000,0.22980000,1889.80000000,1667948399999,434.52516000,7,0.00000000,0.00000000,0
21,1667948400000,0.23040000,0.23130000,0.22840000,0.22900000,8598.10000000,1667948459999,1974.20552000,19,2387.20000000,546.52080000,0
22,1667948460000,0.22880000,0.23140000,0.22880000,0.22900000,10244.10000000,1667948519999,2350.36219000,21,5577.20000000,1279.69027000,0
23,1667948520000,0.22960000,0.22960000,0.22950000,0.22950000,620.70000000,1667948579999,142.49588000,2,0.00000000,0.00000000,0
24,1667948580000,0.22950000,0.22950000,0.22950000,0.22950000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
25,1667948640000,0.23030000,0.23030000,0.22990000,0.22990000,1872.30000000,1667948699999,430.79372000,6,837.40000000,192.51826000,0
26,1667948700000,0.22990000,0.22990000,0.22990000,0.22990000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
27,1667948760000,0.22990000,0.22990000,0.22990000,0.22990000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
28,1667948820000,0.23100000,0.23120000,0.23060000,0.23060000,2936.30000000,1667948879999,678.38896000,6,1392.90000000,321.55488000,0
29,1667948880000,0.23100000,0.23400000,0.22900000,0.23140000,12498.60000000,1667948939999,2889.94391000,39,5121.10000000,1183.02058000,0
30,1667948940000,0.23200000,0.23380000,0.22980000,0.23040000,13684.80000000,1667948999999,3169.57291000,38,6328.00000000,1465.77559000,0
31,1667949000000,0.23050000,0.23630000,0.22970000,0.23060000,39885.40000000,1667949059999,9235.14787000,72,22280.00000000,5164.32469000,0
32,1667949060000,0.23090000,0.23250000,0.22970000,0.23250000,3420.90000000,1667949119999,789.09320000,13,1530.80000000,353.01200000,0
33,1667949120000,0.23250000,0.23250000,0.23250000,0.23250000,0.00000000,1667949179999,0.00000000,0,0.00000000,0.00000000,0
34,1667949180000,0.23250000,0.23250000,0.23250000,0.23250000,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
35,1667949240000,0.23250000,0.23250000,0.23250000,0.23250000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
36,1667949300000,0.23110000,0.23110000,0.23090000,0.23090000,715.40000000,1667949359999,165.26239000,3,100.00000000,23.09000000,0
37,1667949360000,0.23210000,0.23260000,0.23040000,0.23040000,2249.50000000,1667949419999,520.38593000,6,1572.20000000,363.01595000,0
38,1667949420000,0.22970000,0.22970000,0.22910000,0.22970000,706.00000000,1667949479999,161.87634000,4,0.00000000,0.00000000,0
39,1667949480000,0.22970000,0.22980000,0.22910000,0.22980000,785.80000000,1667949539999,180.41031000,4,161.00000000,36.99780000,0
40,1667949540000,0.23050000,0.23060000,0.22970000,0.22970000,1444.10000000,1667949599999,332.44309000,4,868.00000000,200.11292000,0
41,1667949600000,0.22960000,0.22960000,0.22960000,0.22960000,544.30000000,1667949659999,124.97128000,2,0.00000000,0.00000000,0
42,1667949660000,0.22910000,0.22910000,0.22870000,0.22870000,1574.60000000,1667949719999,360.41669000,6,232.10000000,53.08127000,0
43,1667949720000,0.22870000,0.22870000,0.22870000,0.22870000,0.00000000,1667949779999,0.00000000,0,0.00000000,0.00000000,0
44,1667949780000,0.22950000,0.23050000,0.22950000,0.23050000,2504.70000000,1667949839999,575.45365000,3,2504.70000000,575.45365000,0
45,1667949840000,0.23050000,0.23050000,0.23050000,0.23050000,0.00000000,1667949899999,0.00000000,0,0.00000000,0.00000000,0
46,1667949900000,0.22970000,0.22970000,0.22960000,0.22960000,859.50000000,1667949959999,197.38914000,2,0.00000000,0.00000000,0
47,1667949960000,0.23070000,0.23110000,0.22890000,0.22950000,13145.60000000,1667950019999,3025.18299000,30,7354.20000000,1691.04175000,0
48,1667950020000,0.23040000,0.23040000,0.23030000,0.23030000,1675.30000000,1667950079999,385.92631000,6,1047.20000000,241.27488000,0
49,1667950080000,0.23040000,0.23390000,0.22980000,0.23070000,11204.70000000,1667950139999,2592.05585000,30,6581.20000000,1524.42185000,0
50,1667950140000,0.23050000,0.23060000,0.23050000,0.23050000,2463.50000000,1667950199999,567.92963000,8,562.90000000,129.74845000,0
51,1667950200000,0.23050000,0.23050000,0.23050000,0.23050000,0.00000000,1667950259999,0.00000000,0,0.00000000,0.00000000,0
52,1667950260000,0.23150000,0.23620000,0.23040000,0.23050000,11273.80000000,1667950319999,2610.43195000,31,5939.00000000,1376.03159000,0
53,1667950320000,0.23110000,0.23160000,0.23060000,0.23140000,5388.60000000,1667950379999,1244.85012000,16,2813.30000000,650.75385000,0
54,1667950380000,0.23200000,0.23260000,0.23200000,0.23260000,759.50000000,1667950439999,176.34194000,3,759.50000000,176.34194000,0
55,1667950440000,0.23390000,0.23390000,0.23170000,0.23320000,2755.50000000,1667950499999,641.45773000,11,488.40000000,113.50436000,0
56,1667950500000,0.23210000,0.23210000,0.23210000,0.23210000,51.90000000,1667950559999,12.04599000,1,51.90000000,12.04599000,0
