,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.43920000,0.43940000,0.43920000,0.43940000,682.80000000,1667947139999,299.96632000,2,682.80000000,299.96632000,0
1,1667947140000,0.43940000,0.43950000,0.43890000,0.43890000,1583.10000000,1667947199999,695.66411000,5,1469.20000000,645.67340000,0
2,1667947200000,0.43920000,0.43930000,0.43810000,0.43810000,104.80000000,1667947259999,46.00536000,3,81.80000000,35.92906000,0
3,1667947260000,0.43810000,0.43810000,0.43810000,0.43810000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
4,1667947320000,0.43890000,0.43890000,0.43890000,0.43890000,34.20000000,1667947379999,15.01038000,1,34.20000000,15.01038000,0
5,1667947380000,0.43900000,0.43990000,0.43900000,0.43990000,150.00000000,1667947439999,65.96250000,4,150.00000000,65.96250000,0
6,1667947440000,0.43990000,0.44010000,0.43990000,0.44010000,1193.10000000,1667947499999,524.90345000,7,1001.10000000,440.44265000,0
7,1667947500000,0.44040000,0.44120000,0.43920000,0.43920000,480.20000000,1667947559999,211.45984000,4,253.00000000,111.58272000,0
8,1667947560000,0.44000000,0.44000000,0.44000000,0.44000000,100.00000000,1667947619999,44.00000000,1,100.00000000,44.00000000,0
9,1667947620000,0.44000000,0.44000000,0.44000000,0.44000000,13.50000000,1667947679999,5.94000000,1,13.50000000,5.94000000,0
10,1667947680000,0.44000000,0.44000000,0.44000000,0.44000000,13.70000000,1667947739999,6.02800000,1,0.00000000,0.00000000,0
11,1667947740000,0.44000000,0.44000000,0.44000000,0.44000000,367.00000000,1667947799999,161.48000000,2,0.00000000,0.00000000,0
12,1667947800000,0.44110000,0.44110000,0.43900000,0.43900000,236.10000000,1667947859999,103.93371000,3,136.10000000,60.03371000,0
13,1667947860000,0.43870000,0.44030000,0.43870000,0.44020000,324.20000000,1667947919999,142.43946000,4,137.40000000,60.49030000,0
14,1667947920000,0.43850000,0.43850000,0.43850000,0.43850000,61.60000000,1667947979999,27.01160000,1,0.00000000,0.00000000,0
15,1667947980000,0.43840000,0.43840000,0.43820000,0.43840000,999.00000000,1667948039999,437.91212000,3,500.40000000,219.37536000,0
16,1667948040000,0.44140000,0.44140000,0.44140000,0.44140000,55.40000000,1667948099999,24.45356000,1,55.40000000,24.45356000,0
17,1667948100000,0.44140000,0.44140000,0.44140000,0.44140000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
18,1667948160000,0.44160000,0.44210000,0.44160000,0.44210000,421.30000000,1667948219999,186.10875000,3,421.30000000,186.10875000,0
19,1667948220000,0.44060000,0.44190000,0.44060000,0.44190000,329.50000000,1667948279999,145.21020000,3,25.00000000,11.04750000,0
20,1667948280000,0.44060000,0.44060000,0.44060000,0.44060000,93.70000000,1667948339999,41.28422000,1,0.00000000,0.00000000,0
21,1667948340000,0.44060000,0.44060000,0.44060000,0.44060000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
22,1667948400000,0.44150000,0.44150000,0.44150000,0.44150000,28.40000000,1667948459999,12.53860000,1,28.40000000,12.53860000,0
23,1667948460000,0.44010000,0.44010000,0.43950000,0.43950000,1500.00000000,1667948519999,659.66104000,7,0.00000000,0.00000000,0
24,1667948520000,0.44040000,0.44040000,0.43930000,0.43930000,294.70000000,1667948579999,129.52668000,6,57.00000000,25.10280000,0
25,1667948580000,0.43930000,0.43930000,0.43930000,0.43930000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
26,1667948640000,0.43930000,0.43930000,0.43930000,0.43930000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
27,1667948700000,0.43930000,0.43930000,0.43930000,0.43930000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
28,1667948760000,0.44120000,0.44200000,0.44120000,0.44200000,129.60000000,1667948819999,57.21482000,4,129.60000000,57.21482000,0
29,1667948820000,0.44150000,0.44150000,0.44150000,0.44150000,251.70000000,1667948879999,111.12555000,1,251.70000000,111.12555000,0
30,1667948880000,0.44150000,0.44150000,0.44150000,0.44150000,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
31,1667948940000,0.44150000,0.44160000,0.44150000,0.44160000,495.70000000,1667948999999,218.89681000,2,452.60000000,199.86816000,0
32,1667949000000,0.44180000,0.44280000,0.44180000,0.44280000,172.50000000,1667949059999,76.32684000,3,131.60000000,58.25722000,0
33,1667949060000,0.44200000,0.44200000,0.44170000,0.44170000,445.80000000,1667949119999,196.96476000,2,0.00000000,0.00000000,0
34,1667949120000,0.44170000,0.44170000,0.44170000,0.44170000,0.00000000,1667949179999,0.00000000,0,0.00000000,0.00000000,0
35,1667949180000,0.44170000,0.44170000,0.44170000,0.44170000,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
36,1667949240000,0.44180000,0.44180000,0.44100000,0.44100000,680.00000000,1667949299999,300.26405000,3,0.00000000,0.00000000,0
37,1667949300000,0.44210000,0.44220000,0.44210000,0.44220000,56.50000000,1667949359999,24.98132000,2,56.50000000,24.98132000,0
38,1667949360000,0.44220000,0.44220000,0.44220000,0.44220000,0.00000000,1667949419999,0.00000000,0,0.00000000,0.00000000,0
39,1667949420000,0.44060000,0.44060000,0.44060000,0.44060000,55.30000000,1667949479999,24.36518000,1,0.00000000,0.00000000,0
40,1667949480000,0.44000000,0.44000000,0.44000000,0.44000000,1014.80000000,1667949539999,446.51200000,2,0.00000000,0.00000000,0
41,1667949540000,0.44030000,0.44150000,0.44030000,0.44150000,271.60000000,1667949599999,119.81846000,3,271.60000000,119.81846000,0
42,1667949600000,0.43930000,0.43930000,0.43840000,0.43840000,548.90000000,1667949659999,240.78806000,5,0.00000000,0.00000000,0
43,1667949660000,0.43840000,0.43850000,0.43840000,0.43850000,48.20000000,1667949719999,21.13320000,2,0.00000000,0.00000000,0
44,1667949720000,0.44090000,0.44090000,0.44090000,0.44090000,40.00000000,1667949779999,17.63600000,1,40.00000000,17.63600000,0
