,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.43790000,0.43900000,0.43790000,0.43900000,5088.80000000,1667947139999,2232.99736000,10,4470.10000000,1961.59793000,0
1,1667947140000,0.43900000,0.43900000,0.43860000,0.43860000,1454.40000000,1667947199999,638.29171000,13,587.90000000,258.06532000,0
2,1667947200000,0.43850000,0.43900000,0.43840000,0.43900000,2289.00000000,1667947259999,1003.60120000,10,373.30000000,163.73978000,0
3,1667947260000,0.43910000,0.43910000,0.43900000,0.43900000,120.70000000,1667947319999,52.99126000,3,120.70000000,52.99126000,0
4,1667947320000,0.43920000,0.43920000,0.43910000,0.43910000,573.40000000,1667947379999,251.83044000,5,505.00000000,221.79600000,0
5,1667947380000,0.43970000,0.43990000,0.43880000,0.43990000,891.00000000,1667947439999,391.73426000,5,802.20000000,352.76882000,0
6,1667947440000,0.43920000,0.44230000,0.43890000,0.44230000,2826.90000000,1667947499999,1243.56116000,16,1189.40000000,524.23047000,0
7,1667947500000,0.43980000,0.44020000,0.43900000,0.43960000,3580.10000000,1667947559999,1574.11278000,15,1746.60000000,767.87751000,0
8,1667947560000,0.43960000,0.44010000,0.43910000,0.43970000,2312.30000000,1667947619999,1017.19733000,12,872.60000000,383.72634000,0
9,1667947620000,0.43990000,0.43990000,0.43990000,0.43990000,152.00000000,1667947679999,66.86480000,1,152.00000000,66.86480000,0
10,1667947680000,0.43970000,0.44060000,0.43970000,0.44020000,1736.80000000,1667947739999,764.26051000,8,992.90000000,436.97451000,0
11,1667947740000,0.43980000,0.44010000,0.43870000,0.44000000,13419.60000000,1667947799999,5901.30037000,34,2947.30000000,1295.64331000,0
12,1667947800000,0.44000000,0.44010000,0.43830000,0.43870000,2376.40000000,1667947859999,1045.07453000,14,189.70000000,83.46397000,0
13,1667947860000,0.43860000,0.43940000,0.43840000,0.43940000,3751.70000000,1667947919999,1645.53396000,7,3646.20000000,1599.28276000,0
14,1667947920000,0.43860000,0.43950000,0.43860000,0.43940000,422.90000000,1667947979999,185.76710000,5,387.70000000,170.32838000,0
15,1667947980000,0.43860000,0.44030000,0.43860000,0.44030000,11634.70000000,1667948039999,5120.09057000,18,9885.70000000,4351.38166000,0
16,1667948040000,0.44040000,0.44150000,0.44010000,0.44010000,5876.80000000,1667948099999,2592.34522000,17,1201.00000000,529.79862000,0
17,1667948100000,0.44030000,0.44090000,0.44030000,0.44090000,206.90000000,1667948159999,91.13455000,3,60.80000000,26.80672000,0
18,1667948160000,0.44030000,0.44130000,0.44010000,0.44130000,1639.30000000,1667948219999,722.83021000,6,1166.90000000,514.86977000,0
19,1667948220000,0.44130000,0.44130000,0.44090000,0.44130000,1678.80000000,1667948279999,740.64794000,14,677.60000000,298.89990000,0
20,1667948280000,0.44110000,0.44110000,0.44000000,0.44000000,1968.50000000,1667948339999,867.80253000,8,31.70000000,13.98287000,0
21,1667948340000,0.44100000,0.44110000,0.44010000,0.44030000,1884.50000000,1667948399999,830.82239000,8,1559.40000000,687.73988000,0
22,1667948400000,0.44100000,0.44100000,0.44030000,0.44080000,655.80000000,1667948459999,288.98515000,3,113.30000000,49.96530000,0
23,1667948460000,0.44110000,0.44110000,0.43910000,0.43910000,1891.90000000,1667948519999,832.72804000,11,310.50000000,136.84745000,0
24,1667948520000,0.44000000,0.44060000,0.43900000,0.44040000,4374.80000000,1667948579999,1925.23540000,15,2645.80000000,1164.62443000,0
