,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,9.64000000,9.64000000,9.63000000,9.63000000,188.85000000,1667947199999,1819.57330000,4,0.00000000,0.00000000,0
1,1667947200000,9.62000000,9.62000000,9.62000000,9.62000000,0.07000000,1667947259999,0.67340000,1,0.00000000,0.00000000,0
2,1667947260000,9.62000000,9.62000000,9.62000000,9.62000000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
3,1667947320000,9.62000000,9.62000000,9.62000000,9.62000000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
4,1667947380000,9.62000000,9.62000000,9.62000000,9.62000000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
5,1667947440000,9.63000000,9.63000000,9.63000000,9.63000000,353.13000000,1667947499999,3400.64190000,1,353.13000000,3400.64190000,0
6,1667947500000,9.63000000,9.63000000,9.63000000,9.63000000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
7,1667947560000,9.63000000,9.63000000,9.63000000,9.63000000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
8,1667947620000,9.67000000,9.67000000,9.66000000,9.66000000,67.64000000,1667947679999,654.04890000,3,64.65000000,625.16550000,0
9,1667947680000,9.66000000,9.66000000,9.66000000,9.66000000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
10,1667947740000,9.62000000,9.62000000,9.58000000,9.58000000,437.14000000,1667947799999,4197.63820000,9,50.00000000,480.50000000,0
11,1667947800000,9.58000000,9.58000000,9.57000000,9.57000000,558.87000000,1667947859999,5353.15820000,10,0.00000000,0.00000000,0
12,1667947860000,9.60000000,9.60000000,9.60000000,9.60000000,658.46000000,1667947919999,6321.21600000,3,0.00000000,0.00000000,0
13,1667947920000,9.60000000,9.60000000,9.60000000,9.60000000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
14,1667947980000,9.62000000,9.64000000,9.62000000,9.64000000,699.40000000,1667948039999,6735.19110000,10,699.40000000,6735.19110000,0
15,1667948040000,9.65000000,9.68000000,9.63000000,9.63000000,2754.33000000,1667948099999,26652.26700000,10,2664.10000000,25783.35210000,0
16,1667948100000,9.63000000,9.63000000,9.63000000,9.63000000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
17,1667948160000,9.63000000,9.63000000,9.63000000,9.63000000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
18,1667948220000,9.62000000,9.62000000,9.62000000,9.62000000,97.57000000,1667948279999,938.62340000,1,0.00000000,0.00000000,0
19,1667948280000,9.62000000,9.62000000,9.58000000,9.58000000,830.01000000,1667948339999,7957.62790000,15,0.00000000,0.00000000,0
20,1667948340000,9.59000000,9.60000000,9.59000000,9.60000000,358.47000000,1667948399999,3437.84610000,2,346.59000000,3323.79810000,0
21,1667948400000,9.57000000,9.57000000,9.57000000,9.57000000,175.30000000,1667948459999,1677.62100000,2,0.00000000,0.00000000,0
22,1667948460000,9.56000000,9.56000000,9.54000000,9.54000000,792.53000000,1667948519999,7571.76530000,9,0.00000000,0.00000000,0
23,1667948520000,9.52000000,9.54000000,9.52000000,9.54000000,1151.94000000,1667948579999,10981.37070000,5,1150.84000000,10970.89870000,0
24,1667948580000,9.56000000,9.56000000,9.56000000,9.56000000,349.60000000,1667948639999,3342.17600000,1,349.60000000,3342.17600000,0
25,1667948640000,9.59000000,9.60000000,9.59000000,9.60000000,422.24000000,1667948699999,4049.83490000,5,422.24000000,4049.83490000,0
26,1667948700000,9.61000000,9.62000000,9.61000000,9.62000000,232.54000000,1667948759999,2235.42800000,4,232.54000000,2235.42800000,0
27,1667948760000,9.62000000,9.63000000,9.61000000,9.63000000,954.18000000,1667948819999,9184.64600000,10,946.61000000,9111.89830000,0
28,1667948820000,9.63000000,9.63000000,9.63000000,9.63000000,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
29,1667948880000,9.58000000,9.58000000,9.58000000,9.58000000,551.01000000,1667948939999,5278.67580000,7,0.00000000,0.00000000,0
30,1667948940000,9.57000000,9.58000000,9.57000000,9.58000000,1181.70000000,1667948999999,11316.81400000,4,0.00000000,0.00000000,0
31,1667949000000,9.58000000,9.58000000,9.58000000,9.58000000,0.00000000,1667949059999,0.00000000,0,0.00000000,0.00000000,0
32,1667949060000,9.58000000,9.58000000,9.58000000,9.58000000,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
33,1667949120000,9.56000000,9.56000000,9.56000000,9.56000000,160.68000000,1667949179999,1536.10080000,2,0.00000000,0.00000000,0
34,1667949180000,9.57000000,9.57000000,9.57000000,9.57000000,397.67000000,1667949239999,3805.70190000,1,0.00000000,0.00000000,0
35,1667949240000,9.57000000,9.57000000,9.57000000,9.57000000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
36,1667949300000,9.57000000,9.57000000,9.57000000,9.57000000,0.00000000,1667949359999,0.00000000,0,0.00000000,0.00000000,0
37,1667949360000,9.61000000,9.62000000,9.55000000,9.55000000,1954.59000000,1667949419999,18697.10210000,15,246.35000000,2368.43570000,0
38,1667949420000,9.55000000,9.56000000,9.54000000,9.54000000,268.46000000,1667949479999,2561.30920000,7,3.36000000,32.12160000,0
39,1667949480000,9.52000000,9.52000000,9.50000000,9.52000000,522.63000000,1667949539999,4968.72550000,5,351.55000000,3343.24050000,0
40,1667949540000,9.52000000,9.53000000,9.52000000,9.53000000,940.02000000,1667949599999,8949.09190000,2,940.02000000,8949.09190000,0
41,1667949600000,9.53000000,9.53000000,9.53000000,9.53000000,0.00000000,1667949659999,0.00000000,0,0.00000000,0.00000000,0
42,1667949660000,9.53000000,9.53000000,9.53000000,9.53000000,0.00000000,1667949719999,0.00000000,0,0.00000000,0.00000000,0
43,1667949720000,9.53000000,9.53000000,9.53000000,9.53000000,229.04000000,1667949779999,2182.75120000,1,229.04000000,2182.75120000,0
44,1667949780000,9.53000000,9.53000000,9.53000000,9.53000000,0.00000000,1667949839999,0.00000000,0,0.00000000,0.00000000,0
45,1667949840000,9.53000000,9.53000000,9.53000000,9.53000000,0.00000000,1667949899999,0.00000000,0,0.00000000,0.00000000,0
46,1667949900000,9.53000000,9.53000000,9.53000000,9.53000000,0.00000000,1667949959999,0.00000000,0,0.00000000,0.00000000,0
47,1667949960000,9.53000000,9.53000000,9.53000000,9.53000000,5501.14000000,1667950019999,52425.86420000,4,0.00000000,0.00000000,0
48,1667950020000,9.53000000,9.53000000,9.53000000,9.53000000,446.30000000,1667950079999,4253.23900000,2,0.00000000,0.00000000,0
49,1667950080000,9.53000000,9.53000000,9.53000000,9.53000000,0.00000000,1667950139999,0.00000000,0,0.00000000,0.00000000,0
50,1667950140000,9.59000000,9.62000000,9.59000000,9.62000000,474.60000000,1667950199999,4557.72120000,9,474.60000000,4557.72120000,0
51,1667950200000,9.63000000,9.64000000,9.60000000,9.60000000,668.82000000,1667950259999,6439.99910000,10,624.72000000,6016.63910000,0
52,1667950260000,9.60000000,9.60000000,9.59000000,9.59000000,234.94000000,1667950319999,2254.83850000,9,0.00000000,0.00000000,0
53,1667950320000,9.64000000,9.65000000,9.64000000,9.65000000,147.04000000,1667950379999,1418.21960000,2,147.04000000,1418.21960000,0
54,1667950380000,9.65000000,9.68000000,9.65000000,9.68000000,209.23000000,1667950439999,2023.01550000,5,209.23000000,2023.01550000,0
55,1667950440000,9.66000000,9.69000000,9.66000000,9.69000000,171.87000000,1667950499999,1662.11220000,2,61.60000000,596.90400000,0
