,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,0.00009670,0.00009680,0.00009660,0.00009680,185.80000000,1667947019999,0.01797079,3,96.30000000,0.00932184,0
1,1667947020000,0.00009650,0.00009650,0.00009650,0.00009650,10.40000000,1667947079999,0.00100360,1,0.00000000,0.00000000,0
2,1667947080000,0.00009640,0.00009640,0.00009600,0.00009620,197.20000000,1667947139999,0.01896852,6,73.60000000,0.00708768,0
3,1667947140000,0.00009620,0.00009620,0.00009620,0.00009620,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
4,1667947200000,0.00009640,0.00009640,0.00009640,0.00009640,11.00000000,1667947259999,0.00106040,1,0.00000000,0.00000000,0
5,1667947260000,0.00009620,0.00009650,0.00009600,0.00009650,63.70000000,1667947319999,0.00613097,4,1.30000000,0.00012545,0
6,1667947320000,0.00009640,0.00009670,0.00009640,0.00009650,128.50000000,1667947379999,0.01240113,4,20.70000000,0.00200169,0
7,1667947380000,0.00009650,0.00009650,0.00009650,0.00009650,32.50000000,1667947439999,0.00313625,2,0.00000000,0.00000000,0
8,1667947440000,0.00009650,0.00009650,0.00009650,0.00009650,193.60000000,1667947499999,0.01868240,2,0.00000000,0.00000000,0
9,1667947500000,0.00009630,0.00009640,0.00009630,0.00009640,34.60000000,1667947559999,0.00333524,2,0.00000000,0.00000000,0
10,1667947560000,0.00009670,0.00009670,0.00009670,0.00009670,4.00000000,1667947619999,0.00038680,1,0.00000000,0.00000000,0
11,1667947620000,0.00009660,0.00009660,0.00009660,0.00009660,13.00000000,1667947679999,0.00125580,1,13.00000000,0.00125580,0
12,1667947680000,0.00009670,0.00009670,0.00009670,0.00009670,18.00000000,1667947739999,0.00174060,1,0.00000000,0.00000000,0
13,1667947740000,0.00009680,0.00009680,0.00009610,0.00009610,358.20000000,1667947799999,0.03456709,4,11.70000000,0.00113256,0
14,1667947800000,0.00009660,0.00009660,0.00009650,0.00009650,367.40000000,1667947859999,0.03545567,3,367.40000000,0.03545567,0
15,1667947860000,0.00009650,0.00009650,0.00009650,0.00009650,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
16,1667947920000,0.00009650,0.00009650,0.00009650,0.00009650,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
17,1667947980000,0.00009620,0.00009620,0.00009620,0.00009620,10.40000000,1667948039999,0.00100048,1,0.00000000,0.00000000,0
18,1667948040000,0.00009620,0.00009620,0.00009620,0.00009620,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
19,1667948100000,0.00009620,0.00009620,0.00009620,0.00009620,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
20,1667948160000,0.00009620,0.00009620,0.00009620,0.00009620,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
21,1667948220000,0.00009620,0.00009620,0.00009620,0.00009620,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
22,1667948280000,0.00009630,0.00009630,0.00009600,0.00009600,48.70000000,1667948339999,0.00468814,7,0.00000000,0.00000000,0
23,1667948340000,0.00009590,0.00009590,0.00009590,0.00009590,10.40000000,1667948399999,0.00099736,1,0.00000000,0.00000000,0
24,1667948400000,0.00009580,0.00009580,0.00009540,0.00009580,365.60000000,1667948459999,0.03500438,13,291.00000000,0.02787591,0
25,1667948460000,0.00009580,0.00009580,0.00009580,0.00009580,341.90000000,1667948519999,0.03275402,2,341.90000000,0.03275402,0
26,1667948520000,0.00009580,0.00009580,0.00009580,0.00009580,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
27,1667948580000,0.00009580,0.00009580,0.00009580,0.00009580,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
28,1667948640000,0.00009580,0.00009580,0.00009580,0.00009580,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
29,1667948700000,0.00009600,0.00009620,0.00009600,0.00009620,11.80000000,1667948759999,0.00113490,2,11.80000000,0.00113490,0
30,1667948760000,0.00009620,0.00009620,0.00009620,0.00009620,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
31,1667948820000,0.00009640,0.00009650,0.00009640,0.00009650,11.70000000,1667948879999,0.00112892,2,11.70000000,0.00112892,0
32,1667948880000,0.00009630,0.00009630,0.00009630,0.00009630,84.10000000,1667948939999,0.00809883,1,0.00000000,0.00000000,0
33,1667948940000,0.00009590,0.00009620,0.00009580,0.00009590,176.60000000,1667948999999,0.01695110,6,112.70000000,0.01080793,0
34,1667949000000,0.00009590,0.00009590,0.00009590,0.00009590,0.00000000,1667949059999,0.00000000,0,0.00000000,0.00000000,0
35,1667949060000,0.00009590,0.00009590,0.00009590,0.00009590,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
36,1667949120000,0.00009590,0.00009590,0.00009590,0.00009590,0.00000000,1667949179999,0.00000000,0,0.00000000,0.00000000,0
37,1667949180000,0.00009590,0.00009590,0.00009590,0.00009590,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
