,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,0.71100000,0.71720000,0.70820000,0.71430000,30247.40000000,1667947199999,21546.45731000,77,19978.00000000,14241.61924000,0
1,1667947200000,0.71640000,0.71650000,0.70850000,0.70990000,25254.00000000,1667947259999,17979.15524000,59,7497.90000000,5345.83154000,0
2,1667947260000,0.70990000,0.71180000,0.70770000,0.71180000,49486.70000000,1667947319999,35148.32862000,75,6399.10000000,4549.27025000,0
3,1667947320000,0.71170000,0.72510000,0.71170000,0.72510000,14361.30000000,1667947379999,10310.19198000,67,13254.40000000,9514.74845000,0
4,1667947380000,0.72620000,0.72670000,0.71230000,0.72020000,46878.00000000,1667947439999,33777.90502000,111,14533.70000000,10470.16932000,0
5,1667947440000,0.72140000,0.72420000,0.72020000,0.72190000,40772.40000000,1667947499999,29434.92805000,88,27850.60000000,20111.93098000,0
6,1667947500000,0.72020000,0.72020000,0.71470000,0.71470000,15374.00000000,1667947559999,11037.32693000,40,8661.20000000,6216.44470000,0
7,1667947560000,0.71300000,0.71550000,0.71050000,0.71500000,9679.90000000,1667947619999,6905.21788000,53,7176.90000000,5124.21622000,0
8,1667947620000,0.71550000,0.71860000,0.71350000,0.71640000,30587.10000000,1667947679999,21911.74364000,57,6405.40000000,4583.82634000,0
9,1667947680000,0.71640000,0.71760000,0.71140000,0.71360000,11348.80000000,1667947739999,8112.23804000,51,2548.10000000,1826.76929000,0
10,1667947740000,0.71140000,0.71270000,0.70800000,0.70880000,19919.90000000,1667947799999,14134.83629000,52,2180.40000000,1547.61027000,0
11,1667947800000,0.70920000,0.71110000,0.70020000,0.70170000,46071.40000000,1667947859999,32549.76803000,104,23053.90000000,16323.14464000,0
12,1667947860000,0.70030000,0.70160000,0.69370000,0.69970000,81767.30000000,1667947919999,57123.35601000,215,25921.30000000,18086.29359000,0
13,1667947920000,0.69960000,0.70180000,0.69550000,0.69830000,89958.90000000,1667947979999,62828.87446000,129,36836.60000000,25758.51154000,0
14,1667947980000,0.69570000,0.70000000,0.69560000,0.70000000,46207.00000000,1667948039999,32263.37351000,97,25554.20000000,17855.60958000,0
15,1667948040000,0.69840000,0.69960000,0.69690000,0.69890000,66743.60000000,1667948099999,46636.07107000,58,8373.30000000,5852.61973000,0
16,1667948100000,0.69880000,0.69950000,0.69750000,0.69750000,63920.70000000,1667948159999,44634.66347000,84,8492.80000000,5935.16046000,0
17,1667948160000,0.69830000,0.69880000,0.69750000,0.69830000,9532.40000000,1667948219999,6656.73169000,20,7881.00000000,5503.90713000,0
18,1667948220000,0.69830000,0.69890000,0.69040000,0.69440000,53800.30000000,1667948279999,37429.10639000,113,15133.50000000,10557.23203000,0
19,1667948280000,0.69450000,0.69630000,0.69340000,0.69340000,9348.50000000,1667948339999,6488.38788000,37,3665.70000000,2544.41677000,0
20,1667948340000,0.69400000,0.69870000,0.69400000,0.69870000,20045.60000000,1667948399999,13974.40671000,34,15566.60000000,10857.65099000,0
21,1667948400000,0.69760000,0.70240000,0.69600000,0.70240000,46111.90000000,1667948459999,32223.70429000,72,40955.80000000,28626.99935000,0
22,1667948460000,0.70370000,0.70960000,0.70340000,0.70660000,34952.00000000,1667948519999,24672.84191000,102,11669.60000000,8253.47356000,0
23,1667948520000,0.70810000,0.71050000,0.70530000,0.70530000,47698.00000000,1667948579999,33794.29840000,67,35646.60000000,25253.18273000,0
24,1667948580000,0.70590000,0.70940000,0.70510000,0.70940000,30203.10000000,1667948639999,21339.18643000,66,15821.70000000,11183.20667000,0
25,1667948640000,0.70780000,0.71500000,0.70780000,0.71100000,25228.50000000,1667948699999,17949.04947000,67,11347.20000000,8069.43764000,0
26,1667948700000,0.71250000,0.71250000,0.70330000,0.70740000,48654.10000000,1667948759999,34412.85885000,81,4813.10000000,3412.53727000,0
27,1667948760000,0.70750000,0.71500000,0.70750000,0.71330000,21921.80000000,1667948819999,15622.06281000,49,14986.80000000,10679.47144000,0
28,1667948820000,0.71350000,0.71740000,0.71330000,0.71580000,11265.80000000,1667948879999,8060.08962000,32,6553.90000000,4688.90127000,0
29,1667948880000,0.71720000,0.71720000,0.71190000,0.71190000,16699.60000000,1667948939999,11912.17541000,44,507.10000000,362.95290000,0
30,1667948940000,0.71000000,0.71030000,0.70850000,0.70900000,9285.10000000,1667948999999,6589.41363000,34,8352.30000000,5927.79130000,0
31,1667949000000,0.70900000,0.71050000,0.70030000,0.70150000,43852.30000000,1667949059999,30967.15916000,91,6596.00000000,4640.42663000,0
32,1667949060000,0.70150000,0.71860000,0.70040000,0.71860000,69198.70000000,1667949119999,49012.01598000,169,46439.00000000,32879.28857000,0
33,1667949120000,0.71860000,0.71860000,0.71700000,0.71700000,30691.10000000,1667949179999,22012.49035000,51,2919.70000000,2097.29422000,0
34,1667949180000,0.71640000,0.73130000,0.70730000,0.72770000,82159.90000000,1667949239999,58945.34102000,179,56853.90000000,40852.10131000,0
35,1667949240000,0.72730000,0.72730000,0.70160000,0.71040000,77751.20000000,1667949299999,55411.62906000,230,18056.70000000,12808.10830000,0
36,1667949300000,0.71110000,0.71540000,0.71040000,0.71410000,19169.40000000,1667949359999,13670.38809000,68,14148.90000000,10090.92250000,0
37,1667949360000,0.71520000,0.71520000,0.70830000,0.71450000,39197.50000000,1667949419999,27895.95256000,85,16007.30000000,11392.61275000,0
38,1667949420000,0.71210000,0.71370000,0.71030000,0.71090000,11034.30000000,1667949479999,7850.66925000,35,4852.40000000,3452.83590000,0
39,1667949480000,0.71100000,0.72160000,0.71100000,0.71620000,57790.10000000,1667949539999,41431.83577000,104,44359.90000000,31811.21025000,0
40,1667949540000,0.71620000,0.71620000,0.71280000,0.71480000,27687.90000000,1667949599999,19801.69179000,43,1186.50000000,848.35838000,0
41,1667949600000,0.71480000,0.71800000,0.71460000,0.71770000,10425.00000000,1667949659999,7468.48299000,23,9637.50000000,6904.65654000,0
42,1667949660000,0.71610000,0.71610000,0.71370000,0.71390000,5322.60000000,1667949719999,3807.56736000,22,1015.20000000,725.36040000,0
43,1667949720000,0.71450000,0.71600000,0.71400000,0.71590000,4099.40000000,1667949779999,2929.40482000,16,1407.30000000,1005.73676000,0
44,1667949780000,0.71590000,0.71790000,0.71480000,0.71790000,4618.50000000,1667949839999,3312.07379000,16,1181.60000000,847.84659000,0
45,1667949840000,0.71640000,0.72100000,0.71640000,0.71980000,20630.60000000,1667949899999,14821.27972000,41,10829.50000000,7784.43834000,0
46,1667949900000,0.71860000,0.71860000,0.71470000,0.71510000,38904.70000000,1667949959999,27835.04002000,47,27972.70000000,20006.24408000,0
47,1667949960000,0.71510000,0.71930000,0.71510000,0.71630000,19562.30000000,1667950019999,14025.00488000,34,18329.90000000,13142.02998000,0
48,1667950020000,0.71560000,0.71820000,0.71540000,0.71820000,3420.30000000,1667950079999,2451.24089000,14,2982.50000000,2137.78998000,0
49,1667950080000,0.71690000,0.71780000,0.71650000,0.71660000,6108.80000000,1667950139999,4382.02155000,15,5562.60000000,3990.63165000,0
50,1667950140000,0.71730000,0.71900000,0.71660000,0.71790000,19872.70000000,1667950199999,14258.53962000,37,14104.80000000,10121.84512000,0
51,1667950200000,0.71800000,0.71800000,0.68000000,0.69750000,364764.60000000,1667950259999,254986.53067000,689,79061.90000000,54726.65727000,0
52,1667950260000,0.69760000,0.69840000,0.67010000,0.67710000,233421.20000000,1667950319999,159541.92672000,434,46615.90000000,31640.14972000,0
53,1667950320000,0.67920000,0.68030000,0.63010000,0.64840000,741675.40000000,1667950379999,480014.12458000,1606,178600.80000000,115209.79555000,0
54,1667950380000,0.64920000,0.65950000,0.63000000,0.63520000,347153.50000000,1667950439999,223468.26138000,593,99963.70000000,64565.65205000,0
55,1667950440000,0.63560000,0.65370000,0.63000000,0.63470000,323316.60000000,1667950499999,207208.27277000,515,84778.50000000,54511.87666000,0
56,1667950500000,0.63470000,0.63820000,0.61000000,0.62020000,533864.10000000,1667950559999,332418.93406000,989,114421.50000000,71190.03160000,0
57,1667950560000,0.61870000,0.62180000,0.60480000,0.61600000,343967.10000000,1667950619999,210121.54639000,618,99493.80000000,60990.12203000,0
58,1667950620000,0.61500000,0.63070000,0.61480000,0.62800000,154234.40000000,1667950679999,96371.47826000,276,83730.00000000,52225.65512000,0
59,1667950680000,0.62730000,0.62870000,0.61350000,0.61350000,76208.30000000,1667950739999,47513.86032000,172,24966.50000000,15602.58137000,0
60,1667950740000,0.61800000,0.61810000,0.60100000,0.60360000,166247.90000000,1667950799999,101204.94623000,339,30313.10000000,18491.01621000,0
61,1667950800000,0.60360000,0.63000000,0.60360000,0.63000000,232739.00000000,1667950859999,144604.62049000,354,159203.10000000,98880.29961000,0
62,1667950860000,0.63000000,0.64550000,0.63000000,0.64040000,178656.50000000,1667950919999,113986.12192000,254,93948.50000000,59985.41974000,0
63,1667950920000,0.64170000,0.64190000,0.62950000,0.63280000,124397.30000000,1667950979999,79025.72613000,180,53750.80000000,33989.79598000,0
64,1667950980000,0.63230000,0.63560000,0.63160000,0.63520000,55579.20000000,1667951039999,35216.14196000,89,14097.00000000,8936.54772000,0
65,1667951040000,0.63560000,0.63830000,0.63110000,0.63140000,40378.20000000,1667951099999,25667.84114000,85,7854.10000000,4993.49026000,0
66,1667951100000,0.63240000,0.64000000,0.63120000,0.63900000,75356.90000000,1667951159999,47850.61946000,136,59087.30000000,37537.90731000,0
67,1667951160000,0.64000000,0.64710000,0.63950000,0.64640000,72011.80000000,1667951219999,46339.07226000,156,34029.70000000,21909.70621000,0
68,1667951220000,0.64490000,0.64600000,0.63000000,0.63060000,72478.00000000,1667951279999,46228.77526000,106,23091.50000000,14798.31633000,0
69,1667951280000,0.63060000,0.63590000,0.63010000,0.63590000,59724.70000000,1667951339999,37825.70414000,97,24934.70000000,15775.78468000,0
70,1667951340000,0.63660000,0.64030000,0.63210000,0.63720000,90161.20000000,1667951399999,57542.35776000,144,38571.70000000,24611.19176000,0
71,1667951400000,0.63720000,0.64290000,0.63650000,0.64290000,22841.10000000,1667951459999,14579.69151000,46,16140.40000000,10298.44289000,0
72,1667951460000,0.64210000,0.64990000,0.64080000,0.64320000,94864.30000000,1667951519999,61203.76989000,135,49299.50000000,31794.42928000,0
73,1667951520000,0.64470000,0.64530000,0.63810000,0.64030000,50912.80000000,1667951579999,32655.16150000,95,24340.10000000,15621.75879000,0
74,1667951580000,0.63910000,0.64060000,0.63670000,0.63770000,13090.90000000,1667951639999,8350.60328000,40,5233.90000000,3340.65592000,0
75,1667951640000,0.63640000,0.63870000,0.63010000,0.63140000,57936.90000000,1667951699999,36788.88314000,124,23536.10000000,14962.15268000,0
76,1667951700000,0.63280000,0.63500000,0.62780000,0.62790000,57221.30000000,1667951759999,36104.13609000,106,16003.10000000,10132.80573000,0
77,1667951760000,0.62820000,0.64160000,0.62820000,0.64000000,87102.40000000,1667951819999,55462.63222000,131,76167.20000000,48489.70753000,0
78,1667951820000,0.63770000,0.63970000,0.63580000,0.63620000,12170.90000000,1667951879999,7761.72018000,30,8341.40000000,5324.78230000,0
79,1667951880000,0.63640000,0.63670000,0.63410000,0.63410000,8799.40000000,1667951939999,5597.22141000,26,739.80000000,470.88670000,0
80,1667951940000,0.63410000,0.63440000,0.62570000,0.62690000,97922.50000000,1667951999999,61556.67157000,136,26994.00000000,16937.37546000,0
81,1667952000000,0.62700000,0.63150000,0.62700000,0.63150000,24817.00000000,1667952059999,15634.71618000,69,20628.00000000,13003.82403000,0
82,1667952060000,0.63090000,0.63150000,0.61560000,0.61910000,113853.90000000,1667952119999,70911.04958000,150,41905.70000000,26042.04564000,0
83,1667952120000,0.62120000,0.62130000,0.61300000,0.61700000,64093.80000000,1667952179999,39461.44458000,167,32425.50000000,19953.52807000,0
84,1667952180000,0.61700000,0.61870000,0.60250000,0.60260000,141775.80000000,1667952239999,86626.76918000,248,27542.40000000,16895.54089000,0
85,1667952240000,0.60510000,0.61190000,0.60260000,0.61040000,49952.00000000,1667952299999,30358.07128000,159,41363.30000000,25159.34677000,0
86,1667952300000,0.61250000,0.62000000,0.61050000,0.61700000,44946.00000000,1667952359999,27740.91718000,122,31795.20000000,19634.18855000,0
87,1667952360000,0.61840000,0.63000000,0.61740000,0.61950000,99046.40000000,1667952419999,61643.28969000,166,59849.00000000,37290.33248000,0
88,1667952420000,0.61860000,0.61870000,0.61600000,0.61660000,27074.30000000,1667952479999,16707.33056000,72,8313.40000000,5128.39775000,0
89,1667952480000,0.61710000,0.62040000,0.61660000,0.61890000,32098.40000000,1667952539999,19875.67027000,58,19840.30000000,12285.77783000,0
90,1667952540000,0.61890000,0.62000000,0.61890000,0.61980000,21167.80000000,1667952599999,13117.02514000,51,13815.30000000,8563.08440000,0
91,1667952600000,0.61980000,0.62000000,0.61510000,0.61600000,47492.10000000,1667952659999,29366.46467000,91,13613.60000000,8428.93449000,0
92,1667952660000,0.61560000,0.61940000,0.61560000,0.61940000,34420.80000000,1667952719999,21295.93171000,51,27541.10000000,17048.31765000,0
93,1667952720000,0.61940000,0.62120000,0.61610000,0.61820000,48753.30000000,1667952779999,30200.53317000,85,29164.10000000,18081.98984000,0
