,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,1.29400000,1.29400000,1.29400000,1.29400000,11.61800000,1667947139999,15.03369200,1,11.61800000,15.03369200,0
1,1667947140000,1.29100000,1.29100000,1.29000000,1.29000000,200.00000000,1667947199999,258.14915500,4,0.00000000,0.00000000,0
2,1667947200000,1.29000000,1.29000000,1.29000000,1.29000000,0.00000000,1667947259999,0.00000000,0,0.00000000,0.00000000,0
3,1667947260000,1.29000000,1.29300000,1.28900000,1.28900000,1688.83900000,1667947319999,2177.21336800,16,575.69200000,742.10158000,0
4,1667947320000,1.28800000,1.28900000,1.28800000,1.28900000,41.25300000,1667947379999,53.13629800,2,2.43400000,3.13742600,0
5,1667947380000,1.28900000,1.29300000,1.28900000,1.29200000,1878.97500000,1667947439999,2425.44314900,7,1878.97500000,2425.44314900,0
6,1667947440000,1.29400000,1.29700000,1.29400000,1.29700000,107.38200000,1667947499999,139.04995200,2,107.38200000,139.04995200,0
7,1667947500000,1.29700000,1.29700000,1.29700000,1.29700000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
8,1667947560000,1.30000000,1.30000000,1.30000000,1.30000000,521.88400000,1667947619999,678.44920000,3,188.60400000,245.18520000,0
9,1667947620000,1.29500000,1.29500000,1.29500000,1.29500000,792.86200000,1667947679999,1026.75629000,2,792.86200000,1026.75629000,0
10,1667947680000,1.29600000,1.30000000,1.29600000,1.30000000,153.85600000,1667947739999,199.55122000,2,38.46100000,49.99930000,0
11,1667947740000,1.29600000,1.29600000,1.29600000,1.29600000,97.92000000,1667947799999,126.90432000,3,0.00000000,0.00000000,0
12,1667947800000,1.30000000,1.30300000,1.29600000,1.29600000,889.47200000,1667947859999,1156.96318700,10,763.57000000,993.78016400,0
13,1667947860000,1.29700000,1.29700000,1.29700000,1.29700000,7.75800000,1667947919999,10.06212600,1,0.00000000,0.00000000,0
14,1667947920000,1.29700000,1.30000000,1.29200000,1.29300000,5848.90800000,1667947979999,7568.27634700,18,1414.06300000,1828.51263300,0
15,1667947980000,1.29600000,1.29600000,1.29600000,1.29600000,13.90800000,1667948039999,18.02476800,1,13.90800000,18.02476800,0
16,1667948040000,1.29600000,1.29900000,1.29600000,1.29900000,1346.71200000,1667948099999,1747.25365500,14,1346.71200000,1747.25365500,0
17,1667948100000,1.29900000,1.29900000,1.29900000,1.29900000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
18,1667948160000,1.29800000,1.29800000,1.29800000,1.29800000,8.08900000,1667948219999,10.49952200,1,8.08900000,10.49952200,0
19,1667948220000,1.29700000,1.29700000,1.29500000,1.29500000,96.37500000,1667948279999,124.91028300,3,2.27800000,2.95001000,0
20,1667948280000,1.29500000,1.29500000,1.29500000,1.29500000,13.05500000,1667948339999,16.90622500,1,13.05500000,16.90622500,0
21,1667948340000,1.29500000,1.29500000,1.29500000,1.29500000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
22,1667948400000,1.29500000,1.29500000,1.29500000,1.29500000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
23,1667948460000,1.29500000,1.29500000,1.29500000,1.29500000,28.96000000,1667948519999,37.50320000,1,28.96000000,37.50320000,0
24,1667948520000,1.29200000,1.29200000,1.29200000,1.29200000,13.89400000,1667948579999,17.95104800,1,0.00000000,0.00000000,0
25,1667948580000,1.29200000,1.29200000,1.29200000,1.29200000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
26,1667948640000,1.29500000,1.29500000,1.29500000,1.29500000,10.88100000,1667948699999,14.09089500,1,10.88100000,14.09089500,0
27,1667948700000,1.29400000,1.29400000,1.29200000,1.29200000,66.90000000,1667948759999,86.46860000,2,16.90000000,21.86860000,0
28,1667948760000,1.29400000,1.29400000,1.29400000,1.29400000,23.63000000,1667948819999,30.57722000,2,23.63000000,30.57722000,0
29,1667948820000,1.29500000,1.29500000,1.29400000,1.29400000,473.42400000,1667948879999,613.05766200,4,473.42400000,613.05766200,0
30,1667948880000,1.29400000,1.29400000,1.29100000,1.29100000,1445.69500000,1667948939999,1869.20653100,10,603.22500000,780.57315000,0
31,1667948940000,1.29100000,1.29100000,1.29100000,1.29100000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
32,1667949000000,1.29300000,1.29400000,1.29300000,1.29400000,213.09400000,1667949059999,275.73054200,2,200.00000000,258.80000000,0
33,1667949060000,1.29400000,1.29400000,1.29400000,1.29400000,2206.81200000,1667949119999,2855.61472800,3,2195.33100000,2840.75831400,0
34,1667949120000,1.29400000,1.29400000,1.29400000,1.29400000,0.00000000,1667949179999,0.00000000,0,0.00000000,0.00000000,0
35,1667949180000,1.29500000,1.29500000,1.29400000,1.29400000,56.79300000,1667949239999,73.54014200,2,0.00000000,0.00000000,0
36,1667949240000,1.29700000,1.29700000,1.29700000,1.29700000,85.19600000,1667949299999,110.49921200,1,85.19600000,110.49921200,0
37,1667949300000,1.29600000,1.29600000,1.29600000,1.29600000,196.43600000,1667949359999,254.58105600,3,0.00000000,0.00000000,0
38,1667949360000,1.29800000,1.29800000,1.29200000,1.29200000,6009.80600000,1667949419999,7777.10812600,11,77.04100000,99.99921800,0
39,1667949420000,1.29200000,1.29200000,1.29100000,1.29100000,10.52600000,1667949479999,13.59311400,2,0.00000000,0.00000000,0
40,1667949480000,1.29300000,1.29300000,1.28700000,1.28700000,920.34500000,1667949539999,1186.48820300,9,12.37400000,15.99958200,0
41,1667949540000,1.28800000,1.28800000,1.28700000,1.28700000,228.90700000,1667949599999,294.77946400,5,0.00000000,0.00000000,0
42,1667949600000,1.28800000,1.28900000,1.28500000,1.28500000,444.08800000,1667949659999,571.66164000,5,324.31000000,417.71903700,0
43,1667949660000,1.28400000,1.28400000,1.28100000,1.28400000,3063.57700000,1667949719999,3927.70121000,19,775.00700000,994.12009200,0
44,1667949720000,1.28000000,1.28200000,1.27500000,1.28200000,6159.29500000,1667949779999,7870.87243200,25,1363.01200000,1745.58830500,0
45,1667949780000,1.28200000,1.28800000,1.27700000,1.28300000,9112.79400000,1667949839999,11666.18719300,29,1928.49500000,2479.57063900,0
46,1667949840000,1.28300000,1.28400000,1.28300000,1.28400000,215.52100000,1667949899999,276.71778100,3,11.18300000,14.34778900,0
47,1667949900000,1.28500000,1.28500000,1.28500000,1.28500000,21.04900000,1667949959999,27.04796500,1,0.00000000,0.00000000,0
48,1667949960000,1.28500000,1.28500000,1.28100000,1.28100000,643.40300000,1667950019999,824.76871700,7,38.24200000,49.14097000,0
49,1667950020000,1.28100000,1.28200000,1.28100000,1.28200000,4200.90800000,1667950079999,5385.32706900,17,3963.92100000,5081.74672200,0
50,1667950080000,1.28200000,1.28200000,1.28200000,1.28200000,160.01800000,1667950139999,205.14307600,3,160.01800000,205.14307600,0
51,1667950140000,1.28200000,1.29100000,1.28200000,1.29100000,4422.02800000,1667950199999,5675.13431900,17,4118.16500000,5283.26087800,0
52,1667950200000,1.29000000,1.29200000,1.28700000,1.28700000,476.86900000,1667950259999,614.72685900,9,244.07400000,315.11969400,0
53,1667950260000,1.28700000,1.29000000,1.28700000,1.29000000,1542.37100000,1667950319999,1987.23485500,22,1542.37100000,1987.23485500,0
54,1667950320000,1.28900000,1.29200000,1.28900000,1.29200000,119.99000000,1667950379999,154.95517600,6,119.99000000,154.95517600,0
55,1667950380000,1.29200000,1.29400000,1.29200000,1.29200000,179.06300000,1667950439999,231.48142100,7,100.90800000,130.50516100,0
56,1667950440000,1.29400000,1.29800000,1.29400000,1.29400000,642.44000000,1667950499999,831.68341800,10,329.64000000,426.92021800,0
57,1667950500000,1.29700000,1.30000000,1.29700000,1.30000000,165.83200000,1667950559999,215.22900300,8,165.83200000,215.22900300,0
