,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,0.03373000,0.03374000,0.03370000,0.03370000,527384.00000000,1667946959999,17778.13099000,8,110000.00000000,3711.40000000,0
1,1667946960000,0.03370000,0.03375000,0.03370000,0.03375000,253797.00000000,1667947019999,8557.00694000,5,117747.00000000,3971.70343000,0
2,1667947020000,0.03375000,0.03375000,0.03375000,0.03375000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
3,1667947080000,0.03379000,0.03379000,0.03379000,0.03379000,295.00000000,1667947139999,9.96805000,1,295.00000000,9.96805000,0
4,1667947140000,0.03371000,0.03371000,0.03370000,0.03370000,1849355.00000000,1667947199999,62323.31274000,23,0.00000000,0.00000000,0
5,1667947200000,0.03370000,0.03374000,0.03367000,0.03367000,519994.00000000,1667947259999,17524.14108000,13,8807.00000000,297.14818000,0
6,1667947260000,0.03367000,0.03369000,0.03367000,0.03369000,772635.00000000,1667947319999,26025.51065000,3,770735.00000000,25961.53765000,0
7,1667947320000,0.03370000,0.03370000,0.03370000,0.03370000,915581.00000000,1667947379999,30855.07970000,2,915581.00000000,30855.07970000,0
8,1667947380000,0.03370000,0.03370000,0.03370000,0.03370000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
9,1667947440000,0.03371000,0.03371000,0.03370000,0.03370000,307525.00000000,1667947499999,10366.41144000,3,0.00000000,0.00000000,0
10,1667947500000,0.03371000,0.03371000,0.03371000,0.03371000,5592.00000000,1667947559999,188.50632000,1,0.00000000,0.00000000,0
11,1667947560000,0.03375000,0.03375000,0.03375000,0.03375000,187622.00000000,1667947619999,6332.24250000,2,187622.00000000,6332.24250000,0
12,1667947620000,0.03382000,0.03382000,0.03382000,0.03382000,295.00000000,1667947679999,9.97690000,1,295.00000000,9.97690000,0
13,1667947680000,0.03375000,0.03375000,0.03371000,0.03371000,204613.00000000,1667947739999,6903.43015000,4,0.00000000,0.00000000,0
14,1667947740000,0.03371000,0.03371000,0.03363000,0.03363000,391473.00000000,1667947799999,13196.31755000,2,2966.00000000,99.74658000,0
15,1667947800000,0.03363000,0.03363000,0.03363000,0.03363000,460712.00000000,1667947859999,15493.74456000,5,460712.00000000,15493.74456000,0
16,1667947860000,0.03361000,0.03361000,0.03350000,0.03350000,2996.00000000,1667947919999,100.41891000,2,481.00000000,16.16641000,0
17,1667947920000,0.03350000,0.03350000,0.03350000,0.03350000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
18,1667947980000,0.03363000,0.03363000,0.03363000,0.03363000,5360.00000000,1667948039999,180.25680000,1,5360.00000000,180.25680000,0
19,1667948040000,0.03363000,0.03363000,0.03363000,0.03363000,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
20,1667948100000,0.03367000,0.03367000,0.03367000,0.03367000,75166.00000000,1667948159999,2530.83922000,1,0.00000000,0.00000000,0
21,1667948160000,0.03367000,0.03367000,0.03367000,0.03367000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
22,1667948220000,0.03368000,0.03368000,0.03368000,0.03368000,275489.00000000,1667948279999,9278.46952000,2,0.00000000,0.00000000,0
23,1667948280000,0.03368000,0.03368000,0.03367000,0.03367000,543153.00000000,1667948339999,18290.37204000,7,0.00000000,0.00000000,0
24,1667948340000,0.03367000,0.03367000,0.03367000,0.03367000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
25,1667948400000,0.03354000,0.03356000,0.03354000,0.03356000,36253.00000000,1667948459999,1216.30632000,2,0.00000000,0.00000000,0
26,1667948460000,0.03356000,0.03356000,0.03356000,0.03356000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
27,1667948520000,0.03356000,0.03356000,0.03356000,0.03356000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
28,1667948580000,0.03366000,0.03366000,0.03366000,0.03366000,412858.00000000,1667948639999,13896.80028000,2,412858.00000000,13896.80028000,0
29,1667948640000,0.03366000,0.03366000,0.03366000,0.03366000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
30,1667948700000,0.03366000,0.03366000,0.03366000,0.03366000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
31,1667948760000,0.03366000,0.03366000,0.03366000,0.03366000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
32,1667948820000,0.03378000,0.03379000,0.03378000,0.03379000,9614.00000000,1667948879999,324.79926000,2,9614.00000000,324.79926000,0
33,1667948880000,0.03379000,0.03388000,0.03376000,0.03388000,215393.00000000,1667948939999,7275.63500000,5,215393.00000000,7275.63500000,0
34,1667948940000,0.03367000,0.03369000,0.03366000,0.03369000,1004644.00000000,1667948999999,33824.36146000,9,196988.00000000,6636.48557000,0
35,1667949000000,0.03394000,0.03394000,0.03386000,0.03394000,948841.00000000,1667949059999,32191.73574000,5,948841.00000000,32191.73574000,0
36,1667949060000,0.03391000,0.03391000,0.03389000,0.03389000,192010.00000000,1667949119999,6507.24382000,3,0.00000000,0.00000000,0
37,1667949120000,0.03389000,0.03389000,0.03389000,0.03389000,0.00000000,1667949179999,0.00000000,0,0.00000000,0.00000000,0
