,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.00177400,0.00177900,0.00177100,0.00177200,2394988.00000000,1667946779999,4248.60822500,73,323085.00000000,573.80827900,0
1,1667946780000,0.00177200,0.00177500,0.00176900,0.00177000,3984137.00000000,1667946839999,7056.81888200,66,1030397.00000000,1827.25169100,0
2,1667946840000,0.00177100,0.00177100,0.00176500,0.00176700,6378692.00000000,1667946899999,11281.91463400,80,2077416.00000000,3677.37142200,0
3,1667946900000,0.00176800,0.00177100,0.00176800,0.00176900,3064736.00000000,1667946959999,5421.91545900,27,2510026.00000000,4440.88038600,0
4,1667946960000,0.00176800,0.00177700,0.00176800,0.00177700,2263731.00000000,1667947019999,4011.10139500,17,2252731.00000000,3991.65339500,0
5,1667947020000,0.00177400,0.00177400,0.00176800,0.00177100,909298.00000000,1667947079999,1609.97383600,20,632911.00000000,1120.76783000,0
6,1667947080000,0.00177100,0.00177300,0.00176700,0.00176700,1687238.00000000,1667947139999,2984.66314100,39,71847.00000000,127.32870900,0
7,1667947140000,0.00176700,0.00177200,0.00176500,0.00176800,2695964.00000000,1667947199999,4766.01315400,47,1921922.00000000,3398.51954000,0
8,1667947200000,0.00176700,0.00177000,0.00176300,0.00176600,5551754.00000000,1667947259999,9817.38569500,44,4773164.00000000,8442.29113500,0
9,1667947260000,0.00176600,0.00177200,0.00176600,0.00177200,4595217.00000000,1667947319999,8140.99711800,18,2882799.00000000,5106.76155400,0
10,1667947320000,0.00177500,0.00177700,0.00177300,0.00177600,1607473.00000000,1667947379999,2854.42866300,14,1300158.00000000,2309.25649400,0
11,1667947380000,0.00177700,0.00178000,0.00177400,0.00177500,2386680.00000000,1667947439999,4242.63914800,31,1448911.00000000,2577.19466300,0
12,1667947440000,0.00177400,0.00177500,0.00177000,0.00177000,1323715.00000000,1667947499999,2345.39244700,16,638276.00000000,1131.27629300,0
13,1667947500000,0.00177000,0.00177600,0.00176900,0.00176900,2584201.00000000,1667947559999,4584.10843800,17,2283939.00000000,4052.21547700,0
14,1667947560000,0.00177200,0.00177500,0.00176900,0.00177200,1293724.00000000,1667947619999,2292.55915900,20,892049.00000000,1581.27840500,0
15,1667947620000,0.00177300,0.00177500,0.00177200,0.00177500,243303.00000000,1667947679999,431.31072700,6,9169.00000000,16.27497500,0
16,1667947680000,0.00177300,0.00177500,0.00177100,0.00177100,1167523.00000000,1667947739999,2069.66819800,39,206891.00000000,367.19771100,0
17,1667947740000,0.00177000,0.00177000,0.00176100,0.00176100,573302.00000000,1667947799999,1013.60732700,6,0.00000000,0.00000000,0
18,1667947800000,0.00176100,0.00176700,0.00176000,0.00176100,3949236.00000000,1667947859999,6964.51146300,37,2304482.00000000,4067.90455500,0
19,1667947860000,0.00176200,0.00176500,0.00175900,0.00176300,2135663.00000000,1667947919999,3758.99837200,17,32914.00000000,58.08028700,0
20,1667947920000,0.00176300,0.00176500,0.00176000,0.00176000,1787862.00000000,1667947979999,3148.91604700,35,266660.00000000,470.20562000,0
21,1667947980000,0.00176500,0.00177100,0.00176500,0.00177000,2068543.00000000,1667948039999,3658.31619200,34,917553.00000000,1623.01280900,0
22,1667948040000,0.00177000,0.00177800,0.00177000,0.00177300,4107604.00000000,1667948099999,7283.47799100,65,1381246.00000000,2453.53614900,0
23,1667948100000,0.00177600,0.00177900,0.00177400,0.00177900,1399470.00000000,1667948159999,2486.37253900,22,972375.00000000,1728.59023300,0
24,1667948160000,0.00177600,0.00178000,0.00177600,0.00177600,536452.00000000,1667948219999,953.30984800,15,138132.00000000,245.78331000,0
25,1667948220000,0.00177400,0.00177700,0.00177100,0.00177100,563991.00000000,1667948279999,999.26681000,16,66756.00000000,118.44901200,0
26,1667948280000,0.00177300,0.00177300,0.00176800,0.00176800,2035480.00000000,1667948339999,3604.27969600,36,68872.00000000,122.04118400,0
27,1667948340000,0.00176500,0.00177300,0.00176400,0.00177300,3125982.00000000,1667948399999,5528.78870700,29,1577452.00000000,2793.39819500,0
28,1667948400000,0.00176500,0.00177400,0.00176100,0.00177000,8514323.00000000,1667948459999,15041.69279900,38,2628871.00000000,4658.44756500,0
29,1667948460000,0.00176600,0.00177000,0.00176300,0.00176500,322787.00000000,1667948519999,569.88242700,9,29434.00000000,52.05783700,0
30,1667948520000,0.00176200,0.00176900,0.00176100,0.00176900,825329.00000000,1667948579999,1455.46437000,9,489256.00000000,863.63981700,0
31,1667948580000,0.00176800,0.00177500,0.00176800,0.00177400,391256.00000000,1667948639999,693.24429700,4,391256.00000000,693.24429700,0
32,1667948640000,0.00177300,0.00177900,0.00177300,0.00177900,886179.00000000,1667948699999,1572.97060100,4,876737.00000000,1556.22993500,0
33,1667948700000,0.00177900,0.00178600,0.00177700,0.00178500,6461247.00000000,1667948759999,11519.89232900,40,5827282.00000000,10392.03529900,0
34,1667948760000,0.00178300,0.00178600,0.00178000,0.00178500,768987.00000000,1667948819999,1370.70010100,11,78814.00000000,140.72498300,0
35,1667948820000,0.00178500,0.00178500,0.00177300,0.00177400,5122706.00000000,1667948879999,9104.71619200,29,1866176.00000000,3310.49682600,0
36,1667948880000,0.00177400,0.00177500,0.00177100,0.00177400,1815363.00000000,1667948939999,3217.33770300,19,438208.00000000,777.13117100,0
37,1667948940000,0.00177100,0.00177500,0.00176800,0.00177500,14710055.00000000,1667948999999,26039.49319400,76,7820115.00000000,13839.91710000,0
38,1667949000000,0.00177700,0.00178400,0.00177300,0.00178300,10511415.00000000,1667949059999,18708.62252500,65,9927008.00000000,17669.52400000,0
39,1667949060000,0.00178300,0.00178300,0.00177900,0.00178000,712291.00000000,1667949119999,1269.25767500,15,81615.00000000,145.22041100,0
40,1667949120000,0.00177800,0.00178200,0.00177700,0.00177900,922016.00000000,1667949179999,1640.85555400,11,612755.00000000,1091.20013200,0
41,1667949180000,0.00177900,0.00178000,0.00177600,0.00178000,130593.00000000,1667949239999,232.27087500,6,54123.00000000,96.29152200,0
42,1667949240000,0.00178400,0.00178400,0.00178100,0.00178100,608283.00000000,1667949299999,1084.10402600,4,74780.00000000,133.40752000,0
43,1667949300000,0.00178500,0.00178700,0.00178000,0.00178300,1258663.00000000,1667949359999,2246.53500400,15,969496.00000000,1731.24695500,0
44,1667949360000,0.00178400,0.00178400,0.00177300,0.00177400,1197907.00000000,1667949419999,2133.93149400,23,106193.00000000,189.34211900,0
45,1667949420000,0.00177500,0.00177800,0.00177500,0.00177500,697320.00000000,1667949479999,1239.69645600,10,430025.00000000,764.56699000,0
46,1667949480000,0.00177300,0.00177400,0.00176800,0.00177000,1298927.00000000,1667949539999,2299.48572100,11,8503.00000000,15.05031000,0
47,1667949540000,0.00177000,0.00178200,0.00177000,0.00177500,7368381.00000000,1667949599999,13077.69153200,46,6636451.00000000,11778.41319500,0
48,1667949600000,0.00177500,0.00178000,0.00176800,0.00176800,2099198.00000000,1667949659999,3727.26729800,34,1260350.00000000,2240.05583900,0
49,1667949660000,0.00177000,0.00177300,0.00177000,0.00177300,26790.00000000,1667949719999,47.46576300,3,9617.00000000,17.05094100,0
50,1667949720000,0.00177400,0.00177800,0.00177000,0.00177800,583201.00000000,1667949779999,1033.25593400,9,239513.00000000,424.92817400,0
51,1667949780000,0.00177600,0.00178900,0.00177500,0.00178100,3068395.00000000,1667949839999,5460.93084200,24,2403609.00000000,4278.81470900,0
52,1667949840000,0.00177900,0.00178600,0.00177500,0.00178600,1330212.00000000,1667949899999,2365.32780100,16,144497.00000000,257.38330800,0
53,1667949900000,0.00178500,0.00178800,0.00177800,0.00178400,7420921.00000000,1667949959999,13212.73623800,24,1422898.00000000,2540.64200300,0
54,1667949960000,0.00178500,0.00178500,0.00177800,0.00177900,2850121.00000000,1667950019999,5083.39146000,25,7538.00000000,13.41010200,0
55,1667950020000,0.00177900,0.00178900,0.00177700,0.00178900,1151756.00000000,1667950079999,2052.75959400,8,1151756.00000000,2052.75959400,0
56,1667950080000,0.00178200,0.00178400,0.00177500,0.00178300,3116711.00000000,1667950139999,5536.59220900,16,113727.00000000,202.67441200,0
57,1667950140000,0.00178500,0.00179500,0.00178500,0.00179500,1289916.00000000,1667950199999,2310.90075300,16,1240993.00000000,2223.57319800,0
58,1667950200000,0.00179400,0.00179700,0.00178500,0.00178500,2986687.00000000,1667950259999,5354.01938300,44,1852011.00000000,3323.49747900,0
