,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.51300000,0.51300000,0.51200000,0.51200000,330.65000000,1667947139999,169.50681000,4,214.01000000,109.78713000,0
1,1667947140000,0.51300000,0.51300000,0.51100000,0.51100000,5126.26000000,1667947199999,2624.72515000,10,4017.32000000,2057.03029000,0
2,1667947200000,0.51000000,0.51100000,0.51000000,0.51000000,4010.21000000,1667947259999,2048.06808000,9,2860.98000000,1461.96078000,0
3,1667947260000,0.51000000,0.51000000,0.51000000,0.51000000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
4,1667947320000,0.51300000,0.51300000,0.51300000,0.51300000,406.00000000,1667947379999,208.27800000,1,406.00000000,208.27800000,0
5,1667947380000,0.51400000,0.51400000,0.51200000,0.51200000,1167.70000000,1667947439999,599.81170000,2,974.65000000,500.97010000,0
6,1667947440000,0.51200000,0.51200000,0.51200000,0.51200000,405.42000000,1667947499999,207.57504000,1,0.00000000,0.00000000,0
7,1667947500000,0.51100000,0.51100000,0.51100000,0.51100000,1391.20000000,1667947559999,710.90320000,3,1391.20000000,710.90320000,0
8,1667947560000,0.51100000,0.51100000,0.51100000,0.51100000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
9,1667947620000,0.51400000,0.51400000,0.51400000,0.51400000,189.86000000,1667947679999,97.58804000,1,189.86000000,97.58804000,0
10,1667947680000,0.51400000,0.51400000,0.51200000,0.51200000,1170.72000000,1667947739999,600.20636000,3,398.86000000,205.01404000,0
11,1667947740000,0.51100000,0.51100000,0.50900000,0.50900000,2264.02000000,1667947799999,1155.99502000,27,0.00000000,0.00000000,0
12,1667947800000,0.51000000,0.51100000,0.50900000,0.51100000,3485.67000000,1667947859999,1777.26556000,8,3021.92000000,1541.21681000,0
13,1667947860000,0.51000000,0.51100000,0.51000000,0.51000000,4298.89000000,1667947919999,2194.73619000,5,2302.29000000,1176.47019000,0
14,1667947920000,0.51000000,0.51100000,0.51000000,0.51100000,1378.59000000,1667947979999,704.39190000,2,1311.00000000,669.92100000,0
15,1667947980000,0.51200000,0.51400000,0.51200000,0.51400000,757.84000000,1667948039999,388.45784000,5,104.83000000,53.71826000,0
16,1667948040000,0.51500000,0.51600000,0.51400000,0.51500000,1798.38000000,1667948099999,926.04344000,9,82.76000000,42.65476000,0
17,1667948100000,0.51500000,0.51500000,0.51500000,0.51500000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
18,1667948160000,0.51500000,0.51500000,0.51500000,0.51500000,2330.09000000,1667948219999,1199.99635000,1,0.00000000,0.00000000,0
19,1667948220000,0.51400000,0.51400000,0.51400000,0.51400000,390.00000000,1667948279999,200.46000000,1,0.00000000,0.00000000,0
20,1667948280000,0.51200000,0.51200000,0.51200000,0.51200000,33.36000000,1667948339999,17.08032000,1,0.00000000,0.00000000,0
21,1667948340000,0.51300000,0.51800000,0.51300000,0.51700000,11941.66000000,1667948399999,6148.87887000,37,9754.70000000,5022.54540000,0
22,1667948400000,0.51400000,0.51800000,0.51400000,0.51800000,3753.39000000,1667948459999,1934.53161000,11,3643.98000000,1878.09666000,0
23,1667948460000,0.51600000,0.51700000,0.51600000,0.51700000,2605.20000000,1667948519999,1346.84540000,6,589.57000000,304.76469000,0
24,1667948520000,0.51600000,0.51600000,0.51600000,0.51600000,390.00000000,1667948579999,201.24000000,1,0.00000000,0.00000000,0
25,1667948580000,0.51800000,0.51900000,0.51800000,0.51900000,4382.44000000,1667948639999,2271.26579000,13,391.17000000,203.01723000,0
26,1667948640000,0.52000000,0.52100000,0.51900000,0.52000000,7681.00000000,1667948699999,3994.28655000,13,2313.91000000,1204.92757000,0
27,1667948700000,0.52200000,0.52200000,0.52200000,0.52200000,71.16000000,1667948759999,37.14552000,3,71.16000000,37.14552000,0
28,1667948760000,0.52200000,0.52300000,0.52100000,0.52100000,12406.42000000,1667948819999,6466.23793000,14,5083.82000000,2648.70846000,0
29,1667948820000,0.52300000,0.52300000,0.52300000,0.52300000,1037.11000000,1667948879999,542.40853000,5,1037.11000000,542.40853000,0
30,1667948880000,0.52100000,0.52100000,0.52100000,0.52100000,590.00000000,1667948939999,307.39000000,2,0.00000000,0.00000000,0
31,1667948940000,0.52000000,0.52200000,0.52000000,0.52100000,4722.15000000,1667948999999,2460.78688000,6,3775.80000000,1968.58892000,0
32,1667949000000,0.52200000,0.52200000,0.52200000,0.52200000,1397.72000000,1667949059999,729.60984000,15,1397.72000000,729.60984000,0
33,1667949060000,0.52100000,0.52100000,0.52000000,0.52000000,710.24000000,1667949119999,369.99658000,2,0.00000000,0.00000000,0
34,1667949120000,0.52000000,0.52100000,0.51900000,0.51900000,264.04000000,1667949179999,137.30582000,3,230.68000000,119.99198000,0
35,1667949180000,0.51800000,0.51800000,0.51800000,0.51800000,6015.28000000,1667949239999,3115.91504000,3,0.00000000,0.00000000,0
36,1667949240000,0.51800000,0.51800000,0.51800000,0.51800000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
37,1667949300000,0.51800000,0.51800000,0.51800000,0.51800000,0.00000000,1667949359999,0.00000000,0,0.00000000,0.00000000,0
38,1667949360000,0.51700000,0.51700000,0.51700000,0.51700000,1934.23000000,1667949419999,999.99691000,2,0.00000000,0.00000000,0
39,1667949420000,0.51600000,0.51800000,0.51600000,0.51600000,2397.54000000,1667949479999,1237.20786000,7,0.00000000,0.00000000,0
40,1667949480000,0.51500000,0.51600000,0.51400000,0.51600000,5829.47000000,1667949539999,3001.80180000,13,3366.67000000,1733.93194000,0
41,1667949540000,0.51400000,0.51500000,0.51400000,0.51500000,4096.94000000,1667949599999,2108.42807000,7,2600.91000000,1339.46865000,0
42,1667949600000,0.51600000,0.51600000,0.51600000,0.51600000,155.03000000,1667949659999,79.99548000,1,0.00000000,0.00000000,0
