,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.00427400,0.00427400,0.00427000,0.00427000,402083.00000000,1667947139999,1717.31587320,8,70274.00000000,300.35107600,0
1,1667947140000,0.00427300,0.00427300,0.00427000,0.00427000,837315.00000000,1667947199999,3575.62227860,16,119164.80000000,509.12092460,0
2,1667947200000,0.00426800,0.00426800,0.00426800,0.00426800,27106.40000000,1667947259999,115.69011520,1,27106.40000000,115.69011520,0
3,1667947260000,0.00427200,0.00427200,0.00427000,0.00427100,227550.50000000,1667947319999,972.07661860,5,140597.50000000,600.63252000,0
4,1667947320000,0.00428400,0.00428400,0.00428400,0.00428400,389547.50000000,1667947379999,1668.82149000,8,389547.50000000,1668.82149000,0
5,1667947380000,0.00429000,0.00429300,0.00428700,0.00428700,219935.10000000,1667947439999,943.77573930,4,219935.10000000,943.77573930,0
6,1667947440000,0.00428700,0.00429300,0.00428400,0.00428600,360516.30000000,1667947499999,1545.17858510,9,32333.80000000,138.79266680,0
7,1667947500000,0.00427200,0.00427200,0.00427200,0.00427200,46701.70000000,1667947559999,199.50966240,1,0.00000000,0.00000000,0
8,1667947560000,0.00427100,0.00429500,0.00427100,0.00429500,969473.90000000,1667947619999,4146.61410020,13,965027.40000000,4127.62309870,0
9,1667947620000,0.00429800,0.00430100,0.00429700,0.00429700,299158.20000000,1667947679999,1285.94681730,3,299158.20000000,1285.94681730,0
10,1667947680000,0.00430000,0.00430000,0.00429600,0.00429600,481109.90000000,1667947739999,2068.45155910,7,0.00000000,0.00000000,0
11,1667947740000,0.00429200,0.00429200,0.00426200,0.00426500,1061694.10000000,1667947799999,4531.22169340,21,142208.80000000,606.91666700,0
12,1667947800000,0.00426000,0.00426000,0.00425300,0.00426000,735299.00000000,1667947859999,3130.00216320,9,9345.70000000,39.81268200,0
13,1667947860000,0.00425700,0.00426800,0.00425700,0.00426800,600480.10000000,1667947919999,2562.36523650,7,345873.80000000,1476.18937840,0
14,1667947920000,0.00426800,0.00427900,0.00426800,0.00427200,180144.50000000,1667947979999,769.78565170,10,78426.90000000,335.51848860,0
15,1667947980000,0.00430000,0.00431700,0.00430000,0.00430800,998883.90000000,1667948039999,4302.27294460,14,729661.60000000,3142.46327620,0
16,1667948040000,0.00431800,0.00431800,0.00430000,0.00430700,185185.80000000,1667948099999,797.72166010,6,33600.90000000,144.96107630,0
17,1667948100000,0.00430700,0.00430700,0.00430700,0.00430700,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
