,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.00427200,0.00427800,0.00426800,0.00427700,2013505.20000000,1667947139999,8606.08838640,24,1807365.90000000,7725.56459390,0
1,1667947140000,0.00427600,0.00427600,0.00426500,0.00426500,1509776.30000000,1667947199999,6443.02344080,28,406760.00000000,1736.72596180,0
2,1667947200000,0.00426500,0.00426500,0.00425700,0.00426100,345675.50000000,1667947259999,1472.86487530,12,33885.60000000,144.44145780,0
3,1667947260000,0.00426600,0.00427600,0.00425900,0.00427600,1784046.10000000,1667947319999,7607.16719710,25,599276.30000000,2559.87813880,0
4,1667947320000,0.00427700,0.00428200,0.00427600,0.00428200,504314.10000000,1667947379999,2158.15720480,22,296459.80000000,1268.86026550,0
5,1667947380000,0.00428300,0.00429000,0.00428300,0.00429000,608172.10000000,1667947439999,2607.48954840,16,544505.80000000,2334.40450510,0
6,1667947440000,0.00428900,0.00429100,0.00427900,0.00428000,916519.50000000,1667947499999,3927.23370460,27,75451.80000000,323.49437210,0
7,1667947500000,0.00427700,0.00428000,0.00427100,0.00427100,290161.50000000,1667947559999,1240.83379620,18,97100.60000000,415.35958450,0
8,1667947560000,0.00427800,0.00429500,0.00427800,0.00429500,1482294.50000000,1667947619999,6353.90296280,40,1274322.40000000,5463.87232520,0
9,1667947620000,0.00429800,0.00430000,0.00429400,0.00430000,534199.60000000,1667947679999,2295.50024400,25,198815.20000000,854.74132510,0
10,1667947680000,0.00430000,0.00430800,0.00429500,0.00429500,1234694.00000000,1667947739999,5310.38052210,33,405650.40000000,1746.12121950,0
11,1667947740000,0.00429200,0.00429200,0.00425700,0.00426200,1765667.70000000,1667947799999,7545.42687360,62,317832.90000000,1357.29636540,0
12,1667947800000,0.00426100,0.00426200,0.00425100,0.00425700,1340114.70000000,1667947859999,5703.33157440,38,142181.60000000,605.36529340,0
13,1667947860000,0.00425800,0.00427400,0.00425800,0.00427300,1007794.40000000,1667947919999,4301.86516410,21,982828.60000000,4195.22678290,0
14,1667947920000,0.00426800,0.00428000,0.00426600,0.00428000,520395.60000000,1667947979999,2223.02977690,34,289648.00000000,1238.24653180,0
15,1667947980000,0.00428000,0.00431200,0.00428000,0.00430500,3476931.30000000,1667948039999,14930.06270560,75,3226963.50000000,13853.41787750,0
16,1667948040000,0.00431100,0.00431700,0.00429800,0.00430100,2250854.90000000,1667948099999,9696.82042880,68,669408.70000000,2886.12422710,0
17,1667948100000,0.00430800,0.00431400,0.00430400,0.00431400,1156066.70000000,1667948159999,4980.45248670,37,691573.60000000,2979.95066220,0
18,1667948160000,0.00431500,0.00431500,0.00430400,0.00430400,846204.80000000,1667948219999,3647.16495460,26,370077.10000000,1595.23408830,0
19,1667948220000,0.00430600,0.00431000,0.00429600,0.00430600,1760991.80000000,1667948279999,7574.12583480,35,1002127.90000000,4310.20671850,0
20,1667948280000,0.00430700,0.00430700,0.00428000,0.00428000,1981249.00000000,1667948339999,8499.89604550,55,390980.20000000,1679.64119480,0
21,1667948340000,0.00428400,0.00429900,0.00428400,0.00429200,2834210.60000000,1667948399999,12162.28385910,51,2431746.00000000,10435.50360940,0
22,1667948400000,0.00429000,0.00429000,0.00428300,0.00428400,600235.80000000,1667948459999,2572.35570180,23,328407.00000000,1407.68163080,0
23,1667948460000,0.00428600,0.00428700,0.00426600,0.00427600,2355322.10000000,1667948519999,10063.24978550,44,369716.90000000,1579.79721150,0
24,1667948520000,0.00427400,0.00429300,0.00426500,0.00429300,3552528.50000000,1667948579999,15205.30350530,60,2069723.70000000,8856.81969900,0
25,1667948580000,0.00429500,0.00430800,0.00429200,0.00429400,1827028.00000000,1667948639999,7855.02575980,46,537688.80000000,2314.35671900,0
26,1667948640000,0.00430700,0.00432000,0.00430700,0.00431800,1334338.60000000,1667948699999,5758.90695930,42,1103260.90000000,4761.33831000,0
27,1667948700000,0.00431600,0.00431700,0.00430900,0.00431300,2333197.10000000,1667948759999,10063.91159230,47,1136991.00000000,4904.49977630,0
28,1667948760000,0.00431500,0.00432000,0.00431200,0.00431200,3005867.20000000,1667948819999,12974.89292710,57,1120614.70000000,4839.69658230,0
29,1667948820000,0.00431400,0.00431400,0.00429800,0.00429900,2102232.40000000,1667948879999,9046.15061890,39,757785.60000000,3258.96889440,0
30,1667948880000,0.00430400,0.00430400,0.00429200,0.00429800,1935125.40000000,1667948939999,8318.53096740,40,581232.20000000,2498.79736690,0
31,1667948940000,0.00429800,0.00430900,0.00428900,0.00430900,4129564.20000000,1667948999999,17756.56173100,41,3836526.40000000,16498.92895380,0
32,1667949000000,0.00430700,0.00432200,0.00430300,0.00431900,6621554.40000000,1667949059999,28537.85119220,90,2807810.80000000,12105.66751590,0
33,1667949060000,0.00432000,0.00432000,0.00430000,0.00430600,2180158.30000000,1667949119999,9387.91592150,55,375094.50000000,1614.85956470,0
34,1667949120000,0.00430500,0.00430500,0.00429300,0.00429800,1127968.30000000,1667949179999,4847.20428600,40,549450.40000000,2360.96520100,0
35,1667949180000,0.00429800,0.00430200,0.00429200,0.00430100,607456.40000000,1667949239999,2610.45072780,24,284352.70000000,1222.35989100,0
36,1667949240000,0.00429900,0.00431900,0.00429800,0.00430200,4332620.90000000,1667949299999,18662.40094450,77,1832411.10000000,7893.16982820,0
37,1667949300000,0.00430300,0.00431600,0.00430100,0.00431600,3095099.40000000,1667949359999,13331.27907640,59,2252747.70000000,9703.06820840,0
38,1667949360000,0.00431500,0.00432000,0.00428800,0.00429000,5350840.90000000,1667949419999,23024.01149830,96,1553378.60000000,6676.34839950,0
39,1667949420000,0.00428900,0.00429200,0.00428100,0.00428600,783428.40000000,1667949479999,3358.82858680,40,339854.00000000,1457.01945060,0
40,1667949480000,0.00428600,0.00429100,0.00426800,0.00427700,4244105.30000000,1667949539999,18147.82371620,61,1408911.30000000,6030.35093180,0
41,1667949540000,0.00427500,0.00429300,0.00427200,0.00428400,1373488.70000000,1667949599999,5884.38875360,48,765027.70000000,3278.25265720,0
42,1667949600000,0.00428400,0.00429500,0.00426300,0.00428100,3910285.80000000,1667949659999,16727.86334230,82,2366523.40000000,10127.85072760,0
43,1667949660000,0.00427700,0.00428200,0.00427200,0.00427900,1735739.20000000,1667949719999,7423.40586880,56,733154.20000000,3136.18921630,0
44,1667949720000,0.00427900,0.00429100,0.00427100,0.00429100,2027399.80000000,1667949779999,8677.97477420,51,1262522.50000000,5407.80114790,0
