,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,1.33600000,1.33600000,1.33400000,1.33400000,567.87000000,1667947199999,758.53270000,10,0.00000000,0.00000000,0
1,1667947200000,1.33400000,1.33400000,1.33200000,1.33300000,116.33000000,1667947259999,155.12144000,9,0.00000000,0.00000000,0
2,1667947260000,1.33500000,1.34000000,1.33500000,1.33900000,441.01000000,1667947319999,589.33953000,6,395.25000000,528.09612000,0
3,1667947320000,1.33900000,1.33900000,1.31900000,1.32100000,31082.52000000,1667947379999,41254.83376000,117,5811.26000000,7678.95526000,0
4,1667947380000,1.32000000,1.32100000,1.32000000,1.32100000,1340.63000000,1667947439999,1769.67600000,8,1340.63000000,1769.67600000,0
5,1667947440000,1.31800000,1.31800000,1.31800000,1.31800000,8.29000000,1667947499999,10.92622000,1,0.00000000,0.00000000,0
6,1667947500000,1.31800000,1.31900000,1.31800000,1.31800000,1954.07000000,1667947559999,2575.47563000,9,1954.07000000,2575.47563000,0
7,1667947560000,1.31700000,1.31700000,1.31400000,1.31600000,891.93000000,1667947619999,1173.64271000,20,16.70000000,21.97720000,0
8,1667947620000,1.31600000,1.31600000,1.31600000,1.31600000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
9,1667947680000,1.31600000,1.31600000,1.30500000,1.30500000,3067.88000000,1667947739999,4024.15647000,30,397.71000000,522.66646000,0
10,1667947740000,1.30500000,1.30600000,1.30300000,1.30300000,2772.05000000,1667947799999,3615.51291000,23,33.07000000,43.17482000,0
11,1667947800000,1.30400000,1.30400000,1.30200000,1.30200000,273.32000000,1667947859999,356.19759000,6,164.81000000,214.91224000,0
12,1667947860000,1.30200000,1.30200000,1.30200000,1.30200000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
13,1667947920000,1.30200000,1.30200000,1.30200000,1.30200000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
14,1667947980000,1.30300000,1.30600000,1.30300000,1.30600000,1431.72000000,1667948039999,1867.58561000,11,1431.72000000,1867.58561000,0
15,1667948040000,1.30700000,1.31200000,1.30700000,1.31100000,651.69000000,1667948099999,852.62586000,13,416.69000000,545.31086000,0
16,1667948100000,1.31000000,1.31000000,1.30700000,1.30800000,2234.75000000,1667948159999,2923.59434000,15,152.90000000,199.99320000,0
17,1667948160000,1.31000000,1.31400000,1.30900000,1.31400000,1409.66000000,1667948219999,1848.80029000,13,1129.36000000,1481.19569000,0
