,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,0.00558800,0.00559600,0.00558400,0.00559600,223.92000000,1667946719999,1.25205298,8,179.27000000,1.00271094,0
1,1667946720000,0.00558800,0.00559800,0.00558500,0.00559300,502.09000000,1667946779999,2.80754079,24,251.16000000,1.40522664,0
2,1667946780000,0.00558900,0.00559000,0.00558000,0.00558000,718.32000000,1667946839999,4.01220790,17,0.00000000,0.00000000,0
3,1667946840000,0.00557900,0.00557900,0.00557500,0.00557500,285.37000000,1667946899999,1.59164524,7,0.00000000,0.00000000,0
4,1667946900000,0.00557400,0.00557400,0.00557400,0.00557400,45.45000000,1667946959999,0.25333830,1,0.00000000,0.00000000,0
5,1667946960000,0.00557400,0.00558600,0.00557400,0.00558600,278.39000000,1667947019999,1.55363846,9,278.39000000,1.55363846,0
6,1667947020000,0.00558300,0.00558300,0.00557000,0.00557000,331.68000000,1667947079999,1.84877768,15,1.00000000,0.00557900,0
7,1667947080000,0.00557800,0.00558400,0.00557600,0.00558000,358.19000000,1667947139999,1.99874425,18,294.60000000,1.64403061,0
8,1667947140000,0.00557600,0.00557700,0.00557200,0.00557200,164.95000000,1667947199999,0.91954405,12,63.70000000,0.35518459,0
9,1667947200000,0.00557800,0.00558500,0.00557700,0.00558500,357.81000000,1667947259999,1.99758321,13,357.81000000,1.99758321,0
10,1667947260000,0.00558800,0.00559200,0.00558400,0.00558400,537.37000000,1667947319999,3.00353179,11,376.11000000,2.10275473,0
11,1667947320000,0.00558800,0.00558800,0.00557200,0.00557200,777.33000000,1667947379999,4.33429432,26,43.79000000,0.24408546,0
12,1667947380000,0.00557200,0.00557400,0.00556900,0.00557400,629.43000000,1667947439999,3.50710663,7,121.19000000,0.67543374,0
13,1667947440000,0.00557400,0.00557800,0.00557000,0.00557800,297.90000000,1667947499999,1.66016466,8,78.47000000,0.43764316,0
14,1667947500000,0.00557800,0.00557900,0.00555700,0.00555700,629.29000000,1667947559999,3.50381921,19,148.84000000,0.83037454,0
15,1667947560000,0.00556100,0.00559400,0.00556100,0.00559300,1091.80000000,1667947619999,6.09183389,29,1004.75000000,5.60674940,0
16,1667947620000,0.00559600,0.00561000,0.00559600,0.00561000,631.54000000,1667947679999,3.53840533,24,564.88000000,3.16499849,0
17,1667947680000,0.00561200,0.00562300,0.00561200,0.00562300,707.67000000,1667947739999,3.97474325,23,707.67000000,3.97474325,0
18,1667947740000,0.00562400,0.00564300,0.00560300,0.00560300,1680.77000000,1667947799999,9.44594634,70,544.33000000,3.06359709,0
19,1667947800000,0.00560100,0.00560100,0.00555900,0.00556400,2116.01000000,1667947859999,11.80571917,72,74.34000000,0.41362776,0
20,1667947860000,0.00556700,0.00557100,0.00556700,0.00557100,203.19000000,1667947919999,1.13167645,5,203.19000000,1.13167645,0
21,1667947920000,0.00556300,0.00558100,0.00556300,0.00558100,986.44000000,1667947979999,5.49953751,19,902.70000000,5.03369189,0
22,1667947980000,0.00558600,0.00559400,0.00558100,0.00558100,546.88000000,1667948039999,3.05520538,16,395.58000000,2.21061223,0
23,1667948040000,0.00559100,0.00559900,0.00557900,0.00558600,1276.82000000,1667948099999,7.13647854,35,536.43000000,3.00131170,0
24,1667948100000,0.00558600,0.00558700,0.00558200,0.00558400,171.48000000,1667948159999,0.95792833,8,140.69000000,0.78602776,0
25,1667948160000,0.00558900,0.00559200,0.00558000,0.00558000,664.00000000,1667948219999,3.70890627,15,241.45000000,1.34968474,0
26,1667948220000,0.00557500,0.00558200,0.00557500,0.00558200,372.27000000,1667948279999,2.07663807,8,201.93000000,1.12699257,0
27,1667948280000,0.00557500,0.00557500,0.00556300,0.00557000,750.57000000,1667948339999,4.17983032,25,74.90000000,0.41719300,0
28,1667948340000,0.00557100,0.00558000,0.00556400,0.00558000,721.40000000,1667948399999,4.02089115,19,637.66000000,3.55496179,0
29,1667948400000,0.00557200,0.00557300,0.00556200,0.00556500,1103.66000000,1667948459999,6.14504556,33,361.55000000,2.01422018,0
30,1667948460000,0.00556300,0.00556600,0.00555700,0.00556600,442.43000000,1667948519999,2.46080004,14,141.21000000,0.78581684,0
31,1667948520000,0.00555800,0.00557200,0.00555700,0.00557200,545.79000000,1667948579999,3.03720202,12,378.92000000,2.10980482,0
32,1667948580000,0.00557000,0.00557500,0.00556400,0.00556400,337.07000000,1667948639999,1.87750075,12,222.89000000,1.24197882,0
33,1667948640000,0.00557300,0.00557800,0.00557300,0.00557800,426.47000000,1667948699999,2.37834608,10,426.47000000,2.37834608,0
34,1667948700000,0.00557900,0.00559100,0.00557700,0.00557900,511.66000000,1667948759999,2.85632293,19,286.80000000,1.60197009,0
35,1667948760000,0.00557900,0.00557900,0.00557900,0.00557900,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
36,1667948820000,0.00558700,0.00558800,0.00557500,0.00558800,948.54000000,1667948879999,5.29499704,22,527.07000000,2.94368808,0
