,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,7.39700000,7.39700000,7.39700000,7.39700000,0.00000000,1667946899999,0.00000000,0,0.00000000,0.00000000,0
1,1667946900000,7.36100000,7.36100000,7.36100000,7.36100000,3.66000000,1667946959999,26.94126000,1,3.66000000,26.94126000,0
2,1667946960000,7.36100000,7.39300000,7.36100000,7.39300000,193.03000000,1667947019999,1426.15459000,3,190.18000000,1405.17574000,0
3,1667947020000,7.36400000,7.36400000,7.34400000,7.35400000,218.27000000,1667947079999,1603.70916000,6,82.11000000,603.75012000,0
4,1667947080000,7.36400000,7.36400000,7.34700000,7.36400000,62.41000000,1667947139999,459.20678000,4,40.03000000,294.78092000,0
5,1667947140000,7.33500000,7.33500000,7.32100000,7.32100000,59.85000000,1667947199999,438.54132000,3,0.00000000,0.00000000,0
6,1667947200000,7.34300000,7.34300000,7.34300000,7.34300000,27.15000000,1667947259999,199.36245000,3,27.15000000,199.36245000,0
7,1667947260000,7.37100000,7.37100000,7.36400000,7.36400000,21.03000000,1667947319999,154.96467000,2,21.03000000,154.96467000,0
8,1667947320000,7.36400000,7.36400000,7.36400000,7.36400000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
9,1667947380000,7.36400000,7.36400000,7.36400000,7.36400000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
10,1667947440000,7.36400000,7.36400000,7.36400000,7.36400000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
11,1667947500000,7.32700000,7.32700000,7.32700000,7.32700000,13.57000000,1667947559999,99.42739000,1,13.57000000,99.42739000,0
12,1667947560000,7.37600000,7.37600000,7.37600000,7.37600000,101.68000000,1667947619999,749.99168000,1,101.68000000,749.99168000,0
13,1667947620000,7.40000000,7.40300000,7.40000000,7.40300000,18.15000000,1667947679999,134.31927000,3,18.15000000,134.31927000,0
14,1667947680000,7.40000000,7.40000000,7.40000000,7.40000000,13.50000000,1667947739999,99.90000000,1,13.50000000,99.90000000,0
15,1667947740000,7.40000000,7.40000000,7.40000000,7.40000000,0.00000000,1667947799999,0.00000000,0,0.00000000,0.00000000,0
16,1667947800000,7.32500000,7.32500000,7.27900000,7.27900000,532.11000000,1667947859999,3879.97400000,16,0.00000000,0.00000000,0
17,1667947860000,7.27900000,7.27900000,7.27900000,7.27900000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
18,1667947920000,7.29000000,7.31500000,7.27700000,7.31500000,237.74000000,1667947979999,1732.18721000,5,7.35000000,53.76525000,0
19,1667947980000,7.31500000,7.31500000,7.31500000,7.31500000,0.00000000,1667948039999,0.00000000,0,0.00000000,0.00000000,0
20,1667948040000,7.38100000,7.38200000,7.38100000,7.38200000,85.70000000,1667948099999,632.61707000,2,85.70000000,632.61707000,0
21,1667948100000,7.40100000,7.40100000,7.40100000,7.40100000,6.73000000,1667948159999,49.80873000,1,6.73000000,49.80873000,0
22,1667948160000,7.37700000,7.44800000,7.36600000,7.36700000,784.04000000,1667948219999,5807.17489000,12,674.55000000,4999.96531000,0
23,1667948220000,7.36100000,7.36100000,7.36100000,7.36100000,99.18000000,1667948279999,730.06398000,1,0.00000000,0.00000000,0
24,1667948280000,7.35000000,7.35000000,7.33000000,7.33000000,75.31000000,1667948339999,553.11792000,4,0.00000000,0.00000000,0
25,1667948340000,7.33000000,7.33000000,7.33000000,7.33000000,79.61000000,1667948399999,583.54130000,3,0.00000000,0.00000000,0
26,1667948400000,7.32300000,7.32300000,7.32300000,7.32300000,50.96000000,1667948459999,373.18008000,1,0.00000000,0.00000000,0
27,1667948460000,7.30700000,7.30700000,7.27500000,7.30600000,517.28000000,1667948519999,3764.69000000,9,36.16000000,264.18694000,0
28,1667948520000,7.30200000,7.30600000,7.30200000,7.30600000,20.31000000,1667948579999,148.32830000,2,20.31000000,148.32830000,0
29,1667948580000,7.36400000,7.36400000,7.36400000,7.36400000,2.00000000,1667948639999,14.72800000,1,2.00000000,14.72800000,0
30,1667948640000,7.38000000,7.38000000,7.38000000,7.38000000,5.00000000,1667948699999,36.90000000,1,5.00000000,36.90000000,0
31,1667948700000,7.38300000,7.38300000,7.38300000,7.38300000,29.75000000,1667948759999,219.64425000,2,29.75000000,219.64425000,0
32,1667948760000,7.38900000,7.38900000,7.38900000,7.38900000,24.76000000,1667948819999,182.95164000,1,0.00000000,0.00000000,0
33,1667948820000,7.40300000,7.41300000,7.38400000,7.38400000,149.86000000,1667948879999,1109.27361000,7,149.86000000,1109.27361000,0
34,1667948880000,7.38200000,7.40300000,7.37300000,7.40300000,424.18000000,1667948939999,3138.86320000,12,407.84000000,3018.29851000,0
35,1667948940000,7.38100000,7.40300000,7.38100000,7.40300000,118.83000000,1667948999999,879.40061000,2,118.83000000,879.40061000,0
36,1667949000000,7.42300000,7.42300000,7.42300000,7.42300000,36.68000000,1667949059999,272.27564000,1,36.68000000,272.27564000,0
37,1667949060000,7.41600000,7.41600000,7.41500000,7.41500000,77.60000000,1667949119999,575.43087000,2,0.00000000,0.00000000,0
38,1667949120000,7.41500000,7.41600000,7.41500000,7.41600000,54.37000000,1667949179999,403.17790000,2,0.00000000,0.00000000,0
39,1667949180000,7.44200000,7.44200000,7.44200000,7.44200000,7.02000000,1667949239999,52.24284000,1,7.02000000,52.24284000,0
40,1667949240000,7.45700000,7.46600000,7.45700000,7.46600000,4.65000000,1667949299999,34.69422000,2,4.65000000,34.69422000,0
41,1667949300000,7.46700000,7.46800000,7.43500000,7.43500000,155.34000000,1667949359999,1156.49626000,6,15.02000000,112.15434000,0
42,1667949360000,7.42800000,7.42800000,7.42800000,7.42800000,64.96000000,1667949419999,482.52288000,2,0.00000000,0.00000000,0
43,1667949420000,7.42800000,7.42800000,7.42800000,7.42800000,0.00000000,1667949479999,0.00000000,0,0.00000000,0.00000000,0
44,1667949480000,7.42800000,7.42800000,7.40800000,7.40800000,142.27000000,1667949539999,1055.43552000,4,14.85000000,110.00880000,0
45,1667949540000,7.41400000,7.41400000,7.41400000,7.41400000,16.43000000,1667949599999,121.81202000,2,15.07000000,111.72898000,0
46,1667949600000,7.46700000,7.46700000,7.46700000,7.46700000,10.04000000,1667949659999,74.96868000,2,10.04000000,74.96868000,0
47,1667949660000,7.45300000,7.45300000,7.45300000,7.45300000,20.00000000,1667949719999,149.06000000,1,20.00000000,149.06000000,0
48,1667949720000,7.42300000,7.42300000,7.42300000,7.42300000,5.38000000,1667949779999,39.93574000,1,5.38000000,39.93574000,0
49,1667949780000,7.46800000,7.46800000,7.46600000,7.46600000,75.01000000,1667949839999,560.04476000,2,75.01000000,560.04476000,0
50,1667949840000,7.46500000,7.53900000,7.46500000,7.53900000,113.63000000,1667949899999,852.63720000,4,88.54000000,664.51238000,0
51,1667949900000,7.53200000,7.53200000,7.53200000,7.53200000,6.63000000,1667949959999,49.93716000,1,6.63000000,49.93716000,0
52,1667949960000,7.51900000,7.53700000,7.50500000,7.51100000,162.43000000,1667950019999,1220.71425000,8,59.58000000,447.92326000,0
53,1667950020000,7.52500000,7.56800000,7.52500000,7.55600000,28.53000000,1667950079999,215.06979000,5,20.34000000,153.35820000,0
54,1667950080000,7.53800000,7.53800000,7.51600000,7.51600000,36.61000000,1667950139999,275.58378000,3,0.00000000,0.00000000,0
55,1667950140000,7.56900000,7.56900000,7.56900000,7.56900000,14.96000000,1667950199999,113.23224000,1,14.96000000,113.23224000,0
56,1667950200000,7.55800000,7.55800000,7.52700000,7.52700000,76.25000000,1667950259999,575.50451000,3,0.00000000,0.00000000,0
57,1667950260000,7.55300000,7.55300000,7.55300000,7.55300000,15.09000000,1667950319999,113.97477000,1,15.09000000,113.97477000,0
