,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,141.60000000,141.60000000,141.60000000,141.60000000,0.00000000,1667946899999,0.00000000,0,0.00000000,0.00000000,0
1,1667946900000,141.60000000,141.60000000,141.60000000,141.60000000,0.00000000,1667946959999,0.00000000,0,0.00000000,0.00000000,0
2,1667946960000,141.60000000,141.60000000,141.60000000,141.60000000,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
3,1667947020000,140.90000000,140.90000000,140.30000000,140.30000000,34.94000000,1667947079999,4919.99200000,3,0.35000000,49.10500000,0
4,1667947080000,140.40000000,140.40000000,140.40000000,140.40000000,5.91000000,1667947139999,829.76400000,1,0.00000000,0.00000000,0
5,1667947140000,140.60000000,140.60000000,140.00000000,140.00000000,312.78000000,1667947199999,43881.38000000,7,7.90000000,1110.74000000,0
6,1667947200000,140.00000000,140.00000000,140.00000000,140.00000000,27.19000000,1667947259999,3806.60000000,1,0.00000000,0.00000000,0
7,1667947260000,140.00000000,140.00000000,140.00000000,140.00000000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
8,1667947320000,140.40000000,140.40000000,140.40000000,140.40000000,15.46000000,1667947379999,2170.58400000,1,0.00000000,0.00000000,0
9,1667947380000,140.20000000,140.20000000,140.00000000,140.20000000,627.22000000,1667947439999,87880.99100000,10,0.00000000,0.00000000,0
10,1667947440000,140.20000000,140.20000000,140.20000000,140.20000000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
11,1667947500000,139.80000000,139.80000000,139.80000000,139.80000000,0.89000000,1667947559999,124.42200000,1,0.00000000,0.00000000,0
12,1667947560000,140.10000000,140.10000000,140.10000000,140.10000000,249.18000000,1667947619999,34910.11800000,3,249.18000000,34910.11800000,0
13,1667947620000,140.10000000,140.10000000,140.10000000,140.10000000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
14,1667947680000,141.10000000,141.10000000,141.10000000,141.10000000,49.00000000,1667947739999,6913.90000000,1,0.00000000,0.00000000,0
15,1667947740000,140.40000000,140.40000000,140.00000000,140.00000000,96.55000000,1667947799999,13555.15000000,6,95.62000000,13424.71100000,0
16,1667947800000,139.50000000,139.60000000,139.10000000,139.10000000,104.11000000,1667947859999,14509.71800000,6,27.26000000,3805.49600000,0
17,1667947860000,139.30000000,139.30000000,139.30000000,139.30000000,27.32000000,1667947919999,3805.67600000,1,27.32000000,3805.67600000,0
18,1667947920000,139.50000000,139.60000000,139.50000000,139.60000000,156.52000000,1667947979999,21849.64400000,4,156.52000000,21849.64400000,0
19,1667947980000,139.60000000,139.60000000,139.60000000,139.60000000,0.00000000,1667948039999,0.00000000,0,0.00000000,0.00000000,0
20,1667948040000,140.70000000,140.70000000,140.70000000,140.70000000,16.00000000,1667948099999,2251.20000000,1,16.00000000,2251.20000000,0
21,1667948100000,140.70000000,140.70000000,140.70000000,140.70000000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
22,1667948160000,140.70000000,140.70000000,140.70000000,140.70000000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
23,1667948220000,140.70000000,140.70000000,140.70000000,140.70000000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
24,1667948280000,140.00000000,140.00000000,140.00000000,140.00000000,285.38000000,1667948339999,39953.20000000,4,213.96000000,29954.40000000,0
25,1667948340000,139.70000000,139.70000000,139.70000000,139.70000000,160.30000000,1667948399999,22393.91000000,3,160.30000000,22393.91000000,0
26,1667948400000,139.70000000,139.70000000,139.70000000,139.70000000,8.58000000,1667948459999,1198.62600000,1,8.58000000,1198.62600000,0
27,1667948460000,139.10000000,139.10000000,139.10000000,139.10000000,95.79000000,1667948519999,13324.38900000,1,95.79000000,13324.38900000,0
28,1667948520000,139.10000000,139.10000000,139.10000000,139.10000000,29.15000000,1667948579999,4054.76500000,2,29.15000000,4054.76500000,0
29,1667948580000,140.20000000,140.30000000,140.20000000,140.30000000,64.77000000,1667948639999,9083.46600000,2,64.77000000,9083.46600000,0
30,1667948640000,140.50000000,140.50000000,140.50000000,140.50000000,31.61000000,1667948699999,4441.20500000,1,0.00000000,0.00000000,0
31,1667948700000,140.80000000,140.80000000,140.80000000,140.80000000,7.08000000,1667948759999,996.86400000,1,0.00000000,0.00000000,0
32,1667948760000,141.10000000,141.10000000,141.10000000,141.10000000,7.08000000,1667948819999,998.98800000,1,7.08000000,998.98800000,0
33,1667948820000,140.90000000,140.90000000,140.90000000,140.90000000,31.61000000,1667948879999,4453.84900000,1,31.61000000,4453.84900000,0
34,1667948880000,141.20000000,141.20000000,141.20000000,141.20000000,8.85000000,1667948939999,1249.62000000,1,8.85000000,1249.62000000,0
35,1667948940000,140.80000000,141.50000000,140.80000000,141.50000000,45.51000000,1667948999999,6420.75100000,2,18.49000000,2616.33500000,0
36,1667949000000,141.50000000,141.50000000,141.50000000,141.50000000,0.00000000,1667949059999,0.00000000,0,0.00000000,0.00000000,0
37,1667949060000,141.50000000,141.50000000,141.50000000,141.50000000,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
38,1667949120000,141.20000000,141.20000000,141.20000000,141.20000000,0.15000000,1667949179999,21.18000000,1,0.00000000,0.00000000,0
39,1667949180000,141.70000000,141.70000000,141.70000000,141.70000000,0.15000000,1667949239999,21.25500000,1,0.15000000,21.25500000,0
40,1667949240000,142.00000000,142.10000000,142.00000000,142.10000000,6.44000000,1667949299999,914.93200000,2,6.44000000,914.93200000,0
41,1667949300000,142.20000000,142.60000000,142.20000000,142.60000000,147.45000000,1667949359999,21011.20600000,16,147.45000000,21011.20600000,0
42,1667949360000,141.70000000,142.50000000,141.70000000,142.20000000,177.87000000,1667949419999,25266.14000000,6,119.30000000,16966.53400000,0
43,1667949420000,142.00000000,142.10000000,142.00000000,142.10000000,38.60000000,1667949479999,5485.01900000,3,38.60000000,5485.01900000,0
44,1667949480000,142.10000000,142.10000000,142.10000000,142.10000000,0.00000000,1667949539999,0.00000000,0,0.00000000,0.00000000,0
45,1667949540000,141.60000000,142.20000000,141.60000000,142.20000000,140.54000000,1667949599999,19955.41800000,3,48.95000000,6931.32000000,0
46,1667949600000,142.20000000,142.20000000,142.20000000,142.20000000,0.00000000,1667949659999,0.00000000,0,0.00000000,0.00000000,0
47,1667949660000,142.20000000,142.20000000,142.20000000,142.20000000,0.00000000,1667949719999,0.00000000,0,0.00000000,0.00000000,0
48,1667949720000,141.80000000,141.80000000,141.80000000,141.80000000,58.16000000,1667949779999,8247.08800000,1,58.16000000,8247.08800000,0
49,1667949780000,142.50000000,142.50000000,142.50000000,142.50000000,72.00000000,1667949839999,10260.00000000,3,56.43000000,8041.27500000,0
50,1667949840000,142.80000000,143.50000000,142.60000000,143.50000000,385.74000000,1667949899999,55189.57700000,24,385.74000000,55189.57700000,0
51,1667949900000,143.60000000,143.60000000,143.60000000,143.60000000,38.23000000,1667949959999,5489.82800000,2,38.10000000,5471.16000000,0
52,1667949960000,143.60000000,143.60000000,143.40000000,143.40000000,75.97000000,1667950019999,10901.72600000,2,75.97000000,10901.72600000,0
53,1667950020000,143.40000000,143.40000000,143.40000000,143.40000000,0.00000000,1667950079999,0.00000000,0,0.00000000,0.00000000,0
54,1667950080000,143.90000000,144.40000000,143.90000000,144.40000000,130.29000000,1667950139999,18795.02100000,2,130.29000000,18795.02100000,0
55,1667950140000,144.50000000,144.70000000,144.50000000,144.70000000,153.17000000,1667950199999,22156.09500000,16,153.17000000,22156.09500000,0
56,1667950200000,144.50000000,144.60000000,144.00000000,144.00000000,42.40000000,1667950259999,6126.78100000,9,19.16000000,2770.53600000,0
57,1667950260000,144.00000000,144.30000000,144.00000000,144.30000000,42.41000000,1667950319999,6119.67500000,9,42.21000000,6090.87500000,0
