,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,0.25830000,0.25870000,0.25830000,0.25840000,2496.00000000,1667946839999,645.21410000,10,1465.00000000,378.78340000,0
1,1667946840000,0.25840000,0.25850000,0.25780000,0.25780000,4489.00000000,1667946899999,1158.92830000,17,1137.00000000,293.85540000,0
2,1667946900000,0.25760000,0.25770000,0.25720000,0.25730000,6678.00000000,1667946959999,1720.21100000,21,3506.00000000,903.33390000,0
3,1667946960000,0.25770000,0.25950000,0.25770000,0.25950000,126575.00000000,1667947019999,32731.87460000,93,119785.00000000,30975.31180000,0
4,1667947020000,0.25910000,0.25910000,0.25720000,0.25720000,31400.00000000,1667947079999,8121.01410000,50,0.00000000,0.00000000,0
5,1667947080000,0.25750000,0.25780000,0.25740000,0.25760000,6309.00000000,1667947139999,1624.62010000,22,322.00000000,83.01160000,0
6,1667947140000,0.25740000,0.25760000,0.25680000,0.25680000,14669.00000000,1667947199999,3773.98470000,33,2493.00000000,641.96950000,0
7,1667947200000,0.25730000,0.25730000,0.25640000,0.25690000,10277.00000000,1667947259999,2641.18590000,28,7956.00000000,2045.00410000,0
8,1667947260000,0.25700000,0.25810000,0.25700000,0.25780000,25836.00000000,1667947319999,6660.78300000,47,23706.00000000,6112.68700000,0
9,1667947320000,0.25750000,0.25800000,0.25750000,0.25750000,29284.00000000,1667947379999,7544.25150000,46,6018.00000000,1551.64310000,0
10,1667947380000,0.25750000,0.25790000,0.25740000,0.25750000,11403.00000000,1667947439999,2936.88150000,40,1121.00000000,289.05650000,0
11,1667947440000,0.25750000,0.25780000,0.25660000,0.25660000,14718.00000000,1667947499999,3783.79920000,48,5780.00000000,1486.46010000,0
12,1667947500000,0.25680000,0.25720000,0.25650000,0.25670000,23733.00000000,1667947559999,6094.93160000,35,12447.00000000,3198.29930000,0
13,1667947560000,0.25660000,0.25740000,0.25650000,0.25710000,11143.00000000,1667947619999,2860.83870000,21,8010.00000000,2056.05200000,0
14,1667947620000,0.25710000,0.25800000,0.25710000,0.25800000,20133.00000000,1667947679999,5187.75470000,22,19442.00000000,5009.88920000,0
15,1667947680000,0.25760000,0.25760000,0.25690000,0.25690000,11171.00000000,1667947739999,2874.19180000,22,1356.00000000,349.18830000,0
16,1667947740000,0.25680000,0.25680000,0.25520000,0.25520000,115430.00000000,1667947799999,29548.63690000,91,28014.00000000,7157.54540000,0
17,1667947800000,0.25510000,0.25520000,0.25460000,0.25480000,32730.00000000,1667947859999,8343.18980000,45,28086.00000000,7159.03510000,0
18,1667947860000,0.25470000,0.25500000,0.25460000,0.25500000,27052.00000000,1667947919999,6894.69580000,23,13679.00000000,3487.94500000,0
19,1667947920000,0.25490000,0.25580000,0.25490000,0.25570000,14332.00000000,1667947979999,3655.95130000,22,13661.00000000,3484.91340000,0
20,1667947980000,0.25590000,0.25730000,0.25590000,0.25730000,11357.00000000,1667948039999,2918.15780000,21,6655.00000000,1709.27360000,0
21,1667948040000,0.25750000,0.25800000,0.25720000,0.25750000,8237.00000000,1667948099999,2122.63820000,20,6976.00000000,1797.79990000,0
22,1667948100000,0.25760000,0.25770000,0.25750000,0.25760000,18508.00000000,1667948159999,4766.60710000,16,7092.00000000,1826.38420000,0
23,1667948160000,0.25770000,0.25780000,0.25730000,0.25730000,6343.00000000,1667948219999,1634.71290000,11,0.00000000,0.00000000,0
24,1667948220000,0.25750000,0.25750000,0.25650000,0.25650000,9964.00000000,1667948279999,2558.58330000,17,5231.00000000,1343.03950000,0
25,1667948280000,0.25660000,0.25680000,0.25570000,0.25570000,30810.00000000,1667948339999,7894.21430000,41,15808.00000000,4051.07590000,0
26,1667948340000,0.25580000,0.25660000,0.25580000,0.25630000,24921.00000000,1667948399999,6385.06750000,31,17317.00000000,4435.41080000,0
27,1667948400000,0.25600000,0.25620000,0.25570000,0.25620000,19176.00000000,1667948459999,4908.55790000,20,10829.00000000,2772.32560000,0
28,1667948460000,0.25570000,0.25570000,0.25470000,0.25520000,10208.00000000,1667948519999,2605.36850000,29,6365.00000000,1624.57160000,0
29,1667948520000,0.25480000,0.25590000,0.25430000,0.25570000,31158.00000000,1667948579999,7958.93780000,53,11252.00000000,2871.95270000,0
30,1667948580000,0.25610000,0.25690000,0.25610000,0.25650000,6334.00000000,1667948639999,1623.86600000,17,1758.00000000,450.79110000,0
31,1667948640000,0.25710000,0.25740000,0.25710000,0.25720000,10061.00000000,1667948699999,2588.34170000,17,5083.00000000,1307.97190000,0
32,1667948700000,0.25730000,0.25810000,0.25720000,0.25810000,11958.00000000,1667948759999,3080.60010000,26,6257.00000000,1612.92900000,0
33,1667948760000,0.25780000,0.25820000,0.25770000,0.25770000,2284.00000000,1667948819999,589.01330000,8,434.00000000,112.05880000,0
34,1667948820000,0.25770000,0.25770000,0.25690000,0.25700000,13197.00000000,1667948879999,3395.43260000,24,5484.00000000,1410.94640000,0
35,1667948880000,0.25720000,0.25720000,0.25630000,0.25690000,26845.00000000,1667948939999,6896.05500000,39,12153.00000000,3122.13140000,0
36,1667948940000,0.25690000,0.25720000,0.25620000,0.25720000,20432.00000000,1667948999999,5242.94700000,33,10397.00000000,2667.26700000,0
37,1667949000000,0.25710000,0.25840000,0.25710000,0.25790000,18664.00000000,1667949059999,4815.12330000,32,6726.00000000,1736.89450000,0
38,1667949060000,0.25780000,0.25800000,0.25700000,0.25740000,59334.00000000,1667949119999,15288.30890000,77,38292.00000000,9868.21560000,0
39,1667949120000,0.25790000,0.25790000,0.25640000,0.25640000,24488.00000000,1667949179999,6288.97040000,45,14648.00000000,3763.34520000,0
40,1667949180000,0.25640000,0.25700000,0.25630000,0.25690000,25832.00000000,1667949239999,6628.26260000,42,14004.00000000,3593.97730000,0
41,1667949240000,0.25670000,0.25800000,0.25650000,0.25770000,21717.00000000,1667949299999,5585.77310000,35,5847.00000000,1505.75790000,0
42,1667949300000,0.25710000,0.25820000,0.25700000,0.25820000,21130.00000000,1667949359999,5440.54490000,44,5954.00000000,1534.89000000,0
43,1667949360000,0.25820000,0.25850000,0.25600000,0.25680000,57485.00000000,1667949419999,14784.90180000,103,17952.00000000,4619.76030000,0
44,1667949420000,0.25680000,0.25700000,0.25580000,0.25590000,30818.00000000,1667949479999,7901.67720000,105,11058.00000000,2837.42280000,0
45,1667949480000,0.25590000,0.25650000,0.25500000,0.25530000,21786.00000000,1667949539999,5571.74070000,73,12775.00000000,3268.24700000,0
46,1667949540000,0.25520000,0.25680000,0.25500000,0.25610000,34666.00000000,1667949599999,8874.55780000,84,27360.00000000,7005.04480000,0
47,1667949600000,0.25590000,0.25640000,0.25460000,0.25580000,31097.00000000,1667949659999,7948.58770000,96,11450.00000000,2926.28370000,0
48,1667949660000,0.25550000,0.25610000,0.25530000,0.25610000,21277.00000000,1667949719999,5441.54070000,48,11069.00000000,2832.84420000,0
49,1667949720000,0.25580000,0.25660000,0.25440000,0.25650000,33500.00000000,1667949779999,8559.37900000,96,11912.00000000,3047.79460000,0
50,1667949780000,0.25640000,0.25770000,0.25640000,0.25690000,24832.00000000,1667949839999,6380.76760000,61,16741.00000000,4302.80310000,0
51,1667949840000,0.25680000,0.25900000,0.25650000,0.25810000,37788.00000000,1667949899999,9759.67310000,74,27634.00000000,7142.97070000,0
52,1667949900000,0.25840000,0.25900000,0.25760000,0.25900000,53497.00000000,1667949959999,13839.83320000,74,45232.00000000,11706.59680000,0
53,1667949960000,0.25870000,0.25870000,0.25690000,0.25740000,24986.00000000,1667950019999,6444.51600000,59,2944.00000000,759.00140000,0
54,1667950020000,0.25740000,0.25920000,0.25690000,0.25810000,34283.00000000,1667950079999,8855.29290000,59,26263.00000000,6785.48100000,0
55,1667950080000,0.25790000,0.25870000,0.25750000,0.25850000,13093.00000000,1667950139999,3381.44370000,33,5556.00000000,1434.90790000,0
56,1667950140000,0.25860000,0.25940000,0.25800000,0.25900000,15211.00000000,1667950199999,3935.42500000,44,4235.00000000,1095.99930000,0
57,1667950200000,0.25890000,0.25950000,0.25750000,0.25750000,40144.00000000,1667950259999,10378.07820000,57,4071.00000000,1055.36410000,0
58,1667950260000,0.25760000,0.25890000,0.25750000,0.25820000,29150.00000000,1667950319999,7524.97070000,59,20904.00000000,5398.14270000,0
59,1667950320000,0.25830000,0.25920000,0.25800000,0.25920000,8278.00000000,1667950379999,2141.59500000,34,5131.00000000,1328.60660000,0
60,1667950380000,0.25890000,0.25980000,0.25850000,0.25960000,5743.00000000,1667950439999,1489.50930000,22,4217.00000000,1094.35100000,0
61,1667950440000,0.25940000,0.26020000,0.25920000,0.26020000,13019.00000000,1667950499999,3380.52750000,47,8966.00000000,2329.37340000,0
62,1667950500000,0.26030000,0.26100000,0.25940000,0.26070000,20032.00000000,1667950559999,5213.30760000,60,7838.00000000,2039.89560000,0
63,1667950560000,0.26090000,0.26190000,0.26070000,0.26150000,34016.00000000,1667950619999,8892.00220000,74,11689.00000000,3056.30580000,0
64,1667950620000,0.26130000,0.26290000,0.26110000,0.26190000,40797.00000000,1667950679999,10698.89030000,92,16449.00000000,4314.66470000,0
65,1667950680000,0.26240000,0.26330000,0.26210000,0.26270000,23921.00000000,1667950739999,6285.96060000,63,9394.00000000,2470.01060000,0
66,1667950740000,0.26300000,0.26370000,0.26230000,0.26330000,28258.00000000,1667950799999,7425.66680000,86,6219.00000000,1636.02700000,0
67,1667950800000,0.26360000,0.26390000,0.26270000,0.26370000,36211.00000000,1667950859999,9539.14670000,78,15998.00000000,4218.15850000,0
68,1667950860000,0.26370000,0.26400000,0.26300000,0.26320000,51365.00000000,1667950919999,13538.78990000,52,4745.00000000,1251.74920000,0
69,1667950920000,0.26360000,0.26400000,0.26250000,0.26250000,35791.00000000,1667950979999,9429.74500000,50,1306.00000000,344.14690000,0
70,1667950980000,0.26340000,0.26370000,0.26290000,0.26290000,19791.00000000,1667951039999,5212.63640000,29,3399.00000000,895.30120000,0
71,1667951040000,0.26300000,0.26400000,0.26300000,0.26370000,19121.00000000,1667951099999,5041.14740000,37,12711.00000000,3351.16640000,0
