,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,35.60000000,35.60000000,35.60000000,35.60000000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
1,1667947140000,35.60000000,35.60000000,35.55000000,35.55000000,54.90000000,1667947199999,1951.71500000,3,54.50000000,1937.47500000,0
2,1667947200000,35.55000000,35.57000000,35.51000000,35.56000000,1071.20000000,1667947259999,38089.07900000,15,145.00000000,5157.65000000,0
3,1667947260000,35.50000000,35.52000000,35.50000000,35.50000000,2994.40000000,1667947319999,106330.09900000,11,0.00000000,0.00000000,0
4,1667947320000,35.50000000,35.50000000,35.50000000,35.50000000,53.00000000,1667947379999,1881.50000000,1,0.00000000,0.00000000,0
5,1667947380000,35.66000000,35.66000000,35.66000000,35.66000000,6.00000000,1667947439999,213.96000000,1,6.00000000,213.96000000,0
6,1667947440000,35.66000000,35.66000000,35.66000000,35.66000000,560.10000000,1667947499999,19973.16600000,3,0.00000000,0.00000000,0
7,1667947500000,35.71000000,35.71000000,35.70000000,35.71000000,88.80000000,1667947559999,3170.17600000,3,88.80000000,3170.17600000,0
8,1667947560000,35.71000000,35.71000000,35.71000000,35.71000000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
9,1667947620000,35.62000000,35.73000000,35.62000000,35.73000000,74.90000000,1667947679999,2668.00400000,2,0.60000000,21.43800000,0
10,1667947680000,35.72000000,35.72000000,35.62000000,35.62000000,31.80000000,1667947739999,1134.80600000,2,20.90000000,746.54800000,0
11,1667947740000,35.60000000,35.63000000,35.28000000,35.28000000,1505.60000000,1667947799999,53268.84700000,16,1.80000000,63.89400000,0
12,1667947800000,35.30000000,35.30000000,35.18000000,35.18000000,4840.20000000,1667947859999,170646.91800000,85,2830.60000000,99863.49600000,0
13,1667947860000,35.18000000,35.33000000,35.13000000,35.33000000,1556.80000000,1667947919999,54866.46400000,12,697.30000000,24598.32200000,0
14,1667947920000,35.32000000,35.32000000,35.31000000,35.32000000,10044.20000000,1667947979999,354759.49900000,53,10044.20000000,354759.49900000,0
15,1667947980000,35.34000000,35.72000000,35.33000000,35.72000000,2336.80000000,1667948039999,83264.43300000,39,2331.90000000,83091.31600000,0
16,1667948040000,35.72000000,35.90000000,35.72000000,35.73000000,1313.30000000,1667948099999,46940.32800000,17,1283.40000000,45870.80500000,0
17,1667948100000,35.78000000,35.78000000,35.78000000,35.78000000,15.30000000,1667948159999,547.43400000,3,15.30000000,547.43400000,0
18,1667948160000,35.78000000,35.78000000,35.78000000,35.78000000,568.70000000,1667948219999,20348.08600000,5,568.70000000,20348.08600000,0
19,1667948220000,35.76000000,35.76000000,35.57000000,35.57000000,41.50000000,1667948279999,1477.14300000,2,41.50000000,1477.14300000,0
20,1667948280000,35.45000000,35.48000000,35.42000000,35.42000000,391.10000000,1667948339999,13871.00900000,17,0.00000000,0.00000000,0
21,1667948340000,35.38000000,35.43000000,35.38000000,35.43000000,152.10000000,1667948399999,5387.79800000,2,152.10000000,5387.79800000,0
22,1667948400000,35.42000000,35.43000000,35.34000000,35.43000000,454.50000000,1667948459999,16098.28700000,6,121.70000000,4311.83100000,0
23,1667948460000,35.45000000,35.45000000,35.33000000,35.40000000,358.60000000,1667948519999,12707.36200000,17,28.40000000,1005.36000000,0
24,1667948520000,35.30000000,35.60000000,35.30000000,35.60000000,502.80000000,1667948579999,17821.01000000,11,428.90000000,15204.94000000,0
25,1667948580000,35.75000000,35.75000000,35.73000000,35.73000000,21.80000000,1667948639999,778.97000000,2,21.80000000,778.97000000,0
26,1667948640000,35.70000000,35.74000000,35.70000000,35.74000000,3700.70000000,1667948699999,132203.01400000,10,3700.70000000,132203.01400000,0
27,1667948700000,35.74000000,35.87000000,35.40000000,35.87000000,6201.40000000,1667948759999,221367.77000000,35,2539.10000000,90933.95500000,0
28,1667948760000,35.87000000,35.89000000,35.77000000,35.85000000,786.40000000,1667948819999,28212.53300000,32,550.40000000,19744.99800000,0
29,1667948820000,35.76000000,35.76000000,35.53000000,35.59000000,183.80000000,1667948879999,6548.39400000,6,72.00000000,2566.56600000,0
30,1667948880000,35.66000000,35.66000000,35.53000000,35.53000000,152.20000000,1667948939999,5424.59400000,5,141.00000000,5026.65800000,0
31,1667948940000,35.54000000,35.54000000,35.53000000,35.54000000,2923.50000000,1667948999999,103900.69400000,28,109.90000000,3905.35000000,0
32,1667949000000,35.64000000,35.87000000,35.63000000,35.86000000,6661.50000000,1667949059999,238461.59700000,42,6594.30000000,236066.71200000,0
33,1667949060000,35.89000000,35.92000000,35.89000000,35.90000000,148.50000000,1667949119999,5331.47100000,3,148.50000000,5331.47100000,0
34,1667949120000,35.92000000,36.00000000,35.79000000,35.79000000,339.40000000,1667949179999,12187.05600000,7,339.40000000,12187.05600000,0
35,1667949180000,35.64000000,35.72000000,35.64000000,35.72000000,29.30000000,1667949239999,1046.35600000,3,0.00000000,0.00000000,0
36,1667949240000,35.89000000,35.89000000,35.73000000,35.73000000,1164.80000000,1667949299999,41622.14400000,5,1022.40000000,36534.19200000,0
37,1667949300000,35.84000000,35.91000000,35.84000000,35.89000000,103.10000000,1667949359999,3699.61100000,5,103.10000000,3699.61100000,0
38,1667949360000,35.90000000,36.00000000,35.68000000,35.73000000,1452.00000000,1667949419999,52001.45900000,18,465.40000000,16674.09200000,0
39,1667949420000,35.72000000,35.72000000,35.58000000,35.58000000,1746.70000000,1667949479999,62177.44700000,17,543.60000000,19365.69400000,0
40,1667949480000,35.59000000,35.64000000,35.53000000,35.53000000,4483.80000000,1667949539999,159590.17800000,29,1532.40000000,54578.37600000,0
41,1667949540000,35.53000000,35.68000000,35.53000000,35.68000000,325.50000000,1667949599999,11574.13500000,3,60.80000000,2169.34400000,0
42,1667949600000,35.68000000,35.68000000,35.52000000,35.52000000,3847.60000000,1667949659999,136673.40400000,40,20.70000000,738.57600000,0
43,1667949660000,35.60000000,35.60000000,35.57000000,35.57000000,4664.60000000,1667949719999,165952.31700000,12,2670.10000000,94994.21000000,0
44,1667949720000,35.51000000,35.60000000,35.45000000,35.60000000,3059.00000000,1667949779999,108634.95300000,21,219.70000000,7812.62400000,0
45,1667949780000,35.60000000,35.72000000,35.60000000,35.61000000,694.10000000,1667949839999,24740.00000000,6,250.30000000,8940.71600000,0
46,1667949840000,35.60000000,35.78000000,35.60000000,35.78000000,355.30000000,1667949899999,12678.80600000,5,342.50000000,12222.77500000,0
47,1667949900000,35.70000000,35.80000000,35.64000000,35.80000000,8639.40000000,1667949959999,309130.88400000,66,7938.60000000,284133.12800000,0
48,1667949960000,35.74000000,35.75000000,35.74000000,35.75000000,401.30000000,1667950019999,14343.57800000,3,111.60000000,3989.70000000,0
