,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,0.00003023,0.00003026,0.00003020,0.00003022,4276.00000000,1667946719999,0.12925294,23,707.00000000,0.02137709,0
1,1667946720000,0.00003021,0.00003026,0.00003019,0.00003026,1223.00000000,1667946779999,0.03698846,12,1001.00000000,0.03028148,0
2,1667946780000,0.00003025,0.00003027,0.00003020,0.00003020,1802.00000000,1667946839999,0.05448329,16,593.00000000,0.01793939,0
3,1667946840000,0.00003020,0.00003020,0.00003010,0.00003012,1844.00000000,1667946899999,0.05558473,12,989.00000000,0.02981053,0
4,1667946900000,0.00003009,0.00003011,0.00003006,0.00003006,1550.00000000,1667946959999,0.04663375,11,967.00000000,0.02909837,0
5,1667946960000,0.00003005,0.00003013,0.00003005,0.00003012,1533.00000000,1667947019999,0.04612701,15,791.00000000,0.02381191,0
6,1667947020000,0.00003013,0.00003014,0.00003007,0.00003007,2072.00000000,1667947079999,0.06237844,13,1556.00000000,0.04685360,0
7,1667947080000,0.00003007,0.00003007,0.00003002,0.00003003,1681.00000000,1667947139999,0.05050535,18,102.00000000,0.00306358,0
8,1667947140000,0.00003003,0.00003004,0.00003000,0.00003002,1127.00000000,1667947199999,0.03382930,12,703.00000000,0.02110515,0
9,1667947200000,0.00003002,0.00003003,0.00003000,0.00003002,1643.00000000,1667947259999,0.04931629,12,1464.00000000,0.04394629,0
10,1667947260000,0.00003002,0.00003009,0.00003002,0.00003005,5487.00000000,1667947319999,0.16497466,23,1954.00000000,0.05874658,0
11,1667947320000,0.00003007,0.00003007,0.00003002,0.00003006,2300.00000000,1667947379999,0.06911271,14,384.00000000,0.01154608,0
12,1667947380000,0.00003005,0.00003009,0.00003005,0.00003008,4287.00000000,1667947439999,0.12892143,19,2522.00000000,0.07587188,0
13,1667947440000,0.00003009,0.00003009,0.00003002,0.00003007,2054.00000000,1667947499999,0.06173639,14,857.00000000,0.02576399,0
14,1667947500000,0.00003006,0.00003008,0.00003003,0.00003004,4969.00000000,1667947559999,0.14930985,29,2881.00000000,0.08659142,0
15,1667947560000,0.00003004,0.00003004,0.00003002,0.00003002,266.00000000,1667947619999,0.00798960,3,214.00000000,0.00642856,0
16,1667947620000,0.00003005,0.00003013,0.00003005,0.00003013,1294.00000000,1667947679999,0.03893593,9,1061.00000000,0.03191774,0
17,1667947680000,0.00003014,0.00003017,0.00003014,0.00003015,2595.00000000,1667947739999,0.07824257,21,1208.00000000,0.03642742,0
18,1667947740000,0.00003017,0.00003017,0.00003009,0.00003009,6625.00000000,1667947799999,0.19944877,33,3379.00000000,0.10175112,0
19,1667947800000,0.00003009,0.00003009,0.00003000,0.00003005,2350.00000000,1667947859999,0.07061877,20,1249.00000000,0.03753793,0
20,1667947860000,0.00003001,0.00003004,0.00002997,0.00003004,6397.00000000,1667947919999,0.19200964,35,2234.00000000,0.06709371,0
21,1667947920000,0.00003005,0.00003014,0.00003002,0.00003007,1654.00000000,1667947979999,0.04973256,17,1149.00000000,0.03455496,0
22,1667947980000,0.00003011,0.00003020,0.00003011,0.00003019,3678.00000000,1667948039999,0.11096964,35,2224.00000000,0.06708576,0
23,1667948040000,0.00003019,0.00003025,0.00003018,0.00003018,2489.00000000,1667948099999,0.07516150,23,344.00000000,0.01039762,0
24,1667948100000,0.00003018,0.00003018,0.00003017,0.00003017,246.00000000,1667948159999,0.00742342,5,0.00000000,0.00000000,0
25,1667948160000,0.00003020,0.00003021,0.00003017,0.00003017,2102.00000000,1667948219999,0.06343922,10,135.00000000,0.00407760,0
26,1667948220000,0.00003018,0.00003025,0.00003014,0.00003016,4250.00000000,1667948279999,0.12829814,26,3003.00000000,0.09069217,0
27,1667948280000,0.00003016,0.00003016,0.00003013,0.00003013,728.00000000,1667948339999,0.02194544,8,0.00000000,0.00000000,0
28,1667948340000,0.00003012,0.00003012,0.00003008,0.00003008,409.00000000,1667948399999,0.01231180,5,0.00000000,0.00000000,0
29,1667948400000,0.00003010,0.00003017,0.00003008,0.00003009,2186.00000000,1667948459999,0.06588263,16,1517.00000000,0.04575271,0
30,1667948460000,0.00003011,0.00003011,0.00003005,0.00003008,1368.00000000,1667948519999,0.04113613,16,171.00000000,0.00514368,0
31,1667948520000,0.00003008,0.00003010,0.00003003,0.00003010,1145.00000000,1667948579999,0.03442181,14,593.00000000,0.01783813,0
32,1667948580000,0.00003011,0.00003014,0.00003011,0.00003014,844.00000000,1667948639999,0.02543089,10,668.00000000,0.02012625,0
33,1667948640000,0.00003015,0.00003019,0.00003015,0.00003019,650.00000000,1667948699999,0.01961200,9,650.00000000,0.01961200,0
34,1667948700000,0.00003020,0.00003024,0.00003020,0.00003024,904.00000000,1667948759999,0.02731552,10,845.00000000,0.02553300,0
35,1667948760000,0.00003025,0.00003025,0.00003021,0.00003021,569.00000000,1667948819999,0.01720171,11,254.00000000,0.00768350,0
36,1667948820000,0.00003021,0.00003021,0.00003016,0.00003016,1637.00000000,1667948879999,0.04941326,14,90.00000000,0.00271800,0
37,1667948880000,0.00003015,0.00003015,0.00003011,0.00003011,756.00000000,1667948939999,0.02277784,13,0.00000000,0.00000000,0
38,1667948940000,0.00003010,0.00003014,0.00003008,0.00003014,7487.00000000,1667948999999,0.22529534,23,2285.00000000,0.06880782,0
39,1667949000000,0.00003014,0.00003021,0.00003014,0.00003021,2816.00000000,1667949059999,0.08498478,20,980.00000000,0.02957181,0
40,1667949060000,0.00003022,0.00003024,0.00003017,0.00003017,4144.00000000,1667949119999,0.12509929,25,3333.00000000,0.10062331,0
41,1667949120000,0.00003016,0.00003016,0.00003012,0.00003012,4870.00000000,1667949179999,0.14673064,16,712.00000000,0.02146680,0
42,1667949180000,0.00003015,0.00003017,0.00003015,0.00003017,410.00000000,1667949239999,0.01236640,5,410.00000000,0.01236640,0
43,1667949240000,0.00003018,0.00003026,0.00003018,0.00003026,2054.00000000,1667949299999,0.06206943,24,1850.00000000,0.05590455,0
