,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,1.60740000,1.60740000,1.60740000,1.60740000,42.00000000,1667947019999,67.51080000,1,0.00000000,0.00000000,0
1,1667947020000,1.60930000,1.60930000,1.60920000,1.60920000,84.00000000,1667947079999,135.17535000,3,0.00000000,0.00000000,0
2,1667947080000,1.60080000,1.60080000,1.59800000,1.59800000,432.60000000,1667947139999,692.07280000,8,55.00000000,87.97650000,0
3,1667947140000,1.59800000,1.59800000,1.59270000,1.59270000,109.60000000,1667947199999,174.89067000,3,52.50000000,83.89500000,0
4,1667947200000,1.59300000,1.59300000,1.59040000,1.59140000,150.40000000,1667947259999,239.38286000,6,82.70000000,131.60201000,0
5,1667947260000,1.59690000,1.60520000,1.59410000,1.59410000,3425.40000000,1667947319999,5467.77268000,13,1122.70000000,1796.78579000,0
6,1667947320000,1.59470000,1.59470000,1.59470000,1.59470000,10.50000000,1667947379999,16.74435000,1,0.00000000,0.00000000,0
7,1667947380000,1.59470000,1.59470000,1.59470000,1.59470000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
8,1667947440000,1.59860000,1.59860000,1.59580000,1.59580000,30.00000000,1667947499999,47.91600000,2,0.00000000,0.00000000,0
9,1667947500000,1.59580000,1.59580000,1.59580000,1.59580000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
10,1667947560000,1.59710000,1.59710000,1.59710000,1.59710000,46.90000000,1667947619999,74.90399000,1,46.90000000,74.90399000,0
11,1667947620000,1.59700000,1.60460000,1.59700000,1.59980000,147.20000000,1667947679999,235.59640000,6,63.20000000,101.21320000,0
12,1667947680000,1.60270000,1.60270000,1.59950000,1.59950000,46.20000000,1667947739999,73.99674000,2,31.20000000,50.00424000,0
13,1667947740000,1.59450000,1.59450000,1.59000000,1.59050000,667.20000000,1667947799999,1060.92215000,5,10.80000000,17.17740000,0
14,1667947800000,1.59050000,1.59050000,1.59050000,1.59050000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
15,1667947860000,1.58960000,1.59170000,1.58960000,1.59060000,174.30000000,1667947919999,277.20024000,7,90.30000000,143.54214000,0
16,1667947920000,1.59260000,1.59280000,1.58810000,1.58860000,1775.80000000,1667947979999,2823.51198000,18,679.80000000,1082.53642000,0
17,1667947980000,1.58930000,1.59690000,1.58930000,1.59690000,58.50000000,1667948039999,93.09869000,2,58.50000000,93.09869000,0
18,1667948040000,1.60680000,1.61270000,1.60160000,1.60750000,673.50000000,1667948099999,1082.34560000,16,546.40000000,878.35145000,0
19,1667948100000,1.60670000,1.60670000,1.60670000,1.60670000,192.80000000,1667948159999,309.77176000,1,192.80000000,309.77176000,0
20,1667948160000,1.60380000,1.60380000,1.60190000,1.60190000,306.10000000,1667948219999,490.44763000,3,0.00000000,0.00000000,0
21,1667948220000,1.59920000,1.59920000,1.59610000,1.59700000,101.10000000,1667948279999,161.52504000,5,60.70000000,96.96490000,0
22,1667948280000,1.59800000,1.60060000,1.59450000,1.59450000,292.40000000,1667948339999,467.32899000,13,92.80000000,148.34156000,0
23,1667948340000,1.59340000,1.59620000,1.59000000,1.59340000,302.60000000,1667948399999,482.32034000,11,146.60000000,233.74216000,0
24,1667948400000,1.59180000,1.59180000,1.58690000,1.58830000,226.80000000,1667948459999,360.39501000,10,67.00000000,106.32380000,0
25,1667948460000,1.58970000,1.58970000,1.58470000,1.58520000,280.50000000,1667948519999,445.18591000,8,56.50000000,89.74435000,0
26,1667948520000,1.58320000,1.58540000,1.58320000,1.58540000,54.30000000,1667948579999,85.99548000,2,54.30000000,85.99548000,0
27,1667948580000,1.59170000,1.59540000,1.59170000,1.59280000,599.70000000,1667948639999,954.92171000,4,558.40000000,889.03169000,0
28,1667948640000,1.59490000,1.59540000,1.59490000,1.59520000,275.80000000,1667948699999,439.95208000,3,41.20000000,65.70988000,0
29,1667948700000,1.59730000,1.59730000,1.59670000,1.59670000,293.10000000,1667948759999,468.05283000,2,293.10000000,468.05283000,0
30,1667948760000,1.60130000,1.60520000,1.60130000,1.60320000,1142.70000000,1667948819999,1832.49119000,14,868.70000000,1393.23662000,0
31,1667948820000,1.60250000,1.60320000,1.59780000,1.60130000,623.10000000,1667948879999,997.35395000,10,81.60000000,130.60080000,0
32,1667948880000,1.60440000,1.60440000,1.60130000,1.60130000,675.30000000,1667948939999,1082.99416000,8,41.20000000,66.05184000,0
33,1667948940000,1.59910000,1.60140000,1.59760000,1.60140000,126.50000000,1667948999999,202.25990000,6,96.50000000,154.28690000,0
34,1667949000000,1.61020000,1.61020000,1.61020000,1.61020000,62.10000000,1667949059999,99.99342000,1,62.10000000,99.99342000,0
35,1667949060000,1.60920000,1.60920000,1.60270000,1.60270000,167.60000000,1667949119999,269.18523000,6,55.80000000,89.53518000,0
36,1667949120000,1.60270000,1.60270000,1.60070000,1.60070000,1602.50000000,1667949179999,2566.26293000,6,51.30000000,82.11591000,0
37,1667949180000,1.59770000,1.59770000,1.59770000,1.59770000,41.10000000,1667949239999,65.66547000,1,0.00000000,0.00000000,0
38,1667949240000,1.59750000,1.59940000,1.59370000,1.59370000,101.10000000,1667949299999,161.51808000,5,71.10000000,113.62308000,0
39,1667949300000,1.60000000,1.60000000,1.59540000,1.60000000,940.60000000,1667949359999,1503.38130000,12,634.50000000,1014.16963000,0
40,1667949360000,1.60340000,1.60350000,1.59170000,1.59170000,1298.40000000,1667949419999,2076.91770000,12,1141.60000000,1825.97806000,0
41,1667949420000,1.59240000,1.59510000,1.59210000,1.59260000,803.80000000,1667949479999,1279.98576000,9,51.60000000,82.30716000,0
42,1667949480000,1.58980000,1.59400000,1.58460000,1.58460000,479.30000000,1667949539999,761.46719000,8,335.80000000,533.81563000,0
43,1667949540000,1.58350000,1.58790000,1.58350000,1.58720000,568.00000000,1667949599999,901.36116000,8,92.80000000,147.13878000,0
44,1667949600000,1.58460000,1.58490000,1.57620000,1.58130000,706.50000000,1667949659999,1118.61864000,18,539.20000000,854.03888000,0
45,1667949660000,1.58660000,1.58770000,1.58410000,1.58410000,402.90000000,1667949719999,639.07517000,9,295.10000000,468.16457000,0
46,1667949720000,1.57770000,1.57780000,1.57770000,1.57780000,142.40000000,1667949779999,224.66860000,2,142.40000000,224.66860000,0
47,1667949780000,1.58210000,1.59670000,1.57900000,1.58550000,902.70000000,1667949839999,1436.50800000,18,697.00000000,1110.45648000,0
48,1667949840000,1.58600000,1.59260000,1.58320000,1.59260000,206.30000000,1667949899999,327.57059000,5,82.50000000,131.12931000,0
49,1667949900000,1.58970000,1.59330000,1.58820000,1.59330000,1018.60000000,1667949959999,1618.40664000,13,514.90000000,818.00081000,0
50,1667949960000,1.58900000,1.58900000,1.58900000,1.58900000,25.30000000,1667950019999,40.20170000,2,0.00000000,0.00000000,0
51,1667950020000,1.58820000,1.59440000,1.58820000,1.59340000,500.60000000,1667950079999,797.60868000,7,449.20000000,715.70381000,0
52,1667950080000,1.59060000,1.59060000,1.59060000,1.59060000,20.80000000,1667950139999,33.08448000,2,0.00000000,0.00000000,0
