,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.00005611,0.00005644,0.00005610,0.00005611,15788.60000000,1667946779999,0.88807270,184,9000.50000000,0.50630402,0
1,1667946780000,0.00005613,0.00005627,0.00005612,0.00005619,3606.10000000,1667946839999,0.20274868,37,3012.20000000,0.16936009,0
2,1667946840000,0.00005623,0.00005623,0.00005609,0.00005609,2475.20000000,1667946899999,0.13898415,37,809.30000000,0.04548435,0
3,1667946900000,0.00005608,0.00005618,0.00005602,0.00005611,9635.10000000,1667946959999,0.54041765,85,7205.40000000,0.40420287,0
4,1667946960000,0.00005613,0.00005628,0.00005609,0.00005620,8660.20000000,1667947019999,0.48665839,71,5200.50000000,0.29218884,0
5,1667947020000,0.00005615,0.00005624,0.00005611,0.00005612,9819.50000000,1667947079999,0.55143613,78,5613.60000000,0.31535585,0
6,1667947080000,0.00005612,0.00005616,0.00005585,0.00005595,18403.80000000,1667947139999,1.02981920,196,7005.10000000,0.39185404,0
7,1667947140000,0.00005590,0.00005592,0.00005579,0.00005583,7409.50000000,1667947199999,0.41389718,83,3238.30000000,0.18091480,0
8,1667947200000,0.00005586,0.00005590,0.00005570,0.00005582,27316.40000000,1667947259999,1.52465280,173,13788.40000000,0.76969250,0
9,1667947260000,0.00005585,0.00005587,0.00005575,0.00005580,11955.90000000,1667947319999,0.66715426,64,9368.40000000,0.52285563,0
10,1667947320000,0.00005585,0.00005597,0.00005582,0.00005591,6296.60000000,1667947379999,0.35182896,60,5192.60000000,0.29018698,0
11,1667947380000,0.00005588,0.00005601,0.00005587,0.00005601,6347.70000000,1667947439999,0.35510625,35,2896.90000000,0.16212716,0
12,1667947440000,0.00005600,0.00005601,0.00005587,0.00005587,5057.00000000,1667947499999,0.28288248,35,1672.90000000,0.09362544,0
13,1667947500000,0.00005588,0.00005592,0.00005583,0.00005583,3296.10000000,1667947559999,0.18416191,21,34.20000000,0.00191173,0
14,1667947560000,0.00005582,0.00005590,0.00005580,0.00005583,45209.50000000,1667947619999,2.52530343,192,831.90000000,0.04648332,0
15,1667947620000,0.00005583,0.00005603,0.00005582,0.00005602,6979.90000000,1667947679999,0.39016133,53,3196.90000000,0.17892744,0
16,1667947680000,0.00005604,0.00005606,0.00005593,0.00005600,21287.20000000,1667947739999,1.19217095,57,7792.20000000,0.43626502,0
17,1667947740000,0.00005596,0.00005596,0.00005579,0.00005579,7972.20000000,1667947799999,0.44535715,63,1827.20000000,0.10209562,0
18,1667947800000,0.00005580,0.00005583,0.00005576,0.00005583,12974.60000000,1667947859999,0.72386198,36,12329.00000000,0.68784715,0
19,1667947860000,0.00005583,0.00005601,0.00005580,0.00005595,6808.50000000,1667947919999,0.38091967,59,2216.00000000,0.12394256,0
20,1667947920000,0.00005595,0.00005600,0.00005588,0.00005588,6175.40000000,1667947979999,0.34544053,33,1675.40000000,0.09374784,0
21,1667947980000,0.00005588,0.00005627,0.00005586,0.00005618,10104.50000000,1667948039999,0.56650282,143,7291.00000000,0.40873465,0
22,1667948040000,0.00005619,0.00005622,0.00005611,0.00005615,3570.90000000,1667948099999,0.20054566,23,2079.10000000,0.11679037,0
23,1667948100000,0.00005617,0.00005619,0.00005613,0.00005615,1148.50000000,1667948159999,0.06449589,17,233.70000000,0.01312989,0
24,1667948160000,0.00005618,0.00005622,0.00005612,0.00005613,2202.90000000,1667948219999,0.12374030,24,1605.70000000,0.09020910,0
25,1667948220000,0.00005612,0.00005612,0.00005603,0.00005609,9625.60000000,1667948279999,0.53958233,69,3294.80000000,0.18468985,0
26,1667948280000,0.00005608,0.00005615,0.00005593,0.00005596,7356.00000000,1667948339999,0.41220769,85,3156.00000000,0.17693325,0
27,1667948340000,0.00005593,0.00005626,0.00005588,0.00005592,24095.60000000,1667948399999,1.34955900,135,21606.30000000,1.21034711,0
28,1667948400000,0.00005591,0.00005592,0.00005571,0.00005586,9472.10000000,1667948459999,0.52858312,117,2765.60000000,0.15435325,0
29,1667948460000,0.00005581,0.00005589,0.00005573,0.00005576,11884.80000000,1667948519999,0.66327129,62,7045.10000000,0.39333155,0
30,1667948520000,0.00005576,0.00005580,0.00005562,0.00005580,12400.10000000,1667948579999,0.69109323,133,4278.40000000,0.23843540,0
31,1667948580000,0.00005581,0.00005594,0.00005574,0.00005581,11601.80000000,1667948639999,0.64755001,74,2523.30000000,0.14096530,0
32,1667948640000,0.00005589,0.00005595,0.00005589,0.00005593,1858.00000000,1667948699999,0.10390357,21,1183.60000000,0.06619115,0
33,1667948700000,0.00005588,0.00005607,0.00005585,0.00005598,4306.80000000,1667948759999,0.24099892,70,3178.90000000,0.17796742,0
34,1667948760000,0.00005599,0.00005624,0.00005599,0.00005618,19123.30000000,1667948819999,1.07340756,127,11313.20000000,0.63519194,0
35,1667948820000,0.00005620,0.00005621,0.00005608,0.00005618,10353.90000000,1667948879999,0.58142479,55,7231.90000000,0.40613538,0
36,1667948880000,0.00005621,0.00005623,0.00005608,0.00005611,16143.40000000,1667948939999,0.90635790,59,12340.30000000,0.69297622,0
37,1667948940000,0.00005607,0.00005615,0.00005596,0.00005615,16462.40000000,1667948999999,0.92253556,106,6485.70000000,0.36363387,0
38,1667949000000,0.00005615,0.00005629,0.00005613,0.00005628,7591.30000000,1667949059999,0.42659638,79,5381.50000000,0.30240674,0
39,1667949060000,0.00005628,0.00005631,0.00005613,0.00005613,8850.50000000,1667949119999,0.49755649,73,2368.90000000,0.13320848,0
40,1667949120000,0.00005619,0.00005619,0.00005598,0.00005599,9289.70000000,1667949179999,0.52075493,94,4712.30000000,0.26408718,0
41,1667949180000,0.00005600,0.00005604,0.00005596,0.00005599,9978.80000000,1667949239999,0.55892848,42,6318.10000000,0.35389588,0
42,1667949240000,0.00005596,0.00005612,0.00005595,0.00005602,13774.60000000,1667949299999,0.77225501,72,3781.40000000,0.21205816,0
43,1667949300000,0.00005604,0.00005615,0.00005599,0.00005614,18783.10000000,1667949359999,1.05301682,65,7875.30000000,0.44148498,0
44,1667949360000,0.00005612,0.00005621,0.00005595,0.00005604,10123.50000000,1667949419999,0.56796936,104,4939.60000000,0.27723692,0
