,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,0.00078550,0.00078550,0.00078550,0.00078550,150.00000000,1667947079999,0.11782500,1,0.00000000,0.00000000,0
1,1667947080000,0.00078650,0.00078650,0.00078350,0.00078350,2033.20000000,1667947139999,1.59800074,14,0.00000000,0.00000000,0
2,1667947140000,0.00078340,0.00078340,0.00078280,0.00078340,536.10000000,1667947199999,0.41993401,9,193.30000000,0.15143122,0
3,1667947200000,0.00078270,0.00078430,0.00078080,0.00078080,1950.20000000,1667947259999,1.52603416,20,25.50000000,0.01999965,0
4,1667947260000,0.00078080,0.00078080,0.00078080,0.00078080,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
5,1667947320000,0.00078080,0.00078080,0.00078080,0.00078080,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
6,1667947380000,0.00078180,0.00078180,0.00078180,0.00078180,30.60000000,1667947439999,0.02392308,1,0.00000000,0.00000000,0
7,1667947440000,0.00078270,0.00078270,0.00078270,0.00078270,11.70000000,1667947499999,0.00915759,1,0.00000000,0.00000000,0
8,1667947500000,0.00078270,0.00078270,0.00078270,0.00078270,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
9,1667947560000,0.00078360,0.00078360,0.00078220,0.00078220,857.50000000,1667947619999,0.67075802,3,11.00000000,0.00861960,0
10,1667947620000,0.00078220,0.00078430,0.00078220,0.00078430,50.40000000,1667947679999,0.03949386,2,50.40000000,0.03949386,0
11,1667947680000,0.00078520,0.00078530,0.00078520,0.00078530,37.20000000,1667947739999,0.02921016,2,37.20000000,0.02921016,0
12,1667947740000,0.00078450,0.00078570,0.00078040,0.00078320,2569.90000000,1667947799999,2.01179069,22,340.10000000,0.26655598,0
13,1667947800000,0.00078300,0.00078340,0.00078300,0.00078340,959.10000000,1667947859999,0.75110311,8,959.10000000,0.75110311,0
14,1667947860000,0.00078420,0.00078490,0.00078420,0.00078490,639.00000000,1667947919999,0.50126083,5,639.00000000,0.50126083,0
