,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,0.00050590,0.00050590,0.00050590,0.00050590,5.82600000,1667947079999,0.00294737,1,0.00000000,0.00000000,0
1,1667947080000,0.00050520,0.00050520,0.00050520,0.00050520,1.67900000,1667947139999,0.00084823,1,0.00000000,0.00000000,0
2,1667947140000,0.00050670,0.00050670,0.00050520,0.00050570,162.20900000,1667947199999,0.08206113,9,16.10000000,0.00815786,0
3,1667947200000,0.00050610,0.00050610,0.00050550,0.00050550,54.36700000,1667947259999,0.02751320,3,0.00000000,0.00000000,0
4,1667947260000,0.00050550,0.00050550,0.00050550,0.00050550,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
5,1667947320000,0.00050560,0.00050620,0.00050560,0.00050620,128.56900000,1667947379999,0.06502550,7,48.56900000,0.02456551,0
6,1667947380000,0.00050730,0.00050770,0.00050730,0.00050770,43.94700000,1667947439999,0.02230086,5,43.94700000,0.02230086,0
7,1667947440000,0.00050850,0.00050850,0.00050790,0.00050790,8.63800000,1667947499999,0.00438828,2,1.73900000,0.00088428,0
8,1667947500000,0.00050750,0.00050750,0.00050670,0.00050670,37.57200000,1667947559999,0.01905805,4,37.57200000,0.01905805,0
9,1667947560000,0.00050650,0.00050650,0.00050640,0.00050640,30.39900000,1667947619999,0.01539628,2,8.04400000,0.00407348,0
10,1667947620000,0.00050640,0.00050640,0.00050640,0.00050640,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,0.00050800,0.00050800,0.00050740,0.00050740,3.98600000,1667947739999,0.00202307,3,3.98600000,0.00202307,0
12,1667947740000,0.00050780,0.00050810,0.00050690,0.00050810,156.95400000,1667947799999,0.07966561,11,105.67500000,0.05362058,0
13,1667947800000,0.00050800,0.00050800,0.00050690,0.00050690,6.41800000,1667947859999,0.00325681,2,0.00000000,0.00000000,0
14,1667947860000,0.00050800,0.00050810,0.00050660,0.00050810,43.45700000,1667947919999,0.02207831,3,0.00000000,0.00000000,0
15,1667947920000,0.00050780,0.00050780,0.00050780,0.00050780,11.98800000,1667947979999,0.00608749,3,0.00000000,0.00000000,0
16,1667947980000,0.00050820,0.00050820,0.00050790,0.00050820,50.85000000,1667948039999,0.02582939,5,40.78800000,0.02071891,0
17,1667948040000,0.00050770,0.00050780,0.00050710,0.00050780,131.42000000,1667948099999,0.06670384,10,7.69700000,0.00390853,0
18,1667948100000,0.00050770,0.00050770,0.00050770,0.00050770,6.16300000,1667948159999,0.00312895,1,6.16300000,0.00312895,0
19,1667948160000,0.00050770,0.00050770,0.00050770,0.00050770,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
20,1667948220000,0.00050820,0.00050820,0.00050820,0.00050820,14.12600000,1667948279999,0.00717882,2,14.12600000,0.00717882,0
21,1667948280000,0.00050820,0.00050820,0.00050820,0.00050820,2.97900000,1667948339999,0.00151392,1,2.97900000,0.00151392,0
22,1667948340000,0.00050730,0.00050730,0.00050730,0.00050730,10.44500000,1667948399999,0.00529874,2,10.44500000,0.00529874,0
23,1667948400000,0.00050730,0.00050730,0.00050730,0.00050730,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
24,1667948460000,0.00050680,0.00050840,0.00050680,0.00050840,109.27500000,1667948519999,0.05552033,15,59.27500000,0.03010533,0
25,1667948520000,0.00050840,0.00050840,0.00050840,0.00050840,0.98200000,1667948579999,0.00049924,1,0.98200000,0.00049924,0
26,1667948580000,0.00050770,0.00050770,0.00050770,0.00050770,39.68500000,1667948639999,0.02014807,1,0.00000000,0.00000000,0
27,1667948640000,0.00050770,0.00050770,0.00050770,0.00050770,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
28,1667948700000,0.00050770,0.00050770,0.00050770,0.00050770,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
29,1667948760000,0.00050770,0.00050770,0.00050770,0.00050770,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
30,1667948820000,0.00050780,0.00050780,0.00050780,0.00050780,3.30400000,1667948879999,0.00167777,1,3.30400000,0.00167777,0
31,1667948880000,0.00050780,0.00050780,0.00050780,0.00050780,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
32,1667948940000,0.00050720,0.00050720,0.00050720,0.00050720,2.22800000,1667948999999,0.00113004,1,2.22800000,0.00113004,0
33,1667949000000,0.00050720,0.00050720,0.00050720,0.00050720,0.00000000,1667949059999,0.00000000,0,0.00000000,0.00000000,0
34,1667949060000,0.00050820,0.00050850,0.00050780,0.00050850,240.84500000,1667949119999,0.12234740,8,230.23400000,0.11695383,0
35,1667949120000,0.00050850,0.00050850,0.00050740,0.00050740,53.19200000,1667949179999,0.02701730,4,42.62800000,0.02165291,0
36,1667949180000,0.00050860,0.00050860,0.00050860,0.00050860,3.36800000,1667949239999,0.00171296,2,3.36800000,0.00171296,0
37,1667949240000,0.00050900,0.00050920,0.00050840,0.00050870,127.98400000,1667949299999,0.06511648,12,127.98400000,0.06511648,0
38,1667949300000,0.00050860,0.00050890,0.00050860,0.00050890,319.47600000,1667949359999,0.16255937,4,319.47600000,0.16255937,0
39,1667949360000,0.00050920,0.00050930,0.00050920,0.00050930,11.60300000,1667949419999,0.00590848,4,11.60300000,0.00590848,0
40,1667949420000,0.00050950,0.00050950,0.00050870,0.00050920,163.90800000,1667949479999,0.08342440,10,132.42100000,0.06740697,0
41,1667949480000,0.00050880,0.00050880,0.00050880,0.00050880,1.64700000,1667949539999,0.00083799,1,1.64700000,0.00083799,0
42,1667949540000,0.00050870,0.00050870,0.00050870,0.00050870,38.87500000,1667949599999,0.01977571,1,0.00000000,0.00000000,0
43,1667949600000,0.00050910,0.00050910,0.00050910,0.00050910,17.23000000,1667949659999,0.00877179,1,17.23000000,0.00877179,0
44,1667949660000,0.00050870,0.00050870,0.00050870,0.00050870,8.63500000,1667949719999,0.00439262,1,8.63500000,0.00439262,0
45,1667949720000,0.00050870,0.00050870,0.00050870,0.00050870,0.00000000,1667949779999,0.00000000,0,0.00000000,0.00000000,0
46,1667949780000,0.00051010,0.00051010,0.00051010,0.00051010,0.77400000,1667949839999,0.00039480,3,0.77400000,0.00039480,0
47,1667949840000,0.00051010,0.00051010,0.00051010,0.00051010,0.00000000,1667949899999,0.00000000,0,0.00000000,0.00000000,0
48,1667949900000,0.00051010,0.00051010,0.00051010,0.00051010,0.00000000,1667949959999,0.00000000,0,0.00000000,0.00000000,0
49,1667949960000,0.00051010,0.00051010,0.00051010,0.00051010,0.00000000,1667950019999,0.00000000,0,0.00000000,0.00000000,0
50,1667950020000,0.00050960,0.00050960,0.00050960,0.00050960,3.51900000,1667950079999,0.00179328,1,3.51900000,0.00179328,0
51,1667950080000,0.00050980,0.00050980,0.00050980,0.00050980,1.95900000,1667950139999,0.00099869,1,1.95900000,0.00099869,0
52,1667950140000,0.00050860,0.00050860,0.00050860,0.00050860,3.57000000,1667950199999,0.00181570,1,0.00000000,0.00000000,0
53,1667950200000,0.00050990,0.00050990,0.00050990,0.00050990,53.13400000,1667950259999,0.02709302,1,0.00000000,0.00000000,0
54,1667950260000,0.00050950,0.00050970,0.00050930,0.00050960,211.61700000,1667950319999,0.10782014,11,211.61700000,0.10782014,0
55,1667950320000,0.00050950,0.00050950,0.00050940,0.00050940,101.52300000,1667950379999,0.05172257,2,101.52300000,0.05172257,0
56,1667950380000,0.00051010,0.00051010,0.00050980,0.00050980,3.35500000,1667950439999,0.00171042,2,3.35500000,0.00171042,0
57,1667950440000,0.00050900,0.00051040,0.00050900,0.00051040,29.14100000,1667950499999,0.01483863,3,12.24700000,0.00623959,0
